year,country,variable,value
1980,AU,npopuli999,14706322
1981,AU,npopuli999,14930052
1982,AU,npopuli999,15168445
1983,AU,npopuli999,15383076
1984,AU,npopuli999,15579476
1985,AU,npopuli999,15785682
1986,AU,npopuli999,16012299
1987,AU,npopuli999,16259249
1988,AU,npopuli999,16525903
1989,AU,npopuli999,16796588
1990,AU,npopuli999,17048004
1991,AU,npopuli999,17271086
1992,AU,npopuli999,17462504
1993,AU,npopuli999,17631512
1994,AU,npopuli999,17805504
1995,AU,npopuli999,18003000
1996,AU,npopuli999,18211844
1997,AU,npopuli999,18410250
1998,AU,npopuli999,18601668
1999,AU,npopuli999,18800892
2000,AU,npopuli999,19017964
2001,AU,npopuli999,19248144
2002,AU,npopuli999,19475844
2003,AU,npopuli999,19699000
2004,AU,npopuli999,19925056
2005,AU,npopuli999,20171732
2006,AU,npopuli999,20467030
2007,AU,npopuli999,20830828
2008,AU,npopuli999,21247872
2009,AU,npopuli999,21660892
2010,AU,npopuli999,22019168
2011,AU,npopuli999,22357034
2012,AU,npopuli999,22729268
2013,AU,npopuli999,23111782
2014,AU,npopuli999,23469580
2015,AU,npopuli999,23820236
2016,AU,npopuli999,24195700
2017,AU,npopuli999,24590334
2018,AU,npopuli999,24979230
2019,AU,npopuli999,25357170
2020,AU,npopuli999,25670052
2021,AU,npopuli999,25921088
2022,AU,npopuli999,26177412
1980,DE,npopuli999,77786704
1981,DE,npopuli999,77684488
1982,DE,npopuli999,77610432
1983,DE,npopuli999,77566064
1984,DE,npopuli999,77568576
1985,DE,npopuli999,77638808
1986,DE,npopuli999,77803360
1987,DE,npopuli999,78090896
1988,DE,npopuli999,78477528
1989,DE,npopuli999,78916440
1990,DE,npopuli999,79370192
1991,DE,npopuli999,80013896
1992,DE,npopuli999,80624600
1993,DE,npopuli999,81156368
1994,DE,npopuli999,81438352
1995,DE,npopuli999,81678056
1996,DE,npopuli999,81914832
1997,DE,npopuli999,82034776
1998,DE,npopuli999,82047200
1999,DE,npopuli999,82100248
2000,DE,npopuli999,82211504
2001,DE,npopuli999,82349920
2002,DE,npopuli999,82488488
2003,DE,npopuli999,82534176
2004,DE,npopuli999,82516264
2005,DE,npopuli999,82469424
2006,DE,npopuli999,82376456
2007,DE,npopuli999,82266376
2008,DE,npopuli999,82110096
2009,DE,npopuli999,81902328
2010,DE,npopuli999,81776952
2011,DE,npopuli999,81797672
2012,DE,npopuli999,81818400
2013,DE,npopuli999,81839128
2014,DE,npopuli999,82017712
2015,DE,npopuli999,82232528
2016,DE,npopuli999,82491232
2017,DE,npopuli999,82784744
2018,DE,npopuli999,83057600
2019,DE,npopuli999,83309536
2020,DE,npopuli999,83490736
2021,DE,npopuli999,83570448
2022,DE,npopuli999,83531656
