year,country,variable,value
1980,AU,xlcyuxi999,0.586126889543337
1981,AU,xlcyuxi999,0.5105270173607
1982,AU,xlcyuxi999,0.520920029806391
1983,AU,xlcyuxi999,0.561840911116363
1984,AU,xlcyuxi999,0.491163256246044
1985,AU,xlcyuxi999,0.487593322464013
1986,AU,xlcyuxi999,0.433265113287076
1987,AU,xlcyuxi999,0.383702740888053
1988,AU,xlcyuxi999,0.343867250411376
1989,AU,xlcyuxi999,0.335872592271192
1990,AU,xlcyuxi999,0.267823716506091
1991,AU,xlcyuxi999,0.241153744625228
1992,AU,xlcyuxi999,0.246917341616301
1993,AU,xlcyuxi999,0.255218785600638
1994,AU,xlcyuxi999,0.158694938714169
1995,AU,xlcyuxi999,0.16153337665059
1996,AU,xlcyuxi999,0.153696961726736
1997,AU,xlcyuxi999,0.162534355754608
1998,AU,xlcyuxi999,0.192273989625989
1999,AU,xlcyuxi999,0.187231607186511
2000,AU,xlcyuxi999,0.208350037168914
2001,AU,xlcyuxi999,0.233590256978374
2002,AU,xlcyuxi999,0.222371863110335
2003,AU,xlcyuxi999,0.186288195483819
2004,AU,xlcyuxi999,0.164284790447588
2005,AU,xlcyuxi999,0.159802616602369
2006,AU,xlcyuxi999,0.16654966668086
2007,AU,xlcyuxi999,0.157090690247905
2008,AU,xlcyuxi999,0.17156965578595
2009,AU,xlcyuxi999,0.187690040943654
2010,AU,xlcyuxi999,0.161021600287866
2011,AU,xlcyuxi999,0.150037761978802
2012,AU,xlcyuxi999,0.153002244461196
2013,AU,xlcyuxi999,0.167185851452659
2014,AU,xlcyuxi999,0.180577069579698
2015,AU,xlcyuxi999,0.21374430608293
2016,AU,xlcyuxi999,0.202455940228842
2017,AU,xlcyuxi999,0.193047096976698
2018,AU,xlcyuxi999,0.202300606400096
2019,AU,xlcyuxi999,0.20822618381794
2020,AU,xlcyuxi999,0.210568621744203
2021,AU,xlcyuxi999,0.206424150398082
2022,AU,xlcyuxi999,0.216412705141865
1999,DE,xlcyuxi999,0.113343172195115
2000,DE,xlcyuxi999,0.130785114255963
2001,DE,xlcyuxi999,0.134894750456123
2002,DE,xlcyuxi999,0.127771468180909
2003,DE,xlcyuxi999,0.106807298439401
2004,DE,xlcyuxi999,0.0971295104596171
2005,DE,xlcyuxi999,0.0980923948869019
2006,DE,xlcyuxi999,0.0998857340173544
2007,DE,xlcyuxi999,0.0959144600728387
2008,DE,xlcyuxi999,0.0978495388469671
2009,DE,xlcyuxi999,0.104950082776569
2010,DE,xlcyuxi999,0.111414924255278
2011,DE,xlcyuxi999,0.111184425460385
2012,DE,xlcyuxi999,0.123304359876449
2013,DE,xlcyuxi999,0.121525902633843
2014,DE,xlcyuxi999,0.122525645747364
2015,DE,xlcyuxi999,0.14472871916441
2016,DE,xlcyuxi999,0.135965757243901
2017,DE,xlcyuxi999,0.13097167749966
2018,DE,xlcyuxi999,0.127989440900496
2019,DE,xlcyuxi999,0.129303201843907
2020,DE,xlcyuxi999,0.126870876767332
2021,DE,xlcyuxi999,0.131105197308496
2022,DE,xlcyuxi999,0.14245580953448
