country,variable,percentile,year,value,age,pop
AD,wwealpi999,p0p100,1995,0.39255664,999,i
AD,wwealpi999,p0p100,1996,0.43536863,999,i
AD,wwealpi999,p0p100,1997,0.44405118,999,i
AD,wwealpi999,p0p100,1998,0.49741471,999,i
AD,wwealpi999,p0p100,1999,0.54545766,999,i
AD,wwealpi999,p0p100,2000,0.57924813,999,i
AD,wwealpi999,p0p100,2001,0.63537866,999,i
AD,wwealpi999,p0p100,2002,0.69421661,999,i
AD,wwealpi999,p0p100,2003,0.75775814,999,i
AD,wwealpi999,p0p100,2004,0.82387412,999,i
AD,wwealpi999,p0p100,2005,0.89160824,999,i
AD,wwealpi999,p0p100,2006,0.95922118,999,i
AD,wwealpi999,p0p100,2007,1.0243561,999,i
AD,wwealpi999,p0p100,2008,1.0848606,999,i
AD,wwealpi999,p0p100,2009,1.1396352,999,i
AD,wwealpi999,p0p100,2010,1.190315,999,i
AD,wwealpi999,p0p100,2011,1.2392926,999,i
AD,wwealpi999,p0p100,2012,1.2921821,999,i
AD,wwealpi999,p0p100,2013,1.3487709,999,i
AD,wwealpi999,p0p100,2014,1.4125571,999,i
AD,wwealpi999,p0p100,2015,1.4860003,999,i
AD,wwealpi999,p0p100,2016,1.5699576,999,i
AD,wwealpi999,p0p100,2017,1.6648704,999,i
AD,wwealpi999,p0p100,2018,1.7693458,999,i
AD,wwealpi999,p0p100,2019,1.8832215,999,i
AD,wwealpi999,p0p100,2020,2.0037208,999,i
AD,wwealpi999,p0p100,2021,2.1253769,999,i
AD,wwealpi999,p0p100,2022,2.2475159,999,i
AD,mgweali999,p0p100,1995,-32836734,999,i
AD,mgweali999,p0p100,1996,9006455,999,i
AD,mgweali999,p0p100,1997,56978640,999,i
AD,mgweali999,p0p100,1998,107071352,999,i
AD,mgweali999,p0p100,1999,163041168,999,i
AD,mgweali999,p0p100,2000,224221200,999,i
AD,mgweali999,p0p100,2001,307317888,999,i
AD,mgweali999,p0p100,2002,390572544,999,i
AD,mgweali999,p0p100,2003,505614144,999,i
AD,mgweali999,p0p100,2004,636992832,999,i
AD,mgweali999,p0p100,2005,764148800,999,i
AD,mgweali999,p0p100,2006,892448000,999,i
AD,mgweali999,p0p100,2007,983019072,999,i
AD,mgweali999,p0p100,2008,972849152,999,i
AD,mgweali999,p0p100,2009,943552960,999,i
AD,mgweali999,p0p100,2010,932086400,999,i
AD,mgweali999,p0p100,2011,925217920,999,i
AD,mgweali999,p0p100,2012,852661504,999,i
AD,mgweali999,p0p100,2013,789753856,999,i
AD,mgweali999,p0p100,2014,777852608,999,i
AD,mgweali999,p0p100,2015,752176960,999,i
AD,mgweali999,p0p100,2016,745247040,999,i
AD,mgweali999,p0p100,2017,712066816,999,i
AD,mgweali999,p0p100,2018,693084992,999,i
AD,mgweali999,p0p100,2019,680846400,999,i
AD,mgweali999,p0p100,2020,569930560,999,i
AD,mgweali999,p0p100,2021,603828928,999,i
AD,mgweali999,p0p100,2022,635387008,999,i
AD,mnweali999,p0p100,1995,436217824,999,i
AD,mnweali999,p0p100,1996,589620864,999,i
AD,mnweali999,p0p100,1997,789520064,999,i
AD,mnweali999,p0p100,1998,962093376,999,i
AD,mnweali999,p0p100,1999,1152415616,999,i
AD,mnweali999,p0p100,2000,1360354304,999,i
AD,mnweali999,p0p100,2001,1657695104,999,i
AD,mnweali999,p0p100,2002,1927265664,999,i
AD,mnweali999,p0p100,2003,2333348864,999,i
AD,mnweali999,p0p100,2004,2791353856,999,i
AD,mnweali999,p0p100,2005,3223058944,999,i
AD,mnweali999,p0p100,2006,3672253184,999,i
AD,mnweali999,p0p100,2007,4000834560,999,i
AD,mnweali999,p0p100,2008,3970171648,999,i
AD,mnweali999,p0p100,2009,3911508736,999,i
AD,mnweali999,p0p100,2010,3976142080,999,i
AD,mnweali999,p0p100,2011,4110049024,999,i
AD,mnweali999,p0p100,2012,3995393536,999,i
AD,mnweali999,p0p100,2013,3942755328,999,i
AD,mnweali999,p0p100,2014,4178141952,999,i
AD,mnweali999,p0p100,2015,4384259072,999,i
AD,mnweali999,p0p100,2016,4740961792,999,i
AD,mnweali999,p0p100,2017,4959560704,999,i
AD,mnweali999,p0p100,2018,5285617664,999,i
AD,mnweali999,p0p100,2019,5680739840,999,i
AD,mnweali999,p0p100,2020,5197027840,999,i
AD,mnweali999,p0p100,2021,6016469504,999,i
AD,mnweali999,p0p100,2022,6915330048,999,i
AD,mnwnxai999,p0p100,1995,9715822,999,i
AD,mnwnxai999,p0p100,1996,24264974,999,i
AD,mnwnxai999,p0p100,1997,41138484,999,i
AD,mnwnxai999,p0p100,1998,57167208,999,i
AD,mnwnxai999,p0p100,1999,77058136,999,i
AD,mnwnxai999,p0p100,2000,102425016,999,i
AD,mnwnxai999,p0p100,2001,143291264,999,i
AD,mnwnxai999,p0p100,2002,190440896,999,i
AD,mnwnxai999,p0p100,2003,259084832,999,i
AD,mnwnxai999,p0p100,2004,342093376,999,i
AD,mnwnxai999,p0p100,2005,427452608,999,i
AD,mnwnxai999,p0p100,2006,516114080,999,i
AD,mnwnxai999,p0p100,2007,583130112,999,i
AD,mnwnxai999,p0p100,2008,588988864,999,i
AD,mnwnxai999,p0p100,2009,582631424,999,i
AD,mnwnxai999,p0p100,2010,588926912,999,i
AD,mnwnxai999,p0p100,2011,602169472,999,i
AD,mnwnxai999,p0p100,2012,576297600,999,i
AD,mnwnxai999,p0p100,2013,558954880,999,i
AD,mnwnxai999,p0p100,2014,580886208,999,i
AD,mnwnxai999,p0p100,2015,596434048,999,i
AD,mnwnxai999,p0p100,2016,631178112,999,i
AD,mnwnxai999,p0p100,2017,648437696,999,i
AD,mnwnxai999,p0p100,2018,682823424,999,i
