country;variable;percentile;year;value;age;pop
AI;wwealgi999;p0p100;1995;0.59786314;999;i
AI;wwealgi999;p0p100;1996;0.61618561;999;i
AI;wwealgi999;p0p100;1997;0.57284677;999;i
AI;wwealgi999;p0p100;1998;0.57054347;999;i
AI;wwealgi999;p0p100;1999;0.57055467;999;i
AI;wwealgi999;p0p100;2000;0.54359764;999;i
AI;wwealgi999;p0p100;2001;0.54843044;999;i
AI;wwealgi999;p0p100;2002;0.60268915;999;i
AI;wwealgi999;p0p100;2003;0.62185162;999;i
AI;wwealgi999;p0p100;2004;0.65020484;999;i
AI;wwealgi999;p0p100;2005;0.76162976;999;i
AI;wwealgi999;p0p100;2006;0.79672813;999;i
AI;wwealgi999;p0p100;2007;0.79839659;999;i
AI;wwealgi999;p0p100;2008;0.78800505;999;i
AI;wwealgi999;p0p100;2009;0.75697368;999;i
AI;wwealgi999;p0p100;2010;0.7785244;999;i
AI;wwealgi999;p0p100;2011;0.8292619;999;i
AI;wwealgi999;p0p100;2012;0.85742253;999;i
AI;wwealgi999;p0p100;2013;0.73579758;999;i
AI;wwealgi999;p0p100;2014;0.63142782;999;i
AI;wwealgi999;p0p100;2015;0.66710788;999;i
AI;wwealgi999;p0p100;2016;0.63452816;999;i
AI;wwealgi999;p0p100;2017;0.50605428;999;i
AI;wwealgi999;p0p100;2018;0.49240178;999;i
AI;wwealgi999;p0p100;2019;0.42423859;999;i
AI;wwealgi999;p0p100;2020;0.051810559;999;i
AI;wwealgi999;p0p100;2021;0.13506939;999;i
AI;wwealgi999;p0p100;2022;0.17579767;999;i
AI;wwealni999;p0p100;1995;0.99162173;999;i
AI;wwealni999;p0p100;1996;1.013239;999;i
AI;wwealni999;p0p100;1997;0.8960132;999;i
AI;wwealni999;p0p100;1998;0.86726713;999;i
AI;wwealni999;p0p100;1999;0.84109753;999;i
AI;wwealni999;p0p100;2000;0.76234233;999;i
AI;wwealni999;p0p100;2001;0.75011915;999;i
AI;wwealni999;p0p100;2002;0.84480757;999;i
AI;wwealni999;p0p100;2003;0.86182576;999;i
AI;wwealni999;p0p100;2004;0.90515232;999;i
AI;wwealni999;p0p100;2005;1.1289775;999;i
AI;wwealni999;p0p100;2006;1.1907696;999;i
AI;wwealni999;p0p100;2007;1.1311079;999;i
AI;wwealni999;p0p100;2008;1.1311443;999;i
AI;wwealni999;p0p100;2009;1.1729823;999;i
AI;wwealni999;p0p100;2010;1.3234291;999;i
AI;wwealni999;p0p100;2011;1.4771999;999;i
AI;wwealni999;p0p100;2012;1.5870585;999;i
AI;wwealni999;p0p100;2013;1.1906955;999;i
AI;wwealni999;p0p100;2014;0.83205163;999;i
AI;wwealni999;p0p100;2015;0.93160939;999;i
AI;wwealni999;p0p100;2016;0.98501879;999;i
AI;wwealni999;p0p100;2017;0.85131001;999;i
AI;wwealni999;p0p100;2018;0.93662906;999;i
AI;wwealni999;p0p100;2019;0.96307689;999;i
AI;wwealni999;p0p100;2020;0.97422576;999;i
AI;wwealni999;p0p100;2021;1.119399;999;i
AI;wwealni999;p0p100;2022;1.2810545;999;i
AI;mgweali999;p0p100;1995;242102144;999;i
AI;mgweali999;p0p100;1996;259721984;999;i
AI;mgweali999;p0p100;1997;277831776;999;i
AI;mgweali999;p0p100;1998;308492576;999;i
AI;mgweali999;p0p100;1999;316880128;999;i
AI;mgweali999;p0p100;2000;295792512;999;i
AI;mgweali999;p0p100;2001;309235808;999;i
AI;mgweali999;p0p100;2002;325730944;999;i
AI;mgweali999;p0p100;2003;358167328;999;i
AI;mgweali999;p0p100;2004;446620384;999;i
AI;mgweali999;p0p100;2005;602000128;999;i
AI;mgweali999;p0p100;2006;771882816;999;i
AI;mgweali999;p0p100;2007;867321664;999;i
AI;mgweali999;p0p100;2008;814200512;999;i
AI;mgweali999;p0p100;2009;617844224;999;i
AI;mgweali999;p0p100;2010;629996224;999;i
AI;mgweali999;p0p100;2011;696988352;999;i
AI;mgweali999;p0p100;2012;668986688;999;i
AI;mgweali999;p0p100;2013;571466368;999;i
AI;mgweali999;p0p100;2014;502136032;999;i
AI;mgweali999;p0p100;2015;560516736;999;i
AI;mgweali999;p0p100;2016;549259328;999;i
AI;mgweali999;p0p100;2017;365453184;999;i
AI;mgweali999;p0p100;2018;423118432;999;i
AI;mgweali999;p0p100;2019;389123872;999;i
AI;mgweali999;p0p100;2020;32092572;999;i
AI;mgweali999;p0p100;2021;98267288;999;i
AI;mgweali999;p0p100;2022;149291056;999;i
AI;mnweali999;p0p100;1995;401553024;999;i
AI;mnweali999;p0p100;1996;427079872;999;i
AI;mnweali999;p0p100;1997;434568096;999;i
AI;mnweali999;p0p100;1998;468930912;999;i
AI;mnweali999;p0p100;1999;467136800;999;i
AI;mnweali999;p0p100;2000;414819968;999;i
AI;mnweali999;p0p100;2001;422959200;999;i
AI;mnweali999;p0p100;2002;456586880;999;i
AI;mnweali999;p0p100;2003;496384992;999;i
AI;mnweali999;p0p100;2004;621741760;999;i
AI;mnweali999;p0p100;2005;892355648;999;i
AI;mnweali999;p0p100;2006;1153636352;999;i
AI;mnweali999;p0p100;2007;1228755712;999;i
AI;mnweali999;p0p100;2008;1168746624;999;i
AI;mnweali999;p0p100;2009;957391808;999;i
AI;mnweali999;p0p100;2010;1070943104;999;i
AI;mnweali999;p0p100;2011;1241575296;999;i
