country;variable;percentile;year;value;age;pop
AS;andproi999;p0p100;2002;16800.3;999;i
AS;andproi999;p0p100;2003;17060.8;999;i
AS;andproi999;p0p100;2004;17244.7;999;i
AS;andproi999;p0p100;2005;17296.2;999;i
AS;andproi999;p0p100;2006;16640.3;999;i
AS;andproi999;p0p100;2007;17165.9;999;i
AS;andproi999;p0p100;2008;16836.7;999;i
AS;andproi999;p0p100;2009;16235.6;999;i
AS;andproi999;p0p100;2010;16487.2;999;i
AS;andproi999;p0p100;2011;16690.1;999;i
AS;andproi999;p0p100;2012;16085.8;999;i
AS;andproi999;p0p100;2013;15857.2;999;i
AS;andproi999;p0p100;2014;16431.3;999;i
AS;andproi999;p0p100;2015;17312.7;999;i
AS;andproi999;p0p100;2016;17308.3;999;i
AS;andproi999;p0p100;2017;16267.3;999;i
AS;andproi999;p0p100;2018;17125;999;i
AS;andproi999;p0p100;2019;17406.1;999;i
AS;andproi999;p0p100;2020;18694.9;999;i
AS;andproi999;p0p100;2021;18954.7;999;i
AS;andproi999;p0p100;2022;19612.3;999;i
AS;andproi999;p0p100;2023;20114.2;999;i
AS;anninci992;p0p100;2002;32444.6;992;i
AS;anninci992;p0p100;2003;32678.3;992;i
AS;anninci992;p0p100;2004;32773.1;992;i
AS;anninci992;p0p100;2005;32652.3;992;i
AS;anninci992;p0p100;2006;31260.5;992;i
AS;anninci992;p0p100;2007;32125.1;992;i
AS;anninci992;p0p100;2008;31414.5;992;i
AS;anninci992;p0p100;2009;30211;992;i
AS;anninci992;p0p100;2010;30435.8;992;i
AS;anninci992;p0p100;2011;30364.4;992;i
AS;anninci992;p0p100;2012;28765.7;992;i
AS;anninci992;p0p100;2013;27829.9;992;i
AS;anninci992;p0p100;2014;28302.6;992;i
AS;anninci992;p0p100;2015;29302.1;992;i
AS;anninci992;p0p100;2016;28833.7;992;i
AS;anninci992;p0p100;2017;26712.4;992;i
AS;anninci992;p0p100;2018;27737.2;992;i
AS;anninci992;p0p100;2019;27821.1;992;i
AS;anninci992;p0p100;2020;29491.1;992;i
AS;anninci992;p0p100;2021;29509.6;992;i
AS;anninci992;p0p100;2022;30332.4;992;i
AS;anninci992;p0p100;2023;31110.7;992;i
AS;anweali992;p0p100;2002;36000.8;992;i
AS;anweali992;p0p100;2003;39702.10000000001;992;i
AS;anweali992;p0p100;2004;43465.60000000001;992;i
AS;anweali992;p0p100;2005;47053.7;992;i
AS;anweali992;p0p100;2006;48595.4;992;i
AS;anweali992;p0p100;2007;53338.3;992;i
AS;anweali992;p0p100;2008;55099;992;i
AS;anweali992;p0p100;2009;55402.2;992;i
AS;anweali992;p0p100;2010;57858.4;992;i
AS;anweali992;p0p100;2011;59516.5;992;i
AS;anweali992;p0p100;2012;58007;992;i
AS;anweali992;p0p100;2013;57747.9;992;i
AS;anweali992;p0p100;2014;60537.8;992;i
AS;anweali992;p0p100;2015;64779;992;i
AS;anweali992;p0p100;2016;66084.2;992;i
AS;anweali992;p0p100;2017;63663.2;992;i
AS;anweali992;p0p100;2018;68918.8;992;i
AS;anweali992;p0p100;2019;72188.90000000001;992;i
AS;anweali992;p0p100;2020;79920.3;992;i
AS;anweali992;p0p100;2021;83360.6;992;i
AS;anweali992;p0p100;2022;89139.3;992;i
AS;anweali999;p0p100;2002;18641.8;999;i
AS;anweali999;p0p100;2003;20727.8;999;i
AS;anweali999;p0p100;2004;22871;999;i
AS;anweali999;p0p100;2005;24924.8;999;i
AS;anweali999;p0p100;2006;25867.9;999;i
AS;anweali999;p0p100;2007;28501.1;999;i
AS;anweali999;p0p100;2008;29530.5;999;i
AS;anweali999;p0p100;2009;29773.4;999;i
AS;anweali999;p0p100;2010;31342.2;999;i
AS;anweali999;p0p100;2011;32713.8;999;i
AS;anweali999;p0p100;2012;32437.5;999;i
AS;anweali999;p0p100;2013;32904.1;999;i
AS;anweali999;p0p100;2014;35145.7;999;i
AS;anweali999;p0p100;2015;38273.7;999;i
AS;anweali999;p0p100;2016;39669.10000000001;999;i
AS;anweali999;p0p100;2017;38769.7;999;i
AS;anweali999;p0p100;2018;42550.5;999;i
AS;anweali999;p0p100;2019;45164.4;999;i
AS;anweali999;p0p100;2020;50662.8;999;i
AS;anweali999;p0p100;2021;53544.4;999;i
AS;anweali999;p0p100;2022;57635.60000000001;999;i
AS;apweali992;p0p100;2002;29059.7;992;i
AS;apweali992;p0p100;2003;31471.9;992;i
AS;apweali992;p0p100;2004;33913.2;992;i
AS;apweali992;p0p100;2005;36234.7;992;i
AS;apweali992;p0p100;2006;37057;992;i
AS;apweali992;p0p100;2007;40431.3;992;i
AS;apweali992;p0p100;2008;41685.10000000001;992;i
AS;apweali992;p0p100;2009;41999;992;i
AS;apweali992;p0p100;2010;44101.5;992;i
AS;apweali992;p0p100;2011;45749.2;992;i
AS;apweali992;p0p100;2012;45077.10000000001;992;i
