country;variable;percentile;year;value;age;pop
BB;ehfghgi999;p0p100;1980;1.06356020548267;999;i
BB;ehfghgi999;p0p100;1981;1.07497055541661;999;i
BB;ehfghgi999;p0p100;1982;1.08564663030595;999;i
BB;ehfghgi999;p0p100;1983;1.12404331157715;999;i
BB;ehfghgi999;p0p100;1984;1.14749250798822;999;i
BB;ehfghgi999;p0p100;1985;1.1855329721767;999;i
BB;ehfghgi999;p0p100;1986;1.22077047949182;999;i
BB;ehfghgi999;p0p100;1987;1.24507465204138;999;i
BB;ehfghgi999;p0p100;1988;1.2571286782684;999;i
BB;ehfghgi999;p0p100;1989;1.26319516647629;999;i
BB;ehfghgi999;p0p100;1990;1.28095736901077;999;i
BB;ehfghgi999;p0p100;1991;1.32171663133894;999;i
BB;ehfghgi999;p0p100;1992;1.34168457327716;999;i
BB;ehfghgi999;p0p100;1993;1.36428613579321;999;i
BB;ehfghgi999;p0p100;1994;1.32523265006301;999;i
BB;ehfghgi999;p0p100;1995;1.35428246201673;999;i
BB;ehfghgi999;p0p100;1996;1.37461128505048;999;i
BB;ehfghgi999;p0p100;1997;1.42625315620895;999;i
BB;ehfghgi999;p0p100;1998;1.46959291790275;999;i
BB;ehfghgi999;p0p100;1999;1.49314787890742;999;i
BB;ehfghgi999;p0p100;2000;1.5183727480497;999;i
BB;ehfghgi999;p0p100;2001;1.54338614859196;999;i
BB;ehfghgi999;p0p100;2002;1.55602709987287;999;i
BB;ehfghgi999;p0p100;2003;1.52850667190999;999;i
BB;ehfghgi999;p0p100;2004;1.54249903404492;999;i
BB;ehfghgi999;p0p100;2005;1.55501390463384;999;i
BB;ehfghgi999;p0p100;2006;1.55781126034654;999;i
BB;ehfghgi999;p0p100;2007;1.56548271592596;999;i
BB;ehfghgi999;p0p100;2008;1.60871812599109;999;i
BB;ehfghgi999;p0p100;2009;1.62103079841366;999;i
BB;ehfghgi999;p0p100;2010;1.62568288772862;999;i
BB;ehfghgi999;p0p100;2011;1.64741578743229;999;i
BB;ehfghgi999;p0p100;2012;1.67441966818631;999;i
BB;ehfghgi999;p0p100;2013;1.66986294039883;999;i
BB;ehfghgi999;p0p100;2014;1.66540298975725;999;i
BB;ehfghgi999;p0p100;2015;1.69376981006072;999;i
BB;ehfghgi999;p0p100;2016;1.7091346205797;999;i
BB;ehfghgi999;p0p100;2017;1.72449943109867;999;i
BB;ehfghgi999;p0p100;2018;1.73986424161766;999;i
BB;ehfghgi999;p0p100;2019;1.75522905213663;999;i
BB;ehfghgi999;p0p100;2020;1.6674675995298;999;i
BB;ehfghoi999;p0p100;1990;0.233640975533084;999;i
BB;ehfghoi999;p0p100;1991;0.238995065200703;999;i
BB;ehfghoi999;p0p100;1992;0.24536595099238;999;i
BB;ehfghoi999;p0p100;1993;0.247073856411081;999;i
BB;ehfghoi999;p0p100;1994;0.243186523963412;999;i
BB;ehfghoi999;p0p100;1995;0.247560179861146;999;i
BB;ehfghoi999;p0p100;1996;0.250443450698097;999;i
BB;ehfghoi999;p0p100;1997;0.256735136212758;999;i
BB;ehfghoi999;p0p100;1998;0.258288050244371;999;i
BB;ehfghoi999;p0p100;1999;0.260878604842116;999;i
BB;ehfghoi999;p0p100;2000;0.265967321514985;999;i
BB;ehfghoi999;p0p100;2001;0.268389484581021;999;i
BB;ehfghoi999;p0p100;2002;0.269129452290166;999;i
BB;ehfghoi999;p0p100;2003;0.266793707807639;999;i
BB;ehfghoi999;p0p100;2004;0.271354771440026;999;i
BB;ehfghoi999;p0p100;2005;0.274309771438533;999;i
BB;ehfghoi999;p0p100;2006;0.275510197345011;999;i
BB;ehfghoi999;p0p100;2007;0.277968082799742;999;i
BB;ehfghoi999;p0p100;2008;0.285501987956728;999;i
BB;ehfghoi999;p0p100;2009;0.28794358885397;999;i
BB;ehfghoi999;p0p100;2010;0.289643666240757;999;i
BB;ehfghoi999;p0p100;2011;0.289422763046995;999;i
BB;ehfghoi999;p0p100;2012;0.295264959133168;999;i
BB;ehfghoi999;p0p100;2013;0.294827515686286;999;i
BB;ehfghoi999;p0p100;2014;0.297548207207902;999;i
BB;ehfghoi999;p0p100;2015;0.301569688607119;999;i
BB;ehfghoi999;p0p100;2016;0.304305338455282;999;i
BB;ehfghoi999;p0p100;2017;0.307040988303445;999;i
BB;ehfghoi999;p0p100;2018;0.309776638151608;999;i
BB;ehfghoi999;p0p100;2019;0.312512287999771;999;i
BB;ehfghoi999;p0p100;2020;0.296886673599782;999;i
BB;enfcari999;p0p100;1990;1.72392586252523;999;i
BB;enfcari999;p0p100;1991;1.7441509634199;999;i
BB;enfcari999;p0p100;1992;1.76437606431456;999;i
BB;enfcari999;p0p100;1993;1.78460116520922;999;i
BB;enfcari999;p0p100;1994;1.80482626610388;999;i
BB;enfcari999;p0p100;1995;1.82505136699854;999;i
BB;enfcari999;p0p100;1996;1.84527646789321;999;i
BB;enfcari999;p0p100;1997;1.86550156878787;999;i
BB;enfcari999;p0p100;1998;1.88572666968253;999;i
BB;enfcari999;p0p100;1999;1.90595177057719;999;i
BB;enfcari999;p0p100;2000;1.92617687147185;999;i
BB;enfcari999;p0p100;2001;1.94640197236651;999;i
BB;enfcari999;p0p100;2002;1.96662707326118;999;i
BB;enfcari999;p0p100;2003;1.98685217415584;999;i
