country;variable;percentile;year;value;age;pop
BQ;npopulf001;p0p100;1950;479;001;f
BQ;npopulf001;p0p100;1951;481;001;f
BQ;npopulf001;p0p100;1952;485;001;f
BQ;npopulf001;p0p100;1953;496;001;f
BQ;npopulf001;p0p100;1954;527;001;f
BQ;npopulf001;p0p100;1955;547;001;f
BQ;npopulf001;p0p100;1956;540;001;f
BQ;npopulf001;p0p100;1957;537;001;f
BQ;npopulf001;p0p100;1958;543;001;f
BQ;npopulf001;p0p100;1959;562;001;f
BQ;npopulf001;p0p100;1960;577;001;f
BQ;npopulf001;p0p100;1961;575;001;f
BQ;npopulf001;p0p100;1962;570;001;f
BQ;npopulf001;p0p100;1963;570;001;f
BQ;npopulf001;p0p100;1964;574;001;f
BQ;npopulf001;p0p100;1965;585;001;f
BQ;npopulf001;p0p100;1966;604;001;f
BQ;npopulf001;p0p100;1967;624;001;f
BQ;npopulf001;p0p100;1968;641;001;f
BQ;npopulf001;p0p100;1969;653;001;f
BQ;npopulf001;p0p100;1970;655;001;f
BQ;npopulf001;p0p100;1971;647;001;f
BQ;npopulf001;p0p100;1972;623;001;f
BQ;npopulf001;p0p100;1973;589;001;f
BQ;npopulf001;p0p100;1974;566;001;f
BQ;npopulf001;p0p100;1975;561;001;f
BQ;npopulf001;p0p100;1976;571;001;f
BQ;npopulf001;p0p100;1977;586;001;f
BQ;npopulf001;p0p100;1978;600;001;f
BQ;npopulf001;p0p100;1979;607;001;f
BQ;npopulf001;p0p100;1980;606;001;f
BQ;npopulf001;p0p100;1981;599;001;f
BQ;npopulf001;p0p100;1982;590;001;f
BQ;npopulf001;p0p100;1983;588;001;f
BQ;npopulf001;p0p100;1984;589;001;f
BQ;npopulf001;p0p100;1985;593;001;f
BQ;npopulf001;p0p100;1986;597;001;f
BQ;npopulf001;p0p100;1987;598;001;f
BQ;npopulf001;p0p100;1988;596;001;f
BQ;npopulf001;p0p100;1989;596;001;f
BQ;npopulf001;p0p100;1990;593;001;f
BQ;npopulf001;p0p100;1991;588;001;f
BQ;npopulf001;p0p100;1992;581;001;f
BQ;npopulf001;p0p100;1993;576;001;f
BQ;npopulf001;p0p100;1994;577;001;f
BQ;npopulf001;p0p100;1995;582;001;f
BQ;npopulf001;p0p100;1996;588;001;f
BQ;npopulf001;p0p100;1997;592;001;f
BQ;npopulf001;p0p100;1998;593;001;f
BQ;npopulf001;p0p100;1999;593;001;f
