country;variable;percentile;year;value;age;pop
CK;agpsgoi999;p0p100;1992;2326.2;999;i
CK;agpsgoi999;p0p100;1993;2432.5;999;i
CK;agpsgoi999;p0p100;1994;3014.9;999;i
CK;agpsgoi999;p0p100;1995;2376.8;999;i
CK;agpsgoi999;p0p100;1996;2399.7;999;i
CK;agpsgoi999;p0p100;1997;1602.8;999;i
CK;agpsgoi999;p0p100;1998;1705.6;999;i
CK;agpsgoi999;p0p100;1999;1568.8;999;i
CK;agpsgoi999;p0p100;2000;1165.2;999;i
CK;agpsgoi999;p0p100;2001;1884.9;999;i
CK;agpsgoi999;p0p100;2002;1762.7;999;i
CK;agpsgoi999;p0p100;2003;1685.4;999;i
CK;agpsgoi999;p0p100;2004;1564.2;999;i
CK;agpsgoi999;p0p100;2005;2048;999;i
CK;agpsgoi999;p0p100;2006;2363.4;999;i
CK;agpsgoi999;p0p100;2007;2252.5;999;i
CK;agpsgoi999;p0p100;2008;2034.8;999;i
CK;aheagoi999;p0p100;1992;800.8000000000001;999;i
CK;aheagoi999;p0p100;1993;842.9000000000001;999;i
CK;aheagoi999;p0p100;1994;767.4000000000001;999;i
CK;aheagoi999;p0p100;1995;875.7;999;i
CK;aheagoi999;p0p100;1996;765.2;999;i
CK;aheagoi999;p0p100;1997;624.1;999;i
CK;aheagoi999;p0p100;1998;681.1;999;i
CK;aheagoi999;p0p100;1999;601.5;999;i
CK;aheagoi999;p0p100;2000;780.9000000000001;999;i
CK;aheagoi999;p0p100;2001;1159.3;999;i
CK;aheagoi999;p0p100;2002;1085.8;999;i
CK;aheagoi999;p0p100;2003;1024.6;999;i
CK;aheagoi999;p0p100;2004;985.6;999;i
CK;aheagoi999;p0p100;2005;1163.7;999;i
CK;aheagoi999;p0p100;2006;1091;999;i
CK;aheagoi999;p0p100;2007;1120;999;i
CK;aheagoi999;p0p100;2008;1096.8;999;i
CK;npopuli251;p0p100;1950;1033;251;i
CK;npopuli251;p0p100;1951;1053;251;i
CK;npopuli251;p0p100;1952;1052;251;i
CK;npopuli251;p0p100;1953;1051;251;i
CK;npopuli251;p0p100;1954;1059;251;i
CK;npopuli251;p0p100;1955;1077;251;i
CK;npopuli251;p0p100;1956;1100;251;i
CK;npopuli251;p0p100;1957;1119;251;i
CK;npopuli251;p0p100;1958;1132;251;i
CK;npopuli251;p0p100;1959;1138;251;i
CK;npopuli251;p0p100;1960;1142;251;i
CK;npopuli251;p0p100;1961;1147;251;i
CK;npopuli251;p0p100;1962;1148;251;i
CK;npopuli251;p0p100;1963;1144;251;i
CK;npopuli251;p0p100;1964;1133;251;i
CK;npopuli251;p0p100;1965;1110;251;i
CK;npopuli251;p0p100;1966;1084;251;i
CK;npopuli251;p0p100;1967;1078;251;i
CK;npopuli251;p0p100;1968;1091;251;i
CK;npopuli251;p0p100;1969;1112;251;i
CK;npopuli251;p0p100;1970;1131;251;i
CK;npopuli251;p0p100;1971;1144;251;i
CK;npopuli251;p0p100;1972;1138;251;i
CK;npopuli251;p0p100;1973;1110;251;i
CK;npopuli251;p0p100;1974;1068;251;i
CK;npopuli251;p0p100;1975;1009;251;i
CK;npopuli251;p0p100;1976;929;251;i
CK;npopuli251;p0p100;1977;882;251;i
CK;npopuli251;p0p100;1978;874;251;i
CK;npopuli251;p0p100;1979;868;251;i
CK;npopuli251;p0p100;1980;877;251;i
CK;npopuli251;p0p100;1981;890;251;i
CK;npopuli251;p0p100;1982;901;251;i
CK;npopuli251;p0p100;1983;929;251;i
CK;npopuli251;p0p100;1984;975;251;i
CK;npopuli251;p0p100;1985;1020;251;i
CK;npopuli251;p0p100;1986;1069;251;i
CK;npopuli251;p0p100;1987;1138;251;i
CK;npopuli251;p0p100;1988;1213;251;i
CK;npopuli251;p0p100;1989;1281;251;i
CK;npopuli251;p0p100;1990;1341;251;i
CK;npopuli251;p0p100;1991;1385;251;i
CK;npopuli251;p0p100;1992;1426;251;i
CK;npopuli251;p0p100;1993;1464;251;i
CK;npopuli251;p0p100;1994;1491;251;i
CK;npopuli251;p0p100;1995;1494;251;i
CK;npopuli251;p0p100;1996;1473;251;i
CK;npopuli251;p0p100;1997;1425;251;i
CK;npopuli251;p0p100;1998;1355;251;i
CK;npopuli251;p0p100;1999;1272;251;i
CK;npopuli251;p0p100;2000;1177;251;i
CK;npopuli251;p0p100;2001;1064;251;i
CK;npopuli251;p0p100;2002;993;251;i
CK;npopuli251;p0p100;2003;979;251;i
CK;npopuli251;p0p100;2004;960;251;i
CK;npopuli251;p0p100;2005;940;251;i
CK;npopuli251;p0p100;2006;928;251;i
CK;npopuli251;p0p100;2007;950;251;i
CK;npopuli251;p0p100;2008;1010;251;i
CK;npopuli251;p0p100;2009;1084;251;i
CK;npopuli251;p0p100;2010;1167;251;i
CK;npopuli251;p0p100;2011;1242;251;i
CK;npopuli251;p0p100;2012;1267;251;i
CK;npopuli251;p0p100;2013;1242;251;i
CK;npopuli251;p0p100;2014;1216;251;i
CK;npopuli251;p0p100;2015;1200;251;i
CK;npopuli251;p0p100;2016;1182;251;i
CK;npopuli251;p0p100;2017;1160;251;i
CK;npopuli251;p0p100;2018;1146;251;i
CK;npopuli251;p0p100;2019;1142;251;i
CK;npopuli251;p0p100;2020;1140;251;i
CK;npopuli251;p0p100;2021;1138;251;i
CK;npopuli251;p0p100;2022;1132;251;i
CK;npopuli251;p0p100;2023;1121;251;i
CK;npopulm202;p0p100;1950;1154;202;m
CK;npopulm202;p0p100;1951;1174;202;m
CK;npopulm202;p0p100;1952;1190;202;m
CK;npopulm202;p0p100;1953;1212;202;m
CK;npopulm202;p0p100;1954;1245;202;m
CK;npopulm202;p0p100;1955;1292;202;m
CK;npopulm202;p0p100;1956;1344;202;m
CK;npopulm202;p0p100;1957;1383;202;m
CK;npopulm202;p0p100;1958;1403;202;m
CK;npopulm202;p0p100;1959;1409;202;m
CK;npopulm202;p0p100;1960;1397;202;m
CK;npopulm202;p0p100;1961;1373;202;m
CK;npopulm202;p0p100;1962;1340;202;m
CK;npopulm202;p0p100;1963;1294;202;m
CK;npopulm202;p0p100;1964;1239;202;m
CK;npopulm202;p0p100;1965;1175;202;m
CK;npopulm202;p0p100;1966;1130;202;m
CK;npopulm202;p0p100;1967;1136;202;m
CK;npopulm202;p0p100;1968;1175;202;m
CK;npopulm202;p0p100;1969;1218;202;m
CK;npopulm202;p0p100;1970;1255;202;m
CK;npopulm202;p0p100;1971;1283;202;m
CK;npopulm202;p0p100;1972;1280;202;m
CK;npopulm202;p0p100;1973;1238;202;m
CK;npopulm202;p0p100;1974;1175;202;m
CK;npopulm202;p0p100;1975;1093;202;m
CK;npopulm202;p0p100;1976;996;202;m
CK;npopulm202;p0p100;1977;965;202;m
CK;npopulm202;p0p100;1978;1007;202;m
CK;npopulm202;p0p100;1979;1049;202;m
CK;npopulm202;p0p100;1980;1095;202;m
CK;npopulm202;p0p100;1981;1143;202;m
CK;npopulm202;p0p100;1982;1202;202;m
CK;npopulm202;p0p100;1983;1270;202;m
CK;npopulm202;p0p100;1984;1332;202;m
CK;npopulm202;p0p100;1985;1376;202;m
CK;npopulm202;p0p100;1986;1420;202;m
CK;npopulm202;p0p100;1987;1492;202;m
