country;variable;percentile;year;value;age;pop
CN-RU;ahwealj992;p0p1;1978;-1884.1;992;j
CN-RU;ahwealj992;p0p1;1979;-1992.5;992;j
CN-RU;ahwealj992;p0p1;1980;-2091;992;j
CN-RU;ahwealj992;p0p1;1981;-2296.2;992;j
CN-RU;ahwealj992;p0p1;1982;-2759.8;992;j
CN-RU;ahwealj992;p0p1;1983;-3252.8;992;j
CN-RU;ahwealj992;p0p1;1984;-3392.6;992;j
CN-RU;ahwealj992;p0p1;1985;-3471.2;992;j
CN-RU;ahwealj992;p0p1;1986;-3596.8;992;j
CN-RU;ahwealj992;p0p1;1987;-3716;992;j
CN-RU;ahwealj992;p0p1;1988;-3737.3;992;j
CN-RU;ahwealj992;p0p1;1989;-3899.7;992;j
CN-RU;ahwealj992;p0p1;1990;-4133.1;992;j
CN-RU;ahwealj992;p0p1;1991;-4100.8;992;j
CN-RU;ahwealj992;p0p1;1992;-4497.9;992;j
CN-RU;ahwealj992;p0p1;1993;-5096.3;992;j
CN-RU;ahwealj992;p0p1;1994;-5218;992;j
CN-RU;ahwealj992;p0p10;1978;335.9;992;j
CN-RU;ahwealj992;p0p10;1979;355.3;992;j
CN-RU;ahwealj992;p0p10;1980;372.9;992;j
CN-RU;ahwealj992;p0p10;1981;409.4;992;j
CN-RU;ahwealj992;p0p10;1982;492.2;992;j
CN-RU;ahwealj992;p0p10;1983;580;992;j
CN-RU;ahwealj992;p0p10;1984;605;992;j
CN-RU;ahwealj992;p0p10;1985;618.9;992;j
CN-RU;ahwealj992;p0p10;1986;641.4;992;j
CN-RU;ahwealj992;p0p10;1987;662.6;992;j
CN-RU;ahwealj992;p0p10;1988;666.4;992;j
CN-RU;ahwealj992;p0p10;1989;695.5;992;j
CN-RU;ahwealj992;p0p10;1990;737;992;j
CN-RU;ahwealj992;p0p10;1991;731.2;992;j
CN-RU;ahwealj992;p0p10;1992;802.1;992;j
CN-RU;ahwealj992;p0p10;1993;908.7;992;j
CN-RU;ahwealj992;p0p10;1994;930.3;992;j
CN-RU;ahwealj992;p0p100;1978;10187;992;j
CN-RU;ahwealj992;p0p100;1979;10774.3;992;j
CN-RU;ahwealj992;p0p100;1980;11307.7;992;j
CN-RU;ahwealj992;p0p100;1981;12414.2;992;j
CN-RU;ahwealj992;p0p100;1982;14923.8;992;j
CN-RU;ahwealj992;p0p100;1983;17588.1;992;j
CN-RU;ahwealj992;p0p100;1984;18344;992;j
CN-RU;ahwealj992;p0p100;1985;18769;992;j
CN-RU;ahwealj992;p0p100;1986;19449.4;992;j
CN-RU;ahwealj992;p0p100;1987;20092.8;992;j
CN-RU;ahwealj992;p0p100;1988;20209.1;992;j
CN-RU;ahwealj992;p0p100;1989;21089;992;j
CN-RU;ahwealj992;p0p100;1990;22348.4;992;j
CN-RU;ahwealj992;p0p100;1991;22174.2;992;j
CN-RU;ahwealj992;p0p100;1992;24322.4;992;j
CN-RU;ahwealj992;p0p100;1993;27556.4;992;j
CN-RU;ahwealj992;p0p100;1994;28211.7;992;j
CN-RU;ahwealj992;p0p50;1978;3261.6;992;j
CN-RU;ahwealj992;p0p50;1979;3449.7;992;j
CN-RU;ahwealj992;p0p50;1980;3620.4;992;j
CN-RU;ahwealj992;p0p50;1981;3974.7;992;j
