country;variable;percentile;year;value;age;pop
CN-UR;ahwealj992;p10p20;1978;3570.7;992;j
CN-UR;ahwealj992;p10p20;1979;3760.4;992;j
CN-UR;ahwealj992;p10p20;1980;3980.4;992;j
CN-UR;ahwealj992;p10p20;1981;4295.7;992;j
CN-UR;ahwealj992;p10p20;1982;5342.5;992;j
CN-UR;ahwealj992;p10p20;1983;5875.8;992;j
CN-UR;ahwealj992;p10p20;1984;6155.7;992;j
CN-UR;ahwealj992;p10p20;1985;6386;992;j
CN-UR;ahwealj992;p10p20;1986;7544.6;992;j
CN-UR;ahwealj992;p10p20;1987;7942.5;992;j
CN-UR;ahwealj992;p10p20;1988;7985.7;992;j
CN-UR;ahwealj992;p10p20;1989;8789.2;992;j
CN-UR;ahwealj992;p10p20;1990;8957.3;992;j
CN-UR;ahwealj992;p10p20;1991;9684.4;992;j
CN-UR;ahwealj992;p10p20;1992;11384.7;992;j
CN-UR;ahwealj992;p10p20;1993;13951.9;992;j
CN-UR;ahwealj992;p10p20;1994;14618;992;j
CN-UR;ahwealj992;p14p100;1978;22315.4;992;j
CN-UR;ahwealj992;p14p100;1979;23501.4;992;j
CN-UR;ahwealj992;p14p100;1980;24876;992;j
CN-UR;ahwealj992;p14p100;1981;26846.4;992;j
CN-UR;ahwealj992;p14p100;1982;33388.5;992;j
CN-UR;ahwealj992;p14p100;1983;36721.4;992;j
CN-UR;ahwealj992;p14p100;1984;38471;992;j
CN-UR;ahwealj992;p14p100;1985;39909.9;992;j
CN-UR;ahwealj992;p14p100;1986;47150.8;992;j
CN-UR;ahwealj992;p14p100;1987;49637.6;992;j
CN-UR;ahwealj992;p14p100;1988;49908.4;992;j
CN-UR;ahwealj992;p14p100;1989;54929.1;992;j
CN-UR;ahwealj992;p14p100;1990;55979.4;992;j
CN-UR;ahwealj992;p14p100;1991;60523.3;992;j
CN-UR;ahwealj992;p14p100;1992;71149.8;992;j
CN-UR;ahwealj992;p14p100;1993;87194.7;992;j
CN-UR;ahwealj992;p14p100;1994;91355.8;992;j
CN-UR;ahwealj992;p17p100;1978;22987.9;992;j
CN-UR;ahwealj992;p17p100;1979;24209.7;992;j
CN-UR;ahwealj992;p17p100;1980;25625.7;992;j
CN-UR;ahwealj992;p17p100;1981;27655.5;992;j
CN-UR;ahwealj992;p17p100;1982;34394.7;992;j
CN-UR;ahwealj992;p17p100;1983;37828.1;992;j
CN-UR;ahwealj992;p17p100;1984;39630.5;992;j
CN-UR;ahwealj992;p17p100;1985;41112.7;992;j
CN-UR;ahwealj992;p17p100;1986;48571.9;992;j
CN-UR;ahwealj992;p17p100;1987;51133.6;992;j
CN-UR;ahwealj992;p17p100;1988;51412.5;992;j
CN-UR;ahwealj992;p17p100;1989;56584.5;992;j
CN-UR;ahwealj992;p17p100;1990;57666.6;992;j
CN-UR;ahwealj992;p17p100;1991;62347.4;992;j
CN-UR;ahwealj992;p17p100;1992;73294.2;992;j
CN-UR;ahwealj992;p17p100;1993;89822.6;992;j
CN-UR;ahwealj992;p17p100;1994;94109.1;992;j
CN-UR;ahwealj992;p1p100;1978;19594.3;992;j
CN-UR;ahwealj992;p1p100;1979;20635.8;992;j
CN-UR;ahwealj992;p1p100;1980;21842.7;992;j
CN-UR;ahwealj992;p1p100;1981;23572.9;992;j
CN-UR;ahwealj992;p1p100;1982;29317.2;992;j
CN-UR;ahwealj992;p1p100;1983;32243.7;992;j
CN-UR;ahwealj992;p1p100;1984;33780;992;j
CN-UR;ahwealj992;p1p100;1985;35043.4;992;j
CN-UR;ahwealj992;p1p100;1986;41401.4;992;j
CN-UR;ahwealj992;p1p100;1987;43585;992;j
CN-UR;ahwealj992;p1p100;1988;43822.8;992;j
CN-UR;ahwealj992;p1p100;1989;48231.2;992;j
CN-UR;ahwealj992;p1p100;1990;49153.5;992;j
CN-UR;ahwealj992;p1p100;1991;53143.3;992;j
CN-UR;ahwealj992;p1p100;1992;62474.1;992;j
CN-UR;ahwealj992;p1p100;1993;76562.5;992;j
CN-UR;ahwealj992;p1p100;1994;80216.2;992;j
CN-UR;ahwealj992;p23p100;1978;24385.2;992;j
CN-UR;ahwealj992;p23p100;1979;25681.3;992;j
CN-UR;ahwealj992;p23p100;1980;27183.3;992;j
CN-UR;ahwealj992;p23p100;1981;29336.5;992;j
CN-UR;ahwealj992;p23p100;1982;36485.4;992;j
CN-UR;ahwealj992;p23p100;1983;40127.5;992;j
