country;variable;percentile;year;value;age;pop
CS;anninci999;p0p100;1950;88951.40000000001;999;i
CS;anninci999;p0p100;1951;89463.6;999;i
CS;anninci999;p0p100;1952;91400.6;999;i
CS;anninci999;p0p100;1953;89577.90000000001;999;i
CS;anninci999;p0p100;1954;92168.5;999;i
CS;anninci999;p0p100;1955;99255;999;i
CS;anninci999;p0p100;1956;103860.4;999;i
CS;anninci999;p0p100;1957;109000.2;999;i
CS;anninci999;p0p100;1958;116366.7;999;i
CS;anninci999;p0p100;1959;120256.4;999;i
CS;anninci999;p0p100;1960;128757.9;999;i
CS;anninci999;p0p100;1961;132921.9;999;i
CS;anninci999;p0p100;1962;133677.8;999;i
CS;anninci999;p0p100;1963;129727.8;999;i
CS;anninci999;p0p100;1964;135252;999;i
CS;anninci999;p0p100;1965;139450.5;999;i
CS;anninci999;p0p100;1966;144858.3;999;i
CS;anninci999;p0p100;1967;150479.9;999;i
CS;anninci999;p0p100;1968;157080.2;999;i
CS;anninci999;p0p100;1969;159091.4;999;i
CS;anninci999;p0p100;1970;161387.5;999;i
CS;anninci999;p0p100;1971;167675.1;999;i
CS;anninci999;p0p100;1972;175142.9;999;i
CS;anninci999;p0p100;1973;179816;999;i
CS;anninci999;p0p100;1974;188901.1;999;i
CS;anninci999;p0p100;1975;198795;999;i
CS;anninci999;p0p100;1976;201104.5;999;i
CS;anninci999;p0p100;1977;210629.4;999;i
CS;anninci999;p0p100;1978;217746.8;999;i
CS;anninci999;p0p100;1979;218041;999;i
CS;anninci999;p0p100;1980;221174.3;999;i
CS;anninci999;p0p100;1981;223898.1;999;i
CS;anninci999;p0p100;1982;215324.5;999;i
CS;anninci999;p0p100;1983;217547.3;999;i
CS;anninci999;p0p100;1984;226093.4;999;i
CS;anninci999;p0p100;1985;231444.3;999;i
CS;anninci999;p0p100;1986;236705.8;999;i
CS;anninci999;p0p100;1987;242608.7;999;i
CS;anninci999;p0p100;1988;250500.7;999;i
CS;anninci999;p0p100;1989;251842;999;i
CS;anninci999;p0p100;1990;248668.7;999;i
CS;mptfrni999;p0p100;1970;-123217248;999;i
CS;mptfrni999;p0p100;1971;-181973968;999;i
CS;mptfrni999;p0p100;1972;-262263088;999;i
CS;mptfrni999;p0p100;1973;-351392000;999;i
CS;mptfrni999;p0p100;1974;-407909856;999;i
CS;mptfrni999;p0p100;1975;-462461120;999;i
CS;mptfrni999;p0p100;1976;-568613120;999;i
CS;mptfrni999;p0p100;1977;-601452480;999;i
CS;mptfrni999;p0p100;1978;-734347328;999;i
CS;mptfrni999;p0p100;1979;-893205312;999;i
CS;mptfrni999;p0p100;1980;-799157952;999;i
CS;mptfrni999;p0p100;1981;-784681216;999;i
CS;mptfrni999;p0p100;1982;-762454784;999;i
CS;mptfrni999;p0p100;1983;-804813056;999;i
CS;mptfrni999;p0p100;1984;-1054196416;999;i
CS;mptfrni999;p0p100;1985;-1263698688;999;i
CS;mptfrni999;p0p100;1986;-1567594624;999;i
CS;mptfrni999;p0p100;1987;-1818534528;999;i
CS;mptfrni999;p0p100;1988;-2044717824;999;i
CS;mptfrni999;p0p100;1989;-2435858176;999;i
CS;mptfrni999;p0p100;1990;-3084589312;999;i
CS;mptfrri999;p0p100;1970;0;999;i
CS;mptfrri999;p0p100;1971;0;999;i
CS;mptfrri999;p0p100;1972;0;999;i
