country;variable;percentile;year;value;age;pop
CW;wwealgi999;p0p100;2000;0.15048805;999;i
CW;wwealgi999;p0p100;2001;0.18039687;999;i
CW;wwealgi999;p0p100;2002;0.21185941;999;i
CW;wwealgi999;p0p100;2003;0.24466422;999;i
CW;wwealgi999;p0p100;2004;0.27825519;999;i
CW;wwealgi999;p0p100;2005;0.31134123;999;i
CW;wwealgi999;p0p100;2006;0.34211689;999;i
CW;wwealgi999;p0p100;2007;0.36771378;999;i
CW;wwealgi999;p0p100;2008;0.38603926;999;i
CW;wwealgi999;p0p100;2009;0.39619514;999;i
CW;wwealgi999;p0p100;2010;0.39827186;999;i
CW;wwealgi999;p0p100;2011;0.39372689;999;i
CW;wwealgi999;p0p100;2012;0.38424671;999;i
CW;wwealgi999;p0p100;2013;0.37135568;999;i
CW;wwealgi999;p0p100;2014;0.35658062;999;i
CW;wwealgi999;p0p100;2015;0.34102744;999;i
CW;wwealgi999;p0p100;2016;0.32602891;999;i
CW;wwealgi999;p0p100;2017;0.31225902;999;i
CW;wwealgi999;p0p100;2018;0.30012745;999;i
CW;wwealgi999;p0p100;2019;0.28948173;999;i
CW;wwealgi999;p0p100;2020;0.27977884;999;i
CW;wwealgi999;p0p100;2021;0.27003136;999;i
CW;wwealgi999;p0p100;2022;0.26028243;999;i
CW;wwealni999;p0p100;2000;0.81936568;999;i
CW;wwealni999;p0p100;2001;0.90130603;999;i
CW;wwealni999;p0p100;2002;0.98732936;999;i
CW;wwealni999;p0p100;2003;1.0782045;999;i
CW;wwealni999;p0p100;2004;1.1732428;999;i
CW;wwealni999;p0p100;2005;1.2701017;999;i
CW;wwealni999;p0p100;2006;1.3677413;999;i
CW;wwealni999;p0p100;2007;1.4588492;999;i
CW;wwealni999;p0p100;2008;1.5378054;999;i
CW;wwealni999;p0p100;2009;1.5979528;999;i
CW;wwealni999;p0p100;2010;1.6491543;999;i
CW;wwealni999;p0p100;2011;1.6923215;999;i
CW;wwealni999;p0p100;2012;1.7311894;999;i
CW;wwealni999;p0p100;2013;1.7766166;999;i
CW;wwealni999;p0p100;2014;1.8240988;999;i
CW;wwealni999;p0p100;2015;1.885144;999;i
CW;wwealni999;p0p100;2016;1.9531668;999;i
CW;wwealni999;p0p100;2017;2.0334985;999;i
CW;wwealni999;p0p100;2018;2.125689;999;i
CW;wwealni999;p0p100;2019;2.229274;999;i
CW;wwealni999;p0p100;2020;2.3403814;999;i
CW;wwealni999;p0p100;2021;2.4522851;999;i
CW;wwealni999;p0p100;2022;2.5647109;999;i
CW;wwealpi999;p0p100;2000;0.66887766;999;i
CW;wwealpi999;p0p100;2001;0.72090918;999;i
CW;wwealpi999;p0p100;2002;0.77546996;999;i
CW;wwealpi999;p0p100;2003;0.83354026;999;i
CW;wwealpi999;p0p100;2004;0.8949877;999;i
CW;wwealpi999;p0p100;2005;0.95876044;999;i
CW;wwealpi999;p0p100;2006;1.0256244;999;i
CW;wwealpi999;p0p100;2007;1.0911355;999;i
CW;wwealpi999;p0p100;2008;1.1517662;999;i
CW;wwealpi999;p0p100;2009;1.2017576;999;i
CW;wwealpi999;p0p100;2010;1.2508825;999;i
CW;wwealpi999;p0p100;2011;1.2985946;999;i
CW;wwealpi999;p0p100;2012;1.3469427;999;i
CW;wwealpi999;p0p100;2013;1.405261;999;i
CW;wwealpi999;p0p100;2014;1.467518;999;i
CW;wwealpi999;p0p100;2015;1.5441165;999;i
CW;wwealpi999;p0p100;2016;1.6271379;999;i
CW;wwealpi999;p0p100;2017;1.7212394;999;i
