country;variable;percentile;year;value;age;pop
DD;acaincj992;p44p45;1980;19410.6;992;j
DD;acaincj992;p44p45;1981;19817.4;992;j
DD;acaincj992;p44p45;1982;19372.6;992;j
DD;acaincj992;p44p45;1983;19159.5;992;j
DD;acaincj992;p44p45;1984;19054.4;992;j
DD;acaincj992;p44p45;1985;19078.8;992;j
DD;acaincj992;p44p45;1986;19001.2;992;j
DD;acaincj992;p44p45;1987;19037.2;992;j
DD;acaincj992;p44p45;1988;19204.1;992;j
DD;acaincj992;p44p45;1989;20107;992;j
DD;acaincj992;p44p45;1990;17656;992;j
DD;acaincj992;p45p100;1980;26647.4;992;j
DD;acaincj992;p45p100;1981;27358.5;992;j
DD;acaincj992;p45p100;1982;26897.7;992;j
DD;acaincj992;p45p100;1983;26752.3;992;j
DD;acaincj992;p45p100;1984;26811.8;992;j
DD;acaincj992;p45p100;1985;27058.8;992;j
DD;acaincj992;p45p100;1986;27007.9;992;j
DD;acaincj992;p45p100;1987;27113.9;992;j
DD;acaincj992;p45p100;1988;27411.6;992;j
DD;acaincj992;p45p100;1989;28700.2;992;j
DD;acaincj992;p45p100;1990;25201.8;992;j
DD;acaincj992;p93p94;1980;33578.9;992;j
DD;acaincj992;p93p94;1981;34391.7;992;j
DD;acaincj992;p93p94;1982;33745.4;992;j
DD;acaincj992;p93p94;1983;33505.6;992;j
DD;acaincj992;p93p94;1984;33655.3;992;j
DD;acaincj992;p93p94;1985;34042.5;992;j
DD;acaincj992;p93p94;1986;33909;992;j
DD;acaincj992;p93p94;1987;33969.7;992;j
DD;acaincj992;p93p94;1988;34272.6;992;j
DD;acaincj992;p93p94;1989;35883.9;992;j
DD;acaincj992;p93p94;1990;31509.8;992;j
DD;acaincj992;p99.992p100;1980;71511.7;992;j
DD;acaincj992;p99.992p100;1981;101422.6;992;j
DD;acaincj992;p99.992p100;1982;138387.4;992;j
DD;acaincj992;p99.992p100;1983;188582;992;j
DD;acaincj992;p99.992p100;1984;232107.5;992;j
DD;acaincj992;p99.992p100;1985;282844.8;992;j
DD;acaincj992;p99.992p100;1986;306779.2;992;j
DD;acaincj992;p99.992p100;1987;336140.3;992;j
DD;acaincj992;p99.992p100;1988;366151.4;992;j
DD;acaincj992;p99.992p100;1989;383364.9;992;j
DD;acaincj992;p99.992p100;1990;336634.7;992;j
DD;aptincj992;p38p39;1980;25826.2;992;j
DD;aptincj992;p38p39;1981;26437.8;992;j
DD;aptincj992;p38p39;1982;25909.2;992;j
DD;aptincj992;p38p39;1983;25686.1;992;j
DD;aptincj992;p38p39;1984;25583.9;992;j
DD;aptincj992;p38p39;1985;25658.4;992;j
DD;aptincj992;p38p39;1986;25565.6;992;j
DD;aptincj992;p38p39;1987;25622.4;992;j
DD;aptincj992;p38p39;1988;25865;992;j
DD;aptincj992;p38p39;1989;27085.7;992;j
DD;aptincj992;p38p39;1990;23787.4;992;j
DD;aptincj992;p45p46;1980;28411.8;992;j
DD;aptincj992;p45p46;1981;29115.4;992;j
DD;aptincj992;p45p46;1982;28568.3;992;j
DD;aptincj992;p45p46;1983;28353;992;j
DD;aptincj992;p45p46;1984;28213.5;992;j
DD;aptincj992;p45p46;1985;28265.7;992;j
DD;aptincj992;p45p46;1986;28229.3;992;j
DD;aptincj992;p45p46;1987;28358.2;992;j
DD;aptincj992;p45p46;1988;28690.1;992;j
DD;aptincj992;p45p46;1989;30043.9;992;j
DD;aptincj992;p45p46;1990;26388.5;992;j
DD;aptincj992;p0p19;1980;1178.5;992;j
DD;aptincj992;p0p19;1981;1220.7;992;j
DD;aptincj992;p0p19;1982;1211.9;992;j
DD;aptincj992;p0p19;1983;1218.6;992;j
DD;aptincj992;p0p19;1984;1206.8;992;j
DD;aptincj992;p0p19;1985;1203.9;992;j
DD;aptincj992;p0p19;1986;1194.4;992;j
DD;aptincj992;p0p19;1987;1192.2;992;j
DD;aptincj992;p0p19;1988;1198.1;992;j
DD;aptincj992;p0p19;1989;1254.7;992;j
DD;aptincj992;p0p19;1990;1101.8;992;j
DD;aptincj992;p13p14;1980;10202.6;992;j
DD;aptincj992;p13p14;1981;10567.3;992;j
DD;aptincj992;p13p14;1982;10491.7;992;j
DD;aptincj992;p13p14;1983;10549.5;992;j
DD;aptincj992;p13p14;1984;10446.9;992;j
DD;aptincj992;p13p14;1985;10421.8;992;j
DD;aptincj992;p13p14;1986;10339.7;992;j
DD;aptincj992;p13p14;1987;10320.9;992;j
DD;aptincj992;p13p14;1988;10371.9;992;j
DD;aptincj992;p13p14;1989;10861.5;992;j
DD;aptincj992;p13p14;1990;9538.800000000001;992;j
DD;aptincj992;p99.98p99.99;1980;99991.20000000001;992;j
DD;aptincj992;p99.98p99.99;1981;127749.3;992;j
DD;aptincj992;p99.98p99.99;1982;155873.5;992;j
DD;aptincj992;p99.98p99.99;1983;189191.1;992;j
DD;aptincj992;p99.98p99.99;1984;217072.9;992;j
DD;aptincj992;p99.98p99.99;1985;246774.4;992;j
DD;aptincj992;p99.98p99.99;1986;261155.8;992;j
DD;aptincj992;p99.98p99.99;1987;279064.3;992;j
DD;aptincj992;p99.98p99.99;1988;298122.3;992;j
DD;aptincj992;p99.98p99.99;1989;312422.7;992;j
DD;aptincj992;p99.98p99.99;1990;274346.1;992;j
DD;aptincj992;p0p96;1980;26329;992;j
DD;aptincj992;p0p96;1981;27034.9;992;j
DD;aptincj992;p0p96;1982;26583.6;992;j
DD;aptincj992;p0p96;1983;26445;992;j
DD;aptincj992;p0p96;1984;26371.7;992;j
DD;aptincj992;p0p96;1985;26481.1;992;j
DD;aptincj992;p0p96;1986;26403.5;992;j
DD;aptincj992;p0p96;1987;26482.2;992;j
DD;aptincj992;p0p96;1988;26749.2;992;j
DD;aptincj992;p0p96;1989;28011.6;992;j
DD;aptincj992;p0p96;1990;24601.6;992;j
DD;aptincj992;p99.92p100;1980;94400.1;992;j
DD;aptincj992;p99.92p100;1981;117264.7;992;j
DD;aptincj992;p99.92p100;1982;139573.1;992;j
DD;aptincj992;p99.92p100;1983;166259.9;992;j
DD;aptincj992;p99.92p100;1984;188920.3;992;j
DD;aptincj992;p99.92p100;1985;213298;992;j
DD;aptincj992;p99.92p100;1986;225118.7;992;j
DD;aptincj992;p99.92p100;1987;239899.2;992;j
DD;aptincj992;p99.92p100;1988;255734.3;992;j
DD;aptincj992;p99.92p100;1989;267991.8;992;j
DD;aptincj992;p99.92p100;1990;235332.5;992;j
DD;aptincj992;p61p100;1980;42274;992;j
DD;aptincj992;p61p100;1981;43639.5;992;j
DD;aptincj992;p61p100;1982;43139.10000000001;992;j
DD;aptincj992;p61p100;1983;43138.4;992;j
DD;aptincj992;p61p100;1984;43356;992;j
DD;aptincj992;p61p100;1985;43876.5;992;j
DD;aptincj992;p61p100;1986;43909.10000000001;992;j
DD;aptincj992;p61p100;1987;44201.5;992;j
DD;aptincj992;p61p100;1988;44811.8;992;j
DD;aptincj992;p61p100;1989;46925.60000000001;992;j
DD;aptincj992;p61p100;1990;41214.10000000001;992;j
DD;aptincj992;p0p67;1980;14200.4;992;j
DD;aptincj992;p0p67;1981;14578.9;992;j
DD;aptincj992;p0p67;1982;14333.6;992;j
DD;aptincj992;p0p67;1983;14258;992;j
DD;aptincj992;p0p67;1984;14177.5;992;j
DD;aptincj992;p0p67;1985;14195.2;992;j
DD;aptincj992;p0p67;1986;14149.7;992;j
DD;aptincj992;p0p67;1987;14188;992;j
DD;aptincj992;p0p67;1988;14327.3;992;j
DD;aptincj992;p0p67;1989;15003.5;992;j
DD;aptincj992;p0p67;1990;13176.9;992;j
DD;aptincj992;p99.96p99.97;1980;93095.5;992;j
DD;aptincj992;p99.96p99.97;1981;113778.4;992;j
DD;aptincj992;p99.96p99.97;1982;132495;992;j
DD;aptincj992;p99.96p99.97;1983;153970.3;992;j
DD;aptincj992;p99.96p99.97;1984;171934.9;992;j
DD;aptincj992;p99.96p99.97;1985;191077.6;992;j
DD;aptincj992;p99.96p99.97;1986;200512.3;992;j
DD;aptincj992;p99.96p99.97;1987;212125.9;992;j
DD;aptincj992;p99.96p99.97;1988;224857.9;992;j
DD;aptincj992;p99.96p99.97;1989;235577.1;992;j
DD;aptincj992;p99.96p99.97;1990;206885.7;992;j
DD;aptincj992;p0p58;1980;11156.7;992;j
DD;aptincj992;p0p58;1981;11458.5;992;j
DD;aptincj992;p0p58;1982;11270.4;992;j
DD;aptincj992;p0p58;1983;11216.1;992;j
DD;aptincj992;p0p58;1984;11148.2;992;j
DD;aptincj992;p0p58;1985;11157.5;992;j
DD;aptincj992;p0p58;1986;11113.3;992;j
DD;aptincj992;p0p58;1987;11135;992;j
DD;aptincj992;p0p58;1988;11235.6;992;j
DD;aptincj992;p0p58;1989;11765.9;992;j
DD;aptincj992;p0p58;1990;10333.4;992;j
DD;aptincj992;p0p64;1980;13158.9;992;j
DD;aptincj992;p0p64;1981;13511.2;992;j
DD;aptincj992;p0p64;1982;13285.5;992;j
DD;aptincj992;p0p64;1983;13217.1;992;j
DD;aptincj992;p0p64;1984;13139.9;992;j
DD;aptincj992;p0p64;1985;13153.6;992;j
DD;aptincj992;p0p64;1986;13109;992;j
DD;aptincj992;p0p64;1987;13141.9;992;j
DD;aptincj992;p0p64;1988;13268.3;992;j
DD;aptincj992;p0p64;1989;13894.6;992;j
DD;aptincj992;p0p64;1990;12203;992;j
DD;aptincj992;p10p100;1980;31564.5;992;j
DD;aptincj992;p10p100;1981;32510.8;992;j
DD;aptincj992;p10p100;1982;32066.7;992;j
DD;aptincj992;p10p100;1983;31997.5;992;j
DD;aptincj992;p10p100;1984;32013;992;j
DD;aptincj992;p10p100;1985;32251.2;992;j
DD;aptincj992;p10p100;1986;32217.6;992;j
DD;aptincj992;p10p100;1987;32374.7;992;j
DD;aptincj992;p10p100;1988;32763.5;992;j
DD;aptincj992;p10p100;1989;34309.4;992;j
DD;aptincj992;p10p100;1990;30133;992;j
DD;aptincj992;p25p26;1980;20142.9;992;j
DD;aptincj992;p25p26;1981;20783.9;992;j
DD;aptincj992;p25p26;1982;20536.8;992;j
DD;aptincj992;p25p26;1983;20526.2;992;j
DD;aptincj992;p25p26;1984;20322.6;992;j
DD;aptincj992;p25p26;1985;20256;992;j
DD;aptincj992;p25p26;1986;20119.2;992;j
DD;aptincj992;p25p26;1987;20100.2;992;j
DD;aptincj992;p25p26;1988;20229.2;992;j
DD;aptincj992;p25p26;1989;21184.9;992;j
DD;aptincj992;p25p26;1990;18606.1;992;j
DD;aptincj992;p15p16;1980;12603.2;992;j
DD;aptincj992;p15p16;1981;13053.7;992;j
DD;aptincj992;p15p16;1982;12960.2;992;j
DD;aptincj992;p15p16;1983;13031.7;992;j
DD;aptincj992;p15p16;1984;12905;992;j
DD;aptincj992;p15p16;1985;12873.9;992;j
DD;aptincj992;p15p16;1986;12772.6;992;j
DD;aptincj992;p15p16;1987;12749.5;992;j
DD;aptincj992;p15p16;1988;12812.2;992;j
DD;aptincj992;p15p16;1989;13417.3;992;j
DD;aptincj992;p15p16;1990;11783;992;j
DD;aptincj992;p59p100;1980;41810.3;992;j
DD;aptincj992;p59p100;1981;43149.3;992;j
DD;aptincj992;p59p100;1982;42643.3;992;j
DD;aptincj992;p59p100;1983;42631;992;j
DD;aptincj992;p59p100;1984;42830.2;992;j
DD;aptincj992;p59p100;1985;43328.4;992;j
DD;aptincj992;p59p100;1986;43359.2;992;j
DD;aptincj992;p59p100;1987;43646.5;992;j
DD;aptincj992;p59p100;1988;44247.8;992;j
DD;aptincj992;p59p100;1989;46335;992;j
DD;aptincj992;p59p100;1990;40695.4;992;j
DD;bcaincj992;p94p100;1980;1.1629022359848;992;j
DD;bcaincj992;p94p100;1981;1.19220221042633;992;j
DD;bcaincj992;p94p100;1982;1.22112238407135;992;j
DD;bcaincj992;p94p100;1983;1.24982619285583;992;j
DD;bcaincj992;p94p100;1984;1.27338111400604;992;j
DD;bcaincj992;p94p100;1985;1.29659926891327;992;j
DD;bcaincj992;p94p100;1986;1.31298530101776;992;j
DD;bcaincj992;p94p100;1987;1.32935762405396;992;j
DD;bcaincj992;p94p100;1988;1.34587979316711;992;j
DD;bcaincj992;p94p100;1989;1.34587979316711;992;j
DD;bcaincj992;p94p100;1990;1.3458799123764;992;j
DD;aptincj992;p0p99.991;1980;28836.4;992;j
DD;aptincj992;p0p99.991;1981;29698;992;j
DD;aptincj992;p0p99.991;1982;29288.3;992;j
DD;aptincj992;p0p99.991;1983;29219.7;992;j
DD;aptincj992;p0p99.991;1984;29226.6;992;j
DD;aptincj992;p0p99.991;1985;29436.6;992;j
DD;aptincj992;p0p99.991;1986;29401.9;992;j
DD;aptincj992;p0p99.991;1987;29540.7;992;j
DD;aptincj992;p0p99.991;1988;29891.1;992;j
DD;aptincj992;p0p99.991;1989;31301.3;992;j
DD;aptincj992;p0p99.991;1990;27491.1;992;j
DD;bcaincj992;p95p100;1980;1.15678942203522;992;j
DD;bcaincj992;p95p100;1981;1.18914806842804;992;j
DD;bcaincj992;p95p100;1982;1.22109770774841;992;j
DD;bcaincj992;p95p100;1983;1.25286257266998;992;j
DD;bcaincj992;p95p100;1984;1.27821290493011;992;j
DD;bcaincj992;p95p100;1985;1.30318915843964;992;j
DD;bcaincj992;p95p100;1986;1.32004356384277;992;j
DD;bcaincj992;p95p100;1987;1.33703601360321;992;j
DD;bcaincj992;p95p100;1988;1.35395169258118;992;j
DD;bcaincj992;p95p100;1989;1.35395181179047;992;j
DD;bcaincj992;p95p100;1990;1.35395181179047;992;j
DD;bcaincj992;p96p100;1980;1.14984726905823;992;j
DD;bcaincj992;p96p100;1981;1.18560135364532;992;j
DD;bcaincj992;p96p100;1982;1.22106862068176;992;j
DD;bcaincj992;p96p100;1983;1.25648677349091;992;j
DD;bcaincj992;p96p100;1984;1.28400409221649;992;j
DD;bcaincj992;p96p100;1985;1.31111288070679;992;j
DD;bcaincj992;p96p100;1986;1.32851934432983;992;j
DD;bcaincj992;p96p100;1987;1.3462495803833;992;j
DD;bcaincj992;p96p100;1988;1.36362171173096;992;j
DD;bcaincj992;p96p100;1989;1.36362171173096;992;j
