country;variable;percentile;year;value;age;pop
DE-BY;sptinct992;p90p100;1909;0.3987;992;t
DE-BY;sptinct992;p90p100;1911;0.3987;992;t
DE-BY;sfiinct992;p90p100;1909;0.3987;992;t
DE-BY;sfiinct992;p90p100;1911;0.3987;992;t
DE-BY;sfiinct992;p95p100;1909;0.3052;992;t
DE-BY;sfiinct992;p95p100;1911;0.3052;992;t
DE-BY;sfiinct992;p99.5p100;1909;0.1396;992;t
DE-BY;sfiinct992;p99.5p100;1911;0.1396;992;t
DE-BY;sfiinct992;p99.99p100;1909;0.0389;992;t
DE-BY;sfiinct992;p99.99p100;1911;0.0389;992;t
DE-BY;sfiinct992;p99.9p100;1909;0.0833;992;t
DE-BY;sfiinct992;p99.9p100;1911;0.0833;992;t
DE-BY;sfiinct992;p99p100;1909;0.1744;992;t
DE-BY;sfiinct992;p99p100;1911;0.1744;992;t
DE-BY;sptinct992;p95p100;1909;0.3052;992;t
DE-BY;sptinct992;p95p100;1911;0.3052;992;t
DE-BY;sptinct992;p99.5p100;1909;0.1396;992;t
DE-BY;sptinct992;p99.5p100;1911;0.1396;992;t
DE-BY;sptinct992;p99.99p100;1909;0.0389;992;t
DE-BY;sptinct992;p99.99p100;1911;0.0389;992;t
DE-BY;sptinct992;p99.9p100;1909;0.0833;992;t
DE-BY;sptinct992;p99.9p100;1911;0.0833;992;t
DE-BY;sptinct992;p99p100;1909;0.1744;992;t
DE-BY;sptinct992;p99p100;1911;0.1744;992;t
