country;variable;percentile;year;value;age;pop
DM;wwealgi999;p0p100;1995;-0.47249064;999;i
DM;wwealgi999;p0p100;1996;-0.4554545;999;i
DM;wwealgi999;p0p100;1997;-0.40216428;999;i
DM;wwealgi999;p0p100;1998;-0.36848283;999;i
DM;wwealgi999;p0p100;1999;-0.42892456;999;i
DM;wwealgi999;p0p100;2000;-0.51435971;999;i
DM;wwealgi999;p0p100;2001;-0.46007118;999;i
DM;wwealgi999;p0p100;2002;-0.50834596;999;i
DM;wwealgi999;p0p100;2003;-0.50522012;999;i
DM;wwealgi999;p0p100;2004;-0.41399133;999;i
DM;wwealgi999;p0p100;2005;-0.36776951;999;i
DM;wwealgi999;p0p100;2006;-0.28801331;999;i
DM;wwealgi999;p0p100;2007;-0.24153376;999;i
DM;wwealgi999;p0p100;2008;-0.17080346;999;i
DM;wwealgi999;p0p100;2009;-0.22785132;999;i
DM;wwealgi999;p0p100;2010;-0.2247925;999;i
DM;wwealgi999;p0p100;2011;-0.23293795;999;i
DM;wwealgi999;p0p100;2012;-0.2486465;999;i
DM;wwealgi999;p0p100;2013;-0.28369597;999;i
DM;wwealgi999;p0p100;2014;-0.30639708;999;i
DM;wwealgi999;p0p100;2015;-0.37272495;999;i
DM;wwealgi999;p0p100;2016;-0.41907665;999;i
DM;wwealgi999;p0p100;2017;-0.41270229;999;i
DM;wwealgi999;p0p100;2018;-0.4338927;999;i
DM;wwealgi999;p0p100;2019;-0.43084267;999;i
DM;wwealgi999;p0p100;2020;-0.48009098;999;i
DM;wwealgi999;p0p100;2021;-0.49128497;999;i
DM;wwealgi999;p0p100;2022;-0.49327007;999;i
DM;mgweali999;p0p100;1995;-517340384;999;i
DM;mgweali999;p0p100;1996;-505118528;999;i
DM;mgweali999;p0p100;1997;-460138176;999;i
DM;mgweali999;p0p100;1998;-442004416;999;i
DM;mgweali999;p0p100;1999;-498202752;999;i
DM;mgweali999;p0p100;2000;-582323776;999;i
DM;mgweali999;p0p100;2001;-548737216;999;i
DM;mgweali999;p0p100;2002;-581089536;999;i
DM;mgweali999;p0p100;2003;-619819968;999;i
DM;mgweali999;p0p100;2004;-517973856;999;i
DM;mgweali999;p0p100;2005;-468044352;999;i
DM;mgweali999;p0p100;2006;-401476992;999;i
DM;mgweali999;p0p100;2007;-355210848;999;i
DM;mgweali999;p0p100;2008;-271388160;999;i
DM;mgweali999;p0p100;2009;-361672000;999;i
DM;mgweali999;p0p100;2010;-362275040;999;i
DM;mgweali999;p0p100;2011;-373613056;999;i
DM;mgweali999;p0p100;2012;-387282368;999;i
DM;mgweali999;p0p100;2013;-442022784;999;i
DM;mgweali999;p0p100;2014;-498960384;999;i
DM;mgweali999;p0p100;2015;-584190016;999;i
DM;mgweali999;p0p100;2016;-686406656;999;i
DM;mgweali999;p0p100;2017;-632035136;999;i
DM;mgweali999;p0p100;2018;-708254272;999;i
DM;mgweali999;p0p100;2019;-744466624;999;i
DM;mgweali999;p0p100;2020;-687097408;999;i
DM;mgweali999;p0p100;2021;-753031424;999;i
DM;mgweali999;p0p100;2022;-803351680;999;i
DM;mnweali999;p0p100;1995;590499840;999;i
DM;mnweali999;p0p100;1996;643107456;999;i
DM;mnweali999;p0p100;1997;741243776;999;i
DM;mnweali999;p0p100;1998;894887296;999;i
