country;variable;percentile;year;value;age;pop
EH;npopulf151;p0p100;1950;649;151;f
EH;npopulf151;p0p100;1951;715;151;f
EH;npopulf151;p0p100;1952;773;151;f
EH;npopulf151;p0p100;1953;826;151;f
EH;npopulf151;p0p100;1954;875;151;f
EH;npopulf151;p0p100;1955;923;151;f
EH;npopulf151;p0p100;1956;968;151;f
EH;npopulf151;p0p100;1957;1012;151;f
EH;npopulf151;p0p100;1958;1054;151;f
EH;npopulf151;p0p100;1959;1091;151;f
EH;npopulf151;p0p100;1960;1122;151;f
EH;npopulf151;p0p100;1961;1156;151;f
EH;npopulf151;p0p100;1962;1195;151;f
EH;npopulf151;p0p100;1963;1239;151;f
EH;npopulf151;p0p100;1964;1291;151;f
EH;npopulf151;p0p100;1965;1344;151;f
EH;npopulf151;p0p100;1966;1405;151;f
EH;npopulf151;p0p100;1967;1546;151;f
EH;npopulf151;p0p100;1968;1763;151;f
EH;npopulf151;p0p100;1969;1986;151;f
EH;npopulf151;p0p100;1970;2736;151;f
EH;npopulf151;p0p100;1971;3455;151;f
EH;npopulf151;p0p100;1972;3622;151;f
EH;npopulf151;p0p100;1973;3777;151;f
EH;npopulf151;p0p100;1974;3752;151;f
EH;npopulf151;p0p100;1975;3209;151;f
EH;npopulf151;p0p100;1976;3052;151;f
EH;npopulf151;p0p100;1977;3716;151;f
EH;npopulf151;p0p100;1978;4412;151;f
EH;npopulf151;p0p100;1979;5026;151;f
EH;npopulf151;p0p100;1980;5432;151;f
EH;npopulf151;p0p100;1981;5583;151;f
EH;npopulf151;p0p100;1982;5612;151;f
EH;npopulf151;p0p100;1983;5595;151;f
EH;npopulf151;p0p100;1984;5588;151;f
EH;npopulf151;p0p100;1985;5602;151;f
EH;npopulf151;p0p100;1986;5659;151;f
EH;npopulf151;p0p100;1987;5740;151;f
EH;npopulf151;p0p100;1988;5801;151;f
EH;npopulf151;p0p100;1989;5896;151;f
EH;npopulf151;p0p100;1990;6073;151;f
EH;npopulf151;p0p100;1991;6289;151;f
EH;npopulf151;p0p100;1992;6549;151;f
EH;npopulf151;p0p100;1993;7048;151;f
EH;npopulf151;p0p100;1994;7877;151;f
EH;npopulf151;p0p100;1995;9083;151;f
EH;npopulf151;p0p100;1996;10601;151;f
EH;npopulf151;p0p100;1997;12184;151;f
EH;npopulf151;p0p100;1998;13587;151;f
EH;npopulf151;p0p100;1999;14625;151;f
EH;npopulf151;p0p100;2000;15308;151;f
EH;npopulf151;p0p100;2001;15706;151;f
EH;npopulf151;p0p100;2002;15907;151;f
EH;npopulf151;p0p100;2003;15969;151;f
EH;npopulf151;p0p100;2004;15939;151;f
EH;npopulf151;p0p100;2005;15850;151;f
EH;npopulf151;p0p100;2006;15736;151;f
EH;npopulf151;p0p100;2007;15614;151;f
EH;npopulf151;p0p100;2008;15484;151;f
EH;npopulf151;p0p100;2009;15376;151;f
EH;npopulf151;p0p100;2010;15320;151;f
EH;npopulf151;p0p100;2011;15364;151;f
EH;npopulf151;p0p100;2012;15545;151;f
EH;npopulf151;p0p100;2013;15853;151;f
EH;npopulf151;p0p100;2014;16207;151;f
EH;npopulf151;p0p100;2015;16590;151;f
EH;npopulf151;p0p100;2016;17004;151;f
