country;variable;percentile;year;value;age;pop
FM;wwealgi999;p0p100;1995;0.5555349;999;i
FM;wwealgi999;p0p100;1996;0.57817405;999;i
FM;wwealgi999;p0p100;1997;0.62597662;999;i
FM;wwealgi999;p0p100;1998;0.64803016;999;i
FM;wwealgi999;p0p100;1999;0.66649228;999;i
FM;wwealgi999;p0p100;2000;0.68660557;999;i
FM;wwealgi999;p0p100;2001;0.70516765;999;i
FM;wwealgi999;p0p100;2002;0.72621077;999;i
FM;wwealgi999;p0p100;2003;0.77774596;999;i
FM;wwealgi999;p0p100;2004;0.82404971;999;i
FM;wwealgi999;p0p100;2005;0.81336337;999;i
FM;wwealgi999;p0p100;2006;0.8100279;999;i
FM;wwealgi999;p0p100;2007;0.82203162;999;i
FM;wwealgi999;p0p100;2008;0.80443722;999;i
FM;wwealgi999;p0p100;2009;0.7707839;999;i
FM;wwealgi999;p0p100;2010;0.70963699;999;i
FM;wwealgi999;p0p100;2011;0.63483816;999;i
FM;wwealgi999;p0p100;2012;0.57782477;999;i
FM;wwealgi999;p0p100;2013;0.56630188;999;i
FM;wwealgi999;p0p100;2014;0.59409148;999;i
FM;wwealgi999;p0p100;2015;0.5812794;999;i
FM;wwealgi999;p0p100;2016;0.57190633;999;i
FM;wwealgi999;p0p100;2017;0.54886413;999;i
FM;wwealgi999;p0p100;2018;0.5889824;999;i
FM;wwealgi999;p0p100;2019;0.59180057;999;i
FM;wwealgi999;p0p100;2020;0.65678561;999;i
FM;wwealgi999;p0p100;2021;0.70646572;999;i
FM;wwealgi999;p0p100;2022;0.7008906;999;i
FM;wwealni999;p0p100;1995;2.6476731;999;i
FM;wwealni999;p0p100;1996;2.7097354;999;i
FM;wwealni999;p0p100;1997;2.825155;999;i
FM;wwealni999;p0p100;1998;2.9174023;999;i
FM;wwealni999;p0p100;1999;2.9503405;999;i
FM;wwealni999;p0p100;2000;3.0161476;999;i
FM;wwealni999;p0p100;2001;3.0670979;999;i
FM;wwealni999;p0p100;2002;3.132966;999;i
FM;wwealni999;p0p100;2003;3.2628634;999;i
FM;wwealni999;p0p100;2004;3.3642447;999;i
FM;wwealni999;p0p100;2005;3.3738794;999;i
FM;wwealni999;p0p100;2006;3.3963304;999;i
FM;wwealni999;p0p100;2007;3.4748468;999;i
FM;wwealni999;p0p100;2008;3.4866869;999;i
FM;wwealni999;p0p100;2009;3.4403882;999;i
FM;wwealni999;p0p100;2010;3.4485335;999;i
FM;wwealni999;p0p100;2011;3.4574451;999;i
FM;wwealni999;p0p100;2012;3.4879844;999;i
FM;wwealni999;p0p100;2013;3.4261351;999;i
FM;wwealni999;p0p100;2014;3.3911729;999;i
FM;wwealni999;p0p100;2015;3.4291377;999;i
FM;wwealni999;p0p100;2016;3.5355048;999;i
FM;wwealni999;p0p100;2017;3.6657596;999;i
FM;wwealni999;p0p100;2018;3.8097987;999;i
FM;wwealni999;p0p100;2019;4.0016031;999;i
FM;wwealni999;p0p100;2020;4.249476;999;i
FM;wwealni999;p0p100;2021;4.4689398;999;i
FM;wwealni999;p0p100;2022;4.5779872;999;i
FM;wwealpi999;p0p100;1995;2.0921388;999;i
FM;wwealpi999;p0p100;1996;2.1315615;999;i
FM;wwealpi999;p0p100;1997;2.1991787;999;i
FM;wwealpi999;p0p100;1998;2.2693722;999;i
FM;wwealpi999;p0p100;1999;2.283848;999;i
FM;wwealpi999;p0p100;2000;2.3295419;999;i
FM;wwealpi999;p0p100;2001;2.3619304;999;i
FM;wwealpi999;p0p100;2002;2.406755;999;i
FM;wwealpi999;p0p100;2003;2.4851177;999;i
FM;wwealpi999;p0p100;2004;2.5401952;999;i
FM;wwealpi999;p0p100;2005;2.5605159;999;i
FM;wwealpi999;p0p100;2006;2.5863025;999;i
