country;variable;percentile;year;value;age;pop
GD;wwealgi999;p0p100;1995;-0.060901348;999;i
GD;wwealgi999;p0p100;1996;-0.045844454;999;i
GD;wwealgi999;p0p100;1997;-0.041566443;999;i
GD;wwealgi999;p0p100;1998;0.0044088946;999;i
GD;wwealgi999;p0p100;1999;0.028715465;999;i
GD;wwealgi999;p0p100;2000;0.0048278496;999;i
GD;wwealgi999;p0p100;2001;-0.052945595;999;i
GD;wwealgi999;p0p100;2002;-0.19410799;999;i
GD;wwealgi999;p0p100;2003;-0.29881185;999;i
GD;wwealgi999;p0p100;2004;-0.3843385;999;i
GD;wwealgi999;p0p100;2005;-0.28759927;999;i
GD;wwealgi999;p0p100;2006;-0.28801331;999;i
GD;wwealgi999;p0p100;2007;-0.24153376;999;i
GD;wwealgi999;p0p100;2008;-0.17080346;999;i
GD;wwealgi999;p0p100;2009;-0.22785132;999;i
GD;wwealgi999;p0p100;2010;-0.2247925;999;i
GD;wwealgi999;p0p100;2011;-0.23293795;999;i
GD;wwealgi999;p0p100;2012;-0.2486465;999;i
GD;wwealgi999;p0p100;2013;-0.28369597;999;i
GD;wwealgi999;p0p100;2014;-0.30639711;999;i
GD;wwealgi999;p0p100;2015;-0.37272495;999;i
GD;wwealgi999;p0p100;2016;-0.41907665;999;i
GD;wwealgi999;p0p100;2017;-0.41270229;999;i
GD;wwealgi999;p0p100;2018;-0.36496836;999;i
GD;wwealgi999;p0p100;2019;-0.33079487;999;i
GD;wwealgi999;p0p100;2020;-0.43508267;999;i
GD;wwealgi999;p0p100;2021;-0.43647352;999;i
GD;wwealgi999;p0p100;2022;-0.42551461;999;i
GD;wwealni999;p0p100;1995;0.58980656;999;i
GD;wwealni999;p0p100;1996;0.59372538;999;i
GD;wwealni999;p0p100;1997;0.57826537;999;i
GD;wwealni999;p0p100;1998;0.66063178;999;i
GD;wwealni999;p0p100;1999;0.6801669;999;i
GD;wwealni999;p0p100;2000;0.60783148;999;i
GD;wwealni999;p0p100;2001;0.5743221;999;i
GD;wwealni999;p0p100;2002;0.51436621;999;i
GD;wwealni999;p0p100;2003;0.52543592;999;i
GD;wwealni999;p0p100;2004;0.57531554;999;i
GD;wwealni999;p0p100;2005;0.66376805;999;i
GD;wwealni999;p0p100;2006;0.77015781;999;i
GD;wwealni999;p0p100;2007;0.83070964;999;i
GD;wwealni999;p0p100;2008;0.88734341;999;i
GD;wwealni999;p0p100;2009;0.86365134;999;i
GD;wwealni999;p0p100;2010;0.82577592;999;i
GD;wwealni999;p0p100;2011;0.90985036;999;i
GD;wwealni999;p0p100;2012;0.84534734;999;i
GD;wwealni999;p0p100;2013;0.84719831;999;i
GD;wwealni999;p0p100;2014;0.83205163;999;i
GD;wwealni999;p0p100;2015;0.80623138;999;i
GD;wwealni999;p0p100;2016;0.83114856;999;i
GD;wwealni999;p0p100;2017;0.85131001;999;i
GD;wwealni999;p0p100;2018;0.92628628;999;i
GD;wwealni999;p0p100;2019;0.96307695;999;i
GD;wwealni999;p0p100;2020;0.97422576;999;i
GD;wwealni999;p0p100;2021;1.119399;999;i
GD;wwealni999;p0p100;2022;1.2810545;999;i
GD;wwealpi999;p0p100;1995;0.65070826;999;i
GD;wwealpi999;p0p100;1996;0.63956988;999;i
GD;wwealpi999;p0p100;1997;0.61983174;999;i
GD;wwealpi999;p0p100;1998;0.65622282;999;i
GD;wwealpi999;p0p100;1999;0.65145141;999;i
GD;wwealpi999;p0p100;2000;0.60300356;999;i
GD;wwealpi999;p0p100;2001;0.62726766;999;i
GD;wwealpi999;p0p100;2002;0.70847416;999;i
GD;wwealpi999;p0p100;2003;0.75864178;999;i
GD;wwealpi999;p0p100;2004;0.8391757;999;i
GD;wwealpi999;p0p100;2005;0.8210265;999;i
GD;wwealpi999;p0p100;2006;0.8170861;999;i
GD;wwealpi999;p0p100;2007;0.80028087;999;i
GD;wwealpi999;p0p100;2008;0.79821914;999;i
GD;wwealpi999;p0p100;2009;0.81745249;999;i
GD;wwealpi999;p0p100;2010;0.79892141;999;i
GD;wwealpi999;p0p100;2011;0.76992232;999;i
GD;wwealpi999;p0p100;2012;0.77704787;999;i
GD;wwealpi999;p0p100;2013;0.78968579;999;i
GD;wwealpi999;p0p100;2014;0.83439744;999;i
GD;wwealpi999;p0p100;2015;0.89937997;999;i
GD;wwealpi999;p0p100;2016;0.94114423;999;i
GD;wwealpi999;p0p100;2017;1.001498;999;i
GD;wwealpi999;p0p100;2018;1.074982;999;i
GD;wwealpi999;p0p100;2019;1.1557006;999;i
GD;wwealpi999;p0p100;2020;1.2114394;999;i
GD;wwealpi999;p0p100;2021;1.319154;999;i
GD;wwealpi999;p0p100;2022;1.4717799;999;i
GD;anweali999;p0p100;1995;9822.9;999;i
GD;anweali999;p0p100;1996;10153.6;999;i
GD;anweali999;p0p100;1997;10162.2;999;i
GD;anweali999;p0p100;1998;12803.5;999;i
GD;anweali999;p0p100;1999;13762.1;999;i
GD;anweali999;p0p100;2000;12797.5;999;i
GD;anweali999;p0p100;2001;11163.7;999;i
GD;anweali999;p0p100;2002;10351.6;999;i
GD;anweali999;p0p100;2003;10712.8;999;i
GD;anweali999;p0p100;2004;9946.6;999;i
GD;anweali999;p0p100;2005;16030.2;999;i
GD;anweali999;p0p100;2006;12844.9;999;i
GD;anweali999;p0p100;2007;12490.1;999;i
GD;anweali999;p0p100;2008;12581;999;i
GD;anweali999;p0p100;2009;6755.8;999;i
GD;anweali999;p0p100;2010;5346.2;999;i
GD;anweali999;p0p100;2011;2900.7;999;i
GD;anweali999;p0p100;2012;1164.8;999;i
GD;anweali999;p0p100;2013;1436.7;999;i
GD;anweali999;p0p100;2014;1480.3;999;i
GD;anweali999;p0p100;2015;4348;999;i
GD;anweali999;p0p100;2016;15022.6;999;i
GD;anweali999;p0p100;2017;24611.2;999;i
GD;anweali999;p0p100;2018;26612.4;999;i
GD;anweali999;p0p100;2019;27931.2;999;i
GD;anweali999;p0p100;2020;24238.3;999;i
GD;anweali999;p0p100;2021;26343.8;999;i
GD;mgweali999;p0p100;1995;-80651888;999;i
GD;mgweali999;p0p100;1996;-63127860;999;i
GD;mgweali999;p0p100;1997;-59924804;999;i
GD;mgweali999;p0p100;1998;7030350;999;i
GD;mgweali999;p0p100;1999;48750824;999;i
GD;mgweali999;p0p100;2000;8631590;999;i
GD;mgweali999;p0p100;2001;-90216520;999;i
GD;mgweali999;p0p100;2002;-337797728;999;i
GD;mgweali999;p0p100;2003;-574346432;999;i
GD;mgweali999;p0p100;2004;-706091072;999;i
GD;mgweali999;p0p100;2005;-657088832;999;i
GD;mgweali999;p0p100;2006;-623739776;999;i
GD;mgweali999;p0p100;2007;-549808064;999;i
GD;mgweali999;p0p100;2008;-395547520;999;i
GD;mgweali999;p0p100;2009;-470491200;999;i
GD;mgweali999;p0p100;2010;-479629344;999;i
GD;mgweali999;p0p100;2011;-508721440;999;i
GD;mgweali999;p0p100;2012;-534058560;999;i
GD;mgweali999;p0p100;2013;-633454208;999;i
GD;mgweali999;p0p100;2014;-684989632;999;i
GD;mgweali999;p0p100;2015;-862083712;999;i
GD;mgweali999;p0p100;2016;-1034340800;999;i
GD;mgweali999;p0p100;2017;-1063180800;999;i
GD;mgweali999;p0p100;2018;-981804352;999;i
GD;mgweali999;p0p100;2019;-896840768;999;i
GD;mgweali999;p0p100;2020;-996699392;999;i
GD;mgweali999;p0p100;2021;-1055952064;999;i
GD;mgweali999;p0p100;2022;-1101435392;999;i
GD;mnweali999;p0p100;1995;781083072;999;i
GD;mnweali999;p0p100;1996;817560448;999;i
GD;mnweali999;p0p100;1997;833663744;999;i
GD;mnweali999;p0p100;1998;1053432384;999;i
GD;mnweali999;p0p100;1999;1154733056;999;i
GD;mnweali999;p0p100;2000;1086726528;999;i
GD;mnweali999;p0p100;2001;978614848;999;i
GD;mnweali999;p0p100;2002;895129216;999;i
GD;mnweali999;p0p100;2003;1009940608;999;i
GD;mnweali999;p0p100;2004;1056946368;999;i
GD;mnweali999;p0p100;2005;1516535808;999;i
GD;mnweali999;p0p100;2006;1667902208;999;i
GD;mnweali999;p0p100;2007;1890960768;999;i
GD;mnweali999;p0p100;2008;2054914432;999;i
GD;mnweali999;p0p100;2009;1783357440;999;i
GD;mnweali999;p0p100;2010;1761919872;999;i
GD;mnweali999;p0p100;2011;1987054464;999;i
GD;mnweali999;p0p100;2012;1815690112;999;i
GD;mnweali999;p0p100;2013;1891677696;999;i
GD;mnweali999;p0p100;2014;1860157056;999;i
GD;mnweali999;p0p100;2015;1864750208;999;i
GD;mnweali999;p0p100;2016;2051392896;999;i
GD;mnweali999;p0p100;2017;2193097728;999;i
GD;mnweali999;p0p100;2018;2491810304;999;i
GD;mnweali999;p0p100;2019;2611064320;999;i
GD;mnweali999;p0p100;2020;2231783168;999;i
GD;mnweali999;p0p100;2021;2708140544;999;i
GD;mnweali999;p0p100;2022;3315982080;999;i
GD;mnwnxai999;p0p100;1972;-149313072;999;i
GD;mnwnxai999;p0p100;1973;-160992048;999;i
GD;mnwnxai999;p0p100;1974;-151823008;999;i
GD;mnwnxai999;p0p100;1975;-81268152;999;i
GD;mnwnxai999;p0p100;1976;-22139710;999;i
GD;mnwnxai999;p0p100;1977;1607509.75;999;i
