country;variable;percentile;year;value;age;pop
GG;npopulf001;p0p100;1950;1787;001;f
GG;npopulf001;p0p100;1951;1735;001;f
GG;npopulf001;p0p100;1952;1673;001;f
GG;npopulf001;p0p100;1953;1690;001;f
GG;npopulf001;p0p100;1954;1664;001;f
GG;npopulf001;p0p100;1955;1589;001;f
GG;npopulf001;p0p100;1956;1530;001;f
GG;npopulf001;p0p100;1957;1550;001;f
GG;npopulf001;p0p100;1958;1602;001;f
GG;npopulf001;p0p100;1959;1661;001;f
GG;npopulf001;p0p100;1960;1728;001;f
GG;npopulf001;p0p100;1961;1772;001;f
GG;npopulf001;p0p100;1962;1782;001;f
GG;npopulf001;p0p100;1963;1787;001;f
GG;npopulf001;p0p100;1964;1799;001;f
GG;npopulf001;p0p100;1965;1817;001;f
GG;npopulf001;p0p100;1966;1852;001;f
GG;npopulf001;p0p100;1967;1904;001;f
GG;npopulf001;p0p100;1968;1956;001;f
GG;npopulf001;p0p100;1969;1998;001;f
GG;npopulf001;p0p100;1970;2026;001;f
GG;npopulf001;p0p100;1971;2010;001;f
GG;npopulf001;p0p100;1972;1951;001;f
GG;npopulf001;p0p100;1973;1889;001;f
GG;npopulf001;p0p100;1974;1832;001;f
GG;npopulf001;p0p100;1975;1773;001;f
GG;npopulf001;p0p100;1976;1706;001;f
GG;npopulf001;p0p100;1977;1635;001;f
GG;npopulf001;p0p100;1978;1564;001;f
GG;npopulf001;p0p100;1979;1505;001;f
GG;npopulf001;p0p100;1980;1461;001;f
GG;npopulf001;p0p100;1981;1443;001;f
GG;npopulf001;p0p100;1982;1451;001;f
GG;npopulf001;p0p100;1983;1463;001;f
GG;npopulf001;p0p100;1984;1477;001;f
GG;npopulf001;p0p100;1985;1496;001;f
GG;npopulf001;p0p100;1986;1521;001;f
GG;npopulf001;p0p100;1987;1554;001;f
GG;npopulf001;p0p100;1988;1595;001;f
GG;npopulf001;p0p100;1989;1645;001;f
GG;npopulf001;p0p100;1990;1705;001;f
GG;npopulf001;p0p100;1991;1759;001;f
GG;npopulf001;p0p100;1992;1789;001;f
GG;npopulf001;p0p100;1993;1798;001;f
GG;npopulf001;p0p100;1994;1789;001;f
GG;npopulf001;p0p100;1995;1757;001;f
GG;npopulf001;p0p100;1996;1714;001;f
GG;npopulf001;p0p100;1997;1673;001;f
GG;npopulf001;p0p100;1998;1635;001;f
GG;npopulf001;p0p100;1999;1599;001;f
GG;npopulf001;p0p100;2000;1573;001;f
GG;npopulf001;p0p100;2001;1558;001;f
GG;npopulf001;p0p100;2002;1544;001;f
GG;npopulf001;p0p100;2003;1531;001;f
