country;variable;percentile;year;value;age;pop
GI;wgweali999;p0p100;1995;0.0462066628671066;999;i
GI;wgweali999;p0p100;1996;0.0722276876655773;999;i
GI;wgweali999;p0p100;1997;0.0980593958111571;999;i
GI;wgweali999;p0p100;1998;0.124025826184918;999;i
GI;wgweali999;p0p100;1999;0.150902860436336;999;i
GI;wgweali999;p0p100;2000;0.179476963750216;999;i
GI;wgweali999;p0p100;2001;0.210166992315075;999;i
GI;wgweali999;p0p100;2002;0.242975099845163;999;i
GI;wgweali999;p0p100;2003;0.277658043064972;999;i
GI;wgweali999;p0p100;2004;0.313678246739559;999;i
GI;wgweali999;p0p100;2005;0.349625617957255;999;i
GI;wgweali999;p0p100;2006;0.383160365558698;999;i
GI;wgweali999;p0p100;2007;0.411472039396386;999;i
GI;wgweali999;p0p100;2008;0.43227096784015;999;i
GI;wgweali999;p0p100;2009;0.444496219293859;999;i
GI;wgweali999;p0p100;2010;0.448485262849949;999;i
GI;wgweali999;p0p100;2011;0.445661465521927;999;i
GI;wgweali999;p0p100;2012;0.437831240585017;999;i
GI;wgweali999;p0p100;2013;0.426732153205139;999;i
GI;wgweali999;p0p100;2014;0.413842828421792;999;i
GI;wgweali999;p0p100;2015;0.400379501309696;999;i
GI;wgweali999;p0p100;2016;0.387407855480288;999;i
GI;wgweali999;p0p100;2017;0.375635293838618;999;i
GI;wgweali999;p0p100;2018;0.365371284321612;999;i
GI;wgweali999;p0p100;2019;0.356443986642329;999;i
GI;wgweali999;p0p100;2020;0.348190196108152;999;i
GI;wgweali999;p0p100;2021;0.339558119546741;999;i
GI;wgweali999;p0p100;2022;0.33073633561105;999;i
GI;wnweali999;p0p100;1995;0.563948722689919;999;i
GI;wnweali999;p0p100;1996;0.641463046359437;999;i
GI;wnweali999;p0p100;1997;0.718982864734279;999;i
GI;wnweali999;p0p100;1998;0.79745719140453;999;i
GI;wnweali999;p0p100;1999;0.877756191342303;999;i
GI;wnweali999;p0p100;2000;0.960924155270562;999;i
GI;wnweali999;p0p100;2001;1.04831688545448;999;i
GI;wnweali999;p0p100;2002;1.14083777711012;999;i
GI;wnweali999;p0p100;2003;1.23887088340503;999;i
GI;wnweali999;p0p100;2004;1.34146011047417;999;i
GI;wnweali999;p0p100;2005;1.44583762375866;999;i
GI;wnweali999;p0p100;2006;1.54713575719645;999;i
GI;wnweali999;p0p100;2007;1.63932676064144;999;i
GI;wnweali999;p0p100;2008;1.71802936469735;999;i
GI;wnweali999;p0p100;2009;1.78209864895304;999;i
GI;wnweali999;p0p100;2010;1.83291312955172;999;i
GI;wnweali999;p0p100;2011;1.87537435181858;999;i
GI;wnweali999;p0p100;2012;1.91565455187853;999;i
GI;wnweali999;p0p100;2013;1.95893610719803;999;i
GI;wnweali999;p0p100;2014;2.00897382739556;999;i
GI;wnweali999;p0p100;2015;2.06841101180333;999;i
GI;wnweali999;p0p100;2016;2.13885856333494;999;i
GI;wnweali999;p0p100;2017;2.22119452179642;999;i
GI;wnweali999;p0p100;2018;2.3154962503481;999;i
GI;wnweali999;p0p100;2019;2.42043953237271;999;i
GI;wnweali999;p0p100;2020;2.53242233153309;999;i
GI;wnweali999;p0p100;2021;2.64526658094808;999;i
GI;wnweali999;p0p100;2022;2.75818759596457;999;i
GI;wnwnxai999;p0p100;1995;-0.0003318712222329;999;i
GI;wnwnxai999;p0p100;1996;0.0077933583122238;999;i
GI;wnwnxai999;p0p100;1997;0.0154231616877047;999;i
GI;wnwnxai999;p0p100;1998;0.0231122994637295;999;i
GI;wnwnxai999;p0p100;1999;0.0319414559916274;999;i
GI;wnwnxai999;p0p100;2000;0.0431486294386174;999;i
GI;wnwnxai999;p0p100;2001;0.0577030440211052;999;i
GI;wnwnxai999;p0p100;2002;0.0758091477459868;999;i
GI;wnwnxai999;p0p100;2003;0.0970176433004589;999;i
GI;wnwnxai999;p0p100;2004;0.120748537309005;999;i
GI;wnwnxai999;p0p100;2005;0.145659386532443;999;i
GI;wnwnxai999;p0p100;2006;0.169465304720769;999;i
GI;wnwnxai999;p0p100;2007;0.189582160172164;999;i
GI;wnwnxai999;p0p100;2008;0.204611482963845;999;i
GI;wnwnxai999;p0p100;2009;0.21463863806289;999;i
GI;wnwnxai999;p0p100;2010;0.220621588759813;999;i
GI;wnwnxai999;p0p100;2011;0.223898101902349;999;i
