country;variable;percentile;year;value;age;pop
GU;acwdeqi992;p0p100;2002;95455.1;992;i
GU;acwdeqi992;p0p100;2003;93009.6;992;i
GU;acwdeqi992;p0p100;2004;110386.1;992;i
GU;acwdeqi992;p0p100;2005;117388;992;i
GU;acwdeqi992;p0p100;2006;116650.5;992;i
GU;acwdeqi992;p0p100;2007;120494.8;992;i
GU;acwdeqi992;p0p100;2008;102883.1;992;i
GU;acwdeqi992;p0p100;2009;95241.40000000001;992;i
GU;acwdeqi992;p0p100;2010;107901.3;992;i
GU;acwdeqi992;p0p100;2011;107908.1;992;i
GU;acwdeqi992;p0p100;2012;109852.5;992;i
GU;acwdeqi992;p0p100;2013;127782.9;992;i
GU;acwdeqi992;p0p100;2014;146879.6;992;i
GU;acwdeqi992;p0p100;2015;149623.1;992;i
GU;acwdeqi992;p0p100;2016;151514.4;992;i
GU;acwdeqi992;p0p100;2017;165551.4;992;i
GU;acwdeqi992;p0p100;2018;163643.8;992;i
GU;acwdeqi992;p0p100;2019;176832.6;992;i
GU;acwdeqi992;p0p100;2020;189894.4;992;i
GU;acwdeqi992;p0p100;2021;209682.5;992;i
GU;acwdeqi992;p0p100;2022;203158.6;992;i
GU;acwdeqi992;p0p100;2023;199351.8;992;i
GU;acwdeqi992;p0p100;2024;208312.7;992;i
GU;acwfini992;p0p100;2002;320591.4;992;i
GU;acwfini992;p0p100;2003;323921.6;992;i
GU;acwfini992;p0p100;2004;357382.9;992;i
GU;acwfini992;p0p100;2005;379588.7;992;i
GU;acwfini992;p0p100;2006;374644.2;992;i
GU;acwfini992;p0p100;2007;392924.6;992;i
GU;acwfini992;p0p100;2008;397251.7;992;i
GU;acwfini992;p0p100;2009;402533.3;992;i
GU;acwfini992;p0p100;2010;400195.5;992;i
GU;acwfini992;p0p100;2011;386625.4;992;i
GU;acwfini992;p0p100;2012;390742.1;992;i
GU;acwfini992;p0p100;2013;407188.4;992;i
GU;acwfini992;p0p100;2014;422393.6;992;i
GU;acwfini992;p0p100;2015;423009.1;992;i
GU;acwfini992;p0p100;2016;423088;992;i
GU;acwfini992;p0p100;2017;433074;992;i
GU;acwfini992;p0p100;2018;423680.7;992;i
GU;acwfini992;p0p100;2019;445694.2;992;i
GU;acwfini992;p0p100;2020;445400;992;i
GU;acwfini992;p0p100;2021;451562.7;992;i
GU;acwfini992;p0p100;2022;443592.9;992;i
GU;acwfini992;p0p100;2023;442266.8;992;i
GU;acwfini992;p0p100;2024;462146.9;992;i
GU;npopuli151;p0p100;1950;7037;151;i
GU;npopuli151;p0p100;1951;6120;151;i
GU;npopuli151;p0p100;1952;5612;151;i
GU;npopuli151;p0p100;1953;5442;151;i
GU;npopuli151;p0p100;1954;5487;151;i
GU;npopuli151;p0p100;1955;5595;151;i
GU;npopuli151;p0p100;1956;5640;151;i
GU;npopuli151;p0p100;1957;5570;151;i
GU;npopuli151;p0p100;1958;5409;151;i
GU;npopuli151;p0p100;1959;5244;151;i
GU;npopuli151;p0p100;1960;5267;151;i
GU;npopuli151;p0p100;1961;5666;151;i
GU;npopuli151;p0p100;1962;6427;151;i
GU;npopuli151;p0p100;1963;7395;151;i
GU;npopuli151;p0p100;1964;8368;151;i
GU;npopuli151;p0p100;1965;9120;151;i
GU;npopuli151;p0p100;1966;9488;151;i
GU;npopuli151;p0p100;1967;9452;151;i
GU;npopuli151;p0p100;1968;9109;151;i
GU;npopuli151;p0p100;1969;8637;151;i
GU;npopuli151;p0p100;1970;8417;151;i
GU;npopuli151;p0p100;1971;8678;151;i
GU;npopuli151;p0p100;1972;9233;151;i
GU;npopuli151;p0p100;1973;9897;151;i
GU;npopuli151;p0p100;1974;10562;151;i
GU;npopuli151;p0p100;1975;11113;151;i
GU;npopuli151;p0p100;1976;11446;151;i
GU;npopuli151;p0p100;1977;11572;151;i
GU;npopuli151;p0p100;1978;11556;151;i
GU;npopuli151;p0p100;1979;11425;151;i
GU;npopuli151;p0p100;1980;11409;151;i
GU;npopuli151;p0p100;1981;11674;151;i
GU;npopuli151;p0p100;1982;12085;151;i
GU;npopuli151;p0p100;1983;12494;151;i
GU;npopuli151;p0p100;1984;12912;151;i
GU;npopuli151;p0p100;1985;13338;151;i
GU;npopuli151;p0p100;1986;13643;151;i
GU;npopuli151;p0p100;1987;13760;151;i
GU;npopuli151;p0p100;1988;13623;151;i
