country;variable;percentile;year;value;age;pop
IM;aconfci992;p0p100;1985;2317.4;992;i
IM;aconfci992;p0p100;1986;2595.9;992;i
IM;aconfci992;p0p100;1987;2860.6;992;i
IM;aconfci992;p0p100;1988;3100.1;992;i
IM;aconfci992;p0p100;1989;3291.7;992;i
IM;aconfci992;p0p100;1990;3417.1;992;i
IM;aconfci992;p0p100;1991;3497.1;992;i
IM;aconfci992;p0p100;1992;3568.3;992;i
IM;aconfci992;p0p100;1993;3653.6;992;i
IM;aconfci992;p0p100;1994;3780.9;992;i
IM;aconfci992;p0p100;1995;3976.6;992;i
IM;aconfci992;p0p100;1996;4248.7;992;i
IM;aconfci992;p0p100;1997;4598.3;992;i
IM;aconfci992;p0p100;1998;5022.8;992;i
IM;aconfci992;p0p100;1999;5485.6;992;i
IM;aconfci992;p0p100;2000;5936.4;992;i
IM;aconfci992;p0p100;2001;6356.9;992;i
IM;aconfci992;p0p100;2002;6756.6;992;i
IM;aconfci992;p0p100;2003;7148.6;992;i
IM;aconfci992;p0p100;2004;7543.7;992;i
IM;aconfci992;p0p100;2005;7950.7;992;i
IM;aconfci992;p0p100;2006;8367.4;992;i
IM;aconfci992;p0p100;2007;8776.9;992;i
IM;aconfci992;p0p100;2008;9146.6;992;i
IM;aconfci992;p0p100;2009;9461.3;992;i
IM;aconfci992;p0p100;2010;9742.8;992;i
IM;aconfci992;p0p100;2011;10072.7;992;i
IM;aconfci992;p0p100;2012;10501;992;i
IM;aconfci992;p0p100;2013;10979.6;992;i
IM;aconfci992;p0p100;2014;11479.3;992;i
IM;aconfci992;p0p100;2015;11986.2;992;i
IM;aconfci992;p0p100;2016;12457.4;992;i
IM;aconfci992;p0p100;2017;12833.3;992;i
IM;aconfci992;p0p100;2018;13111.2;992;i
IM;aconfci992;p0p100;2019;13297.2;992;i
IM;aconfci992;p0p100;2020;13422.5;992;i
IM;aconfci992;p0p100;2021;13487.2;992;i
IM;aconfci992;p0p100;2022;13540.2;992;i
IM;aconfci999;p0p100;1985;1728;999;i
IM;aconfci999;p0p100;1986;1943.6;999;i
IM;aconfci999;p0p100;1987;2148.3;999;i
IM;aconfci999;p0p100;1988;2334.1;999;i
