country;variable;percentile;year;value;age;pop
JE;npopulf001;p0p100;1950;2104;001;f
JE;npopulf001;p0p100;1951;2138;001;f
JE;npopulf001;p0p100;1952;2126;001;f
JE;npopulf001;p0p100;1953;2094;001;f
JE;npopulf001;p0p100;1954;2068;001;f
JE;npopulf001;p0p100;1955;2049;001;f
JE;npopulf001;p0p100;1956;2035;001;f
JE;npopulf001;p0p100;1957;2028;001;f
JE;npopulf001;p0p100;1958;2038;001;f
JE;npopulf001;p0p100;1959;2060;001;f
JE;npopulf001;p0p100;1960;2107;001;f
JE;npopulf001;p0p100;1961;2204;001;f
JE;npopulf001;p0p100;1962;2316;001;f
JE;npopulf001;p0p100;1963;2397;001;f
JE;npopulf001;p0p100;1964;2454;001;f
JE;npopulf001;p0p100;1965;2500;001;f
JE;npopulf001;p0p100;1966;2535;001;f
JE;npopulf001;p0p100;1967;2539;001;f
JE;npopulf001;p0p100;1968;2489;001;f
JE;npopulf001;p0p100;1969;2418;001;f
JE;npopulf001;p0p100;1970;2339;001;f
JE;npopulf001;p0p100;1971;2262;001;f
JE;npopulf001;p0p100;1972;2209;001;f
JE;npopulf001;p0p100;1973;2159;001;f
JE;npopulf001;p0p100;1974;2077;001;f
JE;npopulf001;p0p100;1975;1955;001;f
JE;npopulf001;p0p100;1976;1875;001;f
JE;npopulf001;p0p100;1977;1879;001;f
JE;npopulf001;p0p100;1978;1908;001;f
JE;npopulf001;p0p100;1979;1922;001;f
JE;npopulf001;p0p100;1980;1934;001;f
JE;npopulf001;p0p100;1981;1983;001;f
JE;npopulf001;p0p100;1982;2046;001;f
JE;npopulf001;p0p100;1983;2087;001;f
JE;npopulf001;p0p100;1984;2109;001;f
JE;npopulf001;p0p100;1985;2091;001;f
JE;npopulf001;p0p100;1986;2085;001;f
JE;npopulf001;p0p100;1987;2128;001;f
JE;npopulf001;p0p100;1988;2152;001;f
JE;npopulf001;p0p100;1989;2191;001;f
JE;npopulf001;p0p100;1990;2272;001;f
JE;npopulf001;p0p100;1991;2380;001;f
JE;npopulf001;p0p100;1992;2488;001;f
JE;npopulf001;p0p100;1993;2539;001;f
JE;npopulf001;p0p100;1994;2532;001;f
JE;npopulf001;p0p100;1995;2456;001;f
JE;npopulf001;p0p100;1996;2400;001;f
JE;npopulf001;p0p100;1997;2418;001;f
