country;variable;percentile;year;value;age;pop
KI;wwealgi999;p0p100;1995;0.039543904;999;i
KI;wwealgi999;p0p100;1996;0.064097829;999;i
KI;wwealgi999;p0p100;1997;0.090892784;999;i
KI;wwealgi999;p0p100;1998;0.11627778;999;i
KI;wwealgi999;p0p100;1999;0.14182116;999;i
KI;wwealgi999;p0p100;2000;0.16918126;999;i
KI;wwealgi999;p0p100;2001;0.19880034;999;i
KI;wwealgi999;p0p100;2002;0.22966661;999;i
KI;wwealgi999;p0p100;2003;0.26179397;999;i
KI;wwealgi999;p0p100;2004;0.29605731;999;i
KI;wwealgi999;p0p100;2005;0.33068472;999;i
KI;wwealgi999;p0p100;2006;0.36233354;999;i
KI;wwealgi999;p0p100;2007;0.38868222;999;i
KI;wwealgi999;p0p100;2008;0.40745401;999;i
KI;wwealgi999;p0p100;2009;0.4174355;999;i
KI;wwealgi999;p0p100;2010;0.41999841;999;i
KI;wwealgi999;p0p100;2011;0.4151336;999;i
KI;wwealgi999;p0p100;2012;0.40596637;999;i
KI;wwealgi999;p0p100;2013;0.39365929;999;i
KI;wwealgi999;p0p100;2014;0.37969539;999;i
KI;wwealgi999;p0p100;2015;0.36550853;999;i
KI;wwealgi999;p0p100;2016;0.35105968;999;i
KI;wwealgi999;p0p100;2017;0.33868927;999;i
KI;wwealgi999;p0p100;2018;0.32801861;999;i
KI;wwealgi999;p0p100;2019;0.31873813;999;i
KI;wwealgi999;p0p100;2020;0.31057405;999;i
KI;wwealgi999;p0p100;2021;0.30245435;999;i
KI;wwealgi999;p0p100;2022;0.29458728;999;i
KI;wwealni999;p0p100;1995;1.2943079;999;i
KI;wwealni999;p0p100;1996;1.4021231;999;i
KI;wwealni999;p0p100;1997;1.3823822;999;i
KI;wwealni999;p0p100;1998;1.4341853;999;i
KI;wwealni999;p0p100;1999;1.5102358;999;i
KI;wwealni999;p0p100;2000;1.5618201;999;i
KI;wwealni999;p0p100;2001;1.5965136;999;i
KI;wwealni999;p0p100;2002;1.6669393;999;i
KI;wwealni999;p0p100;2003;1.7626811;999;i
KI;wwealni999;p0p100;2004;1.8322469;999;i
KI;wwealni999;p0p100;2005;1.8866677;999;i
KI;wwealni999;p0p100;2006;1.9641767;999;i
KI;wwealni999;p0p100;2007;2.0323956;999;i
KI;wwealni999;p0p100;2008;2.0896006;999;i
KI;wwealni999;p0p100;2009;2.1470461;999;i
KI;wwealni999;p0p100;2010;2.147161;999;i
KI;wwealni999;p0p100;2011;2.1814959;999;i
KI;wwealni999;p0p100;2012;2.1768396;999;i
KI;wwealni999;p0p100;2013;2.1800361;999;i
KI;wwealni999;p0p100;2014;2.1960263;999;i
KI;wwealni999;p0p100;2015;2.2181258;999;i
KI;wwealni999;p0p100;2016;2.313731;999;i
KI;wwealni999;p0p100;2017;2.3892775;999;i
KI;wwealni999;p0p100;2018;2.467797;999;i
KI;wwealni999;p0p100;2019;2.5713346;999;i
KI;wwealni999;p0p100;2020;2.6775534;999;i
KI;wwealni999;p0p100;2021;2.7874911;999;i
KI;wwealni999;p0p100;2022;2.9003899;999;i
KI;aedugoi992;p0p100;1972;306.8;992;i
KI;aedugoi992;p0p100;1973;268.9;992;i
KI;aedugoi992;p0p100;1974;280.5;992;i
KI;aheagoi999;p0p100;1972;94.4;999;i
KI;aheagoi999;p0p100;1973;102.1;999;i
KI;aheagoi999;p0p100;1974;89.9;999;i
KI;asopgoi999;p0p100;1972;3.5;999;i
KI;asopgoi999;p0p100;1973;2.5;999;i
KI;asopgoi999;p0p100;1974;2.9;999;i
KI;arecgoi992;p0p100;1972;17;992;i
KI;arecgoi992;p0p100;1973;98;992;i
KI;arecgoi992;p0p100;1974;85.2;992;i
KI;arecgoi999;p0p100;1972;7.7;999;i
KI;arecgoi999;p0p100;1973;44.7;999;i
KI;arecgoi999;p0p100;1974;39;999;i
KI;mgweali999;p0p100;1995;10325722;999;i
KI;mgweali999;p0p100;1996;12602528;999;i
KI;mgweali999;p0p100;1997;24860076;999;i
KI;mgweali999;p0p100;1998;35547816;999;i
KI;mgweali999;p0p100;1999;37854664;999;i
KI;mgweali999;p0p100;2000;50688324;999;i
KI;mgweali999;p0p100;2001;67626632;999;i
KI;mgweali999;p0p100;2002;74380648;999;i
KI;mgweali999;p0p100;2003;75976104;999;i
KI;mgweali999;p0p100;2004;84546288;999;i
KI;mgweali999;p0p100;2005;100930128;999;i
KI;mgweali999;p0p100;2006;114008056;999;i
KI;mgweali999;p0p100;2007;125804696;999;i
KI;mgweali999;p0p100;2008;130561856;999;i
KI;mgweali999;p0p100;2009;127496592;999;i
KI;mgweali999;p0p100;2010;134300288;999;i
KI;mgweali999;p0p100;2011;126636680;999;i
KI;mgweali999;p0p100;2012;143988208;999;i
KI;mgweali999;p0p100;2013;157238848;999;i
KI;mgweali999;p0p100;2014;173110832;999;i
KI;mgweali999;p0p100;2015;202217424;999;i
KI;mgweali999;p0p100;2016;164884928;999;i
KI;mgweali999;p0p100;2017;172631488;999;i
KI;mgweali999;p0p100;2018;173292144;999;i
KI;mgweali999;p0p100;2019;171276128;999;i
KI;mgweali999;p0p100;2020;166123760;999;i
KI;mgweali999;p0p100;2021;164268832;999;i
KI;mgweali999;p0p100;2022;161530224;999;i
KI;mnweali999;p0p100;1995;337970272;999;i
KI;mnweali999;p0p100;1996;275676960;999;i
KI;mnweali999;p0p100;1997;378095200;999;i
KI;mnweali999;p0p100;1998;438451424;999;i
KI;mnweali999;p0p100;1999;403109568;999;i
KI;mnweali999;p0p100;2000;467936256;999;i
KI;mnweali999;p0p100;2001;543091840;999;i
KI;mnweali999;p0p100;2002;539860928;999;i
KI;mnweali999;p0p100;2003;511553568;999;i
KI;mnweali999;p0p100;2004;523242176;999;i
KI;mnweali999;p0p100;2005;575840384;999;i
KI;mnweali999;p0p100;2006;618027136;999;i
KI;mnweali999;p0p100;2007;657825088;999;i
KI;mnweali999;p0p100;2008;669577664;999;i
KI;mnweali999;p0p100;2009;655768576;999;i
KI;mnweali999;p0p100;2010;686584384;999;i
KI;mnweali999;p0p100;2011;665466304;999;i
KI;mnweali999;p0p100;2012;772081728;999;i
KI;mnweali999;p0p100;2013;870769088;999;i
KI;mnweali999;p0p100;2014;1001212928;999;i
KI;mnweali999;p0p100;2015;1227177088;999;i
KI;mnweali999;p0p100;2016;1086707968;999;i
