country;variable;percentile;year;value;age;pop
KN;wwealni999;p0p100;1995;0.21158332;999;i
KN;wwealni999;p0p100;1996;0.28282699;999;i
KN;wwealni999;p0p100;1997;0.33473179;999;i
KN;wwealni999;p0p100;1998;0.2803196;999;i
KN;wwealni999;p0p100;1999;0.28583613;999;i
KN;wwealni999;p0p100;2000;0.38498047;999;i
KN;wwealni999;p0p100;2001;0.43407074;999;i
KN;wwealni999;p0p100;2002;0.49041361;999;i
KN;wwealni999;p0p100;2003;0.52543586;999;i
KN;wwealni999;p0p100;2004;0.57531554;999;i
KN;wwealni999;p0p100;2005;0.66376805;999;i
KN;wwealni999;p0p100;2006;0.77015775;999;i
KN;wwealni999;p0p100;2007;0.83070958;999;i
KN;wwealni999;p0p100;2008;0.88734347;999;i
KN;wwealni999;p0p100;2009;0.86365134;999;i
KN;wwealni999;p0p100;2010;0.82577592;999;i
KN;wwealni999;p0p100;2011;0.90985036;999;i
KN;wwealni999;p0p100;2012;0.84534734;999;i
KN;wwealni999;p0p100;2013;0.84719831;999;i
KN;wwealni999;p0p100;2014;0.83205163;999;i
KN;wwealni999;p0p100;2015;0.80623132;999;i
KN;wwealni999;p0p100;2016;0.85047096;999;i
KN;wwealni999;p0p100;2017;0.95625049;999;i
KN;wwealni999;p0p100;2018;1.0319954;999;i
KN;wwealni999;p0p100;2019;1.1508161;999;i
KN;wwealni999;p0p100;2020;1.1568557;999;i
KN;wwealni999;p0p100;2021;1.2823243;999;i
KN;wwealni999;p0p100;2022;1.4813173;999;i
KN;wwealpi999;p0p100;1995;0.39255661;999;i
KN;wwealpi999;p0p100;1996;0.43536863;999;i
KN;wwealpi999;p0p100;1997;0.44405121;999;i
KN;wwealpi999;p0p100;1998;0.49741474;999;i
KN;wwealpi999;p0p100;1999;0.54545766;999;i
KN;wwealpi999;p0p100;2000;0.57147008;999;i
KN;wwealpi999;p0p100;2001;0.60326105;999;i
KN;wwealpi999;p0p100;2002;0.64107484;999;i
KN;wwealpi999;p0p100;2003;0.69347984;999;i
KN;wwealpi999;p0p100;2004;0.68675977;999;i
KN;wwealpi999;p0p100;2005;0.71930873;999;i
KN;wwealpi999;p0p100;2006;0.72759318;999;i
KN;wwealpi999;p0p100;2007;0.7925576;999;i
KN;wwealpi999;p0p100;2008;0.77608043;999;i
KN;wwealpi999;p0p100;2009;0.75816011;999;i
KN;wwealpi999;p0p100;2010;0.76801914;999;i
KN;wwealpi999;p0p100;2011;0.76531887;999;i
KN;wwealpi999;p0p100;2012;0.78614163;999;i
KN;wwealpi999;p0p100;2013;0.81324953;999;i
KN;wwealpi999;p0p100;2014;0.84208244;999;i
KN;wwealpi999;p0p100;2015;0.89602333;999;i
KN;wwealpi999;p0p100;2016;0.94114429;999;i
KN;wwealpi999;p0p100;2017;1.001498;999;i
KN;wwealpi999;p0p100;2018;1.0770334;999;i
KN;wwealpi999;p0p100;2019;1.1672437;999;i
KN;wwealpi999;p0p100;2020;1.2114394;999;i
KN;wwealpi999;p0p100;2021;1.3341734;999;i
KN;wwealpi999;p0p100;2022;1.5004239;999;i
KN;mgweali999;p0p100;1995;-189379792;999;i
KN;mgweali999;p0p100;1996;-175890960;999;i
KN;mgweali999;p0p100;1997;-156117232;999;i
KN;mgweali999;p0p100;1998;-303894656;999;i
KN;mgweali999;p0p100;1999;-406895840;999;i
KN;mgweali999;p0p100;2000;-573445824;999;i
KN;mgweali999;p0p100;2001;-680731136;999;i
KN;mgweali999;p0p100;2002;-797159168;999;i
KN;mgweali999;p0p100;2003;-744629120;999;i
KN;mgweali999;p0p100;2004;-647020032;999;i
KN;mgweali999;p0p100;2005;-641148992;999;i
KN;mgweali999;p0p100;2006;-526435232;999;i
KN;mgweali999;p0p100;2007;-444740512;999;i
KN;mgweali999;p0p100;2008;-352343104;999;i
KN;mgweali999;p0p100;2009;-452318272;999;i
KN;mgweali999;p0p100;2010;-449334944;999;i
KN;mgweali999;p0p100;2011;-474133344;999;i
KN;mgweali999;p0p100;2012;-505947136;999;i
KN;mgweali999;p0p100;2013;-619305216;999;i
KN;mgweali999;p0p100;2014;-426600192;999;i
KN;mgweali999;p0p100;2015;-293547552;999;i
KN;mgweali999;p0p100;2016;-161279456;999;i
KN;mgweali999;p0p100;2017;-95851480;999;i
KN;mgweali999;p0p100;2018;-108363456;999;i
KN;mgweali999;p0p100;2019;-41275040;999;i
KN;mgweali999;p0p100;2020;-106429168;999;i
KN;mgweali999;p0p100;2021;-109516504;999;i
KN;mgweali999;p0p100;2022;-44307056;999;i
KN;mnweali999;p0p100;1995;256465568;999;i
KN;mnweali999;p0p100;1996;358094208;999;i
KN;mnweali999;p0p100;1997;450116576;999;i
KN;mnweali999;p0p100;1998;367842048;999;i
KN;mnweali999;p0p100;1999;384970464;999;i
KN;mnweali999;p0p100;2000;571479360;999;i
KN;mnweali999;p0p100;2001;675427520;999;i
KN;mnweali999;p0p100;2002;769038656;999;i
KN;mnweali999;p0p100;2003;774424576;999;i
KN;mnweali999;p0p100;2004;899150912;999;i
KN;mnweali999;p0p100;2005;1157176448;999;i
KN;mnweali999;p0p100;2006;1407706368;999;i
KN;mnweali999;p0p100;2007;1529600640;999;i
KN;mnweali999;p0p100;2008;1830462720;999;i
KN;mnweali999;p0p100;2009;1714474496;999;i
KN;mnweali999;p0p100;2010;1650633344;999;i
KN;mnweali999;p0p100;2011;1851954176;999;i
KN;mnweali999;p0p100;2012;1720116992;999;i
KN;mnweali999;p0p100;2013;1849424640;999;i
KN;mnweali999;p0p100;2014;1838161920;999;i
KN;mnweali999;p0p100;2015;1797066496;999;i
KN;mnweali999;p0p100;2016;1993398272;999;i
KN;mnweali999;p0p100;2017;2265441536;999;i
KN;mnweali999;p0p100;2018;2483030528;999;i
KN;mnweali999;p0p100;2019;2891444992;999;i
KN;mnweali999;p0p100;2020;2463181824;999;i
KN;mnweali999;p0p100;2021;2708542976;999;i
KN;mnweali999;p0p100;2022;3435060992;999;i
KN;mnwnxai999;p0p100;1982;-56225452;999;i
KN;mnwnxai999;p0p100;1983;-99425288;999;i
KN;mnwnxai999;p0p100;1984;-138906864;999;i
KN;mnwnxai999;p0p100;1985;-156570704;999;i
KN;mnwnxai999;p0p100;1986;-168201360;999;i
KN;mnwnxai999;p0p100;1987;-190750352;999;i
KN;mnwnxai999;p0p100;1988;-250501632;999;i
KN;mnwnxai999;p0p100;1989;-361150144;999;i
KN;mnwnxai999;p0p100;1990;-502019264;999;i
KN;mnwnxai999;p0p100;1991;-625868096;999;i
KN;mnwnxai999;p0p100;1992;-671358400;999;i
KN;mnwnxai999;p0p100;1993;-724208320;999;i
KN;mnwnxai999;p0p100;1994;-746201088;999;i
KN;mnwnxai999;p0p100;1995;-818662848;999;i
KN;mnwnxai999;p0p100;1996;-878302784;999;i
KN;mnwnxai999;p0p100;1997;-925580224;999;i
KN;mnwnxai999;p0p100;1998;-1015002176;999;i
KN;mnwnxai999;p0p100;1999;-1179055360;999;i
KN;mnwnxai999;p0p100;2000;-1523078016;999;i
KN;mnwnxai999;p0p100;2001;-1753176960;999;i
KN;mnwnxai999;p0p100;2002;-1987791744;999;i
KN;mnwnxai999;p0p100;2003;-2238380800;999;i
KN;mnwnxai999;p0p100;2004;-2462076928;999;i
KN;mnwnxai999;p0p100;2005;-2677931520;999;i
KN;mnwnxai999;p0p100;2006;-2420631552;999;i
KN;mnwnxai999;p0p100;2007;-2383895808;999;i
KN;mnwnxai999;p0p100;2008;-2620890112;999;i
KN;mnwnxai999;p0p100;2009;-2916320512;999;i
KN;mnwnxai999;p0p100;2010;-3105315328;999;i
KN;mnwnxai999;p0p100;2011;-2955942144;999;i
KN;mnwnxai999;p0p100;2012;-2915487744;999;i
KN;mnwnxai999;p0p100;2013;-2579275008;999;i
KN;mnwnxai999;p0p100;2014;-2229996544;999;i
KN;mnwnxai999;p0p100;2015;-2209116672;999;i
KN;mnwnxai999;p0p100;2016;-2225806336;999;i
KN;mnwnxai999;p0p100;2017;-2172405504;999;i
KN;mnwnxai999;p0p100;2018;-2274028800;999;i
KN;mnwnxai999;p0p100;2019;-2345408512;999;i
KN;mnwnxai999;p0p100;2020;-2438613760;999;i
KN;mnwnxai999;p0p100;2021;-2325232896;999;i
KN;mnwnxai999;p0p100;2022;-2120549632;999;i
KN;mpweali999;p0p100;1995;475827968;999;i
KN;mpweali999;p0p100;1996;551230912;999;i
KN;mpweali999;p0p100;1997;597119296;999;i
KN;mpweali999;p0p100;1998;652719424;999;i
KN;mpweali999;p0p100;1999;734634560;999;i
KN;mpweali999;p0p100;2000;848311488;999;i
KN;mpweali999;p0p100;2001;938692928;999;i
KN;mpweali999;p0p100;2002;1005297024;999;i
KN;mpweali999;p0p100;2003;1022099584;999;i
KN;mpweali999;p0p100;2004;1073325184;999;i
KN;mpweali999;p0p100;2005;1254003072;999;i
KN;mpweali999;p0p100;2006;1329906176;999;i
KN;mpweali999;p0p100;2007;1459350656;999;i
KN;mpweali999;p0p100;2008;1600942976;999;i
KN;mpweali999;p0p100;2009;1505058944;999;i
KN;mpweali999;p0p100;2010;1535184000;999;i
KN;mpweali999;p0p100;2011;1557767680;999;i
KN;mpweali999;p0p100;2012;1599644928;999;i
KN;mpweali999;p0p100;2013;1775314816;999;i
KN;mpweali999;p0p100;2014;1860321920;999;i
KN;mpweali999;p0p100;2015;1997210240;999;i
KN;mpweali999;p0p100;2016;2205925376;999;i
KN;mpweali999;p0p100;2017;2372636928;999;i
KN;mpweali999;p0p100;2018;2591394048;999;i
KN;mpweali999;p0p100;2019;2932719872;999;i
