country;variable;percentile;year;value;age;pop
KY;afdirxi999;p0p100;2016;532.1;999;i
KY;afdirxi999;p0p100;2017;1250.9;999;i
KY;afdirxi999;p0p100;2018;538;999;i
KY;acomhni999;p0p100;2015;33958.6;999;i
KY;acomhni999;p0p100;2016;33919.8;999;i
KY;acomhni999;p0p100;2017;33874.1;999;i
KY;acomhni999;p0p100;2018;33483.1;999;i
KY;acomhni999;p0p100;2019;33119.3;999;i
KY;acompxi999;p0p100;1972;-1;999;i
KY;acompxi999;p0p100;1983;517.9;999;i
KY;acompxi999;p0p100;1984;475.2;999;i
KY;acompxi999;p0p100;1985;435.5;999;i
KY;acompxi999;p0p100;1986;616.4;999;i
KY;acompxi999;p0p100;1987;739.5;999;i
KY;acompxi999;p0p100;1988;832.6;999;i
KY;acompxi999;p0p100;1989;914.3;999;i
KY;acompxi999;p0p100;1990;1060.4;999;i
KY;acompxi999;p0p100;1991;979.7;999;i
KY;acompxi999;p0p100;2015;427.2;999;i
KY;acompxi999;p0p100;2016;528.2;999;i
KY;acompxi999;p0p100;2017;406.9;999;i
KY;acompxi999;p0p100;2018;746.8;999;i
KY;acompxi999;p0p100;2019;739.5;999;i
KY;acomrxi999;p0p100;1972;-0.2;999;i
KY;acomrxi999;p0p100;1983;-0.3;999;i
KY;acomrxi999;p0p100;1984;-0.3;999;i
KY;acomrxi999;p0p100;1985;-0.3;999;i
KY;acomrxi999;p0p100;1986;-0.3;999;i
KY;acomrxi999;p0p100;1987;-0.3;999;i
KY;acomrxi999;p0p100;1988;-0.3;999;i
KY;acomrxi999;p0p100;1989;-0.4;999;i
KY;acomrxi999;p0p100;1990;-0.4;999;i
KY;acomrxi999;p0p100;1991;-0.4;999;i
KY;acomrxi999;p0p100;2015;65.9;999;i
KY;acomrxi999;p0p100;2016;62;999;i
KY;acomrxi999;p0p100;2017;64.1;999;i
KY;acomrxi999;p0p100;2018;86.3;999;i
KY;acomrxi999;p0p100;2019;78.5;999;i
KY;afsubxi999;p0p100;1972;0;999;i
KY;afsubxi999;p0p100;1983;0;999;i
KY;afsubxi999;p0p100;1984;0;999;i
KY;afsubxi999;p0p100;1985;0;999;i
KY;afsubxi999;p0p100;1986;0;999;i
KY;afsubxi999;p0p100;1987;0;999;i
KY;afsubxi999;p0p100;1988;0;999;i
KY;afsubxi999;p0p100;1989;0;999;i
KY;afsubxi999;p0p100;1990;0;999;i
KY;afsubxi999;p0p100;1991;0;999;i
KY;afsubxi999;p0p100;2015;0;999;i
KY;afsubxi999;p0p100;2016;0;999;i
KY;afsubxi999;p0p100;2017;0;999;i
KY;afsubxi999;p0p100;2018;0;999;i
KY;afsubxi999;p0p100;2019;0;999;i
KY;aftaxxi999;p0p100;1972;0;999;i
KY;aftaxxi999;p0p100;1983;0;999;i
KY;aftaxxi999;p0p100;1984;0;999;i
KY;aftaxxi999;p0p100;1985;0;999;i
KY;aftaxxi999;p0p100;1986;0;999;i
KY;aftaxxi999;p0p100;1987;0;999;i
KY;aftaxxi999;p0p100;1988;0;999;i
KY;aftaxxi999;p0p100;1989;0;999;i
KY;aftaxxi999;p0p100;1990;0;999;i
KY;aftaxxi999;p0p100;1991;0;999;i
KY;aftaxxi999;p0p100;2015;0;999;i
KY;aftaxxi999;p0p100;2016;0;999;i
KY;aftaxxi999;p0p100;2017;0;999;i
KY;aftaxxi999;p0p100;2018;0;999;i
KY;aftaxxi999;p0p100;2019;0;999;i
KY;asopgoi999;p0p100;1972;0;999;i
KY;asopgoi999;p0p100;1983;259.9;999;i
KY;asopgoi999;p0p100;1984;238.6;999;i
KY;asopgoi999;p0p100;1985;218.7;999;i
KY;asopgoi999;p0p100;1986;206.1;999;i
KY;asopgoi999;p0p100;1987;370.8;999;i
KY;asopgoi999;p0p100;1988;500.9;999;i
KY;asopgoi999;p0p100;1989;458.4;999;i
KY;asopgoi999;p0p100;1990;531.5;999;i
KY;asopgoi999;p0p100;1991;736.7;999;i
KY;asopgoi999;p0p100;2015;108.2;999;i
KY;asopgoi999;p0p100;2016;113.1;999;i
KY;asopgoi999;p0p100;2017;112.4;999;i
KY;asopgoi999;p0p100;2018;116.5;999;i
KY;asopgoi999;p0p100;2019;109.8;999;i
KY;mcomnxi999;p0p100;1972;10476;999;i
KY;mcomnxi999;p0p100;1983;-10140928;999;i
KY;mcomnxi999;p0p100;1984;-9715673;999;i
KY;mcomnxi999;p0p100;1985;-9287807;999;i
KY;mcomnxi999;p0p100;1986;-13686625;999;i
KY;mcomnxi999;p0p100;1987;-17070402;999;i
KY;mcomnxi999;p0p100;1988;-19953842;999;i
KY;mcomnxi999;p0p100;1989;-22764854;999;i
KY;mcomnxi999;p0p100;1990;-27607956;999;i
KY;mcomnxi999;p0p100;1991;-26795886;999;i
KY;mcomnxi999;p0p100;2015;-22003420;999;i
KY;mcomnxi999;p0p100;2016;-29028028;999;i
KY;mcomnxi999;p0p100;2017;-21799226;999;i
KY;mcomnxi999;p0p100;2018;-42851008;999;i
KY;mcomnxi999;p0p100;2019;-43716320;999;i
KY;mecogoi999;p0p100;1972;0;999;i
KY;mecogoi999;p0p100;1983;30517852;999;i
KY;mecogoi999;p0p100;1984;34124020;999;i
KY;mecogoi999;p0p100;1985;37292128;999;i
KY;mecogoi999;p0p100;1986;41173804;999;i
KY;mecogoi999;p0p100;1987;47057760;999;i
KY;mecogoi999;p0p100;1988;56003484;999;i
KY;mecogoi999;p0p100;1989;57041120;999;i
KY;mecogoi999;p0p100;1990;62249316;999;i
KY;mecogoi999;p0p100;1991;70494584;999;i
KY;mecogoi999;p0p100;2015;4284782;999;i
KY;mecogoi999;p0p100;2016;16373818;999;i
KY;mecogoi999;p0p100;2017;16701307;999;i
KY;mecogoi999;p0p100;2018;17969630;999;i
KY;mecogoi999;p0p100;2019;19993058;999;i
KY;mfdipxi999;p0p100;2016;1794323328;999;i
KY;mfdipxi999;p0p100;2017;1273695360;999;i
KY;mfdipxi999;p0p100;2018;2396530944;999;i
KY;mfdirxi999;p0p100;2016;33124110;999;i
KY;mfdirxi999;p0p100;2017;79535304;999;i
KY;mfdirxi999;p0p100;2018;34910196;999;i
KY;mfsubxi999;p0p100;1972;0;999;i
KY;mfsubxi999;p0p100;1983;0;999;i
KY;mfsubxi999;p0p100;1984;0;999;i
KY;mfsubxi999;p0p100;1985;0;999;i
KY;mfsubxi999;p0p100;1986;0;999;i
KY;mfsubxi999;p0p100;1987;0;999;i
KY;mfsubxi999;p0p100;1988;0;999;i
KY;mfsubxi999;p0p100;1989;0;999;i
KY;mfsubxi999;p0p100;1990;0;999;i
KY;mfsubxi999;p0p100;1991;0;999;i
KY;mfsubxi999;p0p100;2015;0;999;i
KY;mfsubxi999;p0p100;2016;0;999;i
KY;mfsubxi999;p0p100;2017;0;999;i
KY;mfsubxi999;p0p100;2018;0;999;i
KY;mfsubxi999;p0p100;2019;0;999;i
KY;mptfpxi999;p0p100;2016;2602673152;999;i
KY;mptfpxi999;p0p100;2017;3251918336;999;i
KY;mptfpxi999;p0p100;2018;3587899648;999;i
KY;mptfori999;p0p100;2016;1946516096;999;i
KY;mptfori999;p0p100;2017;2261290496;999;i
KY;mptfori999;p0p100;2018;3800822016;999;i
KY;mspigoi999;p0p100;2006;22943970;999;i
KY;mspigoi999;p0p100;2007;22901880;999;i
KY;mspigoi999;p0p100;2008;23835212;999;i
KY;mspigoi999;p0p100;2009;22199804;999;i
KY;mspigoi999;p0p100;2010;19062434;999;i
KY;mspigoi999;p0p100;2011;20326236;999;i
KY;mspigoi999;p0p100;2012;22409770;999;i
KY;mspigoi999;p0p100;2013;22565090;999;i
KY;mspigoi999;p0p100;2014;24466220;999;i
KY;mspigoi999;p0p100;2015;26761584;999;i
KY;mspigoi999;p0p100;2016;26887864;999;i
KY;mspigoi999;p0p100;2017;26495638;999;i
KY;mspigoi999;p0p100;2018;29888894;999;i
KY;mspigoi999;p0p100;2019;28194522;999;i
KY;acomhni992;p0p100;2015;44146.8;992;i
KY;acomhni992;p0p100;2016;43900.8;992;i
KY;acomhni992;p0p100;2017;43633.5;992;i
KY;acomhni992;p0p100;2018;42926.6;992;i
KY;acomhni992;p0p100;2019;42261.1;992;i
KY;acomnxi992;p0p100;1972;1.7;992;i
KY;acomnxi992;p0p100;1983;-813.8;992;i
KY;acomnxi992;p0p100;1984;-736.8;992;i
KY;acomnxi992;p0p100;1985;-666.2;992;i
KY;acomnxi992;p0p100;1986;-930.3;992;i
KY;acomnxi992;p0p100;1987;-1101.6;992;i
KY;acomnxi992;p0p100;1988;-1224.5;992;i
KY;acomnxi992;p0p100;1989;-1329.6;992;i
