country;variable;percentile;year;value;age;pop
LC;wwealgi999;p0p100;1995;-0.15314817;999;i
LC;wwealgi999;p0p100;1996;-0.14353418;999;i
LC;wwealgi999;p0p100;1997;-0.15764213;999;i
LC;wwealgi999;p0p100;1998;-0.15812409;999;i
LC;wwealgi999;p0p100;1999;-0.15774801;999;i
LC;wwealgi999;p0p100;2000;-0.16766715;999;i
LC;wwealgi999;p0p100;2001;-0.21159719;999;i
LC;wwealgi999;p0p100;2002;-0.26041123;999;i
LC;wwealgi999;p0p100;2003;-0.26790231;999;i
LC;wwealgi999;p0p100;2004;-0.25131562;999;i
LC;wwealgi999;p0p100;2005;-0.26756546;999;i
LC;wwealgi999;p0p100;2006;-0.24304141;999;i
LC;wwealgi999;p0p100;2007;-0.24153376;999;i
LC;wwealgi999;p0p100;2008;-0.17080346;999;i
LC;wwealgi999;p0p100;2009;-0.22785132;999;i
LC;wwealgi999;p0p100;2010;-0.2247925;999;i
LC;wwealgi999;p0p100;2011;-0.23293795;999;i
LC;wwealgi999;p0p100;2012;-0.24864651;999;i
LC;wwealgi999;p0p100;2013;-0.28369597;999;i
LC;wwealgi999;p0p100;2014;-0.30639708;999;i
LC;wwealgi999;p0p100;2015;-0.37272498;999;i
LC;wwealgi999;p0p100;2016;-0.41907665;999;i
LC;wwealgi999;p0p100;2017;-0.41270229;999;i
LC;wwealgi999;p0p100;2018;-0.42744544;999;i
LC;wwealgi999;p0p100;2019;-0.43084267;999;i
LC;wwealgi999;p0p100;2020;-0.48009098;999;i
LC;wwealgi999;p0p100;2021;-0.49128497;999;i
LC;wwealgi999;p0p100;2022;-0.48557442;999;i
LC;wwealni999;p0p100;1995;0.21158332;999;i
LC;wwealni999;p0p100;1996;0.28282702;999;i
LC;wwealni999;p0p100;1997;0.33473176;999;i
LC;wwealni999;p0p100;1998;0.2803196;999;i
LC;wwealni999;p0p100;1999;0.28583613;999;i
LC;wwealni999;p0p100;2000;0.3849805;999;i
LC;wwealni999;p0p100;2001;0.43407074;999;i
LC;wwealni999;p0p100;2002;0.49041361;999;i
LC;wwealni999;p0p100;2003;0.52543586;999;i
LC;wwealni999;p0p100;2004;0.57531554;999;i
LC;wwealni999;p0p100;2005;0.66376799;999;i
LC;wwealni999;p0p100;2006;0.77015775;999;i
LC;wwealni999;p0p100;2007;0.83070964;999;i
LC;wwealni999;p0p100;2008;0.88734341;999;i
LC;wwealni999;p0p100;2009;0.86365128;999;i
LC;wwealni999;p0p100;2010;0.82577592;999;i
LC;wwealni999;p0p100;2011;0.90985042;999;i
LC;wwealni999;p0p100;2012;0.84534734;999;i
LC;wwealni999;p0p100;2013;0.84719831;999;i
LC;wwealni999;p0p100;2014;0.83205163;999;i
LC;wwealni999;p0p100;2015;0.80623132;999;i
LC;wwealni999;p0p100;2016;0.83114856;999;i
LC;wwealni999;p0p100;2017;0.85131001;999;i
