country;variable;percentile;year;value;age;pop
MF;npopulm101;p0p100;1950;157;101;m
MF;npopulm101;p0p100;1951;162;101;m
MF;npopulm101;p0p100;1952;166;101;m
MF;npopulm101;p0p100;1953;171;101;m
MF;npopulm101;p0p100;1954;177;101;m
MF;npopulm101;p0p100;1955;186;101;m
MF;npopulm101;p0p100;1956;196;101;m
MF;npopulm101;p0p100;1957;207;101;m
MF;npopulm101;p0p100;1958;218;101;m
MF;npopulm101;p0p100;1959;233;101;m
MF;npopulm101;p0p100;1960;255;101;m
MF;npopulm101;p0p100;1961;278;101;m
MF;npopulm101;p0p100;1962;300;101;m
MF;npopulm101;p0p100;1963;321;101;m
MF;npopulm101;p0p100;1964;337;101;m
MF;npopulm101;p0p100;1965;347;101;m
MF;npopulm101;p0p100;1966;353;101;m
MF;npopulm101;p0p100;1967;361;101;m
MF;npopulm101;p0p100;1968;369;101;m
MF;npopulm101;p0p100;1969;376;101;m
MF;npopulm101;p0p100;1970;385;101;m
MF;npopulm101;p0p100;1971;394;101;m
MF;npopulm101;p0p100;1972;405;101;m
MF;npopulm101;p0p100;1973;414;101;m
MF;npopulm101;p0p100;1974;423;101;m
MF;npopulm101;p0p100;1975;434;101;m
MF;npopulm101;p0p100;1976;446;101;m
MF;npopulm101;p0p100;1977;465;101;m
MF;npopulm101;p0p100;1978;493;101;m
MF;npopulm101;p0p100;1979;522;101;m
MF;npopulm101;p0p100;1980;550;101;m
MF;npopulm101;p0p100;1981;574;101;m
MF;npopulm101;p0p100;1982;619;101;m
MF;npopulm101;p0p100;1983;678;101;m
MF;npopulm101;p0p100;1984;712;101;m
MF;npopulm101;p0p100;1985;728;101;m
MF;npopulm101;p0p100;1986;739;101;m
MF;npopulm101;p0p100;1987;757;101;m
MF;npopulm101;p0p100;1988;793;101;m
MF;npopulm101;p0p100;1989;852;101;m
MF;npopulm101;p0p100;1990;911;101;m
MF;npopulm101;p0p100;1991;956;101;m
MF;npopulm101;p0p100;1992;1003;101;m
MF;npopulm101;p0p100;1993;1054;101;m
MF;npopulm101;p0p100;1994;1107;101;m
MF;npopulm101;p0p100;1995;1169;101;m
MF;npopulm101;p0p100;1996;1234;101;m
MF;npopulm101;p0p100;1997;1293;101;m
MF;npopulm101;p0p100;1998;1346;101;m
MF;npopulm101;p0p100;1999;1381;101;m
MF;npopulm101;p0p100;2000;1391;101;m
MF;npopulm101;p0p100;2001;1390;101;m
MF;npopulm101;p0p100;2002;1393;101;m
MF;npopulm101;p0p100;2003;1406;101;m
MF;npopulm101;p0p100;2004;1432;101;m
MF;npopulm101;p0p100;2005;1470;101;m
MF;npopulm101;p0p100;2006;1514;101;m
MF;npopulm101;p0p100;2007;1569;101;m
MF;npopulm101;p0p100;2008;1634;101;m
MF;npopulm101;p0p100;2009;1704;101;m
MF;npopulm101;p0p100;2010;1748;101;m
MF;npopulm101;p0p100;2011;1761;101;m
MF;npopulm101;p0p100;2012;1754;101;m
MF;npopulm101;p0p100;2013;1731;101;m
MF;npopulm101;p0p100;2014;1712;101;m
MF;npopulm101;p0p100;2015;1705;101;m
MF;npopulm101;p0p100;2016;1713;101;m
MF;npopulm101;p0p100;2017;1714;101;m
MF;npopulm101;p0p100;2018;1591;101;m
MF;npopulm101;p0p100;2019;1265;101;m
MF;npopulm101;p0p100;2020;1105;101;m
MF;npopulm101;p0p100;2021;1132;101;m
MF;npopulm101;p0p100;2022;1077;101;m
MF;npopulm101;p0p100;2023;1025;101;m
MF;npopulm101;p0p100;2024;987;101;m
MF;npopulm151;p0p100;1950;130;151;m
MF;npopulm151;p0p100;1951;135;151;m
MF;npopulm151;p0p100;1952;140;151;m
MF;npopulm151;p0p100;1953;147;151;m
MF;npopulm151;p0p100;1954;152;151;m
MF;npopulm151;p0p100;1955;157;151;m
MF;npopulm151;p0p100;1956;162;151;m
MF;npopulm151;p0p100;1957;166;151;m
MF;npopulm151;p0p100;1958;171;151;m
MF;npopulm151;p0p100;1959;177;151;m
MF;npopulm151;p0p100;1960;184;151;m
MF;npopulm151;p0p100;1961;192;151;m
