country;variable;percentile;year;value;age;pop
MH;wwealgi999;p0p100;1995;-0.043215211;999;i
MH;wwealgi999;p0p100;1996;-0.016822983;999;i
MH;wwealgi999;p0p100;1997;0.0094529912;999;i
MH;wwealgi999;p0p100;1998;0.035840344;999;i
MH;wwealgi999;p0p100;1999;0.062969938;999;i
MH;wwealgi999;p0p100;2000;0.091624089;999;i
MH;wwealgi999;p0p100;2001;0.12263044;999;i
MH;wwealgi999;p0p100;2002;0.15577984;999;i
MH;wwealgi999;p0p100;2003;0.1908429;999;i
MH;wwealgi999;p0p100;2004;0.22774185;999;i
MH;wwealgi999;p0p100;2005;0.26512647;999;i
MH;wwealgi999;p0p100;2006;0.2999514;999;i
MH;wwealgi999;p0p100;2007;0.32955986;999;i
MH;wwealgi999;p0p100;2008;0.3515704;999;i
MH;wwealgi999;p0p100;2009;0.36499363;999;i
MH;wwealgi999;p0p100;2010;0.37000716;999;i
MH;wwealgi999;p0p100;2011;0.36870092;999;i
MH;wwealgi999;p0p100;2012;0.3608489;999;i
MH;wwealgi999;p0p100;2013;0.3518438;999;i
MH;wwealgi999;p0p100;2014;0.34168941;999;i
MH;wwealgi999;p0p100;2015;0.33021393;999;i
MH;wwealgi999;p0p100;2016;0.31844711;999;i
MH;wwealgi999;p0p100;2017;0.30795896;999;i
MH;wwealgi999;p0p100;2018;0.29910436;999;i
MH;wwealgi999;p0p100;2019;0.2911455;999;i
MH;wwealgi999;p0p100;2020;0.28404623;999;i
MH;wwealgi999;p0p100;2021;0.27669469;999;i
MH;wwealgi999;p0p100;2022;0.26927018;999;i
MH;wwealni999;p0p100;1995;0.88301796;999;i
MH;wwealni999;p0p100;1996;0.92705798;999;i
MH;wwealni999;p0p100;1997;0.95644981;999;i
MH;wwealni999;p0p100;1998;0.99555206;999;i
MH;wwealni999;p0p100;1999;1.0494043;999;i
MH;wwealni999;p0p100;2000;1.1178789;999;i
MH;wwealni999;p0p100;2001;1.1774276;999;i
MH;wwealni999;p0p100;2002;1.244912;999;i
MH;wwealni999;p0p100;2003;1.3240594;999;i
MH;wwealni999;p0p100;2004;1.4017144;999;i
MH;wwealni999;p0p100;2005;1.4715126;999;i
MH;wwealni999;p0p100;2006;1.5510181;999;i
MH;wwealni999;p0p100;2007;1.6243112;999;i
MH;wwealni999;p0p100;2008;1.6933475;999;i
MH;wwealni999;p0p100;2009;1.7529047;999;i
MH;wwealni999;p0p100;2010;1.8133957;999;i
MH;wwealni999;p0p100;2011;1.8394336;999;i
MH;wwealni999;p0p100;2012;1.9598079;999;i
MH;wwealni999;p0p100;2013;1.9699124;999;i
MH;wwealni999;p0p100;2014;1.9335344;999;i
MH;wwealni999;p0p100;2015;1.9565909;999;i
MH;wwealni999;p0p100;2016;2.0271053;999;i
MH;wwealni999;p0p100;2017;2.108103;999;i
MH;wwealni999;p0p100;2018;2.1886899;999;i
MH;wwealni999;p0p100;2019;2.3032241;999;i
MH;wwealni999;p0p100;2020;2.4134996;999;i
MH;wwealni999;p0p100;2021;2.5251117;999;i
MH;wwealni999;p0p100;2022;2.638875;999;i
MH;wwealpi999;p0p100;1995;0.92623317;999;i
MH;wwealpi999;p0p100;1996;0.94388098;999;i
MH;wwealpi999;p0p100;1997;0.94699693;999;i
MH;wwealpi999;p0p100;1998;0.95971173;999;i
MH;wwealpi999;p0p100;1999;0.98643434;999;i
MH;wwealpi999;p0p100;2000;1.0262548;999;i
MH;wwealpi999;p0p100;2001;1.0547971;999;i
MH;wwealpi999;p0p100;2002;1.0891322;999;i
MH;wwealpi999;p0p100;2003;1.1332165;999;i
MH;wwealpi999;p0p100;2004;1.1739725;999;i
MH;wwealpi999;p0p100;2005;1.2063861;999;i
MH;wwealpi999;p0p100;2006;1.2510668;999;i
MH;wwealpi999;p0p100;2007;1.2947513;999;i
MH;wwealpi999;p0p100;2008;1.3417771;999;i
MH;wwealpi999;p0p100;2009;1.387911;999;i
MH;wwealpi999;p0p100;2010;1.4433886;999;i
MH;wwealpi999;p0p100;2011;1.4707326;999;i
MH;wwealpi999;p0p100;2012;1.598959;999;i
MH;wwealpi999;p0p100;2013;1.6180686;999;i
MH;wwealpi999;p0p100;2014;1.591845;999;i
MH;wwealpi999;p0p100;2015;1.626377;999;i
MH;wwealpi999;p0p100;2016;1.7086582;999;i
MH;wwealpi999;p0p100;2017;1.800144;999;i
MH;wwealpi999;p0p100;2018;1.8895856;999;i
MH;wwealpi999;p0p100;2019;2.0120785;999;i
MH;wwealpi999;p0p100;2020;2.1294534;999;i
MH;wwealpi999;p0p100;2021;2.2484169;999;i
MH;wwealpi999;p0p100;2022;2.3696048;999;i
MH;accshni999;p0p100;1997;0.5;999;i
MH;accshni999;p0p100;1998;0.5;999;i
MH;accshni999;p0p100;1999;0.5;999;i
MH;accshni999;p0p100;2000;0.5;999;i
MH;accshni999;p0p100;2001;0.5;999;i
MH;accshni999;p0p100;2002;0.5;999;i
MH;accshni999;p0p100;2003;0.5;999;i
MH;accshni999;p0p100;2004;0.5;999;i
MH;accshni999;p0p100;2005;0.5;999;i
MH;accshni999;p0p100;2006;0.5;999;i
MH;accshni999;p0p100;2007;0.5;999;i
MH;accshni999;p0p100;2008;0.5;999;i
MH;accshni999;p0p100;2009;0.5;999;i
MH;accshni999;p0p100;2010;0.5;999;i
MH;accshni999;p0p100;2011;0.5;999;i
MH;accshni999;p0p100;2012;0.6;999;i
MH;accshni999;p0p100;2013;0.6;999;i
MH;accshni999;p0p100;2014;0.6;999;i
MH;accshni999;p0p100;2015;0.6;999;i
MH;accshni999;p0p100;2016;0.6;999;i
MH;accshni999;p0p100;2017;0.7;999;i
MH;accshni999;p0p100;2018;0.7;999;i
MH;accshni999;p0p100;2019;0.9;999;i
MH;accshni999;p0p100;2020;0.9;999;i
MH;afdinxi999;p0p100;2007;-175;999;i
MH;afdinxi999;p0p100;2008;-145.6;999;i
MH;afdinxi999;p0p100;2009;-128.9;999;i
MH;afdinxi999;p0p100;2010;-179.9;999;i
MH;afdinxi999;p0p100;2011;-296.2;999;i
MH;afdinxi999;p0p100;2012;-1006.6;999;i
MH;afdinxi999;p0p100;2013;-939.4;999;i
MH;afdinxi999;p0p100;2014;-465.6;999;i
MH;afdinxi999;p0p100;2015;-407.7;999;i
MH;afdinxi999;p0p100;2016;-372.2;999;i
MH;afdinxi999;p0p100;2017;-405.1;999;i
MH;afdinxi999;p0p100;2018;-483;999;i
MH;aflciri999;p0p100;1997;521.6;999;i
MH;aflciri999;p0p100;1998;622.6;999;i
MH;aflciri999;p0p100;1999;690;999;i
MH;aflciri999;p0p100;2000;672.3;999;i
MH;aflciri999;p0p100;2001;650.1;999;i
MH;aflciri999;p0p100;2002;523.9;999;i
MH;aflciri999;p0p100;2003;500.1;999;i
MH;aflciri999;p0p100;2004;570.6;999;i
MH;aflciri999;p0p100;2005;882.2;999;i
MH;aflciri999;p0p100;2006;928.7;999;i
MH;aflciri999;p0p100;2007;917.4;999;i
MH;aflciri999;p0p100;2008;793.8;999;i
MH;aflciri999;p0p100;2009;718.1;999;i
MH;aflciri999;p0p100;2010;631.4;999;i
MH;aflciri999;p0p100;2011;632.3;999;i
MH;aflciri999;p0p100;2012;593.6;999;i
MH;aflciri999;p0p100;2013;593.1;999;i
MH;aflciri999;p0p100;2014;597.2;999;i
MH;aflciri999;p0p100;2015;597.2;999;i
MH;aflciri999;p0p100;2016;630.2;999;i
MH;aflciri999;p0p100;2017;568.4;999;i
MH;aflciri999;p0p100;2018;648.5;999;i
MH;afsubxi999;p0p100;1997;590.6;999;i
MH;afsubxi999;p0p100;1998;577;999;i
MH;afsubxi999;p0p100;1999;563.6;999;i
MH;afsubxi999;p0p100;2000;594.9;999;i
