country;variable;percentile;year;value;age;pop
MP;npopulm001;p0p100;1950;578;001;m
MP;npopulm001;p0p100;1951;638;001;m
MP;npopulm001;p0p100;1952;686;001;m
MP;npopulm001;p0p100;1953;724;001;m
MP;npopulm001;p0p100;1954;746;001;m
MP;npopulm001;p0p100;1955;761;001;m
MP;npopulm001;p0p100;1956;785;001;m
MP;npopulm001;p0p100;1957;817;001;m
MP;npopulm001;p0p100;1958;842;001;m
MP;npopulm001;p0p100;1959;849;001;m
MP;npopulm001;p0p100;1960;853;001;m
MP;npopulm001;p0p100;1961;866;001;m
MP;npopulm001;p0p100;1962;886;001;m
MP;npopulm001;p0p100;1963;914;001;m
MP;npopulm001;p0p100;1964;948;001;m
MP;npopulm001;p0p100;1965;978;001;m
MP;npopulm001;p0p100;1966;995;001;m
MP;npopulm001;p0p100;1967;979;001;m
MP;npopulm001;p0p100;1968;929;001;m
MP;npopulm001;p0p100;1969;883;001;m
MP;npopulm001;p0p100;1970;908;001;m
MP;npopulm001;p0p100;1971;1014;001;m
MP;npopulm001;p0p100;1972;1133;001;m
MP;npopulm001;p0p100;1973;1218;001;m
MP;npopulm001;p0p100;1974;1253;001;m
MP;npopulm001;p0p100;1975;1251;001;m
MP;npopulm001;p0p100;1976;1233;001;m
MP;npopulm001;p0p100;1977;1217;001;m
MP;npopulm001;p0p100;1978;1214;001;m
MP;npopulm001;p0p100;1979;1237;001;m
MP;npopulm001;p0p100;1980;1285;001;m
MP;npopulm001;p0p100;1981;1347;001;m
MP;npopulm001;p0p100;1982;1420;001;m
MP;npopulm001;p0p100;1983;1499;001;m
MP;npopulm001;p0p100;1984;1583;001;m
MP;npopulm001;p0p100;1985;1682;001;m
MP;npopulm001;p0p100;1986;1793;001;m
MP;npopulm001;p0p100;1987;1900;001;m
MP;npopulm001;p0p100;1988;1998;001;m
MP;npopulm001;p0p100;1989;2081;001;m
MP;npopulm001;p0p100;1990;2230;001;m
MP;npopulm001;p0p100;1991;2462;001;m
MP;npopulm001;p0p100;1992;2682;001;m
MP;npopulm001;p0p100;1993;2857;001;m
MP;npopulm001;p0p100;1994;2989;001;m
MP;npopulm001;p0p100;1995;3095;001;m
MP;npopulm001;p0p100;1996;3199;001;m
MP;npopulm001;p0p100;1997;3264;001;m
MP;npopulm001;p0p100;1998;3245;001;m
MP;npopulm001;p0p100;1999;3151;001;m
MP;npopulm001;p0p100;2000;3124;001;m
MP;npopulm001;p0p100;2001;3208;001;m
MP;npopulm001;p0p100;2002;3257;001;m
MP;npopulm001;p0p100;2003;3236;001;m
MP;npopulm001;p0p100;2004;3160;001;m
MP;npopulm001;p0p100;2005;3013;001;m
MP;npopulm001;p0p100;2006;2824;001;m
MP;npopulm001;p0p100;2007;2666;001;m
MP;npopulm001;p0p100;2008;2555;001;m
MP;npopulm001;p0p100;2009;2494;001;m
MP;npopulm001;p0p100;2010;2505;001;m
MP;npopulm001;p0p100;2011;2548;001;m
MP;npopulm001;p0p100;2012;2547;001;m
MP;npopulm001;p0p100;2013;2492;001;m
MP;npopulm001;p0p100;2014;2395;001;m
MP;npopulm001;p0p100;2015;2263;001;m
MP;npopulm001;p0p100;2016;2117;001;m
MP;npopulm001;p0p100;2017;1985;001;m
MP;npopulm001;p0p100;2018;1872;001;m
MP;npopulm001;p0p100;2019;1775;001;m
MP;npopulm001;p0p100;2020;1733;001;m
MP;npopulm001;p0p100;2021;1726;001;m
MP;npopulm001;p0p100;2022;1698;001;m
MP;npopulm001;p0p100;2023;1654;001;m
MP;npopulm001;p0p100;2024;1591;001;m
MP;npopulm014;p0p100;1800;2365;014;m
MP;npopulm014;p0p100;1801;2365;014;m
MP;npopulm014;p0p100;1802;2365;014;m
MP;npopulm014;p0p100;1803;2365;014;m
MP;npopulm014;p0p100;1804;2365;014;m
MP;npopulm014;p0p100;1805;2365;014;m
MP;npopulm014;p0p100;1806;2365;014;m
MP;npopulm014;p0p100;1807;2365;014;m
MP;npopulm014;p0p100;1808;2365;014;m
MP;npopulm014;p0p100;1809;2365;014;m
MP;npopulm014;p0p100;1810;2365;014;m
MP;npopulm014;p0p100;1811;2365;014;m
MP;npopulm014;p0p100;1812;2365;014;m
MP;npopulm014;p0p100;1813;2365;014;m
MP;npopulm014;p0p100;1814;2365;014;m
MP;npopulm014;p0p100;1815;2365;014;m
MP;npopulm014;p0p100;1816;2365;014;m
MP;npopulm014;p0p100;1817;2365;014;m
MP;npopulm014;p0p100;1818;2365;014;m
MP;npopulm014;p0p100;1819;2365;014;m
MP;npopulm014;p0p100;1820;2365;014;m
MP;npopulm014;p0p100;1821;2365;014;m
MP;npopulm014;p0p100;1822;2365;014;m
MP;npopulm014;p0p100;1823;2365;014;m
MP;npopulm014;p0p100;1824;2365;014;m
MP;npopulm014;p0p100;1825;2365;014;m
MP;npopulm014;p0p100;1826;2365;014;m
MP;npopulm014;p0p100;1827;2365;014;m
MP;npopulm014;p0p100;1828;2365;014;m
MP;npopulm014;p0p100;1829;2365;014;m
MP;npopulm014;p0p100;1830;2365;014;m
MP;npopulm014;p0p100;1831;2330;014;m
MP;npopulm014;p0p100;1832;2295;014;m
MP;npopulm014;p0p100;1833;2261;014;m
MP;npopulm014;p0p100;1834;2228;014;m
MP;npopulm014;p0p100;1835;2195;014;m
MP;npopulm014;p0p100;1836;2163;014;m
MP;npopulm014;p0p100;1837;2131;014;m
MP;npopulm014;p0p100;1838;2099;014;m
MP;npopulm014;p0p100;1839;2068;014;m
MP;npopulm014;p0p100;1840;2037;014;m
MP;npopulm014;p0p100;1841;2007;014;m
MP;npopulm014;p0p100;1842;1978;014;m
MP;npopulm014;p0p100;1843;1948;014;m
MP;npopulm014;p0p100;1844;1920;014;m
MP;npopulm014;p0p100;1845;1891;014;m
MP;npopulm014;p0p100;1846;1863;014;m
MP;npopulm014;p0p100;1847;1836;014;m
MP;npopulm014;p0p100;1848;1809;014;m
MP;npopulm014;p0p100;1849;1782;014;m
MP;npopulm014;p0p100;1850;1756;014;m
MP;npopulm014;p0p100;1851;1730;014;m
MP;npopulm014;p0p100;1852;1704;014;m
MP;npopulm014;p0p100;1853;1679;014;m
MP;npopulm014;p0p100;1854;1654;014;m
MP;npopulm014;p0p100;1855;1630;014;m
MP;npopulm014;p0p100;1856;1606;014;m
MP;npopulm014;p0p100;1857;1582;014;m
MP;npopulm014;p0p100;1858;1558;014;m
MP;npopulm014;p0p100;1859;1535;014;m
MP;npopulm014;p0p100;1860;1513;014;m
MP;npopulm014;p0p100;1861;1513;014;m
MP;npopulm014;p0p100;1862;1513;014;m
MP;npopulm014;p0p100;1863;1513;014;m
MP;npopulm014;p0p100;1864;1513;014;m
MP;npopulm014;p0p100;1865;1513;014;m
MP;npopulm014;p0p100;1866;1513;014;m
MP;npopulm014;p0p100;1867;1513;014;m
MP;npopulm014;p0p100;1868;1513;014;m
MP;npopulm014;p0p100;1869;1513;014;m
MP;npopulm014;p0p100;1870;1513;014;m
MP;npopulm014;p0p100;1871;1513;014;m
MP;npopulm014;p0p100;1872;1513;014;m
MP;npopulm014;p0p100;1873;1513;014;m
MP;npopulm014;p0p100;1874;1513;014;m
MP;npopulm014;p0p100;1875;1513;014;m
MP;npopulm014;p0p100;1876;1513;014;m
MP;npopulm014;p0p100;1877;1513;014;m
MP;npopulm014;p0p100;1878;1513;014;m
MP;npopulm014;p0p100;1879;1513;014;m
MP;npopulm014;p0p100;1880;1513;014;m
MP;npopulm014;p0p100;1881;1513;014;m
MP;npopulm014;p0p100;1882;1513;014;m
MP;npopulm014;p0p100;1883;1513;014;m
MP;npopulm014;p0p100;1884;1513;014;m
