country;variable;percentile;year;value;age;pop
MS;wwealgi999;p0p100;1995;0.67680848;999;i
MS;wwealgi999;p0p100;1996;0.74204558;999;i
MS;wwealgi999;p0p100;1997;0.85148168;999;i
MS;wwealgi999;p0p100;1998;0.99100941;999;i
MS;wwealgi999;p0p100;1999;1.137043;999;i
MS;wwealgi999;p0p100;2000;1.090865;999;i
MS;wwealgi999;p0p100;2001;1.0722895;999;i
MS;wwealgi999;p0p100;2002;1.1077334;999;i
MS;wwealgi999;p0p100;2003;1.1733954;999;i
MS;wwealgi999;p0p100;2004;1.2482084;999;i
MS;wwealgi999;p0p100;2005;1.2358018;999;i
MS;wwealgi999;p0p100;2006;1.2219919;999;i
MS;wwealgi999;p0p100;2007;1.2445478;999;i
MS;wwealgi999;p0p100;2008;1.2505786;999;i
MS;wwealgi999;p0p100;2009;1.2567381;999;i
MS;wwealgi999;p0p100;2010;1.2885644;999;i
MS;wwealgi999;p0p100;2011;1.2836093;999;i
MS;wwealgi999;p0p100;2012;1.3021945;999;i
MS;wwealgi999;p0p100;2013;1.2869823;999;i
MS;wwealgi999;p0p100;2014;1.2460579;999;i
MS;wwealgi999;p0p100;2015;1.2433113;999;i
MS;wwealgi999;p0p100;2016;1.2237899;999;i
MS;wwealgi999;p0p100;2017;1.1944693;999;i
MS;wwealgi999;p0p100;2018;1.1459254;999;i
MS;wwealgi999;p0p100;2019;1.1358123;999;i
MS;wwealgi999;p0p100;2020;1.1489353;999;i
MS;wwealgi999;p0p100;2021;1.1268921;999;i
MS;wwealgi999;p0p100;2022;1.0864866;999;i
MS;wwealni999;p0p100;1995;0.91357887;999;i
MS;wwealni999;p0p100;1996;1.0264497;999;i
MS;wwealni999;p0p100;1997;1.1988717;999;i
MS;wwealni999;p0p100;1998;1.4659774;999;i
MS;wwealni999;p0p100;1999;1.7501813;999;i
MS;wwealni999;p0p100;2000;1.6433495;999;i
MS;wwealni999;p0p100;2001;1.5857952;999;i
MS;wwealni999;p0p100;2002;1.6565876;999;i
MS;wwealni999;p0p100;2003;1.7477479;999;i
MS;wwealni999;p0p100;2004;1.8766667;999;i
MS;wwealni999;p0p100;2005;1.8286895;999;i
MS;wwealni999;p0p100;2006;1.8185093;999;i
MS;wwealni999;p0p100;2007;1.9054813;999;i
MS;wwealni999;p0p100;2008;1.9434524;999;i
MS;wwealni999;p0p100;2009;1.9798398;999;i
MS;wwealni999;p0p100;2010;2.0789726;999;i
MS;wwealni999;p0p100;2011;2.047497;999;i
MS;wwealni999;p0p100;2012;2.0969994;999;i
MS;wwealni999;p0p100;2013;2.0847409;999;i
MS;wwealni999;p0p100;2014;2.0380118;999;i
MS;wwealni999;p0p100;2015;2.0746074;999;i
MS;wwealni999;p0p100;2016;2.0951421;999;i
MS;wwealni999;p0p100;2017;2.1185043;999;i
MS;wwealni999;p0p100;2018;2.1237066;999;i
MS;wwealni999;p0p100;2019;2.2169309;999;i
MS;wwealni999;p0p100;2020;2.3623457;999;i
MS;wwealni999;p0p100;2021;2.4431782;999;i
MS;wwealni999;p0p100;2022;2.4914305;999;i
MS;wwealpi999;p0p100;1995;0.39255664;999;i
MS;wwealpi999;p0p100;1996;0.43536866;999;i
MS;wwealpi999;p0p100;1997;0.44405118;999;i
MS;wwealpi999;p0p100;1998;0.49741471;999;i
MS;wwealpi999;p0p100;1999;0.6131385;999;i
MS;wwealpi999;p0p100;2000;0.57147008;999;i
MS;wwealpi999;p0p100;2001;0.60326111;999;i
MS;wwealpi999;p0p100;2002;0.6410749;999;i
MS;wwealpi999;p0p100;2003;0.69347984;999;i
MS;wwealpi999;p0p100;2004;0.68675971;999;i
MS;wwealpi999;p0p100;2005;0.71930879;999;i
MS;wwealpi999;p0p100;2006;0.72759324;999;i
MS;wwealpi999;p0p100;2007;0.79255754;999;i
MS;wwealpi999;p0p100;2008;0.77608049;999;i
MS;wwealpi999;p0p100;2009;0.75816011;999;i
MS;wwealpi999;p0p100;2010;0.79040825;999;i
MS;wwealpi999;p0p100;2011;0.7648896;999;i
MS;wwealpi999;p0p100;2012;0.79480487;999;i
MS;wwealpi999;p0p100;2013;0.79775864;999;i
MS;wwealpi999;p0p100;2014;0.8301475;999;i
MS;wwealpi999;p0p100;2015;0.89602327;999;i
MS;wwealpi999;p0p100;2016;0.94114429;999;i
MS;wwealpi999;p0p100;2017;1.001498;999;i
