country;variable;percentile;year;value;age;pop
NC;wwealgi999;p0p100;1995;0.00039817777;999;i
NC;wwealgi999;p0p100;1996;0.027102694;999;i
NC;wwealgi999;p0p100;1997;0.053476803;999;i
NC;wwealgi999;p0p100;1998;0.079819866;999;i
NC;wwealgi999;p0p100;1999;0.10709041;999;i
NC;wwealgi999;p0p100;2000;0.13569555;999;i
NC;wwealgi999;p0p100;2001;0.165895;999;i
NC;wwealgi999;p0p100;2002;0.19785717;999;i
NC;wwealgi999;p0p100;2003;0.23105507;999;i
NC;wwealgi999;p0p100;2004;0.26500028;999;i
NC;wwealgi999;p0p100;2005;0.2984972;999;i
NC;wwealgi999;p0p100;2006;0.32927921;999;i
NC;wwealgi999;p0p100;2007;0.35505486;999;i
NC;wwealgi999;p0p100;2008;0.37344152;999;i
NC;wwealgi999;p0p100;2009;0.38358176;999;i
NC;wwealgi999;p0p100;2010;0.3857308;999;i
NC;wwealgi999;p0p100;2011;0.3812308;999;i
NC;wwealgi999;p0p100;2012;0.37170258;999;i
NC;wwealgi999;p0p100;2013;0.35888094;999;i
NC;wwealgi999;p0p100;2014;0.34410781;999;i
NC;wwealgi999;p0p100;2015;0.32862315;999;i
NC;wwealgi999;p0p100;2016;0.31363654;999;i
NC;wwealgi999;p0p100;2017;0.29985884;999;i
NC;wwealgi999;p0p100;2018;0.28771132;999;i
NC;wwealgi999;p0p100;2019;0.27707067;999;i
NC;wwealgi999;p0p100;2020;0.26738048;999;i
NC;wwealgi999;p0p100;2021;0.25762507;999;i
NC;wwealgi999;p0p100;2022;0.24786001;999;i
NC;wwealni999;p0p100;1995;0.39015171;999;i
NC;wwealni999;p0p100;1996;0.47170898;999;i
NC;wwealni999;p0p100;1997;0.55435276;999;i
NC;wwealni999;p0p100;1998;0.64168817;999;i
NC;wwealni999;p0p100;1999;0.72410822;999;i
NC;wwealni999;p0p100;2000;0.80922675;999;i
NC;wwealni999;p0p100;2001;0.89912838;999;i
NC;wwealni999;p0p100;2002;0.98284894;999;i
NC;wwealni999;p0p100;2003;1.0775435;999;i
NC;wwealni999;p0p100;2004;1.1783783;999;i
NC;wwealni999;p0p100;2005;1.2772913;999;i
NC;wwealni999;p0p100;2006;1.378889;999;i
NC;wwealni999;p0p100;2007;1.464349;999;i
NC;wwealni999;p0p100;2008;1.5442177;999;i
NC;wwealni999;p0p100;2009;1.6095313;999;i
NC;wwealni999;p0p100;2010;1.660938;999;i
NC;wwealni999;p0p100;2011;1.705646;999;i
NC;wwealni999;p0p100;2012;1.7512634;999;i
NC;wwealni999;p0p100;2013;1.7962365;999;i
NC;wwealni999;p0p100;2014;1.8464553;999;i
NC;wwealni999;p0p100;2015;1.906117;999;i
NC;wwealni999;p0p100;2016;1.974689;999;i
NC;wwealni999;p0p100;2017;2.0556023;999;i
NC;wwealni999;p0p100;2018;2.1484723;999;i
NC;wwealni999;p0p100;2019;2.2519586;999;i
NC;wwealni999;p0p100;2020;2.3626671;999;i
NC;wwealni999;p0p100;2021;2.47475;999;i
NC;wwealni999;p0p100;2022;2.5872638;999;i
