country;variable;percentile;year;value;age;pop
NR;wwealpi999;p0p100;1995;0.5876506;999;i
NR;wwealpi999;p0p100;1996;0.64117515;999;i
NR;wwealpi999;p0p100;1997;0.70116603;999;i
NR;wwealpi999;p0p100;1998;0.75565445;999;i
NR;wwealpi999;p0p100;1999;0.80383664;999;i
NR;wwealpi999;p0p100;2000;0.87347615;999;i
NR;wwealpi999;p0p100;2001;0.95412087;999;i
NR;wwealpi999;p0p100;2002;1.0293584;999;i
NR;wwealpi999;p0p100;2003;1.0982805;999;i
NR;wwealpi999;p0p100;2004;1.1733153;999;i
NR;wwealpi999;p0p100;2005;1.2568096;999;i
NR;wwealpi999;p0p100;2006;1.3492122;999;i
NR;wwealpi999;p0p100;2007;1.4218161;999;i
NR;wwealpi999;p0p100;2008;1.4664292;999;i
NR;wwealpi999;p0p100;2009;1.5274895;999;i
NR;wwealpi999;p0p100;2010;1.5878596;999;i
NR;wwealpi999;p0p100;2011;1.6365677;999;i
NR;wwealpi999;p0p100;2012;1.6920376;999;i
NR;wwealpi999;p0p100;2013;1.7623788;999;i
NR;wwealpi999;p0p100;2014;1.840992;999;i
NR;wwealpi999;p0p100;2015;1.9203938;999;i
NR;wwealpi999;p0p100;2016;2.0144479;999;i
NR;wwealpi999;p0p100;2017;2.1169105;999;i
NR;wwealpi999;p0p100;2018;2.2306035;999;i
NR;wwealpi999;p0p100;2019;2.3509884;999;i
NR;wwealpi999;p0p100;2020;2.4758823;999;i
NR;wwealpi999;p0p100;2021;2.6009619;999;i
NR;wwealpi999;p0p100;2022;2.7253234;999;i
NR;afdipxi999;p0p100;2008;0;999;i
NR;afdipxi999;p0p100;2009;0;999;i
NR;afdipxi999;p0p100;2010;0;999;i
NR;afdipxi999;p0p100;2011;0;999;i
NR;afdipxi999;p0p100;2012;0;999;i
NR;afdipxi999;p0p100;2013;0;999;i
NR;afdipxi999;p0p100;2014;0;999;i
NR;afdipxi999;p0p100;2015;0;999;i
NR;afdipxi999;p0p100;2016;0;999;i
NR;afdipxi999;p0p100;2017;0;999;i
NR;afdipxi999;p0p100;2018;0;999;i
NR;aflcini999;p0p100;2008;-98.4;999;i
NR;aflcini999;p0p100;2009;12.6;999;i
NR;aflcini999;p0p100;2010;164;999;i
NR;aflcini999;p0p100;2011;198.5;999;i
NR;aflcini999;p0p100;2012;865.5;999;i
NR;aflcini999;p0p100;2013;1324.7;999;i
NR;aflcini999;p0p100;2014;966.4;999;i
NR;aflcini999;p0p100;2015;1078.2;999;i
NR;aflcini999;p0p100;2016;982.3;999;i
NR;aflcini999;p0p100;2017;811.7;999;i
NR;aflcini999;p0p100;2018;590.4;999;i
NR;aflcipi999;p0p100;2008;854.8;999;i
NR;aflcipi999;p0p100;2009;568.5;999;i
NR;aflcipi999;p0p100;2010;546.3;999;i
NR;aflcipi999;p0p100;2011;449.8;999;i
NR;aflcipi999;p0p100;2012;370.6;999;i
NR;aflcipi999;p0p100;2013;394.9;999;i
NR;aflcipi999;p0p100;2014;329.6;999;i
NR;aflcipi999;p0p100;2015;321.1;999;i
NR;aflcipi999;p0p100;2016;267.4;999;i
NR;aflcipi999;p0p100;2017;248;999;i
NR;aflcipi999;p0p100;2018;228.5;999;i
NR;aftaxxi999;p0p100;2008;0;999;i
NR;aftaxxi999;p0p100;2009;0;999;i
NR;aftaxxi999;p0p100;2010;0;999;i
NR;aftaxxi999;p0p100;2011;0;999;i
NR;aftaxxi999;p0p100;2012;0;999;i
NR;aftaxxi999;p0p100;2013;0;999;i
NR;aftaxxi999;p0p100;2014;0;999;i
NR;aftaxxi999;p0p100;2015;0;999;i
NR;aftaxxi999;p0p100;2016;0;999;i
NR;aftaxxi999;p0p100;2017;0;999;i
NR;aftaxxi999;p0p100;2018;0;999;i
NR;mgweali999;p0p100;1995;1806791.625;999;i
NR;mgweali999;p0p100;1996;4613440.5;999;i
NR;mgweali999;p0p100;1997;6837266;999;i
NR;mgweali999;p0p100;1998;8719420;999;i
NR;mgweali999;p0p100;1999;10649465;999;i
NR;mgweali999;p0p100;2000;12417193;999;i
NR;mgweali999;p0p100;2001;13807765;999;i
NR;mgweali999;p0p100;2002;15649000;999;i
NR;mgweali999;p0p100;2003;18005412;999;i
NR;mgweali999;p0p100;2004;18969924;999;i
NR;mgweali999;p0p100;2005;22173612;999;i
NR;mgweali999;p0p100;2006;22766598;999;i
NR;mgweali999;p0p100;2007;23939650;999;i
NR;mgweali999;p0p100;2008;31436410;999;i
NR;mgweali999;p0p100;2009;38529508;999;i
NR;mgweali999;p0p100;2010;43088380;999;i
NR;mgweali999;p0p100;2011;45628544;999;i
NR;mgweali999;p0p100;2012;57905132;999;i
NR;mgweali999;p0p100;2013;76070544;999;i
NR;mgweali999;p0p100;2014;86484704;999;i
NR;mgweali999;p0p100;2015;93031848;999;i
NR;mgweali999;p0p100;2016;91224088;999;i
NR;mgweali999;p0p100;2017;91169560;999;i
