country;variable;percentile;year;value;age;pop
OH-MER;mscogri999;p0p100;1980;332281260;999;i
OH-MER;mscogri999;p0p100;1981;363939792;999;i
OH-MER;mscogri999;p0p100;1982;381598379;999;i
OH-MER;mscogri999;p0p100;1983;447389555;999;i
OH-MER;mscogri999;p0p100;1984;479902310;999;i
OH-MER;mscogri999;p0p100;1985;504248080;999;i
OH-MER;mscogri999;p0p100;1986;486380056;999;i
OH-MER;mscogri999;p0p100;1987;533603841;999;i
OH-MER;mscogri999;p0p100;1988;535033703;999;i
OH-MER;mscogri999;p0p100;1989;559219605;999;i
OH-MER;mscogri999;p0p100;1990;539854326;999;i
OH-MER;mscogri999;p0p100;1991;477161270;999;i
OH-MER;mscogri999;p0p100;1992;483928372;999;i
OH-MER;mscogri999;p0p100;1993;519577415;999;i
OH-MER;mscogri999;p0p100;1994;576839873;999;i
OH-MER;mscogri999;p0p100;1995;588249968;999;i
OH-MER;mscogri999;p0p100;1996;600597645;999;i
OH-MER;mscogri999;p0p100;1997;607623182;999;i
OH-MER;mscogri999;p0p100;1998;632638775;999;i
OH-MER;mscogri999;p0p100;1999;679086967;999;i
OH-MER;mscogri999;p0p100;2000;712544218;999;i
OH-MER;mscogri999;p0p100;2001;734531481;999;i
OH-MER;mscogri999;p0p100;2002;737215294;999;i
OH-MER;mscogri999;p0p100;2003;740420385;999;i
OH-MER;mscogri999;p0p100;2004;760298753;999;i
OH-MER;mscogri999;p0p100;2005;765773879;999;i
OH-MER;mscogri999;p0p100;2006;744507262;999;i
OH-MER;mscogri999;p0p100;2007;764481430;999;i
OH-MER;mscogri999;p0p100;2008;759273720;999;i
OH-MER;mscogri999;p0p100;2009;748812563;999;i
OH-MER;mscogri999;p0p100;2010;721747285;999;i
OH-MER;mscogri999;p0p100;2011;670578323;999;i
OH-MER;mscogri999;p0p100;2012;656792709;999;i
OH-MER;mscogri999;p0p100;2013;696901071;999;i
OH-MER;mscogri999;p0p100;2014;693343531;999;i
OH-MER;mscogri999;p0p100;2015;705775908;999;i
OH-MER;mscogri999;p0p100;2016;713265982;999;i
OH-MER;mscogri999;p0p100;2017;718617259;999;i
OH-MER;mscogri999;p0p100;2018;719969112;999;i
OH-MER;mscogri999;p0p100;2019;729013811;999;i
OH-MER;mscogri999;p0p100;2020;718439890;999;i
