country;variable;percentile;year;value;age;pop
OO;npopulf001;p0p100;1950;1856287;001;f
OO;npopulf001;p0p100;1951;1912909;001;f
OO;npopulf001;p0p100;1952;1979438;001;f
OO;npopulf001;p0p100;1953;2051865;001;f
OO;npopulf001;p0p100;1954;2126477;001;f
OO;npopulf001;p0p100;1955;2196283;001;f
OO;npopulf001;p0p100;1956;2258221;001;f
OO;npopulf001;p0p100;1957;2304352;001;f
OO;npopulf001;p0p100;1958;2336790;001;f
OO;npopulf001;p0p100;1959;2378435;001;f
OO;npopulf001;p0p100;1960;2434170;001;f
OO;npopulf001;p0p100;1961;2506099;001;f
OO;npopulf001;p0p100;1962;2615002;001;f
OO;npopulf001;p0p100;1963;2752347;001;f
OO;npopulf001;p0p100;1964;2886897;001;f
OO;npopulf001;p0p100;1965;3022342;001;f
OO;npopulf001;p0p100;1966;3159020;001;f
OO;npopulf001;p0p100;1967;3279052;001;f
OO;npopulf001;p0p100;1968;3385125;001;f
OO;npopulf001;p0p100;1969;3489899;001;f
OO;npopulf001;p0p100;1970;3594356;001;f
OO;npopulf001;p0p100;1971;3701129;001;f
OO;npopulf001;p0p100;1972;3812254;001;f
OO;npopulf001;p0p100;1973;3924357;001;f
OO;npopulf001;p0p100;1974;4043851;001;f
OO;npopulf001;p0p100;1975;4174414;001;f
OO;npopulf001;p0p100;1976;4306205;001;f
OO;npopulf001;p0p100;1977;4442152;001;f
OO;npopulf001;p0p100;1978;4580061;001;f
OO;npopulf001;p0p100;1979;4714651;001;f
OO;npopulf001;p0p100;1980;4852841;001;f
OO;npopulf001;p0p100;1981;4991258;001;f
OO;npopulf001;p0p100;1982;5109052;001;f
OO;npopulf001;p0p100;1983;5212564;001;f
OO;npopulf001;p0p100;1984;5340022;001;f
OO;npopulf001;p0p100;1985;5476169;001;f
OO;npopulf001;p0p100;1986;5614647;001;f
OO;npopulf001;p0p100;1987;5762205;001;f
OO;npopulf001;p0p100;1988;5900647;001;f
OO;npopulf001;p0p100;1989;6029659;001;f
OO;npopulf001;p0p100;1990;6091332;001;f
OO;npopulf001;p0p100;1991;6161331;001;f
OO;npopulf001;p0p100;1992;6294429;001;f
OO;npopulf001;p0p100;1993;6444268;001;f
OO;npopulf001;p0p100;1994;6593952;001;f
OO;npopulf001;p0p100;1995;6707355;001;f
OO;npopulf001;p0p100;1996;6790614;001;f
OO;npopulf001;p0p100;1997;6854298;001;f
OO;npopulf001;p0p100;1998;6915900;001;f
OO;npopulf001;p0p100;1999;6980363;001;f
OO;npopulf001;p0p100;2000;7054464;001;f
OO;npopulf001;p0p100;2001;7140238;001;f
OO;npopulf001;p0p100;2002;7235344;001;f
OO;npopulf001;p0p100;2003;7333009;001;f
OO;npopulf001;p0p100;2004;7436567;001;f
OO;npopulf001;p0p100;2005;7555184;001;f
OO;npopulf001;p0p100;2006;7673025;001;f
OO;npopulf001;p0p100;2007;7798879;001;f
OO;npopulf001;p0p100;2008;7982102;001;f
OO;npopulf001;p0p100;2009;8201907;001;f
OO;npopulf001;p0p100;2010;8427288;001;f
OO;npopulf001;p0p100;2011;8659307;001;f
OO;npopulf001;p0p100;2012;8887678;001;f
OO;npopulf001;p0p100;2013;9113967;001;f
OO;npopulf001;p0p100;2014;9296558;001;f
OO;npopulf001;p0p100;2015;9392052;001;f
OO;npopulf001;p0p100;2016;9408404;001;f
OO;npopulf001;p0p100;2017;9376802;001;f
OO;npopulf001;p0p100;2018;9340017;001;f
OO;npopulf001;p0p100;2019;9326926;001;f
OO;npopulf001;p0p100;2020;9352153;001;f
OO;npopulf001;p0p100;2021;9420897;001;f
OO;npopulf001;p0p100;2022;9531273;001;f
OO;npopulf001;p0p100;2023;9669488;001;f
OO;npopuli001;p0p100;1950;3809370;001;i
OO;npopuli001;p0p100;1951;3912419;001;i
OO;npopuli001;p0p100;1952;4036012;001;i
OO;npopuli001;p0p100;1953;4172625;001;i
OO;npopuli001;p0p100;1954;4318646;001;i
OO;npopuli001;p0p100;1955;4460394;001;i
OO;npopuli001;p0p100;1956;4587837;001;i
OO;npopuli001;p0p100;1957;4683405;001;i
OO;npopuli001;p0p100;1958;4751583;001;i
OO;npopuli001;p0p100;1959;4838723;001;i
OO;npopuli001;p0p100;1960;4954214;001;i
OO;npopuli001;p0p100;1961;5102730;001;i
OO;npopuli001;p0p100;1962;5326821;001;i
OO;npopuli001;p0p100;1963;5608854;001;i
OO;npopuli001;p0p100;1964;5885334;001;i
OO;npopuli001;p0p100;1965;6163622;001;i
OO;npopuli001;p0p100;1966;6443988;001;i
OO;npopuli001;p0p100;1967;6689948;001;i
OO;npopuli001;p0p100;1968;6907514;001;i
OO;npopuli001;p0p100;1969;7122770;001;i
OO;npopuli001;p0p100;1970;7337826;001;i
OO;npopuli001;p0p100;1971;7558467;001;i
OO;npopuli001;p0p100;1972;7788946;001;i
OO;npopuli001;p0p100;1973;8022297;001;i
OO;npopuli001;p0p100;1974;8270681;001;i
OO;npopuli001;p0p100;1975;8540977;001;i
OO;npopuli001;p0p100;1976;8812669;001;i
OO;npopuli001;p0p100;1977;9091798;001;i
OO;npopuli001;p0p100;1978;9376279;001;i
OO;npopuli001;p0p100;1979;9655908;001;i
OO;npopuli001;p0p100;1980;9943589;001;i
OO;npopuli001;p0p100;1981;10232088;001;i
OO;npopuli001;p0p100;1982;10484380;001;i
OO;npopuli001;p0p100;1983;10713926;001;i
OO;npopuli001;p0p100;1984;10980043;001;i
OO;npopuli001;p0p100;1985;11251256;001;i
OO;npopuli001;p0p100;1986;11527097;001;i
OO;npopuli001;p0p100;1987;11820901;001;i
OO;npopuli001;p0p100;1988;12095193;001;i
OO;npopuli001;p0p100;1989;12354320;001;i
OO;npopuli001;p0p100;1990;12480637;001;i
OO;npopuli001;p0p100;1991;12624546;001;i
