country;variable;percentile;year;value;age;pop
OP;npopulf001;p0p100;1950;3068525;001;f
OP;npopulf001;p0p100;1951;3149395;001;f
OP;npopulf001;p0p100;1952;3226419;001;f
OP;npopulf001;p0p100;1953;3299913;001;f
OP;npopulf001;p0p100;1954;3378610;001;f
OP;npopulf001;p0p100;1955;3462477;001;f
OP;npopulf001;p0p100;1956;3545649;001;f
OP;npopulf001;p0p100;1957;3629418;001;f
OP;npopulf001;p0p100;1958;3713382;001;f
OP;npopulf001;p0p100;1959;3796869;001;f
OP;npopulf001;p0p100;1960;3880817;001;f
OP;npopulf001;p0p100;1961;3964284;001;f
OP;npopulf001;p0p100;1962;4045957;001;f
OP;npopulf001;p0p100;1963;4124636;001;f
OP;npopulf001;p0p100;1964;4201445;001;f
OP;npopulf001;p0p100;1965;4276196;001;f
OP;npopulf001;p0p100;1966;4347685;001;f
OP;npopulf001;p0p100;1967;4417801;001;f
OP;npopulf001;p0p100;1968;4488033;001;f
OP;npopulf001;p0p100;1969;4558014;001;f
OP;npopulf001;p0p100;1970;4628113;001;f
OP;npopulf001;p0p100;1971;4698379;001;f
OP;npopulf001;p0p100;1972;4769226;001;f
OP;npopulf001;p0p100;1973;4837340;001;f
OP;npopulf001;p0p100;1974;4896019;001;f
OP;npopulf001;p0p100;1975;4930573;001;f
OP;npopulf001;p0p100;1976;4944763;001;f
OP;npopulf001;p0p100;1977;4956288;001;f
OP;npopulf001;p0p100;1978;4982849;001;f
OP;npopulf001;p0p100;1979;5036821;001;f
OP;npopulf001;p0p100;1980;5093812;001;f
OP;npopulf001;p0p100;1981;5111730;001;f
OP;npopulf001;p0p100;1982;5165819;001;f
OP;npopulf001;p0p100;1983;5293196;001;f
OP;npopulf001;p0p100;1984;5431672;001;f
OP;npopulf001;p0p100;1985;5544558;001;f
OP;npopulf001;p0p100;1986;5623493;001;f
OP;npopulf001;p0p100;1987;5701670;001;f
OP;npopulf001;p0p100;1988;5800812;001;f
OP;npopulf001;p0p100;1989;5917032;001;f
OP;npopulf001;p0p100;1990;6007357;001;f
OP;npopulf001;p0p100;1991;6103911;001;f
OP;npopulf001;p0p100;1992;6303344;001;f
OP;npopulf001;p0p100;1993;6586071;001;f
OP;npopulf001;p0p100;1994;6860189;001;f
OP;npopulf001;p0p100;1995;7091083;001;f
OP;npopulf001;p0p100;1996;7276444;001;f
OP;npopulf001;p0p100;1997;7409125;001;f
OP;npopulf001;p0p100;1998;7482083;001;f
OP;npopulf001;p0p100;1999;7496525;001;f
OP;npopulf001;p0p100;2000;7439148;001;f
OP;npopulf001;p0p100;2001;7387456;001;f
OP;npopulf001;p0p100;2002;7445457;001;f
OP;npopulf001;p0p100;2003;7532029;001;f
OP;npopulf001;p0p100;2004;7558637;001;f
OP;npopulf001;p0p100;2005;7578977;001;f
OP;npopulf001;p0p100;2006;7605172;001;f
OP;npopulf001;p0p100;2007;7575937;001;f
OP;npopulf001;p0p100;2008;7563214;001;f
OP;npopulf001;p0p100;2009;7592241;001;f
OP;npopulf001;p0p100;2010;7603587;001;f
OP;npopulf001;p0p100;2011;7642681;001;f
OP;npopulf001;p0p100;2012;7707376;001;f
OP;npopulf001;p0p100;2013;7771578;001;f
OP;npopulf001;p0p100;2014;7857176;001;f
OP;npopulf001;p0p100;2015;7943140;001;f
OP;npopulf001;p0p100;2016;8019566;001;f
OP;npopulf001;p0p100;2017;8088688;001;f
OP;npopulf001;p0p100;2018;8136893;001;f
