country;variable;percentile;year;value;age;pop
OQ;npopulf001;p0p100;1950;6680809;001;f
OQ;npopulf001;p0p100;1951;6866225;001;f
OQ;npopulf001;p0p100;1952;7062683;001;f
OQ;npopulf001;p0p100;1953;7279837;001;f
OQ;npopulf001;p0p100;1954;7503415;001;f
OQ;npopulf001;p0p100;1955;7712313;001;f
OQ;npopulf001;p0p100;1956;7916873;001;f
OQ;npopulf001;p0p100;1957;8126727;001;f
OQ;npopulf001;p0p100;1958;8340146;001;f
OQ;npopulf001;p0p100;1959;8560601;001;f
OQ;npopulf001;p0p100;1960;8788403;001;f
OQ;npopulf001;p0p100;1961;9025064;001;f
OQ;npopulf001;p0p100;1962;9270182;001;f
OQ;npopulf001;p0p100;1963;9518254;001;f
OQ;npopulf001;p0p100;1964;9770812;001;f
OQ;npopulf001;p0p100;1965;10029287;001;f
OQ;npopulf001;p0p100;1966;10287858;001;f
OQ;npopulf001;p0p100;1967;10550865;001;f
OQ;npopulf001;p0p100;1968;10828976;001;f
OQ;npopulf001;p0p100;1969;11122313;001;f
OQ;npopulf001;p0p100;1970;11432734;001;f
OQ;npopulf001;p0p100;1971;11758221;001;f
OQ;npopulf001;p0p100;1972;12092194;001;f
OQ;npopulf001;p0p100;1973;12437252;001;f
OQ;npopulf001;p0p100;1974;12797270;001;f
OQ;npopulf001;p0p100;1975;13175532;001;f
OQ;npopulf001;p0p100;1976;13573190;001;f
OQ;npopulf001;p0p100;1977;13990820;001;f
OQ;npopulf001;p0p100;1978;14445384;001;f
OQ;npopulf001;p0p100;1979;14937488;001;f
OQ;npopulf001;p0p100;1980;15415020;001;f
OQ;npopulf001;p0p100;1981;15851473;001;f
OQ;npopulf001;p0p100;1982;16292770;001;f
OQ;npopulf001;p0p100;1983;16748293;001;f
OQ;npopulf001;p0p100;1984;17197295;001;f
OQ;npopulf001;p0p100;1985;17654643;001;f
OQ;npopulf001;p0p100;1986;18125073;001;f
OQ;npopulf001;p0p100;1987;18579817;001;f
OQ;npopulf001;p0p100;1988;18968812;001;f
OQ;npopulf001;p0p100;1989;19366892;001;f
OQ;npopulf001;p0p100;1990;19807380;001;f
OQ;npopulf001;p0p100;1991;20199949;001;f
OQ;npopulf001;p0p100;1992;20583136;001;f
OQ;npopulf001;p0p100;1993;21026231;001;f
OQ;npopulf001;p0p100;1994;21527531;001;f
OQ;npopulf001;p0p100;1995;22056607;001;f
OQ;npopulf001;p0p100;1996;22586057;001;f
OQ;npopulf001;p0p100;1997;23126738;001;f
OQ;npopulf001;p0p100;1998;23672879;001;f
OQ;npopulf001;p0p100;1999;24249055;001;f
OQ;npopulf001;p0p100;2000;24873861;001;f
OQ;npopulf001;p0p100;2001;25525033;001;f
OQ;npopulf001;p0p100;2002;26196176;001;f
