country;variable;percentile;year;value;age;pop
PF;wwealgi999;p0p100;1995;0.046206661;999;i
PF;wwealgi999;p0p100;1996;0.072227687;999;i
PF;wwealgi999;p0p100;1997;0.098059393;999;i
PF;wwealgi999;p0p100;1998;0.12402583;999;i
PF;wwealgi999;p0p100;1999;0.15090285;999;i
PF;wwealgi999;p0p100;2000;0.17947696;999;i
PF;wwealgi999;p0p100;2001;0.21016699;999;i
PF;wwealgi999;p0p100;2002;0.2429751;999;i
PF;wwealgi999;p0p100;2003;0.27765805;999;i
PF;wwealgi999;p0p100;2004;0.31367826;999;i
PF;wwealgi999;p0p100;2005;0.34962562;999;i
PF;wwealgi999;p0p100;2006;0.38316038;999;i
PF;wwealgi999;p0p100;2007;0.41147205;999;i
PF;wwealgi999;p0p100;2008;0.43227097;999;i
PF;wwealgi999;p0p100;2009;0.44449621;999;i
PF;wwealgi999;p0p100;2010;0.44848526;999;i
PF;wwealgi999;p0p100;2011;0.44566146;999;i
PF;wwealgi999;p0p100;2012;0.43783122;999;i
PF;wwealgi999;p0p100;2013;0.42673215;999;i
PF;wwealgi999;p0p100;2014;0.41384283;999;i
PF;wwealgi999;p0p100;2015;0.40037948;999;i
PF;wwealgi999;p0p100;2016;0.38740787;999;i
PF;wwealgi999;p0p100;2017;0.3756353;999;i
PF;wwealgi999;p0p100;2018;0.36537126;999;i
PF;wwealgi999;p0p100;2019;0.356444;999;i
PF;wwealgi999;p0p100;2020;0.34819022;999;i
PF;wwealgi999;p0p100;2021;0.33955812;999;i
PF;wwealgi999;p0p100;2022;0.33073634;999;i
PF;wwealni999;p0p100;1995;0.56394869;999;i
PF;wwealni999;p0p100;1996;0.64146304;999;i
PF;wwealni999;p0p100;1997;0.71898288;999;i
PF;wwealni999;p0p100;1998;0.79745722;999;i
PF;wwealni999;p0p100;1999;0.87775618;999;i
PF;wwealni999;p0p100;2000;0.96092415;999;i
PF;wwealni999;p0p100;2001;1.048317;999;i
PF;wwealni999;p0p100;2002;1.1408378;999;i
PF;wwealni999;p0p100;2003;1.238871;999;i
PF;wwealni999;p0p100;2004;1.3414601;999;i
PF;wwealni999;p0p100;2005;1.4458376;999;i
PF;wwealni999;p0p100;2006;1.5471358;999;i
PF;wwealni999;p0p100;2007;1.6393267;999;i
PF;wwealni999;p0p100;2008;1.7180294;999;i
PF;wwealni999;p0p100;2009;1.7820987;999;i
PF;wwealni999;p0p100;2010;1.8329132;999;i
PF;wwealni999;p0p100;2011;1.8753743;999;i
PF;wwealni999;p0p100;2012;1.9156547;999;i
PF;wwealni999;p0p100;2013;1.9589361;999;i
PF;wwealni999;p0p100;2014;2.0089738;999;i
PF;wwealni999;p0p100;2015;2.0684109;999;i
PF;wwealni999;p0p100;2016;2.1388586;999;i
PF;wwealni999;p0p100;2017;2.2211945;999;i
PF;wwealni999;p0p100;2018;2.3154964;999;i
PF;wwealni999;p0p100;2019;2.4204395;999;i
PF;wwealni999;p0p100;2020;2.5324223;999;i
PF;wwealni999;p0p100;2021;2.6452668;999;i
PF;wwealni999;p0p100;2022;2.7581878;999;i
PF;wwealpi999;p0p100;1995;0.5177418;999;i
PF;wwealpi999;p0p100;1996;0.56923538;999;i
PF;wwealpi999;p0p100;1997;0.62092346;999;i
PF;wwealpi999;p0p100;1998;0.67343134;999;i
PF;wwealpi999;p0p100;1999;0.72685331;999;i
PF;wwealpi999;p0p100;2000;0.78144717;999;i
PF;wwealpi999;p0p100;2001;0.83814985;999;i
PF;wwealpi999;p0p100;2002;0.89786267;999;i
PF;wwealpi999;p0p100;2003;0.96121287;999;i
PF;wwealpi999;p0p100;2004;1.0277818;999;i
PF;wwealpi999;p0p100;2005;1.0962119;999;i
PF;wwealpi999;p0p100;2006;1.1639754;999;i
PF;wwealpi999;p0p100;2007;1.2278547;999;i
PF;wwealpi999;p0p100;2008;1.2857584;999;i
PF;wwealpi999;p0p100;2009;1.3376024;999;i
PF;wwealpi999;p0p100;2010;1.3844279;999;i
PF;wwealpi999;p0p100;2011;1.4297129;999;i
PF;wwealpi999;p0p100;2012;1.4778234;999;i
PF;wwealpi999;p0p100;2013;1.5322039;999;i
PF;wwealpi999;p0p100;2014;1.595131;999;i
PF;wwealpi999;p0p100;2015;1.6680315;999;i
PF;wwealpi999;p0p100;2016;1.7514507;999;i
PF;wwealpi999;p0p100;2017;1.8455592;999;i
PF;wwealpi999;p0p100;2018;1.950125;999;i
PF;wwealpi999;p0p100;2019;2.0639956;999;i
PF;wwealpi999;p0p100;2020;2.1842322;999;i
PF;wwealpi999;p0p100;2021;2.3057084;999;i
PF;wwealpi999;p0p100;2022;2.4274509;999;i
PF;aftaxxi992;p0p100;2002;0;992;i
PF;aftaxxi992;p0p100;2003;0;992;i
PF;aftaxxi992;p0p100;2004;0;992;i
PF;aftaxxi992;p0p100;2005;0;992;i
PF;aftaxxi992;p0p100;2006;0;992;i
PF;aftaxxi992;p0p100;2007;0;992;i
PF;aftaxxi992;p0p100;2008;0;992;i
PF;aftaxxi992;p0p100;2009;0;992;i
PF;aftaxxi992;p0p100;2010;0;992;i
PF;aftaxxi992;p0p100;2011;0;992;i
PF;aftaxxi992;p0p100;2012;0;992;i
PF;aftaxxi992;p0p100;2013;0;992;i
PF;aftaxxi992;p0p100;2014;0;992;i
PF;aftaxxi992;p0p100;2015;0;992;i
PF;aftaxxi992;p0p100;2016;0;992;i
PF;acomnxi999;p0p100;2002;247472.2;999;i
PF;acomnxi999;p0p100;2003;260205.8;999;i
PF;acomnxi999;p0p100;2004;277018.8;999;i
PF;acomnxi999;p0p100;2005;249031.6;999;i
PF;acomnxi999;p0p100;2006;260526.7;999;i
PF;acomnxi999;p0p100;2007;254151.8;999;i
PF;acomnxi999;p0p100;2008;248778;999;i
PF;acomnxi999;p0p100;2009;243472.3;999;i
PF;acomnxi999;p0p100;2010;224117.3;999;i
PF;acomnxi999;p0p100;2011;233134.9;999;i
PF;acomnxi999;p0p100;2012;216618;999;i
PF;acomnxi999;p0p100;2013;219684;999;i
PF;acomnxi999;p0p100;2014;214085.7;999;i
PF;acomnxi999;p0p100;2015;218246.7;999;i
PF;acomnxi999;p0p100;2016;222684.1;999;i
PF;acomrxi999;p0p100;2002;273345.6;999;i
PF;acomrxi999;p0p100;2003;273844.8;999;i
PF;acomrxi999;p0p100;2004;283910.6;999;i
PF;acomrxi999;p0p100;2005;255747.1;999;i
PF;acomrxi999;p0p100;2006;267100.5;999;i
PF;acomrxi999;p0p100;2007;260389.4;999;i
PF;acomrxi999;p0p100;2008;258321.6;999;i
PF;acomrxi999;p0p100;2009;254331.9;999;i
PF;acomrxi999;p0p100;2010;232742.1;999;i
PF;acomrxi999;p0p100;2011;240105.4;999;i
PF;acomrxi999;p0p100;2012;222811.3;999;i
PF;acomrxi999;p0p100;2013;225187.1;999;i
PF;acomrxi999;p0p100;2014;218112.8;999;i
PF;acomrxi999;p0p100;2015;221678.2;999;i
PF;acomrxi999;p0p100;2016;229926;999;i
PF;afdinxi992;p0p100;2002;-1129.7;992;i
PF;afdinxi992;p0p100;2003;-1457.8;992;i
PF;afdinxi992;p0p100;2004;-1422.6;992;i
PF;afdinxi992;p0p100;2005;-1275.1;992;i
PF;afdinxi992;p0p100;2006;-3345.9;992;i
PF;afdinxi992;p0p100;2007;-3361.2;992;i
PF;afdinxi992;p0p100;2008;-3057.8;992;i
PF;afdinxi992;p0p100;2009;-3231.4;992;i
PF;afdinxi992;p0p100;2010;-5297.9;992;i
PF;afdinxi992;p0p100;2011;-4774.2;992;i
PF;afdinxi992;p0p100;2012;-3844.2;992;i
PF;afdinxi992;p0p100;2013;-4995.6;992;i
PF;afdinxi992;p0p100;2014;-890.9;992;i
PF;afdinxi992;p0p100;2015;-2459.2;992;i
PF;afdinxi992;p0p100;2016;-11439.9;992;i
PF;afdipxi992;p0p100;2002;2733.1;992;i
PF;afdipxi992;p0p100;2003;1744.1;992;i
