country;variable;percentile;year;value;age;pop
PM;npopulm201;p0p100;1950;187;201;m
PM;npopulm201;p0p100;1951;182;201;m
PM;npopulm201;p0p100;1952;175;201;m
PM;npopulm201;p0p100;1953;169;201;m
PM;npopulm201;p0p100;1954;166;201;m
PM;npopulm201;p0p100;1955;167;201;m
PM;npopulm201;p0p100;1956;173;201;m
PM;npopulm201;p0p100;1957;182;201;m
PM;npopulm201;p0p100;1958;191;201;m
PM;npopulm201;p0p100;1959;199;201;m
PM;npopulm201;p0p100;1960;205;201;m
PM;npopulm201;p0p100;1961;204;201;m
PM;npopulm201;p0p100;1962;202;201;m
PM;npopulm201;p0p100;1963;202;201;m
PM;npopulm201;p0p100;1964;200;201;m
PM;npopulm201;p0p100;1965;201;201;m
PM;npopulm201;p0p100;1966;207;201;m
PM;npopulm201;p0p100;1967;215;201;m
PM;npopulm201;p0p100;1968;226;201;m
PM;npopulm201;p0p100;1969;239;201;m
PM;npopulm201;p0p100;1970;248;201;m
PM;npopulm201;p0p100;1971;252;201;m
PM;npopulm201;p0p100;1972;254;201;m
PM;npopulm201;p0p100;1973;250;201;m
PM;npopulm201;p0p100;1974;249;201;m
PM;npopulm201;p0p100;1975;259;201;m
PM;npopulm201;p0p100;1976;269;201;m
PM;npopulm201;p0p100;1977;276;201;m
PM;npopulm201;p0p100;1978;281;201;m
PM;npopulm201;p0p100;1979;278;201;m
PM;npopulm201;p0p100;1980;264;201;m
PM;npopulm201;p0p100;1981;248;201;m
PM;npopulm201;p0p100;1982;241;201;m
PM;npopulm201;p0p100;1983;245;201;m
PM;npopulm201;p0p100;1984;256;201;m
PM;npopulm201;p0p100;1985;275;201;m
PM;npopulm201;p0p100;1986;292;201;m
PM;npopulm201;p0p100;1987;296;201;m
PM;npopulm201;p0p100;1988;296;201;m
PM;npopulm201;p0p100;1989;291;201;m
PM;npopulm201;p0p100;1990;282;201;m
PM;npopulm201;p0p100;1991;278;201;m
PM;npopulm201;p0p100;1992;277;201;m
PM;npopulm201;p0p100;1993;272;201;m
PM;npopulm201;p0p100;1994;259;201;m
PM;npopulm201;p0p100;1995;242;201;m
PM;npopulm201;p0p100;1996;224;201;m
PM;npopulm201;p0p100;1997;204;201;m
PM;npopulm201;p0p100;1998;181;201;m
PM;npopulm201;p0p100;1999;166;201;m
PM;npopulm201;p0p100;2000;166;201;m
PM;npopulm201;p0p100;2001;173;201;m
PM;npopulm201;p0p100;2002;176;201;m
PM;npopulm201;p0p100;2003;171;201;m
PM;npopulm201;p0p100;2004;161;201;m
PM;npopulm201;p0p100;2005;145;201;m
PM;npopulm201;p0p100;2006;137;201;m
PM;npopulm201;p0p100;2007;143;201;m
PM;npopulm201;p0p100;2008;149;201;m
PM;npopulm201;p0p100;2009;152;201;m
PM;npopulm201;p0p100;2010;151;201;m
PM;npopulm201;p0p100;2011;141;201;m
PM;npopulm201;p0p100;2012;129;201;m
PM;npopulm201;p0p100;2013;125;201;m
PM;npopulm201;p0p100;2014;120;201;m
PM;npopulm201;p0p100;2015;114;201;m
PM;npopulm201;p0p100;2016;113;201;m
PM;npopulm201;p0p100;2017;111;201;m
PM;npopulm201;p0p100;2018;106;201;m
PM;npopulm201;p0p100;2019;111;201;m
PM;npopulm201;p0p100;2020;123;201;m
PM;npopulm201;p0p100;2021;129;201;m
PM;npopulm201;p0p100;2022;129;201;m
PM;npopulm201;p0p100;2023;128;201;m
PM;npopulf251;p0p100;1950;172;251;f
PM;npopulf251;p0p100;1951;167;251;f
PM;npopulf251;p0p100;1952;162;251;f
PM;npopulf251;p0p100;1953;157;251;f
PM;npopulf251;p0p100;1954;154;251;f
PM;npopulf251;p0p100;1955;157;251;f
