country;variable;percentile;year;value;age;pop
PR;wwealgi999;p0p100;1995;0.0001247648;999;i
PR;wwealgi999;p0p100;1996;0.027150575;999;i
PR;wwealgi999;p0p100;1997;0.054042436;999;i
PR;wwealgi999;p0p100;1998;0.081257194;999;i
PR;wwealgi999;p0p100;1999;0.10937729;999;i
PR;wwealgi999;p0p100;2000;0.13875303;999;i
PR;wwealgi999;p0p100;2001;0.17016017;999;i
PR;wwealgi999;p0p100;2002;0.20330267;999;i
PR;wwealgi999;p0p100;2003;0.23798048;999;i
PR;wwealgi999;p0p100;2004;0.2736676;999;i
PR;wwealgi999;p0p100;2005;0.30895075;999;i
PR;wwealgi999;p0p100;2006;0.34149462;999;i
PR;wwealgi999;p0p100;2007;0.36866346;999;i
PR;wwealgi999;p0p100;2008;0.38807461;999;i
PR;wwealgi999;p0p100;2009;0.39872012;999;i
PR;wwealgi999;p0p100;2010;0.40086246;999;i
PR;wwealgi999;p0p100;2011;0.3963502;999;i
PR;wwealgi999;p0p100;2012;0.38697317;999;i
PR;wwealgi999;p0p100;2013;0.37444559;999;i
PR;wwealgi999;p0p100;2014;0.36023971;999;i
PR;wwealgi999;p0p100;2015;0.34563649;999;i
PR;wwealgi999;p0p100;2016;0.33175963;999;i
PR;wwealgi999;p0p100;2017;0.31929067;999;i
PR;wwealgi999;p0p100;2018;0.3084985;999;i
PR;wwealgi999;p0p100;2019;0.29906675;999;i
PR;wwealgi999;p0p100;2020;0.29031017;999;i
PR;wwealgi999;p0p100;2021;0.28115344;999;i
PR;wwealgi999;p0p100;2022;0.27182746;999;i
PR;wwealni999;p0p100;1995;0.32850429;999;i
PR;wwealni999;p0p100;1996;0.41466835;999;i
PR;wwealni999;p0p100;1997;0.50315619;999;i
PR;wwealni999;p0p100;1998;0.58488637;999;i
PR;wwealni999;p0p100;1999;0.66521722;999;i
PR;wwealni999;p0p100;2000;0.76260692;999;i
PR;wwealni999;p0p100;2001;0.84581178;999;i
PR;wwealni999;p0p100;2002;0.93831217;999;i
PR;wwealni999;p0p100;2003;1.0397996;999;i
PR;wwealni999;p0p100;2004;1.1461781;999;i
PR;wwealni999;p0p100;2005;1.2517897;999;i
PR;wwealni999;p0p100;2006;1.3547677;999;i
PR;wwealni999;p0p100;2007;1.4458004;999;i
PR;wwealni999;p0p100;2008;1.5278903;999;i
PR;wwealni999;p0p100;2009;1.5943981;999;i
PR;wwealni999;p0p100;2010;1.6521719;999;i
PR;wwealni999;p0p100;2011;1.6952006;999;i
PR;wwealni999;p0p100;2012;1.7374746;999;i
PR;wwealni999;p0p100;2013;1.7841069;999;i
PR;wwealni999;p0p100;2014;1.8378096;999;i
PR;wwealni999;p0p100;2015;1.9002659;999;i
PR;wwealni999;p0p100;2016;1.9741241;999;i
PR;wwealni999;p0p100;2017;2.0608344;999;i
PR;wwealni999;p0p100;2018;2.1559813;999;i
PR;wwealni999;p0p100;2019;2.2643263;999;i
PR;wwealni999;p0p100;2020;2.3785663;999;i
PR;wwealni999;p0p100;2021;2.4938085;999;i
PR;wwealni999;p0p100;2022;2.608659;999;i
PR;wwealpi999;p0p100;1995;0.39255664;999;i
PR;wwealpi999;p0p100;1996;0.43536863;999;i
PR;wwealpi999;p0p100;1997;0.44911373;999;i
PR;wwealpi999;p0p100;1998;0.50362921;999;i
PR;wwealpi999;p0p100;1999;0.55583996;999;i
PR;wwealpi999;p0p100;2000;0.62385392;999;i
PR;wwealpi999;p0p100;2001;0.67565167;999;i
PR;wwealpi999;p0p100;2002;0.73500949;999;i
PR;wwealpi999;p0p100;2003;0.80181909;999;i
PR;wwealpi999;p0p100;2004;0.87251049;999;i
PR;wwealpi999;p0p100;2005;0.94283891;999;i
PR;wwealpi999;p0p100;2006;1.013273;999;i
PR;wwealpi999;p0p100;2007;1.077137;999;i
PR;wwealpi999;p0p100;2008;1.1398157;999;i
PR;wwealpi999;p0p100;2009;1.195678;999;i
PR;wwealpi999;p0p100;2010;1.2513094;999;i
PR;wwealpi999;p0p100;2011;1.2988503;999;i
PR;wwealpi999;p0p100;2012;1.3505014;999;i
PR;wwealpi999;p0p100;2013;1.4096613;999;i
PR;wwealpi999;p0p100;2014;1.4775698;999;i
PR;wwealpi999;p0p100;2015;1.5546294;999;i
PR;wwealpi999;p0p100;2016;1.6423644;999;i
PR;wwealpi999;p0p100;2017;1.7415438;999;i
PR;wwealpi999;p0p100;2018;1.8474828;999;i
PR;wwealpi999;p0p100;2019;1.9652596;999;i
PR;wwealpi999;p0p100;2020;2.0882561;999;i
PR;wwealpi999;p0p100;2021;2.2126553;999;i
PR;wwealpi999;p0p100;2022;2.3368313;999;i
PR;mgweali999;p0p100;1995;7586613.5;999;i
PR;mgweali999;p0p100;1996;1715998592;999;i
PR;mgweali999;p0p100;1997;3436590592;999;i
PR;mgweali999;p0p100;1998;5463709184;999;i
PR;mgweali999;p0p100;1999;7845761536;999;i
PR;mgweali999;p0p100;2000;9891075072;999;i
PR;mgweali999;p0p100;2001;12333871104;999;i
PR;mgweali999;p0p100;2002;14985844736;999;i
PR;mgweali999;p0p100;2003;18442340352;999;i
PR;mgweali999;p0p100;2004;22164461568;999;i
PR;mgweali999;p0p100;2005;24706680832;999;i
PR;mgweali999;p0p100;2006;26686283776;999;i
PR;mgweali999;p0p100;2007;28263364608;999;i
PR;mgweali999;p0p100;2008;28639492096;999;i
PR;mgweali999;p0p100;2009;28505165824;999;i
PR;mgweali999;p0p100;2010;28198377472;999;i
PR;mgweali999;p0p100;2011;27982798848;999;i
PR;mgweali999;p0p100;2012;28070221824;999;i
PR;mgweali999;p0p100;2013;27104233472;999;i
PR;mgweali999;p0p100;2014;25749057536;999;i
PR;mgweali999;p0p100;2015;24560666624;999;i
PR;mgweali999;p0p100;2016;23182684160;999;i
PR;mgweali999;p0p100;2017;21518880768;999;i
PR;mgweali999;p0p100;2018;20524904448;999;i
PR;mgweali999;p0p100;2019;19629123584;999;i
PR;mgweali999;p0p100;2020;19470909440;999;i
PR;mgweali999;p0p100;2021;18910193664;999;i
PR;mgweali999;p0p100;2022;19277727744;999;i
PR;mnweali999;p0p100;1995;19975464960;999;i
PR;mnweali999;p0p100;1996;26208294912;999;i
PR;mnweali999;p0p100;1997;31995998208;999;i
PR;mnweali999;p0p100;1998;39327584256;999;i
PR;mnweali999;p0p100;1999;47716814848;999;i
PR;mnweali999;p0p100;2000;54362796032;999;i
PR;mnweali999;p0p100;2001;61307727872;999;i
PR;mnweali999;p0p100;2002;69164859392;999;i
PR;mnweali999;p0p100;2003;80579452928;999;i
PR;mnweali999;p0p100;2004;92829474816;999;i
PR;mnweali999;p0p100;2005;100105166848;999;i
PR;mnweali999;p0p100;2006;105869058048;999;i
PR;mnweali999;p0p100;2007;110841430016;999;i
PR;mnweali999;p0p100;2008;112756678656;999;i
PR;mnweali999;p0p100;2009;113986183168;999;i
PR;mnweali999;p0p100;2010;116220821504;999;i
PR;mnweali999;p0p100;2011;119683186688;999;i
PR;mnweali999;p0p100;2012;126032756736;999;i
PR;mnweali999;p0p100;2013;129142521856;999;i
PR;mnweali999;p0p100;2014;131362160640;999;i
PR;mnweali999;p0p100;2015;135031455744;999;i
PR;mnweali999;p0p100;2016;137947758592;999;i
PR;mnweali999;p0p100;2017;138891788288;999;i
PR;mnweali999;p0p100;2018;143440920576;999;i
PR;mnweali999;p0p100;2019;148618117120;999;i
PR;mnweali999;p0p100;2020;159528845312;999;i
PR;mnweali999;p0p100;2021;167731904512;999;i
PR;mnweali999;p0p100;2022;185003458560;999;i
PR;mnwnxai999;p0p100;1995;-82007424;999;i
PR;mnwnxai999;p0p100;1996;487478304;999;i
PR;mnwnxai999;p0p100;1997;1046842176;999;i
PR;mnwnxai999;p0p100;1998;1724702464;999;i
PR;mnwnxai999;p0p100;1999;2606152448;999;i
PR;mnwnxai999;p0p100;2000;3519782144;999;i
PR;mnwnxai999;p0p100;2001;4790840320;999;i
PR;mnwnxai999;p0p100;2002;6349457408;999;i
PR;mnwnxai999;p0p100;2003;8417046016;999;i
PR;mnwnxai999;p0p100;2004;10748152832;999;i
PR;mnwnxai999;p0p100;2005;12561203200;999;i
PR;mnwnxai999;p0p100;2006;14040403968;999;i
PR;mnwnxai999;p0p100;2007;15201812480;999;i
PR;mnwnxai999;p0p100;2008;15605756928;999;i
PR;mnwnxai999;p0p100;2009;15673142272;999;i
PR;mnwnxai999;p0p100;2010;15647207424;999;i
PR;mnwnxai999;p0p100;2011;15725977600;999;i
PR;mnwnxai999;p0p100;2012;16064071680;999;i
PR;mnwnxai999;p0p100;2013;15898270720;999;i
PR;mnwnxai999;p0p100;2014;15580639232;999;i
PR;mnwnxai999;p0p100;2015;15431044096;999;i
PR;mnwnxai999;p0p100;2016;15241702400;999;i
PR;mnwnxai999;p0p100;2017;14952450048;999;i
PR;mnwnxai999;p0p100;2018;15233163264;999;i
PR;mnwnxai999;p0p100;2019;15715213312;999;i
PR;mnwnxai999;p0p100;2020;16949272576;999;i
PR;mnwnxai999;p0p100;2021;17979858944;999;i
PR;mnwnxai999;p0p100;2022;20025069568;999;i
PR;mpweali999;p0p100;1995;23870316544;999;i
PR;mpweali999;p0p100;1996;27516616704;999;i
PR;mpweali999;p0p100;1997;28559407104;999;i
PR;mpweali999;p0p100;1998;33863876608;999;i
PR;mpweali999;p0p100;1999;39871053824;999;i
PR;mpweali999;p0p100;2000;44471721984;999;i
PR;mpweali999;p0p100;2001;48973860864;999;i
PR;mpweali999;p0p100;2002;54179012608;999;i
PR;mpweali999;p0p100;2003;62137114624;999;i
PR;mpweali999;p0p100;2004;70665011200;999;i
PR;mpweali999;p0p100;2005;75398488064;999;i
PR;mpweali999;p0p100;2006;79182774272;999;i
PR;mpweali999;p0p100;2007;82578063360;999;i
PR;mpweali999;p0p100;2008;84117184512;999;i
PR;mpweali999;p0p100;2009;85481013248;999;i
PR;mpweali999;p0p100;2010;88022441984;999;i
PR;mpweali999;p0p100;2011;91700387840;999;i
PR;mpweali999;p0p100;2012;97962532864;999;i
PR;mpweali999;p0p100;2013;102038290432;999;i
PR;mpweali999;p0p100;2014;105613099008;999;i
PR;mpweali999;p0p100;2015;110470791168;999;i
PR;mpweali999;p0p100;2016;114765070336;999;i
PR;mpweali999;p0p100;2017;117372911616;999;i
PR;mpweali999;p0p100;2018;122916012032;999;i
PR;mpweali999;p0p100;2019;128988995584;999;i
PR;mpweali999;p0p100;2020;140057935872;999;i
PR;mpweali999;p0p100;2021;148821721088;999;i
PR;mpweali999;p0p100;2022;165725716480;999;i
PR;acomnxi992;p0p100;1960;1066.7;992;i
PR;acomnxi992;p0p100;1963;1101.3;992;i
PR;acomnxi992;p0p100;1965;1075.2;992;i
PR;acomnxi992;p0p100;1970;1084.6;992;i
PR;acomnxi992;p0p100;1971;937.2;992;i
PR;acomnxi992;p0p100;1972;944.2;992;i
PR;acomnxi992;p0p100;1973;864.5;992;i
PR;acomnxi992;p0p100;1974;811.1;992;i
PR;acomnxi992;p0p100;1975;755.5;992;i
PR;acomnxi992;p0p100;1976;635.4;992;i
PR;acomnxi992;p0p100;1977;643.6;992;i
PR;acomnxi992;p0p100;1978;603.3;992;i
PR;acomnxi992;p0p100;1979;548.8;992;i
PR;acomnxi992;p0p100;1980;607.9;992;i
PR;acomnxi992;p0p100;1981;598;992;i
PR;acomnxi992;p0p100;1982;600.5;992;i
PR;acomnxi992;p0p100;1983;589.1;992;i
PR;acomnxi992;p0p100;1984;616.6;992;i
PR;acomnxi992;p0p100;1985;632.7;992;i
PR;acomnxi992;p0p100;1986;587.1;992;i
PR;acomnxi992;p0p100;1987;632.2;992;i
PR;acomnxi992;p0p100;1988;633;992;i
PR;acomnxi992;p0p100;1989;620.9;992;i
PR;acomnxi992;p0p100;1990;588.7;992;i
PR;acomnxi992;p0p100;1991;618.6;992;i
PR;acomnxi992;p0p100;1992;710.2;992;i
PR;acomnxi992;p0p100;1993;698.8;992;i
PR;acomnxi992;p0p100;1994;653.3;992;i
PR;acomnxi992;p0p100;1995;698.4;992;i
PR;acomnxi992;p0p100;1996;679.7;992;i
PR;acomnxi992;p0p100;1997;640.1;992;i
PR;acomnxi992;p0p100;1998;637.5;992;i
PR;acomnxi992;p0p100;1999;698.3;992;i
PR;acomnxi992;p0p100;2000;672.2;992;i
PR;acomnxi992;p0p100;2001;701.5;992;i
PR;acomnxi992;p0p100;2002;677.2;992;i
PR;acomnxi992;p0p100;2003;647.8;992;i
PR;acomnxi992;p0p100;2004;717.7;992;i
PR;acomnxi992;p0p100;2005;646.9;992;i
PR;acomnxi992;p0p100;2006;550.2;992;i
PR;acomnxi992;p0p100;2007;565.3;992;i
PR;acomnxi999;p0p100;1960;500.4;999;i
PR;acomnxi999;p0p100;1963;535.5;999;i
PR;acomnxi999;p0p100;1965;536.3;999;i
PR;acomnxi999;p0p100;1970;567.1;999;i
PR;acomnxi999;p0p100;1971;496.4;999;i
PR;acomnxi999;p0p100;1972;506.8;999;i
PR;acomnxi999;p0p100;1973;469.8;999;i
PR;acomnxi999;p0p100;1974;446;999;i
PR;acomnxi999;p0p100;1975;419.8;999;i
PR;acomnxi999;p0p100;1976;356.4;999;i
PR;acomnxi999;p0p100;1977;364.1;999;i
PR;acomnxi999;p0p100;1978;343.8;999;i
PR;acomnxi999;p0p100;1979;314.7;999;i
PR;acomnxi999;p0p100;1980;351;999;i
PR;acomnxi999;p0p100;1981;348.7;999;i
PR;acomnxi999;p0p100;1982;354;999;i
PR;acomnxi999;p0p100;1983;351.3;999;i
PR;acomnxi999;p0p100;1984;372;999;i
PR;acomnxi999;p0p100;1985;386;999;i
PR;acomnxi999;p0p100;1986;361.8;999;i
PR;acomnxi999;p0p100;1987;392.9;999;i
PR;acomnxi999;p0p100;1988;396.3;999;i
PR;acomnxi999;p0p100;1989;391.3;999;i
PR;acomnxi999;p0p100;1990;373.7;999;i
PR;acomnxi999;p0p100;1991;396.1;999;i
PR;acomnxi999;p0p100;1992;458.6;999;i
PR;acomnxi999;p0p100;1993;454.5;999;i
PR;acomnxi999;p0p100;1994;427.7;999;i
PR;acomnxi999;p0p100;1995;460;999;i
PR;acomnxi999;p0p100;1996;450.4;999;i
PR;acomnxi999;p0p100;1997;426.8;999;i
PR;acomnxi999;p0p100;1998;427.8;999;i
PR;acomnxi999;p0p100;1999;471.5;999;i
PR;acomnxi999;p0p100;2000;457;999;i
PR;acomnxi999;p0p100;2001;480.5;999;i
PR;acomnxi999;p0p100;2002;467.4;999;i
PR;acomnxi999;p0p100;2003;450.5;999;i
PR;acomnxi999;p0p100;2004;502.7;999;i
PR;acomnxi999;p0p100;2005;456.1;999;i
PR;acomnxi999;p0p100;2006;390.3;999;i
PR;acomnxi999;p0p100;2007;403.5;999;i
PR;acompxi992;p0p100;1970;8.4;992;i
PR;acompxi992;p0p100;1971;7.9;992;i
PR;acompxi992;p0p100;1972;7.4;992;i
PR;acompxi992;p0p100;1973;10.4;992;i
PR;acompxi992;p0p100;1974;45.4;992;i
PR;acompxi992;p0p100;1975;57.3;992;i
PR;acompxi992;p0p100;1976;76.8;992;i
PR;acompxi992;p0p100;1977;135.6;992;i
PR;acompxi992;p0p100;1978;130;992;i
PR;acompxi992;p0p100;1979;117.3;992;i
PR;acompxi992;p0p100;1980;116.7;992;i
PR;acompxi992;p0p100;1981;110.3;992;i
PR;acompxi992;p0p100;1982;104.3;992;i
PR;acompxi992;p0p100;1983;93.6;992;i
PR;acompxi992;p0p100;1984;92;992;i
PR;acompxi992;p0p100;1985;86.6;992;i
PR;acompxi992;p0p100;1986;100.6;992;i
PR;acompxi992;p0p100;1987;71.9;992;i
PR;acompxi992;p0p100;1988;70.1;992;i
PR;acompxi992;p0p100;1989;69.9;992;i
PR;acompxi992;p0p100;1990;80.1;992;i
PR;acompxi992;p0p100;1991;76;992;i
PR;acompxi992;p0p100;1992;63.4;992;i
PR;acompxi992;p0p100;1993;57.8;992;i
PR;acompxi992;p0p100;1994;58.9;992;i
PR;acompxi992;p0p100;1995;8.5;992;i
PR;acompxi992;p0p100;1996;8.2;992;i
PR;acompxi992;p0p100;1997;6.8;992;i
PR;acompxi992;p0p100;1998;5.2;992;i
PR;acompxi992;p0p100;1999;5.7;992;i
PR;acompxi992;p0p100;2000;4.6;992;i
PR;acompxi992;p0p100;2001;4.6;992;i
PR;acompxi992;p0p100;2002;5.6;992;i
PR;acompxi992;p0p100;2003;4.3;992;i
PR;acompxi992;p0p100;2004;5.4;992;i
PR;acompxi992;p0p100;2005;4;992;i
PR;acompxi992;p0p100;2006;2.2;992;i
PR;acompxi992;p0p100;2007;2;992;i
PR;acompxi999;p0p100;1970;4.4;999;i
PR;acompxi999;p0p100;1971;4.2;999;i
PR;acompxi999;p0p100;1972;4;999;i
PR;acompxi999;p0p100;1973;5.7;999;i
PR;acompxi999;p0p100;1974;25;999;i
PR;acompxi999;p0p100;1975;31.9;999;i
PR;acompxi999;p0p100;1976;43.1;999;i
PR;acompxi999;p0p100;1977;76.7;999;i
PR;acompxi999;p0p100;1978;74.1;999;i
PR;acompxi999;p0p100;1979;67.2;999;i
PR;acompxi999;p0p100;1980;67.4;999;i
