country;variable;percentile;year;value;age;pop
PW;wwealgi999;p0p100;1995;0.027310792;999;i
PW;wwealgi999;p0p100;1996;0.055183947;999;i
PW;wwealgi999;p0p100;1997;0.082956798;999;i
PW;wwealgi999;p0p100;1998;0.11112618;999;i
PW;wwealgi999;p0p100;1999;0.14052685;999;i
PW;wwealgi999;p0p100;2000;0.17194767;999;i
PW;wwealgi999;p0p100;2001;0.20632288;999;i
PW;wwealgi999;p0p100;2002;0.24297595;999;i
PW;wwealgi999;p0p100;2003;0.28187832;999;i
PW;wwealgi999;p0p100;2004;0.32256347;999;i
PW;wwealgi999;p0p100;2005;0.36352819;999;i
PW;wwealgi999;p0p100;2006;0.40208408;999;i
PW;wwealgi999;p0p100;2007;0.43560806;999;i
PW;wwealgi999;p0p100;2008;0.4615047;999;i
PW;wwealgi999;p0p100;2009;0.47886381;999;i
PW;wwealgi999;p0p100;2010;0.48781845;999;i
PW;wwealgi999;p0p100;2011;0.48975945;999;i
PW;wwealgi999;p0p100;2012;0.48632991;999;i
PW;wwealgi999;p0p100;2013;0.47914752;999;i
PW;wwealgi999;p0p100;2014;0.46962303;999;i
PW;wwealgi999;p0p100;2015;0.45894882;999;i
PW;wwealgi999;p0p100;2016;0.44808266;999;i
PW;wwealgi999;p0p100;2017;0.43796316;999;i
PW;wwealgi999;p0p100;2018;0.42878905;999;i
PW;wwealgi999;p0p100;2019;0.42037559;999;i
PW;wwealgi999;p0p100;2020;0.41218102;999;i
PW;wwealgi999;p0p100;2021;0.4033747;999;i
PW;wwealgi999;p0p100;2022;0.3941654;999;i
PW;wwealni999;p0p100;1995;0.65037584;999;i
PW;wwealni999;p0p100;1996;0.70253229;999;i
PW;wwealni999;p0p100;1997;0.76947606;999;i
PW;wwealni999;p0p100;1998;0.85239351;999;i
PW;wwealni999;p0p100;1999;0.95341766;999;i
PW;wwealni999;p0p100;2000;1.0675958;999;i
PW;wwealni999;p0p100;2001;1.1505773;999;i
PW;wwealni999;p0p100;2002;1.2534134;999;i
PW;wwealni999;p0p100;2003;1.3638446;999;i
PW;wwealni999;p0p100;2004;1.4712095;999;i
PW;wwealni999;p0p100;2005;1.5763178;999;i
PW;wwealni999;p0p100;2006;1.6970448;999;i
PW;wwealni999;p0p100;2007;1.8009866;999;i
PW;wwealni999;p0p100;2008;1.9014043;999;i
PW;wwealni999;p0p100;2009;1.9811474;999;i
PW;wwealni999;p0p100;2010;2.0505352;999;i
PW;wwealni999;p0p100;2011;2.1133642;999;i
PW;wwealni999;p0p100;2012;2.1734087;999;i
PW;wwealni999;p0p100;2013;2.2340674;999;i
PW;wwealni999;p0p100;2014;2.2961347;999;i
PW;wwealni999;p0p100;2015;2.3657601;999;i
PW;wwealni999;p0p100;2016;2.4537263;999;i
PW;wwealni999;p0p100;2017;2.545433;999;i
