country;variable;percentile;year;value;age;pop
QG-MER;mscogri999;p0p100;1980;6512868864;999;i
QG-MER;mscogri999;p0p100;1981;7438127104;999;i
QG-MER;mscogri999;p0p100;1982;7212034560;999;i
QG-MER;mscogri999;p0p100;1983;6826317312;999;i
QG-MER;mscogri999;p0p100;1984;7022269440;999;i
QG-MER;mscogri999;p0p100;1985;7401055744;999;i
QG-MER;mscogri999;p0p100;1986;8588167168;999;i
QG-MER;mscogri999;p0p100;1987;9356887040;999;i
QG-MER;mscogri999;p0p100;1988;10161867776;999;i
QG-MER;mscogri999;p0p100;1989;10362177536;999;i
QG-MER;mscogri999;p0p100;1990;10817672192;999;i
QG-MER;mscogri999;p0p100;1991;10712657920;999;i
QG-MER;mscogri999;p0p100;1992;10370680832;999;i
QG-MER;mscogri999;p0p100;1993;10781187072;999;i
QG-MER;mscogri999;p0p100;1994;13411979264;999;i
QG-MER;mscogri999;p0p100;1995;14116194304;999;i
QG-MER;mscogri999;p0p100;1996;14622269440;999;i
QG-MER;mscogri999;p0p100;1997;15001355264;999;i
QG-MER;mscogri999;p0p100;1998;11232404480;999;i
QG-MER;mscogri999;p0p100;1999;11862244352;999;i
QG-MER;mscogri999;p0p100;2000;12315525120;999;i
QG-MER;mscogri999;p0p100;2001;11997964288;999;i
QG-MER;mscogri999;p0p100;2002;12355048448;999;i
QG-MER;mscogri999;p0p100;2003;12895804416;999;i
QG-MER;mscogri999;p0p100;2004;13656121344;999;i
QG-MER;mscogri999;p0p100;2005;14437185536;999;i
QG-MER;mscogri999;p0p100;2006;14978073600;999;i
QG-MER;mscogri999;p0p100;2007;15920787456;999;i
QG-MER;mscogri999;p0p100;2008;16086971392;999;i
QG-MER;mscogri999;p0p100;2009;15267062784;999;i
QG-MER;mscogri999;p0p100;2010;16196248576;999;i
QG-MER;mscogri999;p0p100;2011;16632382464;999;i
QG-MER;mscogri999;p0p100;2012;17226211328;999;i
QG-MER;mscogri999;p0p100;2013;17911932928;999;i
QG-MER;mscogri999;p0p100;2014;18091315200;999;i
QG-MER;mscogri999;p0p100;2015;18216910848;999;i
QG-MER;mscogri999;p0p100;2016;18251900928;999;i
QG-MER;mscogri999;p0p100;2017;18977253376;999;i
QG-MER;mscogri999;p0p100;2018;19617486848;999;i
QG-MER;mscogri999;p0p100;2019;18313150464;999;i
QG-MER;mscogri999;p0p100;2020;18505709568;999;i
QG-MER;mscogri999;p0p100;2021;18901766144;999;i
QG-MER;mscogri999;p0p100;2022;19737591808;999;i
QG-MER;mscogri999;p0p100;2023;20144818176;999;i
QG-MER;mhweali999;p0p100;1999;466966380544;999;i
QG-MER;mhweali999;p0p100;2000;468954578944;999;i
QG-MER;mhweali999;p0p100;2001;474690453504;999;i
QG-MER;mhweali999;p0p100;2002;486936707072;999;i
QG-MER;mhweali999;p0p100;2003;547625533440;999;i
QG-MER;mhweali999;p0p100;2004;617204088832;999;i
QG-MER;mhweali999;p0p100;2005;675764633600;999;i
QG-MER;mhweali999;p0p100;2006;754656477184;999;i
QG-MER;mhweali999;p0p100;2007;797623255040;999;i
QG-MER;mhweali999;p0p100;2008;773636554752;999;i
QG-MER;mhweali999;p0p100;2009;757527609344;999;i
QG-MER;mhweali999;p0p100;2010;741109596160;999;i
QG-MER;mhweali999;p0p100;2011;739745660928;999;i
QG-MER;mhweali999;p0p100;2012;760100421632;999;i
QG-MER;mhweali999;p0p100;2013;793467748352;999;i
QG-MER;mhweali999;p0p100;2014;846099120128;999;i
QG-MER;mhweali999;p0p100;2015;929785249792;999;i
QG-MER;mhweali999;p0p100;2016;1008824221696;999;i
QG-MER;mhweali999;p0p100;2017;1065469935616;999;i
