country;variable;percentile;year;value;age;pop
QH-MER;mscogri999;p0p100;1980;4078497701;999;i
QH-MER;mscogri999;p0p100;1981;4584949203;999;i
QH-MER;mscogri999;p0p100;1982;4930749385;999;i
QH-MER;mscogri999;p0p100;1983;5204896291;999;i
QH-MER;mscogri999;p0p100;1984;5534342039;999;i
QH-MER;mscogri999;p0p100;1985;5521153703;999;i
QH-MER;mscogri999;p0p100;1986;5700690976;999;i
QH-MER;mscogri999;p0p100;1987;5600168648;999;i
QH-MER;mscogri999;p0p100;1988;5725980992;999;i
QH-MER;mscogri999;p0p100;1989;5797584858;999;i
QH-MER;mscogri999;p0p100;1990;5989195696;999;i
QH-MER;mscogri999;p0p100;1991;6251493077;999;i
QH-MER;mscogri999;p0p100;1992;6426424888;999;i
QH-MER;mscogri999;p0p100;1993;7157286118;999;i
QH-MER;mscogri999;p0p100;1994;6532985641;999;i
QH-MER;mscogri999;p0p100;1995;6703319302;999;i
QH-MER;mscogri999;p0p100;1996;7643164213;999;i
QH-MER;mscogri999;p0p100;1997;9313887142;999;i
QH-MER;mscogri999;p0p100;1998;9819107803;999;i
QH-MER;mscogri999;p0p100;1999;10360622852;999;i
QH-MER;mscogri999;p0p100;2000;11334786557;999;i
QH-MER;mscogri999;p0p100;2001;12135304555;999;i
QH-MER;mscogri999;p0p100;2002;12250712431;999;i
QH-MER;mscogri999;p0p100;2003;12626458387;999;i
QH-MER;mscogri999;p0p100;2004;13495233374;999;i
QH-MER;mscogri999;p0p100;2005;18680352406;999;i
QH-MER;mscogri999;p0p100;2006;19198548573;999;i
QH-MER;mscogri999;p0p100;2007;19715792339;999;i
QH-MER;mscogri999;p0p100;2008;21514159196;999;i
QH-MER;mscogri999;p0p100;2009;23066247627;999;i
QH-MER;mscogri999;p0p100;2010;23886365974;999;i
QH-MER;mscogri999;p0p100;2011;22876125465;999;i
QH-MER;mscogri999;p0p100;2012;22472736779;999;i
QH-MER;mscogri999;p0p100;2013;21015173548;999;i
QH-MER;mscogri999;p0p100;2014;20609342852;999;i
QH-MER;mscogri999;p0p100;2015;21602933138;999;i
QH-MER;mscogri999;p0p100;2016;20970619540;999;i
QH-MER;mscogri999;p0p100;2017;19357608691;999;i
QH-MER;mscogri999;p0p100;2018;19132442762;999;i
QH-MER;mscogri999;p0p100;2019;19710657504;999;i
QH-MER;mscogri999;p0p100;2020;18955427238;999;i
QH-MER;mscogri999;p0p100;2021;19409743427;999;i
