country;variable;percentile;year;value;age;pop
QI-MER;mscogri999;p0p100;1980;15522286465;999;i
QI-MER;mscogri999;p0p100;1981;16615016439;999;i
QI-MER;mscogri999;p0p100;1982;16854353012;999;i
QI-MER;mscogri999;p0p100;1983;13858074686;999;i
QI-MER;mscogri999;p0p100;1984;14266953930;999;i
QI-MER;mscogri999;p0p100;1985;14710231474;999;i
QI-MER;mscogri999;p0p100;1986;14704432825;999;i
QI-MER;mscogri999;p0p100;1987;15579115670;999;i
QI-MER;mscogri999;p0p100;1988;16933233227;999;i
QI-MER;mscogri999;p0p100;1989;18102773532;999;i
QI-MER;mscogri999;p0p100;1990;20417337307;999;i
QI-MER;mscogri999;p0p100;1991;21894746458;999;i
QI-MER;mscogri999;p0p100;1992;24496885643;999;i
QI-MER;mscogri999;p0p100;1993;28221222918;999;i
QI-MER;mscogri999;p0p100;1994;30010070350;999;i
QI-MER;mscogri999;p0p100;1995;26454629285;999;i
QI-MER;mscogri999;p0p100;1996;26624313449;999;i
QI-MER;mscogri999;p0p100;1997;27263979561;999;i
QI-MER;mscogri999;p0p100;1998;28384529469;999;i
QI-MER;mscogri999;p0p100;1999;30145745877;999;i
QI-MER;mscogri999;p0p100;2000;32756588554;999;i
QI-MER;mscogri999;p0p100;2001;34452526768;999;i
QI-MER;mscogri999;p0p100;2002;34874745268;999;i
QI-MER;mscogri999;p0p100;2003;35908774416;999;i
QI-MER;mscogri999;p0p100;2004;35086127232;999;i
QI-MER;mscogri999;p0p100;2005;36021210540;999;i
QI-MER;mscogri999;p0p100;2006;36192948044;999;i
QI-MER;mscogri999;p0p100;2007;38602560816;999;i
QI-MER;mscogri999;p0p100;2008;38388427648;999;i
QI-MER;mscogri999;p0p100;2009;40027228224;999;i
QI-MER;mscogri999;p0p100;2010;41311193848;999;i
QI-MER;mscogri999;p0p100;2011;43083753644;999;i
QI-MER;mscogri999;p0p100;2012;45980168284;999;i
QI-MER;mscogri999;p0p100;2013;48642735900;999;i
QI-MER;mscogri999;p0p100;2014;50750659968;999;i
QI-MER;mscogri999;p0p100;2015;53171668668;999;i
QI-MER;mscogri999;p0p100;2016;54199719256;999;i
QI-MER;mscogri999;p0p100;2017;55048514300;999;i
QI-MER;mscogri999;p0p100;2018;57177380656;999;i
QI-MER;mscogri999;p0p100;2019;59289212244;999;i
