country;variable;percentile;year;value;age;pop
QQ-MER;wwealgi999;p0p100;1995;0.029010653;999;i
QQ-MER;wwealgi999;p0p100;1996;0.066302918;999;i
QQ-MER;wwealgi999;p0p100;1997;0.047380183;999;i
QQ-MER;wwealgi999;p0p100;1998;0.037371941;999;i
QQ-MER;wwealgi999;p0p100;1999;0.067511439;999;i
QQ-MER;wwealgi999;p0p100;2000;0.088613905;999;i
QQ-MER;wwealgi999;p0p100;2001;0.071305171;999;i
QQ-MER;wwealgi999;p0p100;2002;0.073322996;999;i
QQ-MER;wwealgi999;p0p100;2003;0.09310969;999;i
QQ-MER;wwealgi999;p0p100;2004;0.14504607;999;i
QQ-MER;wwealgi999;p0p100;2005;0.23374872;999;i
QQ-MER;wwealgi999;p0p100;2006;0.36055657;999;i
QQ-MER;wwealgi999;p0p100;2007;0.39064744;999;i
QQ-MER;wwealgi999;p0p100;2008;0.41084242;999;i
QQ-MER;wwealgi999;p0p100;2009;0.39955574;999;i
QQ-MER;wwealgi999;p0p100;2010;0.41834658;999;i
QQ-MER;wwealgi999;p0p100;2011;0.41398808;999;i
QQ-MER;wwealgi999;p0p100;2012;0.38262847;999;i
QQ-MER;wwealgi999;p0p100;2013;0.32990909;999;i
QQ-MER;wwealgi999;p0p100;2014;0.30360505;999;i
QQ-MER;wwealgi999;p0p100;2015;0.25964054;999;i
QQ-MER;wwealgi999;p0p100;2016;0.2378812;999;i
QQ-MER;wwealgi999;p0p100;2017;0.24036112;999;i
QQ-MER;wwealgi999;p0p100;2018;0.23540059;999;i
QQ-MER;wwealgi999;p0p100;2019;0.21377431;999;i
QQ-MER;wwealgi999;p0p100;2020;0.21148723;999;i
QQ-MER;wwealgi999;p0p100;2021;0.22023788;999;i
QQ-MER;wwealgi999;p0p100;2022;0.2025194;999;i
QQ-MER;wwealni999;p0p100;1995;1.8051761;999;i
QQ-MER;wwealni999;p0p100;1996;1.8809891;999;i
QQ-MER;wwealni999;p0p100;1997;1.9146888;999;i
QQ-MER;wwealni999;p0p100;1998;1.8901941;999;i
QQ-MER;wwealni999;p0p100;1999;1.9105608;999;i
QQ-MER;wwealni999;p0p100;2000;1.9573885;999;i
QQ-MER;wwealni999;p0p100;2001;1.987604;999;i
QQ-MER;wwealni999;p0p100;2002;2.0442252;999;i
QQ-MER;wwealni999;p0p100;2003;2.1404719;999;i
QQ-MER;wwealni999;p0p100;2004;2.2376208;999;i
QQ-MER;wwealni999;p0p100;2005;2.3614526;999;i
QQ-MER;wwealni999;p0p100;2006;2.4460251;999;i
QQ-MER;wwealni999;p0p100;2007;2.4853244;999;i
QQ-MER;wwealni999;p0p100;2008;2.5377944;999;i
QQ-MER;wwealni999;p0p100;2009;2.5646882;999;i
QQ-MER;wwealni999;p0p100;2010;2.5885413;999;i
QQ-MER;wwealni999;p0p100;2011;2.583087;999;i
QQ-MER;wwealni999;p0p100;2012;2.5472906;999;i
QQ-MER;wwealni999;p0p100;2013;2.4856117;999;i
QQ-MER;wwealni999;p0p100;2014;2.4798667;999;i
QQ-MER;wwealni999;p0p100;2015;2.4764309;999;i
QQ-MER;wwealni999;p0p100;2016;2.5504494;999;i
QQ-MER;wwealni999;p0p100;2017;2.6679754;999;i
QQ-MER;wwealni999;p0p100;2018;2.7719784;999;i
QQ-MER;wwealni999;p0p100;2019;2.9131968;999;i
QQ-MER;wwealni999;p0p100;2020;3.0614052;999;i
QQ-MER;wwealni999;p0p100;2021;3.2268665;999;i
QQ-MER;wwealni999;p0p100;2022;3.305599;999;i
QQ-MER;wwealpi999;p0p100;1995;1.7761658;999;i
QQ-MER;wwealpi999;p0p100;1996;1.8146863;999;i
QQ-MER;wwealpi999;p0p100;1997;1.8673086;999;i
QQ-MER;wwealpi999;p0p100;1998;1.8528221;999;i
QQ-MER;wwealpi999;p0p100;1999;1.8430492;999;i
QQ-MER;wwealpi999;p0p100;2000;1.8687745;999;i
QQ-MER;wwealpi999;p0p100;2001;1.9162989;999;i
QQ-MER;wwealpi999;p0p100;2002;1.9709021;999;i
QQ-MER;wwealpi999;p0p100;2003;2.0473623;999;i
QQ-MER;wwealpi999;p0p100;2004;2.0925748;999;i
QQ-MER;wwealpi999;p0p100;2005;2.1277041;999;i
QQ-MER;wwealpi999;p0p100;2006;2.0854688;999;i
QQ-MER;wwealpi999;p0p100;2007;2.094677;999;i
QQ-MER;wwealpi999;p0p100;2008;2.1102829;999;i
QQ-MER;wwealpi999;p0p100;2009;2.1395836;999;i
QQ-MER;wwealpi999;p0p100;2010;2.1488945;999;i
QQ-MER;wwealpi999;p0p100;2011;2.1412292;999;i
QQ-MER;wwealpi999;p0p100;2012;2.1460485;999;i
QQ-MER;wwealpi999;p0p100;2013;2.141907;999;i
QQ-MER;wwealpi999;p0p100;2014;2.1694405;999;i
QQ-MER;wwealpi999;p0p100;2015;2.2141521;999;i
QQ-MER;wwealpi999;p0p100;2016;2.3111937;999;i
QQ-MER;wwealpi999;p0p100;2017;2.4276142;999;i
QQ-MER;wwealpi999;p0p100;2018;2.5339239;999;i
QQ-MER;wwealpi999;p0p100;2019;2.6930342;999;i
QQ-MER;wwealpi999;p0p100;2020;2.8384602;999;i
QQ-MER;wwealpi999;p0p100;2021;2.9854567;999;i
QQ-MER;wwealpi999;p0p100;2022;3.0826502;999;i
QQ-MER;mgweali999;p0p100;1995;485222744.875;999;i
QQ-MER;mgweali999;p0p100;1996;1194168770.625;999;i
QQ-MER;mgweali999;p0p100;1997;843322484.75;999;i
QQ-MER;mgweali999;p0p100;1998;652799454.75;999;i
QQ-MER;mgweali999;p0p100;1999;1214427980;999;i
QQ-MER;mgweali999;p0p100;2000;1578387906.5;999;i
QQ-MER;mgweali999;p0p100;2001;1260698093.5;999;i
QQ-MER;mgweali999;p0p100;2002;1308067341;999;i
QQ-MER;mgweali999;p0p100;2003;1638844163.5;999;i
QQ-MER;mgweali999;p0p100;2004;2673470295;999;i
QQ-MER;mgweali999;p0p100;2005;4510894997;999;i
QQ-MER;mgweali999;p0p100;2006;7122828641;999;i
QQ-MER;mgweali999;p0p100;2007;8264157248;999;i
QQ-MER;mgweali999;p0p100;2008;8830571790;999;i
QQ-MER;mgweali999;p0p100;2009;8960638080;999;i
QQ-MER;mgweali999;p0p100;2010;10242197570;999;i
QQ-MER;mgweali999;p0p100;2011;10288038092;999;i
QQ-MER;mgweali999;p0p100;2012;9814379326;999;i
QQ-MER;mgweali999;p0p100;2013;8870365378;999;i
QQ-MER;mgweali999;p0p100;2014;9112109626;999;i
QQ-MER;mgweali999;p0p100;2015;8256900238;999;i
QQ-MER;mgweali999;p0p100;2016;7952168748;999;i
QQ-MER;mgweali999;p0p100;2017;8241967104;999;i
QQ-MER;mgweali999;p0p100;2018;8066659244;999;i
QQ-MER;mgweali999;p0p100;2019;7535368644;999;i
QQ-MER;mgweali999;p0p100;2020;7102779960;999;i
QQ-MER;mgweali999;p0p100;2021;7363030264;999;i
QQ-MER;mgweali999;p0p100;2022;7110531792;999;i
QQ-MER;mnweali999;p0p100;1995;30192787708;999;i
QQ-MER;mnweali999;p0p100;1996;33878124504;999;i
QQ-MER;mnweali999;p0p100;1997;34079652128;999;i
QQ-MER;mnweali999;p0p100;1998;33017222136;999;i
QQ-MER;mnweali999;p0p100;1999;34368079776;999;i
QQ-MER;mnweali999;p0p100;2000;34864938864;999;i
QQ-MER;mnweali999;p0p100;2001;35141470392;999;i
QQ-MER;mnweali999;p0p100;2002;36468560084;999;i
QQ-MER;mnweali999;p0p100;2003;37674919764;999;i
QQ-MER;mnweali999;p0p100;2004;41243538296;999;i
QQ-MER;mnweali999;p0p100;2005;45571438576;999;i
QQ-MER;mnweali999;p0p100;2006;48321454612;999;i
QQ-MER;mnweali999;p0p100;2007;52577106328;999;i
QQ-MER;mnweali999;p0p100;2008;54546890216;999;i
QQ-MER;mnweali999;p0p100;2009;57516987392;999;i
QQ-MER;mnweali999;p0p100;2010;63374131176;999;i
QQ-MER;mnweali999;p0p100;2011;64192421592;999;i
QQ-MER;mnweali999;p0p100;2012;65337727024;999;i
QQ-MER;mnweali999;p0p100;2013;66831391952;999;i
QQ-MER;mnweali999;p0p100;2014;74428333360;999;i
QQ-MER;mnweali999;p0p100;2015;78753662384;999;i
QQ-MER;mnweali999;p0p100;2016;85259384016;999;i
QQ-MER;mnweali999;p0p100;2017;91484700720;999;i
QQ-MER;mnweali999;p0p100;2018;94989589472;999;i
QQ-MER;mnweali999;p0p100;2019;102687792704;999;i
QQ-MER;mnweali999;p0p100;2020;102817020960;999;i
QQ-MER;mnweali999;p0p100;2021;107881149312;999;i
QQ-MER;mnweali999;p0p100;2022;116060812032;999;i
QQ-MER;mpweali999;p0p100;1995;29707571904;999;i
QQ-MER;mpweali999;p0p100;1996;32683958496;999;i
QQ-MER;mpweali999;p0p100;1997;33236328624;999;i
QQ-MER;mpweali999;p0p100;1998;32364422784;999;i
QQ-MER;mpweali999;p0p100;1999;33153648120;999;i
QQ-MER;mpweali999;p0p100;2000;33286550436;999;i
QQ-MER;mpweali999;p0p100;2001;33880773276;999;i
QQ-MER;mpweali999;p0p100;2002;35160491788;999;i
QQ-MER;mpweali999;p0p100;2003;36036077508;999;i
QQ-MER;mpweali999;p0p100;2004;38570067120;999;i
QQ-MER;mpweali999;p0p100;2005;41060544932;999;i
QQ-MER;mpweali999;p0p100;2006;41198628484;999;i
QQ-MER;mpweali999;p0p100;2007;44312950296;999;i
QQ-MER;mpweali999;p0p100;2008;45358037928;999;i
QQ-MER;mpweali999;p0p100;2009;47983378832;999;i
