country;variable;percentile;year;value;age;pop
QR-MER;mscogri999;p0p100;1980;71292774756;999;i
QR-MER;mscogri999;p0p100;1981;60757386264;999;i
QR-MER;mscogri999;p0p100;1982;63153666656;999;i
QR-MER;mscogri999;p0p100;1983;68720806840;999;i
QR-MER;mscogri999;p0p100;1984;68899341812;999;i
QR-MER;mscogri999;p0p100;1985;64779678920;999;i
QR-MER;mscogri999;p0p100;1986;67691427262;999;i
QR-MER;mscogri999;p0p100;1987;75200050372;999;i
QR-MER;mscogri999;p0p100;1988;69013783152;999;i
QR-MER;mscogri999;p0p100;1989;65358410464;999;i
QR-MER;mscogri999;p0p100;1990;81412943652;999;i
QR-MER;mscogri999;p0p100;1991;80106328587;999;i
QR-MER;mscogri999;p0p100;1992;85543213466;999;i
QR-MER;mscogri999;p0p100;1993;100345634984;999;i
QR-MER;mscogri999;p0p100;1994;110377248708;999;i
QR-MER;mscogri999;p0p100;1995;115565114404;999;i
QR-MER;mscogri999;p0p100;1996;117287438312;999;i
QR-MER;mscogri999;p0p100;1997;119815182336;999;i
QR-MER;mscogri999;p0p100;1998;123116261864;999;i
QR-MER;mscogri999;p0p100;1999;117829677536;999;i
QR-MER;mscogri999;p0p100;2000;122797418000;999;i
QR-MER;mscogri999;p0p100;2001;123653063568;999;i
QR-MER;mscogri999;p0p100;2002;126784455048;999;i
QR-MER;mscogri999;p0p100;2003;127980663040;999;i
QR-MER;mscogri999;p0p100;2004;140739792976;999;i
QR-MER;mscogri999;p0p100;2005;152552278360;999;i
QR-MER;mscogri999;p0p100;2006;162214599348;999;i
QR-MER;mscogri999;p0p100;2007;176860770588;999;i
QR-MER;mscogri999;p0p100;2008;189588740972;999;i
QR-MER;mscogri999;p0p100;2009;206325792428;999;i
QR-MER;mscogri999;p0p100;2010;224226676124;999;i
QR-MER;mscogri999;p0p100;2011;241432893984;999;i
QR-MER;mscogri999;p0p100;2012;254536583784;999;i
QR-MER;mscogri999;p0p100;2013;265728195848;999;i
QR-MER;mscogri999;p0p100;2014;261715104568;999;i
QR-MER;mscogri999;p0p100;2015;261384521664;999;i
QR-MER;mscogri999;p0p100;2016;252900373568;999;i
QR-MER;mscogri999;p0p100;2017;259119854264;999;i
QR-MER;mscogri999;p0p100;2018;256059259312;999;i
QR-MER;mscogri999;p0p100;2019;257270936152;999;i
QR-MER;mscogri999;p0p100;2020;235118380856;999;i
QR-MER;mscogri999;p0p100;2021;252135142616;999;i
QR-MER;mscogri999;p0p100;2022;261567131280;999;i
QR-MER;mscogri999;p0p100;2023;253669611376;999;i
QR-MER;mscinxi999;p0p100;1970;485503068;999;i
QR-MER;mscinxi999;p0p100;1971;580901406;999;i
QR-MER;mscinxi999;p0p100;1972;613878312;999;i
QR-MER;mscinxi999;p0p100;1973;636439210;999;i
QR-MER;mscinxi999;p0p100;1974;739789490;999;i
QR-MER;mscinxi999;p0p100;1975;754346812;999;i
QR-MER;mscinxi999;p0p100;1976;726429028;999;i
QR-MER;mscinxi999;p0p100;1977;906906462;999;i
QR-MER;mscinxi999;p0p100;1978;1216920794;999;i
QR-MER;mscinxi999;p0p100;1979;817652554;999;i
QR-MER;mscinxi999;p0p100;1980;1626724476;999;i
QR-MER;mscinxi999;p0p100;1981;1751889625;999;i
QR-MER;mscinxi999;p0p100;1982;987414821;999;i
QR-MER;mscinxi999;p0p100;1983;2268229181;999;i
QR-MER;mscinxi999;p0p100;1984;2517170094;999;i
QR-MER;mscinxi999;p0p100;1985;3022483269;999;i
QR-MER;mscinxi999;p0p100;1986;3599661595;999;i
QR-MER;mscinxi999;p0p100;1987;4539001172;999;i
QR-MER;mscinxi999;p0p100;1988;4709479109;999;i
QR-MER;mscinxi999;p0p100;1989;5094197556;999;i
QR-MER;mscinxi999;p0p100;1990;8906313368;999;i
QR-MER;mscinxi999;p0p100;1991;12474313200;999;i
QR-MER;mscinxi999;p0p100;1992;16321857092;999;i
QR-MER;mscinxi999;p0p100;1993;13126976232;999;i
QR-MER;mscinxi999;p0p100;1994;14556587736;999;i
QR-MER;mscinxi999;p0p100;1995;14213802636;999;i
QR-MER;mscinxi999;p0p100;1996;11519186036;999;i
QR-MER;mscinxi999;p0p100;1997;10481274808;999;i
QR-MER;mscinxi999;p0p100;1998;11188239684;999;i
QR-MER;mscinxi999;p0p100;1999;16232257740;999;i
QR-MER;mscinxi999;p0p100;2000;17149920128;999;i
QR-MER;mscinxi999;p0p100;2001;18663103780;999;i
QR-MER;mscinxi999;p0p100;2002;22205289304;999;i
QR-MER;mscinxi999;p0p100;2003;24804028816;999;i
QR-MER;mscinxi999;p0p100;2004;26457458284;999;i
QR-MER;mscinxi999;p0p100;2005;26541169520;999;i
QR-MER;mscinxi999;p0p100;2006;29600459692;999;i
QR-MER;mscinxi999;p0p100;2007;28184634960;999;i
QR-MER;mscinxi999;p0p100;2008;25279226480;999;i
QR-MER;mscinxi999;p0p100;2009;22943468432;999;i
