country;variable;percentile;year;value;age;pop
SB;wwealgi999;p0p100;1995;0.20943455;999;i
SB;wwealgi999;p0p100;1996;0.25614581;999;i
SB;wwealgi999;p0p100;1997;0.27633518;999;i
SB;wwealgi999;p0p100;1998;0.27184546;999;i
SB;wwealgi999;p0p100;1999;0.25731397;999;i
SB;wwealgi999;p0p100;2000;0.23837565;999;i
SB;wwealgi999;p0p100;2001;0.21188794;999;i
SB;wwealgi999;p0p100;2002;0.13918112;999;i
SB;wwealgi999;p0p100;2003;0.21992132;999;i
SB;wwealgi999;p0p100;2004;0.28974715;999;i
SB;wwealgi999;p0p100;2005;0.37736055;999;i
SB;wwealgi999;p0p100;2006;0.40535268;999;i
SB;wwealgi999;p0p100;2007;0.4341566;999;i
SB;wwealgi999;p0p100;2008;0.45489743;999;i
SB;wwealgi999;p0p100;2009;0.47390133;999;i
SB;wwealgi999;p0p100;2010;0.50563061;999;i
SB;wwealgi999;p0p100;2011;0.52870232;999;i
SB;wwealgi999;p0p100;2012;0.57231539;999;i
SB;wwealgi999;p0p100;2013;0.60815579;999;i
SB;wwealgi999;p0p100;2014;0.62076789;999;i
SB;wwealgi999;p0p100;2015;0.6475659;999;i
SB;wwealgi999;p0p100;2016;0.66133648;999;i
SB;wwealgi999;p0p100;2017;0.64655864;999;i
SB;wwealgi999;p0p100;2018;0.63549942;999;i
SB;wwealgi999;p0p100;2019;0.6229915;999;i
SB;wwealgi999;p0p100;2020;0.61918211;999;i
SB;wwealgi999;p0p100;2021;0.60929918;999;i
SB;wwealgi999;p0p100;2022;0.57980525;999;i
SB;wwealni999;p0p100;1995;2.0415232;999;i
SB;wwealni999;p0p100;1996;2.1259389;999;i
SB;wwealni999;p0p100;1997;2.1664813;999;i
SB;wwealni999;p0p100;1998;2.155098;999;i
SB;wwealni999;p0p100;1999;2.180176;999;i
SB;wwealni999;p0p100;2000;2.1986897;999;i
SB;wwealni999;p0p100;2001;2.1630509;999;i
SB;wwealni999;p0p100;2002;2.1803408;999;i
SB;wwealni999;p0p100;2003;2.361685;999;i
SB;wwealni999;p0p100;2004;2.5038548;999;i
SB;wwealni999;p0p100;2005;2.6295626;999;i
SB;wwealni999;p0p100;2006;2.714385;999;i
SB;wwealni999;p0p100;2007;2.8165414;999;i
SB;wwealni999;p0p100;2008;2.8330178;999;i
SB;wwealni999;p0p100;2009;2.8487802;999;i
SB;wwealni999;p0p100;2010;2.8873787;999;i
SB;wwealni999;p0p100;2011;2.9290833;999;i
SB;wwealni999;p0p100;2012;3.0274737;999;i
SB;wwealni999;p0p100;2013;3.1127489;999;i
SB;wwealni999;p0p100;2014;3.191896;999;i
SB;wwealni999;p0p100;2015;3.3137865;999;i
SB;wwealni999;p0p100;2016;3.4393392;999;i
SB;wwealni999;p0p100;2017;3.4856398;999;i
SB;wwealni999;p0p100;2018;3.5638196;999;i
SB;wwealni999;p0p100;2019;3.6595492;999;i
SB;wwealni999;p0p100;2020;3.7799263;999;i
SB;wwealni999;p0p100;2021;3.8902047;999;i
SB;wwealni999;p0p100;2022;3.9628003;999;i
SB;wwealpi999;p0p100;1995;1.8320895;999;i
SB;wwealpi999;p0p100;1996;1.8697929;999;i
SB;wwealpi999;p0p100;1997;1.8901461;999;i
SB;wwealpi999;p0p100;1998;1.8832523;999;i
SB;wwealpi999;p0p100;1999;1.9228621;999;i
SB;wwealpi999;p0p100;2000;1.960314;999;i
SB;wwealpi999;p0p100;2001;1.9511631;999;i
SB;wwealpi999;p0p100;2002;2.0411596;999;i
SB;wwealpi999;p0p100;2003;2.1417637;999;i
SB;wwealpi999;p0p100;2004;2.2141075;999;i
SB;wwealpi999;p0p100;2005;2.252202;999;i
SB;wwealpi999;p0p100;2006;2.3090324;999;i
SB;wwealpi999;p0p100;2007;2.3823848;999;i
SB;wwealpi999;p0p100;2008;2.3781202;999;i
SB;wwealpi999;p0p100;2009;2.3748789;999;i
SB;wwealpi999;p0p100;2010;2.381748;999;i
SB;wwealpi999;p0p100;2011;2.4003811;999;i
SB;wwealpi999;p0p100;2012;2.4551582;999;i
SB;wwealpi999;p0p100;2013;2.5045931;999;i
SB;wwealpi999;p0p100;2014;2.5711281;999;i
SB;wwealpi999;p0p100;2015;2.6662204;999;i
SB;wwealpi999;p0p100;2016;2.7780027;999;i
SB;wwealpi999;p0p100;2017;2.8390813;999;i
SB;wwealpi999;p0p100;2018;2.9283202;999;i
SB;wwealpi999;p0p100;2019;3.0365577;999;i
SB;wwealpi999;p0p100;2020;3.1607442;999;i
SB;wwealpi999;p0p100;2021;3.2809052;999;i
SB;wwealpi999;p0p100;2022;3.3829951;999;i
SB;mgweali999;p0p100;1995;1618411648;999;i
SB;mgweali999;p0p100;1996;2008582912;999;i
SB;mgweali999;p0p100;1997;2134867328;999;i
SB;mgweali999;p0p100;1998;2131243008;999;i
SB;mgweali999;p0p100;1999;1965428736;999;i
SB;mgweali999;p0p100;2000;1603161984;999;i
SB;mgweali999;p0p100;2001;1325898240;999;i
SB;mgweali999;p0p100;2002;819868032;999;i
SB;mgweali999;p0p100;2003;1413017600;999;i
SB;mgweali999;p0p100;2004;2048780544;999;i
SB;mgweali999;p0p100;2005;2862758400;999;i
SB;mgweali999;p0p100;2006;3080947456;999;i
SB;mgweali999;p0p100;2007;3298834432;999;i
SB;mgweali999;p0p100;2008;3533073408;999;i
SB;mgweali999;p0p100;2009;3759588864;999;i
SB;mgweali999;p0p100;2010;4559531520;999;i
SB;mgweali999;p0p100;2011;4979740672;999;i
SB;mgweali999;p0p100;2012;5686339072;999;i
SB;mgweali999;p0p100;2013;6831019008;999;i
SB;mgweali999;p0p100;2014;6907774976;999;i
SB;mgweali999;p0p100;2015;7234713600;999;i
