country;variable;percentile;year;value;age;pop
SH;npopulf201;p0p100;1950;193;201;f
SH;npopulf201;p0p100;1951;189;201;f
SH;npopulf201;p0p100;1952;184;201;f
SH;npopulf201;p0p100;1953;176;201;f
SH;npopulf201;p0p100;1954;166;201;f
SH;npopulf201;p0p100;1955;157;201;f
SH;npopulf201;p0p100;1956;147;201;f
SH;npopulf201;p0p100;1957;144;201;f
SH;npopulf201;p0p100;1958;153;201;f
SH;npopulf201;p0p100;1959;167;201;f
SH;npopulf201;p0p100;1960;176;201;f
SH;npopulf201;p0p100;1961;179;201;f
SH;npopulf201;p0p100;1962;186;201;f
SH;npopulf201;p0p100;1963;189;201;f
SH;npopulf201;p0p100;1964;181;201;f
SH;npopulf201;p0p100;1965;178;201;f
SH;npopulf201;p0p100;1966;184;201;f
SH;npopulf201;p0p100;1967;195;201;f
SH;npopulf201;p0p100;1968;212;201;f
SH;npopulf201;p0p100;1969;234;201;f
SH;npopulf201;p0p100;1970;249;201;f
SH;npopulf201;p0p100;1971;257;201;f
SH;npopulf201;p0p100;1972;266;201;f
SH;npopulf201;p0p100;1973;269;201;f
SH;npopulf201;p0p100;1974;262;201;f
SH;npopulf201;p0p100;1975;252;201;f
SH;npopulf201;p0p100;1976;249;201;f
SH;npopulf201;p0p100;1977;257;201;f
SH;npopulf201;p0p100;1978;273;201;f
SH;npopulf201;p0p100;1979;293;201;f
SH;npopulf201;p0p100;1980;315;201;f
SH;npopulf201;p0p100;1981;326;201;f
SH;npopulf201;p0p100;1982;330;201;f
SH;npopulf201;p0p100;1983;333;201;f
SH;npopulf201;p0p100;1984;328;201;f
SH;npopulf201;p0p100;1985;314;201;f
SH;npopulf201;p0p100;1986;308;201;f
SH;npopulf201;p0p100;1987;312;201;f
SH;npopulf201;p0p100;1988;315;201;f
SH;npopulf201;p0p100;1989;317;201;f
SH;npopulf201;p0p100;1990;328;201;f
SH;npopulf201;p0p100;1991;341;201;f
SH;npopulf201;p0p100;1992;331;201;f
SH;npopulf201;p0p100;1993;311;201;f
SH;npopulf201;p0p100;1994;284;201;f
SH;npopulf201;p0p100;1995;256;201;f
SH;npopulf201;p0p100;1996;229;201;f
SH;npopulf201;p0p100;1997;202;201;f
SH;npopulf201;p0p100;1998;186;201;f
SH;npopulf201;p0p100;1999;182;201;f
SH;npopulf201;p0p100;2000;177;201;f
SH;npopulf201;p0p100;2001;180;201;f
SH;npopulf201;p0p100;2002;197;201;f
SH;npopulf201;p0p100;2003;201;201;f
SH;npopulf201;p0p100;2004;184;201;f
SH;npopulf201;p0p100;2005;163;201;f
SH;npopulf201;p0p100;2006;137;201;f
SH;npopulf201;p0p100;2007;109;201;f
SH;npopulf201;p0p100;2008;101;201;f
SH;npopulf201;p0p100;2009;115;201;f
SH;npopulf201;p0p100;2010;133;201;f
SH;npopulf201;p0p100;2011;147;201;f
SH;npopulf201;p0p100;2012;154;201;f
SH;npopulf201;p0p100;2013;149;201;f
SH;npopulf201;p0p100;2014;134;201;f
SH;npopulf201;p0p100;2015;116;201;f
SH;npopulf201;p0p100;2016;109;201;f
SH;npopulf201;p0p100;2017;109;201;f
