country;variable;percentile;year;value;age;pop
SU;npopulm001;p0p100;1950;9606985;001;m
SU;npopulm001;p0p100;1951;10361563;001;m
SU;npopulm001;p0p100;1952;10861574;001;m
SU;npopulm001;p0p100;1953;11286147;001;m
SU;npopulm001;p0p100;1954;11550202;001;m
SU;npopulm001;p0p100;1955;11729338;001;m
SU;npopulm001;p0p100;1956;11918370;001;m
SU;npopulm001;p0p100;1957;12116009;001;m
SU;npopulm001;p0p100;1958;12355424;001;m
SU;npopulm001;p0p100;1959;12520456;001;m
SU;npopulm001;p0p100;1960;12648460;001;m
SU;npopulm001;p0p100;1961;12813788;001;m
SU;npopulm001;p0p100;1962;12873394;001;m
SU;npopulm001;p0p100;1963;12794484;001;m
SU;npopulm001;p0p100;1964;12548867;001;m
SU;npopulm001;p0p100;1965;12136207;001;m
SU;npopulm001;p0p100;1966;11688746;001;m
SU;npopulm001;p0p100;1967;11278917;001;m
SU;npopulm001;p0p100;1968;10913522;001;m
SU;npopulm001;p0p100;1969;10636381;001;m
SU;npopulm001;p0p100;1970;10565570;001;m
SU;npopulm001;p0p100;1971;10627181;001;m
SU;npopulm001;p0p100;1972;10731907;001;m
SU;npopulm001;p0p100;1973;10896830;001;m
SU;npopulm001;p0p100;1974;11086228;001;m
SU;npopulm001;p0p100;1975;11273342;001;m
SU;npopulm001;p0p100;1976;11422819;001;m
SU;npopulm001;p0p100;1977;11535704;001;m
SU;npopulm001;p0p100;1978;11608822;001;m
SU;npopulm001;p0p100;1979;11714086;001;m
SU;npopulm001;p0p100;1980;11870724;001;m
SU;npopulm001;p0p100;1981;11969621;001;m
SU;npopulm001;p0p100;1982;12095230;001;m
SU;npopulm001;p0p100;1983;12381266;001;m
SU;npopulm001;p0p100;1984;12697165;001;m
SU;npopulm001;p0p100;1985;12952447;001;m
SU;npopulm001;p0p100;1986;13287114;001;m
SU;npopulm001;p0p100;1987;13622854;001;m
SU;npopulm001;p0p100;1988;13764448;001;m
SU;npopulm001;p0p100;1989;13728214;001;m
SU;npopulm001;p0p100;1990;13557859;001;m
SU;npopulm001;p0p100;1991;13223187;001;m
SU;npopulm001;p0p100;1992;12653984;001;m
SU;npopulm001;p0p100;1993;11950078;001;m
SU;npopulm001;p0p100;1994;11295408;001;m
SU;npopulm001;p0p100;1995;10702132;001;m
SU;npopulm001;p0p100;1996;10124023;001;m
SU;npopulm001;p0p100;1997;9590811;001;m
SU;npopulm001;p0p100;1998;9158965;001;m
SU;npopulm001;p0p100;1999;8810453;001;m
SU;npopulm001;p0p100;2000;8529254;001;m
SU;npopulm001;p0p100;2001;8331211;001;m
SU;npopulm001;p0p100;2002;8267345;001;m
SU;npopulm001;p0p100;2003;8347526;001;m
SU;npopulm001;p0p100;2004;8506103;001;m
SU;npopulm001;p0p100;2005;8691409;001;m
SU;npopulm001;p0p100;2006;8894724;001;m
SU;npopulm001;p0p100;2007;9161416;001;m
SU;npopulm001;p0p100;2008;9485725;001;m
SU;npopulm001;p0p100;2009;9829591;001;m
SU;npopulm001;p0p100;2010;10133950;001;m
SU;npopulm001;p0p100;2011;10443148;001;m
SU;npopulm001;p0p100;2012;10771909;001;m
SU;npopulm001;p0p100;2013;11040523;001;m
SU;npopulm001;p0p100;2014;11268096;001;m
SU;npopulm001;p0p100;2015;11498645;001;m
SU;npopulm001;p0p100;2016;11665560;001;m
SU;npopulm001;p0p100;2017;11650592;001;m
SU;npopulm001;p0p100;2018;11484809;001;m
SU;npopulm001;p0p100;2019;11259965;001;m
SU;npopulm001;p0p100;2020;10998875;001;m
SU;npopulm001;p0p100;2021;10744527;001;m
SU;npopulm001;p0p100;2022;10470449;001;m
SU;npopulm001;p0p100;2023;10216948;001;m
SU;npopulm001;p0p100;2024;10047120;001;m
SU;npopulm014;p0p100;1922;27637612;014;m
SU;npopulm014;p0p100;1923;27865936;014;m
SU;npopulm014;p0p100;1924;28183600;014;m
SU;npopulm014;p0p100;1925;28511552;014;m
SU;npopulm014;p0p100;1926;28832148;014;m
SU;npopulm014;p0p100;1927;29134476;014;m
SU;npopulm014;p0p100;1928;29444188;014;m
SU;npopulm014;p0p100;1929;29746918;014;m
SU;npopulm014;p0p100;1930;30032048;014;m
SU;npopulm014;p0p100;1931;30290568;014;m
SU;npopulm014;p0p100;1932;30507526;014;m
SU;npopulm014;p0p100;1933;30469606;014;m
SU;npopulm014;p0p100;1934;30442236;014;m
SU;npopulm014;p0p100;1935;30667646;014;m
SU;npopulm014;p0p100;1936;30926168;014;m
SU;npopulm014;p0p100;1937;31218376;014;m
SU;npopulm014;p0p100;1938;31535184;014;m
SU;npopulm014;p0p100;1939;31564860;014;m
SU;npopulm014;p0p100;1940;31163578;014;m
SU;npopulm014;p0p100;1941;30762298;014;m
SU;npopulm014;p0p100;1942;30361016;014;m
SU;npopulm014;p0p100;1943;29959736;014;m
SU;npopulm014;p0p100;1944;29558456;014;m
SU;npopulm014;p0p100;1945;29157174;014;m
SU;npopulm014;p0p100;1946;28755894;014;m
