country;variable;percentile;year;value;age;pop
TC;wwealgi999;p0p100;1995;-0.010025133;999;i
TC;wwealgi999;p0p100;1996;0.016689595;999;i
TC;wwealgi999;p0p100;1997;0.043127991;999;i
TC;wwealgi999;p0p100;1998;0.069934048;999;i
TC;wwealgi999;p0p100;1999;0.097642154;999;i
TC;wwealgi999;p0p100;2000;0.12692873;999;i
TC;wwealgi999;p0p100;2001;0.15836665;999;i
TC;wwealgi999;p0p100;2002;0.19195384;999;i
TC;wwealgi999;p0p100;2003;0.22730468;999;i
TC;wwealgi999;p0p100;2004;0.26403305;999;i
TC;wwealgi999;p0p100;2005;0.30070177;999;i
TC;wwealgi999;p0p100;2006;0.33493415;999;i
TC;wwealgi999;p0p100;2007;0.36387783;999;i
TC;wwealgi999;p0p100;2008;0.38532963;999;i
TC;wwealgi999;p0p100;2009;0.39805299;999;i
TC;wwealgi999;p0p100;2010;0.40255761;999;i
TC;wwealgi999;p0p100;2011;0.40017882;999;i
TC;wwealgi999;p0p100;2012;0.3928009;999;i
TC;wwealgi999;p0p100;2013;0.38204882;999;i
TC;wwealgi999;p0p100;2014;0.36947951;999;i
TC;wwealgi999;p0p100;2015;0.3563301;999;i
TC;wwealgi999;p0p100;2016;0.34360516;999;i
TC;wwealgi999;p0p100;2017;0.33197641;999;i
TC;wwealgi999;p0p100;2018;0.32179475;999;i
TC;wwealgi999;p0p100;2019;0.31289718;999;i
TC;wwealgi999;p0p100;2020;0.30461121;999;i
TC;wwealgi999;p0p100;2021;0.29592144;999;i
TC;wwealgi999;p0p100;2022;0.28702003;999;i
TC;wwealni999;p0p100;1995;0.30606613;999;i
TC;wwealni999;p0p100;1996;0.38792527;999;i
TC;wwealni999;p0p100;1997;0.47536656;999;i
TC;wwealni999;p0p100;1998;0.55284828;999;i
TC;wwealni999;p0p100;1999;0.63535225;999;i
TC;wwealni999;p0p100;2000;0.72843152;999;i
TC;wwealni999;p0p100;2001;0.81896603;999;i
TC;wwealni999;p0p100;2002;0.91258866;999;i
TC;wwealni999;p0p100;2003;1.0175588;999;i
TC;wwealni999;p0p100;2004;1.124207;999;i
TC;wwealni999;p0p100;2005;1.2304673;999;i
TC;wwealni999;p0p100;2006;1.3327368;999;i
TC;wwealni999;p0p100;2007;1.427223;999;i
TC;wwealni999;p0p100;2008;1.5042446;999;i
TC;wwealni999;p0p100;2009;1.5734378;999;i
TC;wwealni999;p0p100;2010;1.6256105;999;i
TC;wwealni999;p0p100;2011;1.6710527;999;i
TC;wwealni999;p0p100;2012;1.711041;999;i
TC;wwealni999;p0p100;2013;1.7582943;999;i
TC;wwealni999;p0p100;2014;1.8114524;999;i
TC;wwealni999;p0p100;2015;1.8713704;999;i
TC;wwealni999;p0p100;2016;1.9430983;999;i
TC;wwealni999;p0p100;2017;2.0280385;999;i
TC;wwealni999;p0p100;2018;2.1230547;999;i
TC;wwealni999;p0p100;2019;2.2291625;999;i
TC;wwealni999;p0p100;2020;2.3430545;999;i
TC;wwealni999;p0p100;2021;2.457459;999;i
TC;wwealni999;p0p100;2022;2.5719862;999;i
TC;wwealpi999;p0p100;1995;0.39255661;999;i
TC;wwealpi999;p0p100;1996;0.43536863;999;i
TC;wwealpi999;p0p100;1997;0.44405118;999;i
TC;wwealpi999;p0p100;1998;0.49741471;999;i
TC;wwealpi999;p0p100;1999;0.54545766;999;i
TC;wwealpi999;p0p100;2000;0.60150278;999;i
TC;wwealpi999;p0p100;2001;0.66059935;999;i
TC;wwealpi999;p0p100;2002;0.72063488;999;i
TC;wwealpi999;p0p100;2003;0.79025418;999;i
TC;wwealpi999;p0p100;2004;0.86017394;999;i
TC;wwealpi999;p0p100;2005;0.92976552;999;i
TC;wwealpi999;p0p100;2006;0.99780262;999;i
TC;wwealpi999;p0p100;2007;1.0633451;999;i
TC;wwealpi999;p0p100;2008;1.118915;999;i
TC;wwealpi999;p0p100;2009;1.1753849;999;i
TC;wwealpi999;p0p100;2010;1.2230527;999;i
TC;wwealpi999;p0p100;2011;1.2708738;999;i
TC;wwealpi999;p0p100;2012;1.3182399;999;i
TC;wwealpi999;p0p100;2013;1.3762455;999;i
TC;wwealpi999;p0p100;2014;1.4419729;999;i
TC;wwealpi999;p0p100;2015;1.5150403;999;i
TC;wwealpi999;p0p100;2016;1.5994931;999;i
TC;wwealpi999;p0p100;2017;1.696062;999;i
TC;wwealpi999;p0p100;2018;1.80126;999;i
TC;wwealpi999;p0p100;2019;1.9162652;999;i
TC;wwealpi999;p0p100;2020;2.0384433;999;i
TC;wwealpi999;p0p100;2021;2.1615374;999;i
TC;wwealpi999;p0p100;2022;2.284966;999;i
TC;mgweali999;p0p100;1995;-3042738.25;999;i
TC;mgweali999;p0p100;1996;5544404;999;i
TC;mgweali999;p0p100;1997;15355550;999;i
TC;mgweali999;p0p100;1998;27688750;999;i
TC;mgweali999;p0p100;1999;42084552;999;i
TC;mgweali999;p0p100;2000;57194780;999;i
TC;mgweali999;p0p100;2001;76363920;999;i
TC;mgweali999;p0p100;2002;92709840;999;i
TC;mgweali999;p0p100;2003;120014992;999;i
TC;mgweali999;p0p100;2004;155400128;999;i
TC;mgweali999;p0p100;2005;203294816;999;i
TC;mgweali999;p0p100;2006;269856672;999;i
TC;mgweali999;p0p100;2007;309582016;999;i
TC;mgweali999;p0p100;2008;357992864;999;i
TC;mgweali999;p0p100;2009;288652448;999;i
TC;mgweali999;p0p100;2010;296206432;999;i
TC;mgweali999;p0p100;2011;310574880;999;i
TC;mgweali999;p0p100;2012;300908224;999;i
TC;mgweali999;p0p100;2013;294791648;999;i
TC;mgweali999;p0p100;2014;303731328;999;i
TC;mgweali999;p0p100;2015;337190752;999;i
TC;mgweali999;p0p100;2016;350260224;999;i
TC;mgweali999;p0p100;2017;320085056;999;i
TC;mgweali999;p0p100;2018;325161632;999;i
TC;mgweali999;p0p100;2019;337196992;999;i
TC;mgweali999;p0p100;2020;231748720;999;i
TC;mgweali999;p0p100;2021;233223568;999;i
TC;mgweali999;p0p100;2022;233848864;999;i
TC;mnweali999;p0p100;1995;92894440;999;i
TC;mnweali999;p0p100;1996;128871584;999;i
TC;mnweali999;p0p100;1997;169252368;999;i
TC;mnweali999;p0p100;1998;218887344;999;i
TC;mnweali999;p0p100;1999;273841920;999;i
TC;mnweali999;p0p100;2000;328235232;999;i
TC;mnweali999;p0p100;2001;394902944;999;i
TC;mnweali999;p0p100;2002;440761952;999;i
TC;mnweali999;p0p100;2003;537262656;999;i
TC;mnweali999;p0p100;2004;661666816;999;i
TC;mnweali999;p0p100;2005;831879424;999;i
TC;mnweali999;p0p100;2006;1073787008;999;i
TC;mnweali999;p0p100;2007;1214260736;999;i
TC;mnweali999;p0p100;2008;1397527680;999;i
TC;mnweali999;p0p100;2009;1140995456;999;i
TC;mnweali999;p0p100;2010;1196142464;999;i
TC;mnweali999;p0p100;2011;1296887680;999;i
TC;mnweali999;p0p100;2012;1310756352;999;i
TC;mnweali999;p0p100;2013;1356712704;999;i
TC;mnweali999;p0p100;2014;1489107840;999;i
TC;mnweali999;p0p100;2015;1770854656;999;i
TC;mnweali999;p0p100;2016;1980732928;999;i
TC;mnweali999;p0p100;2017;1955394304;999;i
TC;mnweali999;p0p100;2018;2145267840;999;i
TC;mnweali999;p0p100;2019;2402280704;999;i
TC;mnweali999;p0p100;2020;1782599808;999;i
TC;mnweali999;p0p100;2021;1936788864;999;i
TC;mnweali999;p0p100;2022;2095519488;999;i
TC;mnwnxai999;p0p100;1995;2412903.75;999;i
TC;mnwnxai999;p0p100;1996;5309652;999;i
TC;mnwnxai999;p0p100;1997;8338427;999;i
TC;mnwnxai999;p0p100;1998;12318353;999;i
TC;mnwnxai999;p0p100;1999;17191834;999;i
TC;mnwnxai999;p0p100;2000;22936532;999;i
TC;mnwnxai999;p0p100;2001;31528748;999;i
TC;mnwnxai999;p0p100;2002;40308876;999;i
TC;mnwnxai999;p0p100;2003;55191352;999;i
TC;mnwnxai999;p0p100;2004;75440400;999;i
TC;mnwnxai999;p0p100;2005;103469200;999;i
TC;mnwnxai999;p0p100;2006;142471712;999;i
TC;mnwnxai999;p0p100;2007;167523312;999;i
TC;mnwnxai999;p0p100;2008;196930112;999;i
TC;mnwnxai999;p0p100;2009;160921232;999;i
TC;mnwnxai999;p0p100;2010;167677536;999;i
TC;mnwnxai999;p0p100;2011;179370320;999;i
TC;mnwnxai999;p0p100;2012;178650688;999;i
TC;mnwnxai999;p0p100;2013;181532656;999;i
TC;mnwnxai999;p0p100;2014;195779600;999;i
TC;mnwnxai999;p0p100;2015;229419792;999;i
TC;mnwnxai999;p0p100;2016;253501984;999;i
TC;mnwnxai999;p0p100;2017;248374544;999;i
TC;mnwnxai999;p0p100;2018;272461792;999;i
TC;mnwnxai999;p0p100;2019;306782944;999;i
TC;mnwnxai999;p0p100;2020;229599952;999;i
TC;mnwnxai999;p0p100;2021;251568176;999;i
TC;mnwnxai999;p0p100;2022;273970336;999;i
TC;mpweali999;p0p100;1995;119145256;999;i
TC;mpweali999;p0p100;1996;144632608;999;i
TC;mpweali999;p0p100;1997;158102656;999;i
TC;mpweali999;p0p100;1998;196939728;999;i
TC;mpweali999;p0p100;1999;235096640;999;i
TC;mpweali999;p0p100;2000;271040448;999;i
TC;mpweali999;p0p100;2001;318539008;999;i
TC;mpweali999;p0p100;2002;348052128;999;i
TC;mpweali999;p0p100;2003;417247680;999;i
TC;mpweali999;p0p100;2004;506266688;999;i
TC;mpweali999;p0p100;2005;628584640;999;i
TC;mpweali999;p0p100;2006;803930240;999;i
TC;mpweali999;p0p100;2007;904678720;999;i
TC;mpweali999;p0p100;2008;1039534784;999;i
TC;mpweali999;p0p100;2009;852343040;999;i
TC;mpweali999;p0p100;2010;899936000;999;i
TC;mpweali999;p0p100;2011;986312768;999;i
TC;mpweali999;p0p100;2012;1009848064;999;i
