country;variable;percentile;year;value;age;pop
TO;wwealgi999;p0p100;1995;0.039707873;999;i
TO;wwealgi999;p0p100;1996;0.061801195;999;i
TO;wwealgi999;p0p100;1997;0.088464119;999;i
TO;wwealgi999;p0p100;1998;0.096288517;999;i
TO;wwealgi999;p0p100;1999;0.08315713;999;i
TO;wwealgi999;p0p100;2000;0.050969947;999;i
TO;wwealgi999;p0p100;2001;0.013394123;999;i
TO;wwealgi999;p0p100;2002;-0.019928062;999;i
TO;wwealgi999;p0p100;2003;-0.018029882;999;i
TO;wwealgi999;p0p100;2004;0.033832312;999;i
TO;wwealgi999;p0p100;2005;0.10190101;999;i
TO;wwealgi999;p0p100;2006;0.14540003;999;i
TO;wwealgi999;p0p100;2007;0.16878207;999;i
TO;wwealgi999;p0p100;2008;0.18897465;999;i
TO;wwealgi999;p0p100;2009;0.18303853;999;i
TO;wwealgi999;p0p100;2010;0.16719019;999;i
TO;wwealgi999;p0p100;2011;0.14083926;999;i
TO;wwealgi999;p0p100;2012;0.088556454;999;i
TO;wwealgi999;p0p100;2013;0.081523076;999;i
TO;wwealgi999;p0p100;2014;0.099801414;999;i
TO;wwealgi999;p0p100;2015;0.10892225;999;i
TO;wwealgi999;p0p100;2016;0.096338786;999;i
TO;wwealgi999;p0p100;2017;0.11257077;999;i
TO;wwealgi999;p0p100;2018;0.1318762;999;i
TO;wwealgi999;p0p100;2019;0.13610803;999;i
TO;wwealgi999;p0p100;2020;0.16140017;999;i
TO;wwealgi999;p0p100;2021;0.16021277;999;i
TO;wwealgi999;p0p100;2022;0.1320437;999;i
TO;wwealpi999;p0p100;1995;1.4639549;999;i
TO;wwealpi999;p0p100;1996;1.4918925;999;i
TO;wwealpi999;p0p100;1997;1.5351368;999;i
TO;wwealpi999;p0p100;1998;1.5772853;999;i
TO;wwealpi999;p0p100;1999;1.632531;999;i
TO;wwealpi999;p0p100;2000;1.6580251;999;i
TO;wwealpi999;p0p100;2001;1.7013975;999;i
TO;wwealpi999;p0p100;2002;1.7572582;999;i
TO;wwealpi999;p0p100;2003;1.8474895;999;i
TO;wwealpi999;p0p100;2004;1.9385908;999;i
TO;wwealpi999;p0p100;2005;1.9572229;999;i
TO;wwealpi999;p0p100;2006;1.9857161;999;i
TO;wwealpi999;p0p100;2007;2.0434494;999;i
TO;wwealpi999;p0p100;2008;2.0701995;999;i
TO;wwealpi999;p0p100;2009;2.1238728;999;i
TO;wwealpi999;p0p100;2010;2.2349038;999;i
TO;wwealpi999;p0p100;2011;2.332804;999;i
TO;wwealpi999;p0p100;2012;2.4013894;999;i
TO;wwealpi999;p0p100;2013;2.4400597;999;i
TO;wwealpi999;p0p100;2014;2.4656243;999;i
TO;wwealpi999;p0p100;2015;2.5502555;999;i
TO;wwealpi999;p0p100;2016;2.6251414;999;i
TO;wwealpi999;p0p100;2017;2.7126215;999;i
TO;wwealpi999;p0p100;2018;2.819984;999;i
TO;wwealpi999;p0p100;2019;2.9511216;999;i
TO;wwealpi999;p0p100;2020;3.0949731;999;i
TO;wwealpi999;p0p100;2021;3.2236569;999;i
TO;wwealpi999;p0p100;2022;3.3253589;999;i
TO;adefgoi992;p0p100;1980;85.8;992;i
TO;adefgoi992;p0p100;1981;98.2;992;i
TO;adefgoi992;p0p100;1982;128;992;i
TO;adefgoi992;p0p100;1983;114.6;992;i
TO;adefgoi992;p0p100;1984;135.7;992;i
TO;adefgoi992;p0p100;1985;168.9;992;i
TO;adefgoi992;p0p100;1986;153.4;992;i
TO;adefgoi992;p0p100;1987;145.4;992;i
TO;aecogoi999;p0p100;1975;101.1;999;i
TO;aecogoi999;p0p100;1976;124.4;999;i
TO;aecogoi999;p0p100;1977;116;999;i
TO;aecogoi999;p0p100;1978;153.3;999;i
TO;aecogoi999;p0p100;1979;153.6;999;i
TO;aecogoi999;p0p100;1980;315;999;i
TO;aecogoi999;p0p100;1981;429.4;999;i
TO;aecogoi999;p0p100;1982;529.5;999;i
TO;aecogoi999;p0p100;1983;519.2;999;i
TO;aecogoi999;p0p100;1984;519.4;999;i
TO;aecogoi999;p0p100;1985;580.7;999;i
TO;aecogoi999;p0p100;1986;546.3;999;i
TO;aecogoi999;p0p100;1987;512.9;999;i
TO;aecogoi992;p0p100;1975;237.7;992;i
TO;aecogoi992;p0p100;1976;291.2;992;i
TO;aecogoi992;p0p100;1977;269.4;992;i
TO;aecogoi992;p0p100;1978;351.9;992;i
TO;aecogoi992;p0p100;1979;348.6;992;i
TO;aecogoi992;p0p100;1980;707.8;992;i
TO;aecogoi992;p0p100;1981;957.2;992;i
TO;aecogoi992;p0p100;1982;1173.2;992;i
TO;aecogoi992;p0p100;1983;1145.9;992;i
TO;aecogoi992;p0p100;1984;1143.5;992;i
TO;aecogoi992;p0p100;1985;1275.8;992;i
TO;aecogoi992;p0p100;1986;1196.4;992;i
TO;aecogoi992;p0p100;1987;1110;992;i
TO;mnweali999;p0p100;1995;1113473792;999;i
TO;mnweali999;p0p100;1996;1174646912;999;i
TO;mnweali999;p0p100;1997;1254943104;999;i
TO;mnweali999;p0p100;1998;1353646336;999;i
TO;mnweali999;p0p100;1999;1406563200;999;i
TO;mnweali999;p0p100;2000;1403513600;999;i
TO;mnweali999;p0p100;2001;1459457280;999;i
TO;mnweali999;p0p100;2002;1557943680;999;i
TO;mnweali999;p0p100;2003;1621700864;999;i
TO;mnweali999;p0p100;2004;1729860736;999;i
TO;mnweali999;p0p100;2005;1785440128;999;i
TO;mnweali999;p0p100;2006;1887480960;999;i
TO;mnweali999;p0p100;2007;2027848704;999;i
TO;mnweali999;p0p100;2008;2058112768;999;i
TO;mnweali999;p0p100;2009;2046545536;999;i
TO;mnweali999;p0p100;2010;2182836480;999;i
TO;mnweali999;p0p100;2011;2391840512;999;i
TO;mnweali999;p0p100;2012;2411413504;999;i
TO;mnweali999;p0p100;2013;2469852160;999;i
TO;mnweali999;p0p100;2014;2508642048;999;i
TO;mnweali999;p0p100;2015;2757020160;999;i
TO;mnweali999;p0p100;2016;2947185408;999;i
TO;mnweali999;p0p100;2017;3165727232;999;i
TO;mnweali999;p0p100;2018;3375352576;999;i
TO;mnweali999;p0p100;2019;3644595968;999;i
TO;mnweali999;p0p100;2020;3823536128;999;i
TO;mnweali999;p0p100;2021;3865524736;999;i
TO;mnweali999;p0p100;2022;3871724800;999;i
TO;mnwnxai999;p0p100;1981;-56803456;999;i
TO;mnwnxai999;p0p100;1982;-58287328;999;i
TO;mnwnxai999;p0p100;1983;-16235711;999;i
TO;mnwnxai999;p0p100;1984;34347904;999;i
TO;mnwnxai999;p0p100;1985;41136356;999;i
TO;mnwnxai999;p0p100;1986;-15490146;999;i
TO;mnwnxai999;p0p100;1987;-53791636;999;i
TO;mnwnxai999;p0p100;1988;-46068860;999;i
TO;mnwnxai999;p0p100;1989;-60137408;999;i
TO;mnwnxai999;p0p100;1990;-80185232;999;i
TO;mnwnxai999;p0p100;1991;-52445056;999;i
TO;mnwnxai999;p0p100;1992;-30171682;999;i
TO;mnwnxai999;p0p100;1993;-34943816;999;i
TO;mnwnxai999;p0p100;1994;-60209504;999;i
TO;mnwnxai999;p0p100;1995;-143839648;999;i
TO;mnwnxai999;p0p100;1996;-186253936;999;i
TO;mnwnxai999;p0p100;1997;-183829504;999;i
TO;mnwnxai999;p0p100;1998;-228001504;999;i
TO;mnwnxai999;p0p100;1999;-292290688;999;i
TO;mnwnxai999;p0p100;2000;-369392768;999;i
TO;mnwnxai999;p0p100;2001;-438268768;999;i
TO;mnwnxai999;p0p100;2002;-520039456;999;i
TO;mnwnxai999;p0p100;2003;-501123264;999;i
TO;mnwnxai999;p0p100;2004;-413195744;999;i
TO;mnwnxai999;p0p100;2005;-397954464;999;i
TO;mnwnxai999;p0p100;2006;-433389344;999;i
TO;mnwnxai999;p0p100;2007;-448664960;999;i
TO;mnwnxai999;p0p100;2008;-475869792;999;i
TO;mnwnxai999;p0p100;2009;-469877440;999;i
TO;mnwnxai999;p0p100;2010;-368649056;999;i
TO;mnwnxai999;p0p100;2011;-287447392;999;i
TO;mnwnxai999;p0p100;2012;-291947040;999;i
TO;mnwnxai999;p0p100;2013;-325728192;999;i
TO;mnwnxai999;p0p100;2014;-354661216;999;i
