country;variable;percentile;year;value;age;pop
US-AK;afiinct992;p0p100;1917;120566.4;992;t
US-AK;afiinct992;p0p100;1918;53116.8;992;t
US-AK;afiinct992;p0p100;1919;44759.8;992;t
US-AK;afiinct992;p0p100;1920;47498.3;992;t
US-AK;afiinct992;p0p100;1939;147168.1;992;t
US-AK;afiinct992;p0p100;1940;172632.2;992;t
US-AK;afiinct992;p0p100;1941;183503;992;t
US-AK;afiinct992;p0p100;1942;221287.3;992;t
US-AK;afiinct992;p0p100;1955;160092.8;992;t
US-AK;afiinct992;p0p100;1956;199782.9;992;t
US-AK;afiinct992;p0p100;1957;138187.4;992;t
US-AK;afiinct992;p0p100;1958;173558.1;992;t
US-AK;afiinct992;p0p100;1959;176835;992;t
US-AK;afiinct992;p0p100;1960;170026.6;992;t
US-AK;afiinct992;p0p100;1961;210047.6;992;t
US-AK;afiinct992;p0p100;1962;190563;992;t
US-AK;afiinct992;p0p100;1963;200617.6;992;t
US-AK;afiinct992;p0p100;1964;300601;992;t
US-AK;afiinct992;p0p100;1965;331596.2;992;t
US-AK;afiinct992;p0p100;1966;254725.2;992;t
US-AK;afiinct992;p0p100;1967;286924.8;992;t
US-AK;afiinct992;p0p100;1968;257017.2;992;t
US-AK;afiinct992;p0p100;1969;292353.2;992;t
US-AK;afiinct992;p0p100;1970;284338;992;t
US-AK;afiinct992;p0p100;1971;291600.3;992;t
US-AK;afiinct992;p0p100;1972;292916.2;992;t
US-AK;afiinct992;p0p100;1973;304691.1;992;t
US-AK;afiinct992;p0p100;1974;472266.8;992;t
US-AK;afiinct992;p0p100;1975;381249.5;992;t
US-AK;afiinct992;p0p100;1976;378065.2;992;t
US-AK;afiinct992;p0p100;1977;387899.2;992;t
US-AK;afiinct992;p0p100;1978;366250.9;992;t
US-AK;afiinct992;p0p100;1979;355810.9;992;t
US-AK;afiinct992;p0p100;1980;354044.6;992;t
US-AK;afiinct992;p0p100;1981;354207.2;992;t
US-AK;afiinct992;p0p100;1982;390231.6;992;t
US-AK;afiinct992;p0p100;1983;399108;992;t
US-AK;afiinct992;p0p100;1984;396212.2;992;t
US-AK;afiinct992;p0p100;1985;391800.7;992;t
US-AK;afiinct992;p0p100;1986;401551.8;992;t
US-AK;afiinct992;p0p100;1987;368782.3;992;t
US-AK;afiinct992;p0p100;1988;399982;992;t
US-AK;afiinct992;p0p100;1989;453803.4;992;t
US-AK;afiinct992;p0p100;1990;412849.7;992;t
US-AK;afiinct992;p0p100;1991;405135;992;t
US-AK;afiinct992;p0p100;1992;416507.3;992;t
US-AK;afiinct992;p0p100;1993;406780.7;992;t
US-AK;afiinct992;p0p100;1994;402237.6;992;t
US-AK;afiinct992;p0p100;1995;431961.5;992;t
US-AK;afiinct992;p0p100;1996;447228.6;992;t
US-AK;afiinct992;p0p100;1997;460382.8;992;t
US-AK;afiinct992;p0p100;1998;499475.7;992;t
US-AK;afiinct992;p0p100;1999;525255.6;992;t
US-AK;afiinct992;p0p100;2000;528495.2000000001;992;t
US-AK;afiinct992;p0p100;2001;500984.4;992;t
US-AK;afiinct992;p0p100;2002;483097.4;992;t
US-AK;afiinct992;p0p100;2003;489454.3;992;t
US-AK;afiinct992;p0p100;2004;509737.2;992;t
US-AK;afiinct992;p0p100;2005;540907.7000000001;992;t
US-AK;afiinct992;p0p100;2006;569575.3;992;t
US-AK;afiinct992;p0p100;2007;605356.1;992;t
US-AK;afiinct992;p0p100;2008;584308.6;992;t
US-AK;afiinct992;p0p100;2009;545712.9;992;t
US-AK;afiinct992;p0p100;2010;581034.8;992;t
US-AK;afiinct992;p0p100;2011;576791.1;992;t
US-AK;afiinct992;p0p100;2012;600117.5;992;t
US-AK;afiinct992;p0p100;2013;562956.2000000001;992;t
US-AK;afiinct992;p0p100;2014;606010.8;992;t
US-AK;afiinct992;p0p100;2015;616691;992;t
US-AK;afiinct992;p0p100;2016;575577.7000000001;992;t
US-AK;afiinct992;p0p100;2017;569072.8;992;t
US-AK;afiinct992;p0p100;2018;583566.5;992;t
US-AK;npopult992;p0p100;1917;25904;992;t
US-AK;npopult992;p0p100;1918;25941;992;t
US-AK;npopult992;p0p100;1919;26320;992;t
US-AK;npopult992;p0p100;1920;26861;992;t
US-AK;npopult992;p0p100;1939;36021;992;t
US-AK;npopult992;p0p100;1940;36614;992;t
US-AK;npopult992;p0p100;1941;37163;992;t
US-AK;npopult992;p0p100;1942;37760;992;t
US-AK;npopult992;p0p100;1955;57351;992;t
US-AK;npopult992;p0p100;1956;60447;992;t
US-AK;npopult992;p0p100;1957;63717;992;t
US-AK;npopult992;p0p100;1958;67057;992;t
US-AK;npopult992;p0p100;1959;70555;992;t
US-AK;npopult992;p0p100;1960;74155;992;t
US-AK;npopult992;p0p100;1961;76687;992;t
US-AK;npopult992;p0p100;1962;79208;992;t
US-AK;npopult992;p0p100;1963;81728;992;t
US-AK;npopult992;p0p100;1964;84282;992;t
US-AK;npopult992;p0p100;1965;86792;992;t
US-AK;npopult992;p0p100;1966;89289;992;t
US-AK;npopult992;p0p100;1967;91793;992;t
US-AK;npopult992;p0p100;1968;94278;992;t
US-AK;npopult992;p0p100;1969;96807;992;t
US-AK;npopult992;p0p100;1970;99586;992;t
US-AK;npopult992;p0p100;1971;104473;992;t
US-AK;npopult992;p0p100;1972;109396;992;t
US-AK;npopult992;p0p100;1973;114425;992;t
US-AK;npopult992;p0p100;1974;119645;992;t
US-AK;npopult992;p0p100;1975;125204;992;t
US-AK;npopult992;p0p100;1976;130983;992;t
US-AK;npopult992;p0p100;1977;137116;992;t
US-AK;npopult992;p0p100;1978;143625;992;t
US-AK;npopult992;p0p100;1979;152645;992;t
US-AK;npopult992;p0p100;1980;157538;992;t
US-AK;npopult992;p0p100;1981;165525;992;t
US-AK;npopult992;p0p100;1982;160584;992;t
US-AK;npopult992;p0p100;1983;160584;992;t
US-AK;npopult992;p0p100;1984;195404;992;t
US-AK;npopult992;p0p100;1985;204258;992;t
US-AK;npopult992;p0p100;1986;212931;992;t
US-AK;npopult992;p0p100;1987;213305;992;t
US-AK;npopult992;p0p100;1988;201156;992;t
US-AK;npopult992;p0p100;1989;196929;992;t
US-AK;npopult992;p0p100;1990;227491;992;t
US-AK;npopult992;p0p100;1991;233458;992;t
US-AK;npopult992;p0p100;1992;242337;992;t
US-AK;npopult992;p0p100;1993;251859;992;t
US-AK;npopult992;p0p100;1994;255955;992;t
US-AK;npopult992;p0p100;1995;246785;992;t
US-AK;npopult992;p0p100;1996;250347;992;t
US-AK;npopult992;p0p100;1997;256143;992;t
US-AK;npopult992;p0p100;1998;260214;992;t
US-AK;npopult992;p0p100;1999;257750;992;t
US-AK;npopult992;p0p100;2000;262264;992;t
US-AK;npopult992;p0p100;2001;270082;992;t
US-AK;npopult992;p0p100;2002;274840;992;t
US-AK;npopult992;p0p100;2003;281831;992;t
US-AK;npopult992;p0p100;2004;296175;992;t
US-AK;npopult992;p0p100;2005;299207;992;t
US-AK;npopult992;p0p100;2006;306347;992;t
US-AK;npopult992;p0p100;2007;307036;992;t
US-AK;npopult992;p0p100;2008;318848;992;t
US-AK;npopult992;p0p100;2009;322731;992;t
US-AK;npopult992;p0p100;2010;334022;992;t
US-AK;npopult992;p0p100;2011;343293;992;t
US-AK;npopult992;p0p100;2012;350092;992;t
US-AK;npopult992;p0p100;2013;351116;992;t
US-AK;npopult992;p0p100;2014;351871;992;t
US-AK;npopult992;p0p100;2015;358839;992;t
US-AK;npopult992;p0p100;2016;348322;992;t
US-AK;npopult992;p0p100;2017;359257;992;t
US-AK;npopult992;p0p100;2018;371870;992;t
US-AK;afiinct992;p0p90;1917;71076.1;992;t
US-AK;afiinct992;p0p90;1918;68569.8;992;t
US-AK;afiinct992;p0p90;1919;68970.1;992;t
US-AK;afiinct992;p0p90;1920;61752.8;992;t
US-AK;afiinct992;p0p90;1939;57221;992;t
US-AK;afiinct992;p0p90;1940;58979.3;992;t
US-AK;afiinct992;p0p90;1941;66825.2;992;t
US-AK;afiinct992;p0p90;1942;77912.8;992;t
US-AK;afiinct992;p0p90;1955;79762.8;992;t
US-AK;afiinct992;p0p90;1956;77068.1;992;t
US-AK;afiinct992;p0p90;1957;66543.1;992;t
US-AK;afiinct992;p0p90;1958;61452.7;992;t
US-AK;afiinct992;p0p90;1959;60774;992;t
US-AK;afiinct992;p0p90;1960;64027.7;992;t
US-AK;afiinct992;p0p90;1961;60644.7;992;t
US-AK;afiinct992;p0p90;1962;59662.2;992;t
US-AK;afiinct992;p0p90;1963;62994;992;t
US-AK;afiinct992;p0p90;1964;67667.7;992;t
US-AK;afiinct992;p0p90;1965;69259.40000000001;992;t
US-AK;afiinct992;p0p90;1966;69286.8;992;t
US-AK;afiinct992;p0p90;1967;72790.40000000001;992;t
US-AK;afiinct992;p0p90;1968;73788.40000000001;992;t
US-AK;afiinct992;p0p90;1969;75151.1;992;t
US-AK;afiinct992;p0p90;1970;79262.8;992;t
US-AK;afiinct992;p0p90;1971;77701.40000000001;992;t
US-AK;afiinct992;p0p90;1972;78850.6;992;t
US-AK;afiinct992;p0p90;1973;76644.90000000001;992;t
US-AK;afiinct992;p0p90;1974;79768.70000000001;992;t
US-AK;afiinct992;p0p90;1975;102073;992;t
US-AK;afiinct992;p0p90;1976;112045.1;992;t
US-AK;afiinct992;p0p90;1977;101552.9;992;t
US-AK;afiinct992;p0p90;1978;91283;992;t
US-AK;afiinct992;p0p90;1979;84771.3;992;t
US-AK;afiinct992;p0p90;1980;84532.70000000001;992;t
US-AK;afiinct992;p0p90;1981;81133.3;992;t
US-AK;afiinct992;p0p90;1982;87715.70000000001;992;t
US-AK;afiinct992;p0p90;1983;103178.6;992;t
US-AK;afiinct992;p0p90;1984;81317.20000000001;992;t
US-AK;afiinct992;p0p90;1985;81905.5;992;t
US-AK;afiinct992;p0p90;1986;79892.20000000001;992;t
US-AK;afiinct992;p0p90;1987;68840.5;992;t
US-AK;afiinct992;p0p90;1988;75248.8;992;t
US-AK;afiinct992;p0p90;1989;77469.40000000001;992;t
US-AK;afiinct992;p0p90;1990;63006.8;992;t
US-AK;afiinct992;p0p90;1991;63352.8;992;t
US-AK;afiinct992;p0p90;1992;61737.7;992;t
US-AK;afiinct992;p0p90;1993;59767.60000000001;992;t
US-AK;afiinct992;p0p90;1994;59070.7;992;t
US-AK;afiinct992;p0p90;1995;62789.7;992;t
US-AK;afiinct992;p0p90;1996;62244.10000000001;992;t
US-AK;afiinct992;p0p90;1997;63989.5;992;t
US-AK;afiinct992;p0p90;1998;64506.9;992;t
US-AK;afiinct992;p0p90;1999;67775.8;992;t
US-AK;afiinct992;p0p90;2000;68313.90000000001;992;t
US-AK;afiinct992;p0p90;2001;65656.6;992;t
US-AK;afiinct992;p0p90;2002;65705.1;992;t
US-AK;afiinct992;p0p90;2003;65941.3;992;t
US-AK;afiinct992;p0p90;2004;66429.2;992;t
US-AK;afiinct992;p0p90;2005;70752.1;992;t
US-AK;afiinct992;p0p90;2006;70648.90000000001;992;t
US-AK;afiinct992;p0p90;2007;74925.2;992;t
US-AK;afiinct992;p0p90;2008;70186.1;992;t
US-AK;afiinct992;p0p90;2009;69317.3;992;t
US-AK;afiinct992;p0p90;2010;73946.8;992;t
US-AK;afiinct992;p0p90;2011;73905.8;992;t
US-AK;afiinct992;p0p90;2012;75188.90000000001;992;t
US-AK;afiinct992;p0p90;2013;72594.7;992;t
US-AK;afiinct992;p0p90;2014;73944.7;992;t
US-AK;afiinct992;p0p90;2015;73653.8;992;t
US-AK;afiinct992;p0p90;2016;72792.40000000001;992;t
US-AK;afiinct992;p0p90;2017;70553.8;992;t
US-AK;afiinct992;p0p90;2018;68806;992;t
US-AK;afiinct992;p0p99;1917;71325.2;992;t
US-AK;afiinct992;p0p99;1918;67817.5;992;t
US-AK;afiinct992;p0p99;1919;68019.40000000001;992;t
US-AK;afiinct992;p0p99;1920;60530.9;992;t
US-AK;afiinct992;p0p99;1939;58194.4;992;t
US-AK;afiinct992;p0p99;1940;60134.60000000001;992;t
US-AK;afiinct992;p0p99;1941;67957.8;992;t
US-AK;afiinct992;p0p99;1942;79252.8;992;t
US-AK;afiinct992;p0p99;1955;82984.1;992;t
US-AK;afiinct992;p0p99;1956;80410.40000000001;992;t
US-AK;afiinct992;p0p99;1957;71642.1;992;t
US-AK;afiinct992;p0p99;1958;65817.8;992;t
US-AK;afiinct992;p0p99;1959;65858;992;t
US-AK;afiinct992;p0p99;1960;70084.2;992;t
US-AK;afiinct992;p0p99;1961;66223.8;992;t
US-AK;afiinct992;p0p99;1962;65779.40000000001;992;t
US-AK;afiinct992;p0p99;1963;68972.7;992;t
US-AK;afiinct992;p0p99;1964;73968.1;992;t
US-AK;afiinct992;p0p99;1965;75953.2;992;t
US-AK;afiinct992;p0p99;1966;76924.1;992;t
US-AK;afiinct992;p0p99;1967;80339.3;992;t
US-AK;afiinct992;p0p99;1968;81321.90000000001;992;t
US-AK;afiinct992;p0p99;1969;84850.40000000001;992;t
US-AK;afiinct992;p0p99;1970;87594.3;992;t
US-AK;afiinct992;p0p99;1971;87296.70000000001;992;t
US-AK;afiinct992;p0p99;1972;87753.70000000001;992;t
US-AK;afiinct992;p0p99;1973;86168.20000000001;992;t
US-AK;afiinct992;p0p99;1974;91526.6;992;t
US-AK;afiinct992;p0p99;1975;113274.5;992;t
US-AK;afiinct992;p0p99;1976;123864.9;992;t
US-AK;afiinct992;p0p99;1977;113263.4;992;t
US-AK;afiinct992;p0p99;1978;103024.1;992;t
US-AK;afiinct992;p0p99;1979;96384.40000000001;992;t
US-AK;afiinct992;p0p99;1980;96535.90000000001;992;t
US-AK;afiinct992;p0p99;1981;93508.5;992;t
US-AK;afiinct992;p0p99;1982;103924.9;992;t
US-AK;afiinct992;p0p99;1983;114429.7;992;t
US-AK;afiinct992;p0p99;1984;93194.20000000001;992;t
US-AK;afiinct992;p0p99;1985;93027.70000000001;992;t
US-AK;afiinct992;p0p99;1986;90522.40000000001;992;t
US-AK;afiinct992;p0p99;1987;79785.3;992;t
US-AK;afiinct992;p0p99;1988;86006.40000000001;992;t
US-AK;afiinct992;p0p99;1989;89722.40000000001;992;t
US-AK;afiinct992;p0p99;1990;76479.90000000001;992;t
US-AK;afiinct992;p0p99;1991;76608.2;992;t
US-AK;afiinct992;p0p99;1992;75266.2;992;t
US-AK;afiinct992;p0p99;1993;73060.6;992;t
US-AK;afiinct992;p0p99;1994;72419.1;992;t
US-AK;afiinct992;p0p99;1995;76218.1;992;t
US-AK;afiinct992;p0p99;1996;76032.90000000001;992;t
US-AK;afiinct992;p0p99;1997;78287.2;992;t
US-AK;afiinct992;p0p99;1998;79310.6;992;t
US-AK;afiinct992;p0p99;1999;83136.20000000001;992;t
US-AK;afiinct992;p0p99;2000;83641.6;992;t
US-AK;afiinct992;p0p99;2001;80534.6;992;t
US-AK;afiinct992;p0p99;2002;80007.5;992;t
US-AK;afiinct992;p0p99;2003;79937;992;t
US-AK;afiinct992;p0p99;2004;80520.70000000001;992;t
US-AK;afiinct992;p0p99;2005;84997.5;992;t
US-AK;afiinct992;p0p99;2006;85534.1;992;t
US-AK;afiinct992;p0p99;2007;90361.40000000001;992;t
US-AK;afiinct992;p0p99;2008;84738;992;t
US-AK;afiinct992;p0p99;2009;84762.40000000001;992;t
US-AK;afiinct992;p0p99;2010;87950.90000000001;992;t
US-AK;afiinct992;p0p99;2011;88136.8;992;t
US-AK;afiinct992;p0p99;2012;89907.40000000001;992;t
US-AK;afiinct992;p0p99;2013;87820.90000000001;992;t
US-AK;afiinct992;p0p99;2014;90253.70000000001;992;t
US-AK;afiinct992;p0p99;2015;90377.3;992;t
US-AK;afiinct992;p0p99;2016;88755;992;t
US-AK;afiinct992;p0p99;2017;87019.70000000001;992;t
US-AK;afiinct992;p0p99;2018;85858.3;992;t
US-AK;ntaxret992;p0p100;1917;4570;992;t
