country;variable;percentile;year;value;age;pop
US-AL;afiinct992;p0p100;1917;10172.5;992;t
US-AL;afiinct992;p0p100;1918;91531.3;992;t
US-AL;afiinct992;p0p100;1919;9171.1;992;t
US-AL;afiinct992;p0p100;1920;6479.8;992;t
US-AL;afiinct992;p0p100;1921;5596.1;992;t
US-AL;afiinct992;p0p100;1922;6516.200000000001;992;t
US-AL;afiinct992;p0p100;1923;44410.9;992;t
US-AL;afiinct992;p0p100;1924;7004.3;992;t
US-AL;afiinct992;p0p100;1925;38477.6;992;t
US-AL;afiinct992;p0p100;1926;14859.6;992;t
US-AL;afiinct992;p0p100;1927;8084.1;992;t
US-AL;afiinct992;p0p100;1928;14636.4;992;t
US-AL;afiinct992;p0p100;1929;89868.8;992;t
US-AL;afiinct992;p0p100;1930;80857;992;t
US-AL;afiinct992;p0p100;1931;75089.2;992;t
US-AL;afiinct992;p0p100;1932;66450.2;992;t
US-AL;afiinct992;p0p100;1933;67394.90000000001;992;t
US-AL;afiinct992;p0p100;1934;73398.6;992;t
US-AL;afiinct992;p0p100;1935;75787;992;t
US-AL;afiinct992;p0p100;1936;55599.4;992;t
US-AL;afiinct992;p0p100;1937;86881.6;992;t
US-AL;afiinct992;p0p100;1938;83255;992;t
US-AL;afiinct992;p0p100;1939;95515.40000000001;992;t
US-AL;afiinct992;p0p100;1940;93866.5;992;t
US-AL;afiinct992;p0p100;1941;110568;992;t
US-AL;afiinct992;p0p100;1942;114901.6;992;t
US-AL;afiinct992;p0p100;1943;123052.4;992;t
US-AL;afiinct992;p0p100;1944;112419.9;992;t
US-AL;afiinct992;p0p100;1945;126810.3;992;t
US-AL;afiinct992;p0p100;1946;140591.7;992;t
US-AL;afiinct992;p0p100;1947;126905.5;992;t
US-AL;afiinct992;p0p100;1948;132288.5;992;t
US-AL;afiinct992;p0p100;1949;122023.4;992;t
US-AL;afiinct992;p0p100;1950;142326.4;992;t
US-AL;afiinct992;p0p100;1951;145932.6;992;t
US-AL;afiinct992;p0p100;1952;137522.4;992;t
US-AL;afiinct992;p0p100;1953;137230.7;992;t
US-AL;afiinct992;p0p100;1954;142065.3;992;t
US-AL;afiinct992;p0p100;1955;153603.8;992;t
US-AL;afiinct992;p0p100;1956;149456.9;992;t
US-AL;afiinct992;p0p100;1957;154237.8;992;t
US-AL;afiinct992;p0p100;1958;267669.2;992;t
US-AL;afiinct992;p0p100;1959;170209.1;992;t
US-AL;afiinct992;p0p100;1960;167871.2;992;t
US-AL;afiinct992;p0p100;1961;166449.2;992;t
US-AL;afiinct992;p0p100;1962;167002.8;992;t
US-AL;afiinct992;p0p100;1963;179075.3;992;t
US-AL;afiinct992;p0p100;1964;212605.2;992;t
US-AL;afiinct992;p0p100;1965;209646;992;t
US-AL;afiinct992;p0p100;1966;211686.3;992;t
US-AL;afiinct992;p0p100;1967;198605.6;992;t
US-AL;afiinct992;p0p100;1968;224154.6;992;t
US-AL;afiinct992;p0p100;1969;219541.9;992;t
US-AL;afiinct992;p0p100;1970;201918.5;992;t
US-AL;afiinct992;p0p100;1971;233015.5;992;t
US-AL;afiinct992;p0p100;1972;230379.6;992;t
US-AL;afiinct992;p0p100;1973;248262.4;992;t
US-AL;afiinct992;p0p100;1974;242870.7;992;t
US-AL;afiinct992;p0p100;1975;230430;992;t
US-AL;afiinct992;p0p100;1976;398490;992;t
US-AL;afiinct992;p0p100;1977;30818.3;992;t
US-AL;afiinct992;p0p100;1978;32238;992;t
US-AL;afiinct992;p0p100;1979;31581.7;992;t
US-AL;afiinct992;p0p100;1980;30798.1;992;t
US-AL;afiinct992;p0p100;1981;30075.3;992;t
US-AL;afiinct992;p0p100;1982;29634.1;992;t
US-AL;afiinct992;p0p100;1983;30090.8;992;t
US-AL;afiinct992;p0p100;1984;30596.2;992;t
US-AL;afiinct992;p0p100;1985;30599.5;992;t
US-AL;afiinct992;p0p100;1986;31383.8;992;t
US-AL;afiinct992;p0p100;1987;31437.8;992;t
US-AL;afiinct992;p0p100;1988;32378.6;992;t
US-AL;afiinct992;p0p100;1989;32057.4;992;t
US-AL;afiinct992;p0p100;1990;32449.7;992;t
US-AL;afiinct992;p0p100;1991;32934.1;992;t
US-AL;afiinct992;p0p100;1992;32680.2;992;t
US-AL;afiinct992;p0p100;1993;32171.8;992;t
US-AL;afiinct992;p0p100;1994;32297;992;t
US-AL;afiinct992;p0p100;1995;33490.1;992;t
US-AL;afiinct992;p0p100;1996;33937.7;992;t
US-AL;afiinct992;p0p100;1997;36126.7;992;t
US-AL;afiinct992;p0p100;1998;37722.5;992;t
US-AL;afiinct992;p0p100;1999;39140.2;992;t
US-AL;afiinct992;p0p100;2000;40697.9;992;t
US-AL;afiinct992;p0p100;2001;37771.4;992;t
US-AL;afiinct992;p0p100;2002;36267.9;992;t
US-AL;afiinct992;p0p100;2003;35866.5;992;t
US-AL;afiinct992;p0p100;2004;233494.8;992;t
US-AL;afiinct992;p0p100;2005;38259;992;t
US-AL;afiinct992;p0p100;2006;35695.8;992;t
US-AL;afiinct992;p0p100;2007;37971.7;992;t
US-AL;afiinct992;p0p100;2008;35930.7;992;t
US-AL;afiinct992;p0p100;2009;34546.4;992;t
US-AL;afiinct992;p0p100;2010;33523.3;992;t
US-AL;afiinct992;p0p100;2011;33248.7;992;t
US-AL;afiinct992;p0p100;2012;34195.2;992;t
US-AL;afiinct992;p0p100;2013;36276.1;992;t
US-AL;afiinct992;p0p100;2014;34002.6;992;t
US-AL;afiinct992;p0p100;2015;35127.8;992;t
US-AL;afiinct992;p0p100;2016;32402.7;992;t
US-AL;afiinct992;p0p100;2017;34090.4;992;t
US-AL;afiinct992;p0p100;2018;34840.6;992;t
US-AL;npopult992;p0p100;1917;859968;992;t
US-AL;npopult992;p0p100;1918;855008;992;t
US-AL;npopult992;p0p100;1919;861283;992;t
US-AL;npopult992;p0p100;1920;872672;992;t
US-AL;npopult992;p0p100;1921;887614;992;t
US-AL;npopult992;p0p100;1922;897778;992;t
US-AL;npopult992;p0p100;1923;910948;992;t
US-AL;npopult992;p0p100;1924;926098;992;t
US-AL;npopult992;p0p100;1925;937490;992;t
US-AL;npopult992;p0p100;1926;947489;992;t
US-AL;npopult992;p0p100;1927;957887;992;t
US-AL;npopult992;p0p100;1928;966799;992;t
US-AL;npopult992;p0p100;1929;973814;992;t
US-AL;npopult992;p0p100;1930;981080;992;t
US-AL;npopult992;p0p100;1931;992969;992;t
US-AL;npopult992;p0p100;1932;1003673;992;t
US-AL;npopult992;p0p100;1933;1013979;992;t
US-AL;npopult992;p0p100;1934;1024851;992;t
US-AL;npopult992;p0p100;1935;1036500;992;t
US-AL;npopult992;p0p100;1936;1047669;992;t
US-AL;npopult992;p0p100;1937;1058700;992;t
US-AL;npopult992;p0p100;1938;1071736;992;t
US-AL;npopult992;p0p100;1939;1085366;992;t
US-AL;npopult992;p0p100;1940;1100708;992;t
US-AL;npopult992;p0p100;1941;1100875;992;t
US-AL;npopult992;p0p100;1942;1102182;992;t
US-AL;npopult992;p0p100;1943;1106573;992;t
US-AL;npopult992;p0p100;1944;1108779;992;t
US-AL;npopult992;p0p100;1945;1109601;992;t
US-AL;npopult992;p0p100;1946;1109512;992;t
US-AL;npopult992;p0p100;1947;1118990;992;t
US-AL;npopult992;p0p100;1948;1126118;992;t
US-AL;npopult992;p0p100;1949;1133105;992;t
US-AL;npopult992;p0p100;1950;1143500;992;t
US-AL;npopult992;p0p100;1951;1144623;992;t
US-AL;npopult992;p0p100;1952;1145686;992;t
US-AL;npopult992;p0p100;1953;1145872;992;t
US-AL;npopult992;p0p100;1954;1146986;992;t
US-AL;npopult992;p0p100;1955;1147946;992;t
US-AL;npopult992;p0p100;1956;1148754;992;t
US-AL;npopult992;p0p100;1957;1149681;992;t
US-AL;npopult992;p0p100;1958;1148773;992;t
US-AL;npopult992;p0p100;1959;1147607;992;t
US-AL;npopult992;p0p100;1960;1145182;992;t
US-AL;npopult992;p0p100;1961;1164785;992;t
US-AL;npopult992;p0p100;1962;1183255;992;t
US-AL;npopult992;p0p100;1963;1200790;992;t
US-AL;npopult992;p0p100;1964;1217927;992;t
US-AL;npopult992;p0p100;1965;1233549;992;t
US-AL;npopult992;p0p100;1966;1248134;992;t
US-AL;npopult992;p0p100;1967;1262006;992;t
US-AL;npopult992;p0p100;1968;1274831;992;t
US-AL;npopult992;p0p100;1969;1287462;992;t
US-AL;npopult992;p0p100;1970;1302613;992;t
US-AL;npopult992;p0p100;1971;1335006;992;t
US-AL;npopult992;p0p100;1972;1365651;992;t
US-AL;npopult992;p0p100;1973;1395471;992;t
US-AL;npopult992;p0p100;1974;1425464;992;t
US-AL;npopult992;p0p100;1975;1457263;992;t
US-AL;npopult992;p0p100;1976;1489350;992;t
US-AL;npopult992;p0p100;1977;1523113;992;t
US-AL;npopult992;p0p100;1978;1558598;992;t
US-AL;npopult992;p0p100;1979;1621103;992;t
US-AL;npopult992;p0p100;1980;1631593;992;t
US-AL;npopult992;p0p100;1981;1671856;992;t
US-AL;npopult992;p0p100;1982;1695692;992;t
US-AL;npopult992;p0p100;1983;1695692;992;t
US-AL;npopult992;p0p100;1984;1724019;992;t
US-AL;npopult992;p0p100;1985;1778409;992;t
US-AL;npopult992;p0p100;1986;1819445;992;t
US-AL;npopult992;p0p100;1987;1856982;992;t
US-AL;npopult992;p0p100;1988;1892657;992;t
US-AL;npopult992;p0p100;1989;1938993;992;t
US-AL;npopult992;p0p100;1990;1932471;992;t
US-AL;npopult992;p0p100;1991;1918872;992;t
US-AL;npopult992;p0p100;1992;1951672;992;t
US-AL;npopult992;p0p100;1993;1994947;992;t
US-AL;npopult992;p0p100;1994;2021779;992;t
US-AL;npopult992;p0p100;1995;2012991;992;t
US-AL;npopult992;p0p100;1996;2048678;992;t
US-AL;npopult992;p0p100;1997;2044165;992;t
US-AL;npopult992;p0p100;1998;2096183;992;t
US-AL;npopult992;p0p100;1999;2100085;992;t
US-AL;npopult992;p0p100;2000;2081436;992;t
US-AL;npopult992;p0p100;2001;2118860;992;t
US-AL;npopult992;p0p100;2002;2139108;992;t
US-AL;npopult992;p0p100;2003;2181025;992;t
US-AL;npopult992;p0p100;2004;2186312;992;t
US-AL;npopult992;p0p100;2005;2249106;992;t
US-AL;npopult992;p0p100;2006;2364698;992;t
US-AL;npopult992;p0p100;2007;2356317;992;t
US-AL;npopult992;p0p100;2008;2341858;992;t
US-AL;npopult992;p0p100;2009;2337251;992;t
US-AL;npopult992;p0p100;2010;2415798;992;t
US-AL;npopult992;p0p100;2011;2420116;992;t
US-AL;npopult992;p0p100;2012;2442940;992;t
US-AL;npopult992;p0p100;2013;2385721;992;t
US-AL;npopult992;p0p100;2014;2519216;992;t
US-AL;npopult992;p0p100;2015;2491809;992;t
US-AL;npopult992;p0p100;2016;2572335;992;t
US-AL;npopult992;p0p100;2017;2551059;992;t
US-AL;npopult992;p0p100;2018;2588284;992;t
US-AL;ntaxret992;p0p100;1917;21844;992;t
US-AL;ntaxret992;p0p100;1918;38988;992;t
US-AL;ntaxret992;p0p100;1919;40789;992;t
US-AL;ntaxret992;p0p100;1920;52984;992;t
US-AL;ntaxret992;p0p100;1921;43009;992;t
US-AL;ntaxret992;p0p100;1922;43612;992;t
US-AL;ntaxret992;p0p100;1923;51049;992;t
US-AL;ntaxret992;p0p100;1924;47591;992;t
US-AL;ntaxret992;p0p100;1925;26278;992;t
US-AL;ntaxret992;p0p100;1926;28540;992;t
US-AL;ntaxret992;p0p100;1927;27992;992;t
US-AL;ntaxret992;p0p100;1928;26891;992;t
US-AL;ntaxret992;p0p100;1929;26574;992;t
US-AL;ntaxret992;p0p100;1930;23791;992;t
US-AL;ntaxret992;p0p100;1931;20920;992;t
US-AL;ntaxret992;p0p100;1932;22276;992;t
US-AL;ntaxret992;p0p100;1933;20998;992;t
US-AL;ntaxret992;p0p100;1934;23678;992;t
US-AL;ntaxret992;p0p100;1935;26712;992;t
US-AL;ntaxret992;p0p100;1936;32161;992;t
US-AL;ntaxret992;p0p100;1937;40545;992;t
US-AL;ntaxret992;p0p100;1938;39634;992;t
US-AL;ntaxret992;p0p100;1939;49544;992;t
US-AL;ntaxret992;p0p100;1940;100479;992;t
US-AL;ntaxret992;p0p100;1941;209550;992;t
US-AL;ntaxret992;p0p100;1942;386073;992;t
US-AL;ntaxret992;p0p100;1943;524278;992;t
US-AL;ntaxret992;p0p100;1944;572002;992;t
US-AL;ntaxret992;p0p100;1945;605871;992;t
US-AL;ntaxret992;p0p100;1946;609799;992;t
US-AL;ntaxret992;p0p100;1947;643182;992;t
US-AL;ntaxret992;p0p100;1948;616539;992;t
US-AL;ntaxret992;p0p100;1949;610931;992;t
US-AL;ntaxret992;p0p100;1950;634960;992;t
US-AL;ntaxret992;p0p100;1951;706228;992;t
US-AL;ntaxret992;p0p100;1952;710102;992;t
US-AL;ntaxret992;p0p100;1953;731401;992;t
US-AL;ntaxret992;p0p100;1954;713389;992;t
US-AL;ntaxret992;p0p100;1955;739524;992;t
US-AL;ntaxret992;p0p100;1956;783854;992;t
US-AL;ntaxret992;p0p100;1957;797638;992;t
US-AL;ntaxret992;p0p100;1958;798233;992;t
US-AL;ntaxret992;p0p100;1959;813235;992;t
US-AL;ntaxret992;p0p100;1960;824701;992;t
US-AL;ntaxret992;p0p100;1961;825932;992;t
US-AL;ntaxret992;p0p100;1962;839198;992;t
US-AL;ntaxret992;p0p100;1963;859676;992;t
US-AL;ntaxret992;p0p100;1964;893421;992;t
US-AL;ntaxret992;p0p100;1965;944652;992;t
US-AL;ntaxret992;p0p100;1966;972651;992;t
US-AL;ntaxret992;p0p100;1967;984745;992;t
US-AL;ntaxret992;p0p100;1968;1021302;992;t
US-AL;ntaxret992;p0p100;1969;1054293;992;t
US-AL;ntaxret992;p0p100;1970;1029512;992;t
US-AL;ntaxret992;p0p100;1971;1051417;992;t
US-AL;ntaxret992;p0p100;1972;1104584;992;t
