country;variable;percentile;year;value;age;pop
US-AR;afiinct992;p0p90;1917;7990.6;992;t
US-AR;afiinct992;p0p90;1918;7743.2;992;t
US-AR;afiinct992;p0p90;1919;7205.8;992;t
US-AR;afiinct992;p0p90;1920;5101.5;992;t
US-AR;afiinct992;p0p90;1921;4154.7;992;t
US-AR;afiinct992;p0p90;1922;4863.4;992;t
US-AR;afiinct992;p0p90;1923;5408.7;992;t
US-AR;afiinct992;p0p90;1924;5292;992;t
US-AR;afiinct992;p0p90;1925;6004.1;992;t
US-AR;afiinct992;p0p90;1926;5992.3;992;t
US-AR;afiinct992;p0p90;1927;6238.5;992;t
US-AR;afiinct992;p0p90;1928;6661.5;992;t
US-AR;afiinct992;p0p90;1929;6924.3;992;t
US-AR;afiinct992;p0p90;1930;4815.6;992;t
US-AR;afiinct992;p0p90;1931;4602.4;992;t
US-AR;afiinct992;p0p90;1932;3378.7;992;t
US-AR;afiinct992;p0p90;1933;3515.8;992;t
US-AR;afiinct992;p0p90;1934;4127.2;992;t
US-AR;afiinct992;p0p90;1935;4838.5;992;t
US-AR;afiinct992;p0p90;1936;5522.9;992;t
US-AR;afiinct992;p0p90;1937;5698;992;t
US-AR;afiinct992;p0p90;1938;4952.7;992;t
US-AR;afiinct992;p0p90;1939;5382.1;992;t
US-AR;afiinct992;p0p90;1940;4599.7;992;t
US-AR;afiinct992;p0p90;1941;5902.3;992;t
US-AR;afiinct992;p0p90;1942;9251.3;992;t
US-AR;afiinct992;p0p90;1943;9487.7;992;t
US-AR;afiinct992;p0p90;1944;11720.1;992;t
US-AR;afiinct992;p0p90;1945;11766.7;992;t
US-AR;afiinct992;p0p90;1946;10143.4;992;t
US-AR;afiinct992;p0p90;1947;8989.2;992;t
US-AR;afiinct992;p0p90;1948;11052.8;992;t
US-AR;afiinct992;p0p90;1949;9912.3;992;t
US-AR;afiinct992;p0p90;1950;10432.8;992;t
US-AR;afiinct992;p0p90;1952;12309.9;992;t
US-AR;afiinct992;p0p90;1953;11911.5;992;t
US-AR;afiinct992;p0p90;1954;11199.6;992;t
US-AR;afiinct992;p0p90;1955;13095.6;992;t
US-AR;afiinct992;p0p90;1956;12955;992;t
US-AR;afiinct992;p0p90;1957;13297.3;992;t
US-AR;afiinct992;p0p90;1958;13119.6;992;t
US-AR;afiinct992;p0p90;1959;14857.1;992;t
US-AR;afiinct992;p0p90;1960;14864.4;992;t
US-AR;afiinct992;p0p90;1961;16029.4;992;t
US-AR;afiinct992;p0p90;1962;16178.4;992;t
US-AR;afiinct992;p0p90;1963;16636.2;992;t
US-AR;afiinct992;p0p90;1964;17688.3;992;t
US-AR;afiinct992;p0p90;1965;17822.6;992;t
US-AR;afiinct992;p0p90;1966;19690.4;992;t
US-AR;afiinct992;p0p90;1967;20095.9;992;t
US-AR;afiinct992;p0p90;1968;20591.8;992;t
US-AR;afiinct992;p0p90;1969;21185.3;992;t
US-AR;afiinct992;p0p90;1970;21766.3;992;t
US-AR;afiinct992;p0p90;1971;22275.6;992;t
US-AR;afiinct992;p0p90;1972;24125.1;992;t
US-AR;afiinct992;p0p90;1973;26163.2;992;t
US-AR;afiinct992;p0p90;1974;26005;992;t
US-AR;afiinct992;p0p90;1975;24707.1;992;t
US-AR;afiinct992;p0p90;1976;25402.3;992;t
US-AR;afiinct992;p0p90;1977;26488.8;992;t
US-AR;afiinct992;p0p90;1978;28908;992;t
US-AR;afiinct992;p0p90;1979;27754.1;992;t
US-AR;afiinct992;p0p90;1980;26433.2;992;t
US-AR;afiinct992;p0p90;1981;26684.9;992;t
US-AR;afiinct992;p0p90;1982;27131.5;992;t
US-AR;afiinct992;p0p90;1983;26550.6;992;t
US-AR;afiinct992;p0p90;1984;26347.1;992;t
US-AR;afiinct992;p0p90;1985;26702.7;992;t
US-AR;afiinct992;p0p90;1986;28643.3;992;t
US-AR;afiinct992;p0p90;1987;28101.2;992;t
US-AR;afiinct992;p0p90;1988;29031.8;992;t
US-AR;afiinct992;p0p90;1989;27958.7;992;t
US-AR;afiinct992;p0p90;1990;28259.9;992;t
US-AR;afiinct992;p0p90;1991;28133.9;992;t
US-AR;afiinct992;p0p90;1992;29388.8;992;t
US-AR;afiinct992;p0p90;1993;29214.9;992;t
US-AR;afiinct992;p0p90;1994;29317.9;992;t
US-AR;afiinct992;p0p90;1995;30050.5;992;t
US-AR;afiinct992;p0p90;1996;30465.9;992;t
US-AR;afiinct992;p0p90;1997;32669.4;992;t
US-AR;afiinct992;p0p90;1998;33443.6;992;t
US-AR;afiinct992;p0p90;1999;35325.6;992;t
US-AR;afiinct992;p0p90;2000;35545.2;992;t
US-AR;afiinct992;p0p90;2001;34416.3;992;t
US-AR;afiinct992;p0p90;2002;32193.9;992;t
US-AR;afiinct992;p0p90;2003;32519;992;t
US-AR;afiinct992;p0p90;2004;33675.5;992;t
US-AR;afiinct992;p0p90;2005;35097.7;992;t
US-AR;afiinct992;p0p90;2006;35225.2;992;t
US-AR;afiinct992;p0p90;2007;36899.3;992;t
US-AR;afiinct992;p0p90;2008;32819.8;992;t
US-AR;afiinct992;p0p90;2009;28748.4;992;t
US-AR;afiinct992;p0p90;2010;28872.5;992;t
US-AR;afiinct992;p0p90;2011;29022.5;992;t
US-AR;afiinct992;p0p90;2012;31145.5;992;t
US-AR;afiinct992;p0p90;2013;30920.5;992;t
US-AR;afiinct992;p0p90;2014;32933.9;992;t
US-AR;afiinct992;p0p90;2015;33945.6;992;t
US-AR;afiinct992;p0p90;2016;32575.5;992;t
US-AR;afiinct992;p0p90;2017;31173.1;992;t
US-AR;afiinct992;p0p90;2018;33433.1;992;t
US-AR;afiinct992;p0p99;1917;8966.1;992;t
US-AR;afiinct992;p0p99;1918;8609.6;992;t
US-AR;afiinct992;p0p99;1919;8619.3;992;t
US-AR;afiinct992;p0p99;1920;6441.7;992;t
US-AR;afiinct992;p0p99;1921;5490.8;992;t
US-AR;afiinct992;p0p99;1922;6189.7;992;t
US-AR;afiinct992;p0p99;1923;6843.1;992;t
US-AR;afiinct992;p0p99;1924;6740.1;992;t
US-AR;afiinct992;p0p99;1925;6936.9;992;t
US-AR;afiinct992;p0p99;1926;6886.3;992;t
US-AR;afiinct992;p0p99;1927;6978.1;992;t
US-AR;afiinct992;p0p99;1928;7339.7;992;t
US-AR;afiinct992;p0p99;1929;7514.7;992;t
US-AR;afiinct992;p0p99;1930;5459.9;992;t
US-AR;afiinct992;p0p99;1931;5270.2;992;t
US-AR;afiinct992;p0p99;1932;4183.3;992;t
US-AR;afiinct992;p0p99;1933;4365.4;992;t
US-AR;afiinct992;p0p99;1934;4986.7;992;t
US-AR;afiinct992;p0p99;1935;5609.1;992;t
US-AR;afiinct992;p0p99;1936;6306.4;992;t
US-AR;afiinct992;p0p99;1937;6478.7;992;t
US-AR;afiinct992;p0p99;1938;5911.3;992;t
US-AR;afiinct992;p0p99;1939;6421.7;992;t
US-AR;afiinct992;p0p99;1940;6455.6;992;t
US-AR;afiinct992;p0p99;1941;8155.7;992;t
US-AR;afiinct992;p0p99;1942;11571.7;992;t
US-AR;afiinct992;p0p99;1943;12272.3;992;t
US-AR;afiinct992;p0p99;1944;13795;992;t
US-AR;afiinct992;p0p99;1945;14400.2;992;t
US-AR;afiinct992;p0p99;1946;13098.2;992;t
US-AR;afiinct992;p0p99;1947;11947.8;992;t
US-AR;afiinct992;p0p99;1948;13877.2;992;t
US-AR;afiinct992;p0p99;1949;12935.7;992;t
US-AR;afiinct992;p0p99;1950;13716.6;992;t
US-AR;afiinct992;p0p99;1951;11008.9;992;t
US-AR;afiinct992;p0p99;1952;15695.3;992;t
US-AR;afiinct992;p0p99;1953;15727.1;992;t
US-AR;afiinct992;p0p99;1954;15232.9;992;t
US-AR;afiinct992;p0p99;1955;16957.4;992;t
US-AR;afiinct992;p0p99;1956;17173.8;992;t
US-AR;afiinct992;p0p99;1957;17196.8;992;t
US-AR;afiinct992;p0p99;1958;17310.5;992;t
US-AR;afiinct992;p0p99;1959;19275.7;992;t
US-AR;afiinct992;p0p99;1960;19239.7;992;t
US-AR;afiinct992;p0p99;1961;20595.8;992;t
US-AR;afiinct992;p0p99;1962;21053.6;992;t
US-AR;afiinct992;p0p99;1963;21826.2;992;t
US-AR;afiinct992;p0p99;1964;23257.3;992;t
US-AR;afiinct992;p0p99;1965;23512.5;992;t
US-AR;afiinct992;p0p99;1966;25518.3;992;t
US-AR;afiinct992;p0p99;1967;26182.2;992;t
US-AR;afiinct992;p0p99;1968;26839.1;992;t
US-AR;afiinct992;p0p99;1969;27579.6;992;t
US-AR;afiinct992;p0p99;1970;28140.7;992;t
US-AR;afiinct992;p0p99;1971;28902.5;992;t
US-AR;afiinct992;p0p99;1972;30817.6;992;t
US-AR;afiinct992;p0p99;1973;33426.5;992;t
US-AR;afiinct992;p0p99;1974;33242.2;992;t
US-AR;afiinct992;p0p99;1975;31465.2;992;t
US-AR;afiinct992;p0p99;1976;32860.8;992;t
US-AR;afiinct992;p0p99;1977;33694.3;992;t
US-AR;afiinct992;p0p99;1978;36123;992;t
US-AR;afiinct992;p0p99;1979;35093.8;992;t
US-AR;afiinct992;p0p99;1980;33973.2;992;t
US-AR;afiinct992;p0p99;1981;34151.9;992;t
US-AR;afiinct992;p0p99;1982;33003.9;992;t
US-AR;afiinct992;p0p99;1983;33315.8;992;t
US-AR;afiinct992;p0p99;1984;33844.2;992;t
US-AR;afiinct992;p0p99;1985;34409.9;992;t
US-AR;afiinct992;p0p99;1986;36186.4;992;t
US-AR;afiinct992;p0p99;1987;35621.4;992;t
US-AR;afiinct992;p0p99;1988;36554.1;992;t
US-AR;afiinct992;p0p99;1989;35555.8;992;t
US-AR;afiinct992;p0p99;1990;36543.2;992;t
US-AR;afiinct992;p0p99;1991;36632.4;992;t
US-AR;afiinct992;p0p99;1992;38177.2;992;t
US-AR;afiinct992;p0p99;1993;38010.9;992;t
US-AR;afiinct992;p0p99;1994;38368.6;992;t
US-AR;afiinct992;p0p99;1995;39489.2;992;t
US-AR;afiinct992;p0p99;1996;40118.5;992;t
US-AR;afiinct992;p0p99;1997;42541.7;992;t
US-AR;afiinct992;p0p99;1998;43730.9;992;t
US-AR;afiinct992;p0p99;1999;46120.5;992;t
US-AR;afiinct992;p0p99;2000;46293.9;992;t
US-AR;afiinct992;p0p99;2001;44984.2;992;t
US-AR;afiinct992;p0p99;2002;42697.8;992;t
US-AR;afiinct992;p0p99;2003;43077.1;992;t
US-AR;afiinct992;p0p99;2004;44440.2;992;t
US-AR;afiinct992;p0p99;2005;46095.3;992;t
US-AR;afiinct992;p0p99;2006;46424.9;992;t
US-AR;afiinct992;p0p99;2007;48258.1;992;t
US-AR;afiinct992;p0p99;2008;44273.2;992;t
US-AR;afiinct992;p0p99;2009;40396.6;992;t
US-AR;afiinct992;p0p99;2010;40764.1;992;t
US-AR;afiinct992;p0p99;2011;40960.6;992;t
US-AR;afiinct992;p0p99;2012;43486.6;992;t
US-AR;afiinct992;p0p99;2013;43365.3;992;t
US-AR;afiinct992;p0p99;2014;45662;992;t
US-AR;afiinct992;p0p99;2015;46905.4;992;t
US-AR;afiinct992;p0p99;2016;45593.9;992;t
US-AR;afiinct992;p0p99;2017;44894.2;992;t
US-AR;afiinct992;p0p99;2018;47135.6;992;t
US-AR;afiinct992;p90p100;1917;30159.6;992;t
US-AR;afiinct992;p90p100;1918;28175.3;992;t
US-AR;afiinct992;p90p100;1919;34113.4;992;t
US-AR;afiinct992;p90p100;1920;27433.7;992;t
US-AR;afiinct992;p90p100;1921;26256.8;992;t
US-AR;afiinct992;p90p100;1922;28838.1;992;t
US-AR;afiinct992;p90p100;1923;30576.4;992;t
US-AR;afiinct992;p90p100;1924;30742.3;992;t
US-AR;afiinct992;p90p100;1925;27336.4;992;t
US-AR;afiinct992;p90p100;1926;27076;992;t
US-AR;afiinct992;p90p100;1927;25180.7;992;t
US-AR;afiinct992;p90p100;1928;24107.9;992;t
US-AR;afiinct992;p90p100;1929;23326.7;992;t
US-AR;afiinct992;p90p100;1930;18742.9;992;t
US-AR;afiinct992;p90p100;1931;17142.6;992;t
US-AR;afiinct992;p90p100;1932;17073;992;t
US-AR;afiinct992;p90p100;1933;18640.7;992;t
US-AR;afiinct992;p90p100;1934;21037.6;992;t
US-AR;afiinct992;p90p100;1935;21391.4;992;t
US-AR;afiinct992;p90p100;1936;25423.7;992;t
US-AR;afiinct992;p90p100;1937;24509.6;992;t
US-AR;afiinct992;p90p100;1938;25468.4;992;t
US-AR;afiinct992;p90p100;1939;27605.5;992;t
US-AR;afiinct992;p90p100;1940;35476;992;t
US-AR;afiinct992;p90p100;1941;45637.8;992;t
US-AR;afiinct992;p90p100;1942;49501.4;992;t
US-AR;afiinct992;p90p100;1943;54665.4;992;t
US-AR;afiinct992;p90p100;1944;48064.5;992;t
US-AR;afiinct992;p90p100;1945;54753.6;992;t
US-AR;afiinct992;p90p100;1946;59365;992;t
US-AR;afiinct992;p90p100;1947;56505.8;992;t
US-AR;afiinct992;p90p100;1948;57559.1;992;t
US-AR;afiinct992;p90p100;1949;56934.2;992;t
US-AR;afiinct992;p90p100;1950;62291.1;992;t
US-AR;afiinct992;p90p100;1951;66884.2;992;t
US-AR;afiinct992;p90p100;1952;62303.6;992;t
US-AR;afiinct992;p90p100;1953;66162.4;992;t
US-AR;afiinct992;p90p100;1954;71556.2;992;t
US-AR;afiinct992;p90p100;1955;71222.4;992;t
US-AR;afiinct992;p90p100;1956;74819.6;992;t
US-AR;afiinct992;p90p100;1957;69742.2;992;t
US-AR;afiinct992;p90p100;1958;74476.7;992;t
US-AR;afiinct992;p90p100;1959;80861.6;992;t
US-AR;afiinct992;p90p100;1960;79131.6;992;t
US-AR;afiinct992;p90p100;1961;83845.9;992;t
US-AR;afiinct992;p90p100;1962;88304.2;992;t
US-AR;afiinct992;p90p100;1963;93124.9;992;t
US-AR;afiinct992;p90p100;1964;100308.9;992;t
US-AR;afiinct992;p90p100;1965;104452.3;992;t
US-AR;afiinct992;p90p100;1966;105999.6;992;t
US-AR;afiinct992;p90p100;1967;109657.2;992;t
US-AR;afiinct992;p90p100;1968;114074.3;992;t
US-AR;afiinct992;p90p100;1969;115649.4;992;t
US-AR;afiinct992;p90p100;1970;112451.1;992;t
US-AR;afiinct992;p90p100;1971;117809.2;992;t
US-AR;afiinct992;p90p100;1972;123246.2;992;t
US-AR;afiinct992;p90p100;1973;134655.3;992;t
US-AR;afiinct992;p90p100;1974;132608;992;t
US-AR;afiinct992;p90p100;1975;124652.3;992;t
US-AR;afiinct992;p90p100;1976;132425.3;992;t
US-AR;afiinct992;p90p100;1977;131725;992;t
US-AR;afiinct992;p90p100;1978;132693.7;992;t
US-AR;afiinct992;p90p100;1979;135593.1;992;t
US-AR;afiinct992;p90p100;1980;134804.3;992;t
US-AR;afiinct992;p90p100;1981;133786.5;992;t
US-AR;afiinct992;p90p100;1982;121819.3;992;t
US-AR;afiinct992;p90p100;1983;132500.8;992;t
US-AR;afiinct992;p90p100;1984;142700.3;992;t
US-AR;afiinct992;p90p100;1985;149272.2;992;t
US-AR;afiinct992;p90p100;1986;163144.6;992;t
US-AR;afiinct992;p90p100;1987;146131.7;992;t
US-AR;afiinct992;p90p100;1988;159452.4;992;t
US-AR;afiinct992;p90p100;1989;151978.4;992;t
US-AR;afiinct992;p90p100;1990;158072.1;992;t
US-AR;afiinct992;p90p100;1991;157659.1;992;t
US-AR;afiinct992;p90p100;1992;169219.9;992;t
US-AR;afiinct992;p90p100;1993;166581.9;992;t
US-AR;afiinct992;p90p100;1994;173375.8;992;t
US-AR;afiinct992;p90p100;1995;181496.4;992;t
US-AR;afiinct992;p90p100;1996;184827;992;t
US-AR;afiinct992;p90p100;1997;193464.3;992;t
US-AR;afiinct992;p90p100;1998;209043.5;992;t
US-AR;afiinct992;p90p100;1999;218275.9;992;t
US-AR;afiinct992;p90p100;2000;222594.8;992;t
US-AR;afiinct992;p90p100;2001;209442.4;992;t
US-AR;afiinct992;p90p100;2002;204837.7;992;t
US-AR;afiinct992;p90p100;2003;206269.9;992;t
US-AR;afiinct992;p90p100;2004;219290.6;992;t
US-AR;afiinct992;p90p100;2005;233088.4;992;t
US-AR;afiinct992;p90p100;2006;235962.1;992;t
US-AR;afiinct992;p90p100;2007;249952.5;992;t
US-AR;afiinct992;p90p100;2008;236784.2;992;t
US-AR;afiinct992;p90p100;2009;226251.3;992;t
US-AR;afiinct992;p90p100;2010;229884.2;992;t
US-AR;afiinct992;p90p100;2011;232597.2;992;t
US-AR;afiinct992;p90p100;2012;261708.7;992;t
US-AR;afiinct992;p90p100;2013;240691.6;992;t
US-AR;afiinct992;p90p100;2014;258458.3;992;t
US-AR;afiinct992;p90p100;2015;264260.5;992;t
US-AR;afiinct992;p90p100;2016;269954.8;992;t
US-AR;afiinct992;p90p100;2017;296564.8;992;t
US-AR;afiinct992;p90p100;2018;293454.2;992;t
US-AR;afiinct992;p90p95;1917;13101.9;992;t
US-AR;afiinct992;p90p95;1918;10305;992;t
US-AR;afiinct992;p90p95;1919;11998.7;992;t
US-AR;afiinct992;p90p95;1920;11099.9;992;t
US-AR;afiinct992;p90p95;1921;11337.8;992;t
US-AR;afiinct992;p90p95;1922;11435.7;992;t
US-AR;afiinct992;p90p95;1923;11794.7;992;t
US-AR;afiinct992;p90p95;1924;12079.5;992;t
US-AR;afiinct992;p90p95;1925;11559.7;992;t
US-AR;afiinct992;p90p95;1926;10996.8;992;t
US-AR;afiinct992;p90p95;1927;10552.4;992;t
US-AR;afiinct992;p90p95;1928;10491.9;992;t
US-AR;afiinct992;p90p95;1929;10216.9;992;t
US-AR;afiinct992;p90p95;1930;10825.7;992;t
US-AR;afiinct992;p90p95;1931;12372.1;992;t
US-AR;afiinct992;p90p95;1932;11480.2;992;t
US-AR;afiinct992;p90p95;1933;11417.4;992;t
US-AR;afiinct992;p90p95;1934;11055.6;992;t
US-AR;afiinct992;p90p95;1935;10976.3;992;t
US-AR;afiinct992;p90p95;1936;10366.9;992;t
US-AR;afiinct992;p90p95;1937;9703.1;992;t
US-AR;afiinct992;p90p95;1938;10972.1;992;t
US-AR;afiinct992;p90p95;1939;10416.3;992;t
US-AR;afiinct992;p90p95;1940;14579.7;992;t
US-AR;afiinct992;p90p95;1941;19629.3;992;t
US-AR;afiinct992;p90p95;1942;26226.6;992;t
US-AR;afiinct992;p90p95;1943;34320.7;992;t
US-AR;afiinct992;p90p95;1944;28739;992;t
US-AR;afiinct992;p90p95;1945;32834.2;992;t
US-AR;afiinct992;p90p95;1946;34323;992;t
US-AR;afiinct992;p90p95;1947;33992.6;992;t
US-AR;afiinct992;p90p95;1948;33937.7;992;t
US-AR;afiinct992;p90p95;1949;34246.5;992;t
US-AR;afiinct992;p90p95;1950;37397.2;992;t
US-AR;afiinct992;p90p95;1951;40327;992;t
US-AR;afiinct992;p90p95;1952;43593.2;992;t
US-AR;afiinct992;p90p95;1953;47668.1;992;t
US-AR;afiinct992;p90p95;1954;48236.9;992;t
US-AR;afiinct992;p90p95;1955;49045.6;992;t
US-AR;afiinct992;p90p95;1956;54875.3;992;t
US-AR;afiinct992;p90p95;1957;46711.3;992;t
US-AR;afiinct992;p90p95;1958;49417.4;992;t
US-AR;afiinct992;p90p95;1959;51376.6;992;t
US-AR;afiinct992;p90p95;1960;51293.7;992;t
US-AR;afiinct992;p90p95;1961;54929.7;992;t
US-AR;afiinct992;p90p95;1962;57363.7;992;t
US-AR;afiinct992;p90p95;1963;60844.8;992;t
US-AR;afiinct992;p90p95;1964;63394.3;992;t
US-AR;afiinct992;p90p95;1965;65999.6;992;t
US-AR;afiinct992;p90p95;1966;71602.9;992;t
US-AR;afiinct992;p90p95;1967;72205.3;992;t
US-AR;afiinct992;p90p95;1968;73241.6;992;t
US-AR;afiinct992;p90p95;1969;77097.3;992;t
US-AR;afiinct992;p90p95;1970;77617;992;t
US-AR;afiinct992;p90p95;1971;79658.6;992;t
US-AR;afiinct992;p90p95;1972;81132.3;992;t
US-AR;afiinct992;p90p95;1973;86709.7;992;t
US-AR;afiinct992;p90p95;1974;87053.8;992;t
US-AR;afiinct992;p90p95;1975;83626;992;t
US-AR;afiinct992;p90p95;1976;89886;992;t
US-AR;afiinct992;p90p95;1977;87584;992;t
US-AR;afiinct992;p90p95;1978;88382.4;992;t
US-AR;afiinct992;p90p95;1979;90286.1;992;t
US-AR;afiinct992;p90p95;1980;91735.8;992;t
US-AR;afiinct992;p90p95;1981;97012.2;992;t
US-AR;afiinct992;p90p95;1982;76646;992;t
US-AR;afiinct992;p90p95;1983;84213.2;992;t
US-AR;afiinct992;p90p95;1984;96060.5;992;t
US-AR;afiinct992;p90p95;1985;96482.6;992;t
US-AR;afiinct992;p90p95;1986;92025.6;992;t
US-AR;afiinct992;p90p95;1987;93379.5;992;t
US-AR;afiinct992;p90p95;1988;93067.2;992;t
US-AR;afiinct992;p90p95;1989;93969.8;992;t
US-AR;afiinct992;p90p95;1990;103631.3;992;t
US-AR;afiinct992;p90p95;1991;104861.7;992;t
US-AR;afiinct992;p90p95;1992;106124.7;992;t
US-AR;afiinct992;p90p95;1993;103741.9;992;t
US-AR;afiinct992;p90p95;1994;105683.4;992;t
US-AR;afiinct992;p90p95;1995;109236.2;992;t
US-AR;afiinct992;p90p95;1996;110830.1;992;t
US-AR;afiinct992;p90p95;1997;112563.6;992;t
US-AR;afiinct992;p90p95;1998;116626.7;992;t
US-AR;afiinct992;p90p95;1999;122329.5;992;t
US-AR;afiinct992;p90p95;2000;122083.4;992;t
US-AR;afiinct992;p90p95;2001;120908.7;992;t
US-AR;afiinct992;p90p95;2002;119378.8;992;t
US-AR;afiinct992;p90p95;2003;119573.6;992;t
US-AR;afiinct992;p90p95;2004;117491.6;992;t
US-AR;afiinct992;p90p95;2005;121441;992;t
US-AR;afiinct992;p90p95;2006;126000.2;992;t
US-AR;afiinct992;p90p95;2007;130414.7;992;t
US-AR;afiinct992;p90p95;2008;127120.6;992;t
US-AR;afiinct992;p90p95;2009;124094.6;992;t
US-AR;afiinct992;p90p95;2010;125111.8;992;t
US-AR;afiinct992;p90p95;2011;126334.7;992;t
US-AR;afiinct992;p90p95;2012;130597.2;992;t
US-AR;afiinct992;p90p95;2013;136973.9;992;t
US-AR;afiinct992;p90p95;2014;141032.1;992;t
US-AR;afiinct992;p90p95;2015;143580.6;992;t
US-AR;afiinct992;p90p95;2016;142726.7;992;t
US-AR;afiinct992;p90p95;2017;152560.9;992;t
US-AR;afiinct992;p90p95;2018;150490;992;t
US-AR;afiinct992;p95p100;1917;46774.6;992;t
US-AR;afiinct992;p95p100;1918;45421.6;992;t
US-AR;afiinct992;p95p100;1919;55820.8;992;t
US-AR;afiinct992;p95p100;1920;43560.6;992;t
US-AR;afiinct992;p95p100;1921;40960.9;992;t
US-AR;afiinct992;p95p100;1922;46010.7;992;t
US-AR;afiinct992;p95p100;1923;49115.2;992;t
US-AR;afiinct992;p95p100;1924;48986.1;992;t
US-AR;afiinct992;p95p100;1925;42420;992;t
US-AR;afiinct992;p95p100;1926;42302.7;992;t
US-AR;afiinct992;p95p100;1927;39269.6;992;t
US-AR;afiinct992;p95p100;1928;37724.1;992;t
US-AR;afiinct992;p95p100;1929;36437.7;992;t
US-AR;afiinct992;p95p100;1930;27038.9;992;t
US-AR;afiinct992;p95p100;1931;23153;992;t
US-AR;afiinct992;p95p100;1932;23268.2;992;t
US-AR;afiinct992;p95p100;1933;26357.2;992;t
US-AR;afiinct992;p95p100;1934;31006.6;992;t
