country;variable;percentile;year;value;age;pop
US-AZ;afiinct992;p0p90;1917;14724.7;992;t
US-AZ;afiinct992;p0p90;1918;14453.2;992;t
US-AZ;afiinct992;p0p90;1919;13980.3;992;t
US-AZ;afiinct992;p0p90;1920;12725.6;992;t
US-AZ;afiinct992;p0p90;1921;8806.4;992;t
US-AZ;afiinct992;p0p90;1922;10325.1;992;t
US-AZ;afiinct992;p0p90;1923;11397.9;992;t
US-AZ;afiinct992;p0p90;1924;11016.1;992;t
US-AZ;afiinct992;p0p90;1925;11982.4;992;t
US-AZ;afiinct992;p0p90;1926;11969.5;992;t
US-AZ;afiinct992;p0p90;1927;11605.7;992;t
US-AZ;afiinct992;p0p90;1928;10979.3;992;t
US-AZ;afiinct992;p0p90;1929;11169.5;992;t
US-AZ;afiinct992;p0p90;1930;9728.7;992;t
US-AZ;afiinct992;p0p90;1931;8189.5;992;t
US-AZ;afiinct992;p0p90;1932;6275.7;992;t
US-AZ;afiinct992;p0p90;1933;6450.8;992;t
US-AZ;afiinct992;p0p90;1934;6642.5;992;t
US-AZ;afiinct992;p0p90;1935;7628.1;992;t
US-AZ;afiinct992;p0p90;1936;8063.3;992;t
US-AZ;afiinct992;p0p90;1937;8620.4;992;t
US-AZ;afiinct992;p0p90;1938;8498.2;992;t
US-AZ;afiinct992;p0p90;1939;8886.7;992;t
US-AZ;afiinct992;p0p90;1940;8962.9;992;t
US-AZ;afiinct992;p0p90;1941;11254.8;992;t
US-AZ;afiinct992;p0p90;1942;18017.4;992;t
US-AZ;afiinct992;p0p90;1943;25335.7;992;t
US-AZ;afiinct992;p0p90;1944;21615;992;t
US-AZ;afiinct992;p0p90;1945;19620.8;992;t
US-AZ;afiinct992;p0p90;1946;16981.6;992;t
US-AZ;afiinct992;p0p90;1947;17635;992;t
US-AZ;afiinct992;p0p90;1948;18710.8;992;t
US-AZ;afiinct992;p0p90;1949;19080.5;992;t
US-AZ;afiinct992;p0p90;1950;18844.9;992;t
US-AZ;afiinct992;p0p90;1952;23561.9;992;t
US-AZ;afiinct992;p0p90;1953;24384.1;992;t
US-AZ;afiinct992;p0p90;1954;23041.5;992;t
US-AZ;afiinct992;p0p90;1955;24184.3;992;t
US-AZ;afiinct992;p0p90;1956;25407.8;992;t
US-AZ;afiinct992;p0p90;1957;25148.6;992;t
US-AZ;afiinct992;p0p90;1958;24329.4;992;t
US-AZ;afiinct992;p0p90;1959;25473;992;t
US-AZ;afiinct992;p0p90;1960;26039.7;992;t
US-AZ;afiinct992;p0p90;1961;27705.7;992;t
US-AZ;afiinct992;p0p90;1962;27936.4;992;t
US-AZ;afiinct992;p0p90;1963;28057.6;992;t
US-AZ;afiinct992;p0p90;1964;28530.9;992;t
US-AZ;afiinct992;p0p90;1965;28313;992;t
US-AZ;afiinct992;p0p90;1966;29689.6;992;t
US-AZ;afiinct992;p0p90;1967;29887.7;992;t
US-AZ;afiinct992;p0p90;1968;32278;992;t
US-AZ;afiinct992;p0p90;1969;34343.4;992;t
US-AZ;afiinct992;p0p90;1970;35815.1;992;t
US-AZ;afiinct992;p0p90;1971;36896.2;992;t
US-AZ;afiinct992;p0p90;1972;39102.9;992;t
US-AZ;afiinct992;p0p90;1973;40755.6;992;t
US-AZ;afiinct992;p0p90;1974;40709.8;992;t
US-AZ;afiinct992;p0p90;1975;36006.9;992;t
US-AZ;afiinct992;p0p90;1976;36766.8;992;t
US-AZ;afiinct992;p0p90;1977;36879.2;992;t
US-AZ;afiinct992;p0p90;1978;38167.2;992;t
US-AZ;afiinct992;p0p90;1979;40541.2;992;t
US-AZ;afiinct992;p0p90;1980;40502.8;992;t
US-AZ;afiinct992;p0p90;1981;40407.8;992;t
US-AZ;afiinct992;p0p90;1982;34480.7;992;t
