country;variable;percentile;year;value;age;pop
US-CA;afiinct992;p0p90;1917;15122.7;992;t
US-CA;afiinct992;p0p90;1918;14668.6;992;t
US-CA;afiinct992;p0p90;1919;13675.8;992;t
US-CA;afiinct992;p0p90;1920;13814.7;992;t
US-CA;afiinct992;p0p90;1921;13129.9;992;t
US-CA;afiinct992;p0p90;1922;14486.5;992;t
US-CA;afiinct992;p0p90;1923;15795.4;992;t
US-CA;afiinct992;p0p90;1924;15078.4;992;t
US-CA;afiinct992;p0p90;1925;13694.9;992;t
US-CA;afiinct992;p0p90;1926;13239;992;t
US-CA;afiinct992;p0p90;1927;13234.6;992;t
US-CA;afiinct992;p0p90;1928;12913.8;992;t
US-CA;afiinct992;p0p90;1929;14080.2;992;t
US-CA;afiinct992;p0p90;1930;12266;992;t
US-CA;afiinct992;p0p90;1931;11319.5;992;t
US-CA;afiinct992;p0p90;1932;9827.7;992;t
US-CA;afiinct992;p0p90;1933;9869.5;992;t
US-CA;afiinct992;p0p90;1934;9450.9;992;t
US-CA;afiinct992;p0p90;1935;10041.5;992;t
US-CA;afiinct992;p0p90;1936;12021.1;992;t
US-CA;afiinct992;p0p90;1937;12192.5;992;t
US-CA;afiinct992;p0p90;1938;12201.5;992;t
US-CA;afiinct992;p0p90;1939;12253.6;992;t
US-CA;afiinct992;p0p90;1940;13751.9;992;t
US-CA;afiinct992;p0p90;1941;16766.7;992;t
US-CA;afiinct992;p0p90;1942;23440.4;992;t
US-CA;afiinct992;p0p90;1943;29733.5;992;t
US-CA;afiinct992;p0p90;1944;29025.7;992;t
US-CA;afiinct992;p0p90;1945;28328.2;992;t
US-CA;afiinct992;p0p90;1946;26372.8;992;t
US-CA;afiinct992;p0p90;1947;24750.1;992;t
US-CA;afiinct992;p0p90;1948;22807.8;992;t
US-CA;afiinct992;p0p90;1949;22672.1;992;t
US-CA;afiinct992;p0p90;1950;23904.1;992;t
US-CA;afiinct992;p0p90;1952;27382.8;992;t
US-CA;afiinct992;p0p90;1953;28797.2;992;t
US-CA;afiinct992;p0p90;1954;27747.8;992;t
US-CA;afiinct992;p0p90;1955;29184.6;992;t
US-CA;afiinct992;p0p90;1956;30794.9;992;t
US-CA;afiinct992;p0p90;1957;30986.8;992;t
US-CA;afiinct992;p0p90;1958;30116.4;992;t
US-CA;afiinct992;p0p90;1959;32175.5;992;t
US-CA;afiinct992;p0p90;1960;32354.3;992;t
US-CA;afiinct992;p0p90;1961;32811.3;992;t
US-CA;afiinct992;p0p90;1962;33956.4;992;t
US-CA;afiinct992;p0p90;1963;35115.7;992;t
US-CA;afiinct992;p0p90;1964;36554.6;992;t
US-CA;afiinct992;p0p90;1965;37139;992;t
US-CA;afiinct992;p0p90;1966;38948.3;992;t
US-CA;afiinct992;p0p90;1967;39530.5;992;t
US-CA;afiinct992;p0p90;1968;40598.8;992;t
US-CA;afiinct992;p0p90;1969;40835.8;992;t
US-CA;afiinct992;p0p90;1970;40442.3;992;t
US-CA;afiinct992;p0p90;1971;39267.9;992;t
US-CA;afiinct992;p0p90;1972;40298;992;t
US-CA;afiinct992;p0p90;1973;40561;992;t
US-CA;afiinct992;p0p90;1974;40053.4;992;t
US-CA;afiinct992;p0p90;1975;38376.9;992;t
US-CA;afiinct992;p0p90;1976;39632.6;992;t
US-CA;afiinct992;p0p90;1977;39572.1;992;t
US-CA;afiinct992;p0p90;1978;41071.6;992;t
US-CA;afiinct992;p0p90;1979;42790.7;992;t
US-CA;afiinct992;p0p90;1980;43150.2;992;t
US-CA;afiinct992;p0p90;1981;41958.6;992;t
US-CA;afiinct992;p0p90;1982;39550.3;992;t
US-CA;afiinct992;p0p90;1983;41994.8;992;t
US-CA;afiinct992;p0p90;1984;41971.3;992;t
US-CA;afiinct992;p0p90;1985;42902.3;992;t
US-CA;afiinct992;p0p90;1986;43214.3;992;t
US-CA;afiinct992;p0p90;1987;42762;992;t
US-CA;afiinct992;p0p90;1988;42373.7;992;t
US-CA;afiinct992;p0p90;1989;41609.9;992;t
US-CA;afiinct992;p0p90;1990;39359.6;992;t
US-CA;afiinct992;p0p90;1991;39504.3;992;t
US-CA;afiinct992;p0p90;1992;38999;992;t
US-CA;afiinct992;p0p90;1993;38349.9;992;t
US-CA;afiinct992;p0p90;1994;38538.2;992;t
US-CA;afiinct992;p0p90;1995;38566.2;992;t
US-CA;afiinct992;p0p90;1996;39245.1;992;t
US-CA;afiinct992;p0p90;1997;40351.5;992;t
US-CA;afiinct992;p0p90;1998;42956.2;992;t
US-CA;afiinct992;p0p90;1999;41425.2;992;t
US-CA;afiinct992;p0p90;2000;41282.6;992;t
US-CA;afiinct992;p0p90;2001;46260.7;992;t
US-CA;afiinct992;p0p90;2002;46164.9;992;t
US-CA;afiinct992;p0p90;2003;44121.7;992;t
US-CA;afiinct992;p0p90;2004;44605.4;992;t
US-CA;afiinct992;p0p90;2005;44610.2;992;t
US-CA;afiinct992;p0p90;2006;47118.9;992;t
US-CA;afiinct992;p0p90;2007;47521.2;992;t
US-CA;afiinct992;p0p90;2008;45211.9;992;t
US-CA;afiinct992;p0p90;2009;41718.1;992;t
US-CA;afiinct992;p0p90;2010;41133.7;992;t
US-CA;afiinct992;p0p90;2011;42118.5;992;t
US-CA;afiinct992;p0p90;2012;41828.9;992;t
US-CA;afiinct992;p0p90;2013;42261.8;992;t
US-CA;afiinct992;p0p90;2014;43642.9;992;t
US-CA;afiinct992;p0p90;2015;46062.8;992;t
US-CA;afiinct992;p0p90;2016;46096.5;992;t
US-CA;afiinct992;p0p90;2017;47444.7;992;t
US-CA;afiinct992;p0p90;2018;48062.5;992;t
US-CA;afiinct992;p0p99;1917;19346.8;992;t
US-CA;afiinct992;p0p99;1918;18196.1;992;t
US-CA;afiinct992;p0p99;1919;17538.5;992;t
US-CA;afiinct992;p0p99;1920;17412.8;992;t
US-CA;afiinct992;p0p99;1921;16746.8;992;t
US-CA;afiinct992;p0p99;1922;18624.8;992;t
US-CA;afiinct992;p0p99;1923;20214.4;992;t
US-CA;afiinct992;p0p99;1924;19538.9;992;t
US-CA;afiinct992;p0p99;1925;19738.1;992;t
US-CA;afiinct992;p0p99;1926;19065.6;992;t
US-CA;afiinct992;p0p99;1927;19112.5;992;t
US-CA;afiinct992;p0p99;1928;19107.3;992;t
US-CA;afiinct992;p0p99;1929;20075.9;992;t
US-CA;afiinct992;p0p99;1930;18123.5;992;t
US-CA;afiinct992;p0p99;1931;16611.7;992;t
US-CA;afiinct992;p0p99;1932;14226.3;992;t
US-CA;afiinct992;p0p99;1933;13642.8;992;t
US-CA;afiinct992;p0p99;1934;13913.3;992;t
US-CA;afiinct992;p0p99;1935;14893.9;992;t
US-CA;afiinct992;p0p99;1936;16921.7;992;t
US-CA;afiinct992;p0p99;1937;17020.8;992;t
US-CA;afiinct992;p0p99;1938;16925.1;992;t
US-CA;afiinct992;p0p99;1939;17168.2;992;t
US-CA;afiinct992;p0p99;1940;18229.6;992;t
US-CA;afiinct992;p0p99;1941;21209.5;992;t
US-CA;afiinct992;p0p99;1942;26886.3;992;t
US-CA;afiinct992;p0p99;1943;33906.9;992;t
US-CA;afiinct992;p0p99;1944;33592.5;992;t
US-CA;afiinct992;p0p99;1945;32731.6;992;t
US-CA;afiinct992;p0p99;1946;31239.3;992;t
US-CA;afiinct992;p0p99;1947;28765.5;992;t
US-CA;afiinct992;p0p99;1948;27804.4;992;t
US-CA;afiinct992;p0p99;1949;27317.9;992;t
US-CA;afiinct992;p0p99;1950;29104.5;992;t
US-CA;afiinct992;p0p99;1951;22655.2;992;t
US-CA;afiinct992;p0p99;1952;32899.3;992;t
US-CA;afiinct992;p0p99;1953;34130.6;992;t
US-CA;afiinct992;p0p99;1954;33578.7;992;t
US-CA;afiinct992;p0p99;1955;35664;992;t
US-CA;afiinct992;p0p99;1956;37117.4;992;t
US-CA;afiinct992;p0p99;1957;37030.1;992;t
US-CA;afiinct992;p0p99;1958;36345.7;992;t
US-CA;afiinct992;p0p99;1959;38870.7;992;t
US-CA;afiinct992;p0p99;1960;39059.9;992;t
US-CA;afiinct992;p0p99;1961;39895.2;992;t
US-CA;afiinct992;p0p99;1962;41141.9;992;t
US-CA;afiinct992;p0p99;1963;42568.9;992;t
US-CA;afiinct992;p0p99;1964;44360;992;t
US-CA;afiinct992;p0p99;1965;45254.2;992;t
US-CA;afiinct992;p0p99;1966;47056.8;992;t
US-CA;afiinct992;p0p99;1967;48086.7;992;t
US-CA;afiinct992;p0p99;1968;49397.3;992;t
US-CA;afiinct992;p0p99;1969;49399.3;992;t
US-CA;afiinct992;p0p99;1970;48760.1;992;t
US-CA;afiinct992;p0p99;1971;47706.3;992;t
US-CA;afiinct992;p0p99;1972;49148.1;992;t
US-CA;afiinct992;p0p99;1973;49580.5;992;t
US-CA;afiinct992;p0p99;1974;48919.5;992;t
US-CA;afiinct992;p0p99;1975;46994.9;992;t
US-CA;afiinct992;p0p99;1976;48615;992;t
US-CA;afiinct992;p0p99;1977;49062.8;992;t
US-CA;afiinct992;p0p99;1978;50706.4;992;t
US-CA;afiinct992;p0p99;1979;52617;992;t
US-CA;afiinct992;p0p99;1980;52552.5;992;t
US-CA;afiinct992;p0p99;1981;51781.6;992;t
US-CA;afiinct992;p0p99;1982;49818.1;992;t
US-CA;afiinct992;p0p99;1983;52053.7;992;t
US-CA;afiinct992;p0p99;1984;52586;992;t
US-CA;afiinct992;p0p99;1985;54058.9;992;t
US-CA;afiinct992;p0p99;1986;55257.8;992;t
US-CA;afiinct992;p0p99;1987;54824.6;992;t
US-CA;afiinct992;p0p99;1988;55146.7;992;t
US-CA;afiinct992;p0p99;1989;54860.7;992;t
US-CA;afiinct992;p0p99;1990;52279.9;992;t
US-CA;afiinct992;p0p99;1991;52248.1;992;t
US-CA;afiinct992;p0p99;1992;51579.6;992;t
US-CA;afiinct992;p0p99;1993;50695.2;992;t
US-CA;afiinct992;p0p99;1994;51018.7;992;t
US-CA;afiinct992;p0p99;1995;51840.2;992;t
US-CA;afiinct992;p0p99;1996;53327.6;992;t
US-CA;afiinct992;p0p99;1997;55411;992;t
US-CA;afiinct992;p0p99;1998;58767.6;992;t
US-CA;afiinct992;p0p99;1999;58990.4;992;t
US-CA;afiinct992;p0p99;2000;60425.3;992;t
US-CA;afiinct992;p0p99;2001;63465;992;t
US-CA;afiinct992;p0p99;2002;62582.9;992;t
US-CA;afiinct992;p0p99;2003;60510.7;992;t
US-CA;afiinct992;p0p99;2004;61881.5;992;t
US-CA;afiinct992;p0p99;2005;62710.9;992;t
US-CA;afiinct992;p0p99;2006;65696.2;992;t
US-CA;afiinct992;p0p99;2007;66636.4;992;t
US-CA;afiinct992;p0p99;2008;63075.8;992;t
US-CA;afiinct992;p0p99;2009;58747.9;992;t
US-CA;afiinct992;p0p99;2010;58390.4;992;t
US-CA;afiinct992;p0p99;2011;59730.2;992;t
US-CA;afiinct992;p0p99;2012;60155;992;t
US-CA;afiinct992;p0p99;2013;60910.4;992;t
US-CA;afiinct992;p0p99;2014;62745.4;992;t
US-CA;afiinct992;p0p99;2015;66227.4;992;t
