country;variable;percentile;year;value;age;pop
US-CO;afiinct992;p0p90;1917;12342.5;992;t
US-CO;afiinct992;p0p90;1918;12304;992;t
US-CO;afiinct992;p0p90;1919;12062.9;992;t
US-CO;afiinct992;p0p90;1920;10985.2;992;t
US-CO;afiinct992;p0p90;1921;10074.1;992;t
US-CO;afiinct992;p0p90;1922;11010.2;992;t
US-CO;afiinct992;p0p90;1923;12239.9;992;t
US-CO;afiinct992;p0p90;1924;11369.1;992;t
US-CO;afiinct992;p0p90;1925;11428;992;t
US-CO;afiinct992;p0p90;1926;10782.4;992;t
US-CO;afiinct992;p0p90;1927;10589.2;992;t
US-CO;afiinct992;p0p90;1928;10381.8;992;t
US-CO;afiinct992;p0p90;1929;10346;992;t
US-CO;afiinct992;p0p90;1930;9742.9;992;t
US-CO;afiinct992;p0p90;1931;7998.2;992;t
US-CO;afiinct992;p0p90;1932;6398.3;992;t
US-CO;afiinct992;p0p90;1933;7076.2;992;t
US-CO;afiinct992;p0p90;1934;6185.2;992;t
US-CO;afiinct992;p0p90;1935;7990.9;992;t
US-CO;afiinct992;p0p90;1936;9520.8;992;t
US-CO;afiinct992;p0p90;1937;8879.7;992;t
US-CO;afiinct992;p0p90;1938;9108.2;992;t
US-CO;afiinct992;p0p90;1939;8644.8;992;t
US-CO;afiinct992;p0p90;1940;8428.5;992;t
US-CO;afiinct992;p0p90;1941;10059.9;992;t
US-CO;afiinct992;p0p90;1942;14885.4;992;t
US-CO;afiinct992;p0p90;1943;17219.2;992;t
US-CO;afiinct992;p0p90;1944;15252.7;992;t
US-CO;afiinct992;p0p90;1945;16304;992;t
US-CO;afiinct992;p0p90;1946;15993.7;992;t
US-CO;afiinct992;p0p90;1947;17288.6;992;t
US-CO;afiinct992;p0p90;1948;18209.8;992;t
US-CO;afiinct992;p0p90;1949;18587.7;992;t
US-CO;afiinct992;p0p90;1950;19557.5;992;t
US-CO;afiinct992;p0p90;1952;23306.4;992;t
US-CO;afiinct992;p0p90;1953;22973.8;992;t
US-CO;afiinct992;p0p90;1954;22430.3;992;t
US-CO;afiinct992;p0p90;1955;24248.6;992;t
US-CO;afiinct992;p0p90;1956;24996.3;992;t
US-CO;afiinct992;p0p90;1957;27131.6;992;t
US-CO;afiinct992;p0p90;1958;26028.9;992;t
US-CO;afiinct992;p0p90;1959;27446.2;992;t
US-CO;afiinct992;p0p90;1960;28284.7;992;t
US-CO;afiinct992;p0p90;1961;29338.6;992;t
US-CO;afiinct992;p0p90;1962;29721.3;992;t
US-CO;afiinct992;p0p90;1963;30007.1;992;t
US-CO;afiinct992;p0p90;1964;30965.3;992;t
US-CO;afiinct992;p0p90;1965;31604.8;992;t
US-CO;afiinct992;p0p90;1966;32609.9;992;t
US-CO;afiinct992;p0p90;1967;33377.4;992;t
US-CO;afiinct992;p0p90;1968;34854.1;992;t
US-CO;afiinct992;p0p90;1969;36161;992;t
US-CO;afiinct992;p0p90;1970;38106.6;992;t
US-CO;afiinct992;p0p90;1971;39022.2;992;t
US-CO;afiinct992;p0p90;1972;40885.3;992;t
US-CO;afiinct992;p0p90;1973;42687.8;992;t
US-CO;afiinct992;p0p90;1974;42241.2;992;t
US-CO;afiinct992;p0p90;1975;39921.8;992;t
US-CO;afiinct992;p0p90;1976;40917;992;t
US-CO;afiinct992;p0p90;1977;40624.4;992;t
US-CO;afiinct992;p0p90;1978;42241.5;992;t
US-CO;afiinct992;p0p90;1979;44938.3;992;t
US-CO;afiinct992;p0p90;1980;44165;992;t
US-CO;afiinct992;p0p90;1981;44094.4;992;t
US-CO;afiinct992;p0p90;1982;43493.3;992;t
US-CO;afiinct992;p0p90;1983;46294.7;992;t
US-CO;afiinct992;p0p90;1984;42261.7;992;t
US-CO;afiinct992;p0p90;1985;43890.6;992;t
US-CO;afiinct992;p0p90;1986;44253.5;992;t
US-CO;afiinct992;p0p90;1987;43227.4;992;t
US-CO;afiinct992;p0p90;1988;42296.9;992;t
US-CO;afiinct992;p0p90;1989;43754.4;992;t
US-CO;afiinct992;p0p90;1990;42133.7;992;t
US-CO;afiinct992;p0p90;1991;41648.3;992;t
US-CO;afiinct992;p0p90;1992;41448.4;992;t
US-CO;afiinct992;p0p90;1993;40809.7;992;t
US-CO;afiinct992;p0p90;1994;41411.5;992;t
US-CO;afiinct992;p0p90;1995;43766.6;992;t
US-CO;afiinct992;p0p90;1996;44970.6;992;t
US-CO;afiinct992;p0p90;1997;45673.3;992;t
US-CO;afiinct992;p0p90;1998;49509.5;992;t
US-CO;afiinct992;p0p90;1999;52426.2;992;t
US-CO;afiinct992;p0p90;2000;51924.5;992;t
US-CO;afiinct992;p0p90;2001;53755.6;992;t
US-CO;afiinct992;p0p90;2002;51015.7;992;t
US-CO;afiinct992;p0p90;2003;49320.8;992;t
US-CO;afiinct992;p0p90;2004;46378.9;992;t
US-CO;afiinct992;p0p90;2005;49641.2;992;t
US-CO;afiinct992;p0p90;2006;49470;992;t
US-CO;afiinct992;p0p90;2007;51468.6;992;t
US-CO;afiinct992;p0p90;2008;48107.8;992;t
US-CO;afiinct992;p0p90;2009;43491.5;992;t
US-CO;afiinct992;p0p90;2010;41510.1;992;t
US-CO;afiinct992;p0p90;2011;41874.9;992;t
US-CO;afiinct992;p0p90;2012;43746.6;992;t
US-CO;afiinct992;p0p90;2013;50637.8;992;t
US-CO;afiinct992;p0p90;2014;52345.4;992;t
US-CO;afiinct992;p0p90;2015;52563.4;992;t
US-CO;afiinct992;p0p90;2016;45854.9;992;t
US-CO;afiinct992;p0p90;2017;49668.2;992;t
US-CO;afiinct992;p0p90;2018;51621.2;992;t
US-CO;afiinct992;p0p99;1917;15967.9;992;t
US-CO;afiinct992;p0p99;1918;15591.4;992;t
US-CO;afiinct992;p0p99;1919;15214.4;992;t
US-CO;afiinct992;p0p99;1920;13599.4;992;t
US-CO;afiinct992;p0p99;1921;12792.6;992;t
US-CO;afiinct992;p0p99;1922;13944.5;992;t
US-CO;afiinct992;p0p99;1923;15209.2;992;t
US-CO;afiinct992;p0p99;1924;14455.8;992;t
US-CO;afiinct992;p0p99;1925;14434.2;992;t
US-CO;afiinct992;p0p99;1926;13898.2;992;t
US-CO;afiinct992;p0p99;1927;13480.6;992;t
US-CO;afiinct992;p0p99;1928;13371.5;992;t
US-CO;afiinct992;p0p99;1929;13411;992;t
US-CO;afiinct992;p0p99;1930;12693.8;992;t
US-CO;afiinct992;p0p99;1931;11075.8;992;t
US-CO;afiinct992;p0p99;1932;9342.5;992;t
US-CO;afiinct992;p0p99;1933;9593;992;t
US-CO;afiinct992;p0p99;1934;9160.5;992;t
US-CO;afiinct992;p0p99;1935;10828.4;992;t
US-CO;afiinct992;p0p99;1936;12675.2;992;t
US-CO;afiinct992;p0p99;1937;12002.6;992;t
US-CO;afiinct992;p0p99;1938;11860.3;992;t
US-CO;afiinct992;p0p99;1939;11988.3;992;t
US-CO;afiinct992;p0p99;1940;12393.1;992;t
US-CO;afiinct992;p0p99;1941;13753.8;992;t
US-CO;afiinct992;p0p99;1942;18479.7;992;t
US-CO;afiinct992;p0p99;1943;21231.8;992;t
US-CO;afiinct992;p0p99;1944;19542.3;992;t
US-CO;afiinct992;p0p99;1945;20752.1;992;t
US-CO;afiinct992;p0p99;1946;20719.2;992;t
US-CO;afiinct992;p0p99;1947;21920.7;992;t
US-CO;afiinct992;p0p99;1948;22746.3;992;t
US-CO;afiinct992;p0p99;1949;23301.7;992;t
US-CO;afiinct992;p0p99;1950;24641.6;992;t
US-CO;afiinct992;p0p99;1951;19560;992;t
US-CO;afiinct992;p0p99;1952;28184.9;992;t
US-CO;afiinct992;p0p99;1953;27903.8;992;t
US-CO;afiinct992;p0p99;1954;27673.9;992;t
US-CO;afiinct992;p0p99;1955;29502.9;992;t
US-CO;afiinct992;p0p99;1956;30743.8;992;t
US-CO;afiinct992;p0p99;1957;32312.4;992;t
US-CO;afiinct992;p0p99;1958;31493.7;992;t
US-CO;afiinct992;p0p99;1959;33292.6;992;t
US-CO;afiinct992;p0p99;1960;34263.3;992;t
US-CO;afiinct992;p0p99;1961;35685.1;992;t
US-CO;afiinct992;p0p99;1962;36008.4;992;t
US-CO;afiinct992;p0p99;1963;36495.7;992;t
US-CO;afiinct992;p0p99;1964;37571.7;992;t
US-CO;afiinct992;p0p99;1965;38554.6;992;t
US-CO;afiinct992;p0p99;1966;39462.7;992;t
US-CO;afiinct992;p0p99;1967;40615.3;992;t
US-CO;afiinct992;p0p99;1968;42488.3;992;t
US-CO;afiinct992;p0p99;1969;43703.6;992;t
US-CO;afiinct992;p0p99;1970;45704.6;992;t
US-CO;afiinct992;p0p99;1971;46995.9;992;t
US-CO;afiinct992;p0p99;1972;49484.6;992;t
US-CO;afiinct992;p0p99;1973;51469.6;992;t
US-CO;afiinct992;p0p99;1974;50728.1;992;t
US-CO;afiinct992;p0p99;1975;48311.8;992;t
US-CO;afiinct992;p0p99;1976;49407.1;992;t
US-CO;afiinct992;p0p99;1977;49480.1;992;t
US-CO;afiinct992;p0p99;1978;51302.8;992;t
US-CO;afiinct992;p0p99;1979;54137.9;992;t
US-CO;afiinct992;p0p99;1980;53027.2;992;t
US-CO;afiinct992;p0p99;1981;53776.8;992;t
US-CO;afiinct992;p0p99;1982;53148.5;992;t
US-CO;afiinct992;p0p99;1983;55648.7;992;t
US-CO;afiinct992;p0p99;1984;51931.8;992;t
US-CO;afiinct992;p0p99;1985;53555;992;t
US-CO;afiinct992;p0p99;1986;54213.7;992;t
US-CO;afiinct992;p0p99;1987;52918.8;992;t
US-CO;afiinct992;p0p99;1988;52114.8;992;t
US-CO;afiinct992;p0p99;1989;53952.3;992;t
US-CO;afiinct992;p0p99;1990;52834.8;992;t
US-CO;afiinct992;p0p99;1991;52828.6;992;t
US-CO;afiinct992;p0p99;1992;53049.9;992;t
US-CO;afiinct992;p0p99;1993;52597.5;992;t
US-CO;afiinct992;p0p99;1994;53449.4;992;t
US-CO;afiinct992;p0p99;1995;56435;992;t
US-CO;afiinct992;p0p99;1996;58423.8;992;t
US-CO;afiinct992;p0p99;1997;60079.5;992;t
US-CO;afiinct992;p0p99;1998;64907.4;992;t
US-CO;afiinct992;p0p99;1999;69340.2;992;t
US-CO;afiinct992;p0p99;2000;69718.1;992;t
US-CO;afiinct992;p0p99;2001;69982.5;992;t
US-CO;afiinct992;p0p99;2002;66072.7;992;t
US-CO;afiinct992;p0p99;2003;64264.3;992;t
US-CO;afiinct992;p0p99;2004;62026.4;992;t
US-CO;afiinct992;p0p99;2005;66182.1;992;t
US-CO;afiinct992;p0p99;2006;67174.3;992;t
US-CO;afiinct992;p0p99;2007;69599.1;992;t
US-CO;afiinct992;p0p99;2008;64791.3;992;t
US-CO;afiinct992;p0p99;2009;59202.6;992;t
US-CO;afiinct992;p0p99;2010;57895.4;992;t
US-CO;afiinct992;p0p99;2011;58687.4;992;t
US-CO;afiinct992;p0p99;2012;61353.6;992;t
US-CO;afiinct992;p0p99;2013;67326.6;992;t
US-CO;afiinct992;p0p99;2014;70185.4;992;t
