country;variable;percentile;year;value;age;pop
US-CT;afiinct992;p0p90;1917;13108;992;t
US-CT;afiinct992;p0p90;1918;12793.6;992;t
US-CT;afiinct992;p0p90;1919;13407.4;992;t
US-CT;afiinct992;p0p90;1920;13644.2;992;t
US-CT;afiinct992;p0p90;1921;10165.1;992;t
US-CT;afiinct992;p0p90;1922;11754.4;992;t
US-CT;afiinct992;p0p90;1923;14072.1;992;t
US-CT;afiinct992;p0p90;1924;13998.1;992;t
US-CT;afiinct992;p0p90;1925;13952.8;992;t
US-CT;afiinct992;p0p90;1926;14361.5;992;t
US-CT;afiinct992;p0p90;1927;14657.2;992;t
US-CT;afiinct992;p0p90;1928;14882.1;992;t
US-CT;afiinct992;p0p90;1929;15626.8;992;t
US-CT;afiinct992;p0p90;1930;15104.7;992;t
US-CT;afiinct992;p0p90;1931;14086.8;992;t
US-CT;afiinct992;p0p90;1932;12460.7;992;t
US-CT;afiinct992;p0p90;1933;12424.8;992;t
US-CT;afiinct992;p0p90;1934;13289.8;992;t
US-CT;afiinct992;p0p90;1935;13987.4;992;t
US-CT;afiinct992;p0p90;1936;15221.3;992;t
US-CT;afiinct992;p0p90;1937;16165;992;t
US-CT;afiinct992;p0p90;1938;14705.7;992;t
US-CT;afiinct992;p0p90;1939;16136.9;992;t
US-CT;afiinct992;p0p90;1940;17850.8;992;t
US-CT;afiinct992;p0p90;1941;22617.3;992;t
US-CT;afiinct992;p0p90;1942;28291.1;992;t
US-CT;afiinct992;p0p90;1943;31330.7;992;t
US-CT;afiinct992;p0p90;1944;28030.2;992;t
US-CT;afiinct992;p0p90;1945;26060.9;992;t
US-CT;afiinct992;p0p90;1946;25553.9;992;t
US-CT;afiinct992;p0p90;1947;26657.3;992;t
US-CT;afiinct992;p0p90;1948;25550.2;992;t
US-CT;afiinct992;p0p90;1949;24169.9;992;t
US-CT;afiinct992;p0p90;1950;26226.6;992;t
US-CT;afiinct992;p0p90;1952;29850.1;992;t
US-CT;afiinct992;p0p90;1953;32248.6;992;t
US-CT;afiinct992;p0p90;1954;31230.9;992;t
US-CT;afiinct992;p0p90;1955;32886.7;992;t
US-CT;afiinct992;p0p90;1956;34212.7;992;t
US-CT;afiinct992;p0p90;1957;34915.9;992;t
US-CT;afiinct992;p0p90;1958;30546.4;992;t
US-CT;afiinct992;p0p90;1959;32655.9;992;t
US-CT;afiinct992;p0p90;1960;32637.8;992;t
US-CT;afiinct992;p0p90;1961;33370.4;992;t
US-CT;afiinct992;p0p90;1962;34759.2;992;t
US-CT;afiinct992;p0p90;1963;35663.1;992;t
US-CT;afiinct992;p0p90;1964;36792.7;992;t
US-CT;afiinct992;p0p90;1965;37499.7;992;t
US-CT;afiinct992;p0p90;1966;40421.7;992;t
US-CT;afiinct992;p0p90;1967;41884.6;992;t
US-CT;afiinct992;p0p90;1968;39818.1;992;t
US-CT;afiinct992;p0p90;1969;43993.7;992;t
US-CT;afiinct992;p0p90;1970;44548.3;992;t
US-CT;afiinct992;p0p90;1971;42399.6;992;t
US-CT;afiinct992;p0p90;1972;42853.4;992;t
US-CT;afiinct992;p0p90;1973;43536.8;992;t
US-CT;afiinct992;p0p90;1974;42394.8;992;t
US-CT;afiinct992;p0p90;1975;38858.1;992;t
US-CT;afiinct992;p0p90;1976;38464.4;992;t
US-CT;afiinct992;p0p90;1977;39267.3;992;t
US-CT;afiinct992;p0p90;1978;40302.4;992;t
US-CT;afiinct992;p0p90;1979;40866.3;992;t
US-CT;afiinct992;p0p90;1980;41540.5;992;t
US-CT;afiinct992;p0p90;1981;41112;992;t
US-CT;afiinct992;p0p90;1982;40696.1;992;t
US-CT;afiinct992;p0p90;1983;42144.1;992;t
US-CT;afiinct992;p0p90;1984;42678.5;992;t
US-CT;afiinct992;p0p90;1985;42114;992;t
US-CT;afiinct992;p0p90;1986;42342.8;992;t
US-CT;afiinct992;p0p90;1987;45099.5;992;t
US-CT;afiinct992;p0p90;1988;45505.2;992;t
US-CT;afiinct992;p0p90;1989;48580.3;992;t
US-CT;afiinct992;p0p90;1990;48292.2;992;t
US-CT;afiinct992;p0p90;1991;46217.7;992;t
US-CT;afiinct992;p0p90;1992;45819.9;992;t
US-CT;afiinct992;p0p90;1993;46180.1;992;t
US-CT;afiinct992;p0p90;1994;46467.9;992;t
US-CT;afiinct992;p0p90;1995;45723.5;992;t
US-CT;afiinct992;p0p90;1996;45899.9;992;t
US-CT;afiinct992;p0p90;1997;45368.5;992;t
US-CT;afiinct992;p0p90;1998;48190.1;992;t
US-CT;afiinct992;p0p90;1999;50416.2;992;t
US-CT;afiinct992;p0p90;2000;49505.2;992;t
US-CT;afiinct992;p0p90;2001;52555.8;992;t
US-CT;afiinct992;p0p90;2002;51980.8;992;t
US-CT;afiinct992;p0p90;2003;50722.9;992;t
US-CT;afiinct992;p0p90;2004;49350.5;992;t
US-CT;afiinct992;p0p90;2005;49749.1;992;t
US-CT;afiinct992;p0p90;2006;51527;992;t
US-CT;afiinct992;p0p90;2007;50184.2;992;t
US-CT;afiinct992;p0p90;2008;58886.3;992;t
US-CT;afiinct992;p0p90;2009;59237.1;992;t
US-CT;afiinct992;p0p90;2010;57933.2;992;t
US-CT;afiinct992;p0p90;2011;57009.7;992;t
US-CT;afiinct992;p0p90;2012;51518.2;992;t
US-CT;afiinct992;p0p90;2013;51607.4;992;t
US-CT;afiinct992;p0p90;2014;51463.4;992;t
US-CT;afiinct992;p0p90;2015;53663.3;992;t
US-CT;afiinct992;p0p90;2016;54767.3;992;t
US-CT;afiinct992;p0p90;2017;50368.9;992;t
US-CT;afiinct992;p0p90;2018;54213.5;992;t
US-CT;afiinct992;p0p99;1917;17289.5;992;t
US-CT;afiinct992;p0p99;1918;16559.8;992;t
US-CT;afiinct992;p0p99;1919;16636.3;992;t
US-CT;afiinct992;p0p99;1920;16732.8;992;t
US-CT;afiinct992;p0p99;1921;13498.1;992;t
US-CT;afiinct992;p0p99;1922;15795.8;992;t
US-CT;afiinct992;p0p99;1923;18064.8;992;t
US-CT;afiinct992;p0p99;1924;18154.8;992;t
US-CT;afiinct992;p0p99;1925;19022.8;992;t
US-CT;afiinct992;p0p99;1926;19726.9;992;t
US-CT;afiinct992;p0p99;1927;20335.7;992;t
US-CT;afiinct992;p0p99;1928;21115;992;t
US-CT;afiinct992;p0p99;1929;22197.5;992;t
US-CT;afiinct992;p0p99;1930;21446.2;992;t
US-CT;afiinct992;p0p99;1931;20558;992;t
US-CT;afiinct992;p0p99;1932;17665.5;992;t
US-CT;afiinct992;p0p99;1933;17020.6;992;t
US-CT;afiinct992;p0p99;1934;18044.4;992;t
US-CT;afiinct992;p0p99;1935;18936.2;992;t
US-CT;afiinct992;p0p99;1936;20351;992;t
US-CT;afiinct992;p0p99;1937;21021.3;992;t
US-CT;afiinct992;p0p99;1938;19476.7;992;t
