country;variable;percentile;year;value;age;pop
US-DC;afiinct992;p0p100;1917;261043.4;992;t
US-DC;afiinct992;p0p100;1918;270627.2;992;t
US-DC;afiinct992;p0p100;1919;254017.9;992;t
US-DC;afiinct992;p0p100;1920;220048.2;992;t
US-DC;afiinct992;p0p100;1921;246260.1;992;t
US-DC;afiinct992;p0p100;1922;290190.5;992;t
US-DC;afiinct992;p0p100;1923;303671.1;992;t
US-DC;afiinct992;p0p100;1924;306160.8;992;t
US-DC;afiinct992;p0p100;1925;337142.3;992;t
US-DC;afiinct992;p0p100;1926;335050.8;992;t
US-DC;afiinct992;p0p100;1927;325566.2;992;t
US-DC;afiinct992;p0p100;1928;365494.8;992;t
US-DC;afiinct992;p0p100;1929;339883.5;992;t
US-DC;afiinct992;p0p100;1930;286459.3;992;t
US-DC;afiinct992;p0p100;1931;279024.3;992;t
US-DC;afiinct992;p0p100;1932;244297.6;992;t
US-DC;afiinct992;p0p100;1933;221779.6;992;t
US-DC;afiinct992;p0p100;1934;241121.4;992;t
US-DC;afiinct992;p0p100;1935;267895.5;992;t
US-DC;afiinct992;p0p100;1936;310830.6;992;t
US-DC;afiinct992;p0p100;1937;284209.9;992;t
US-DC;afiinct992;p0p100;1938;257481.6;992;t
US-DC;afiinct992;p0p100;1939;268290;992;t
US-DC;afiinct992;p0p100;1940;277170.8;992;t
US-DC;afiinct992;p0p100;1941;303839.2;992;t
US-DC;afiinct992;p0p100;1942;303681.4;992;t
US-DC;afiinct992;p0p100;1943;311801.7;992;t
US-DC;afiinct992;p0p100;1944;272026.9;992;t
US-DC;afiinct992;p0p100;1945;286416.9;992;t
US-DC;afiinct992;p0p100;1946;297933.8;992;t
US-DC;afiinct992;p0p100;1947;252026.1;992;t
US-DC;afiinct992;p0p100;1948;255816.6;992;t
US-DC;afiinct992;p0p100;1949;247597.7;992;t
US-DC;afiinct992;p0p100;1950;287814.2;992;t
US-DC;afiinct992;p0p100;1951;289595;992;t
US-DC;afiinct992;p0p100;1952;260655.7;992;t
US-DC;afiinct992;p0p100;1953;240106;992;t
US-DC;afiinct992;p0p100;1954;266841.6;992;t
US-DC;afiinct992;p0p100;1955;274874.3;992;t
US-DC;afiinct992;p0p100;1956;286415.9;992;t
US-DC;afiinct992;p0p100;1957;250677.5;992;t
US-DC;afiinct992;p0p100;1958;244693.3;992;t
US-DC;afiinct992;p0p100;1959;336540.7;992;t
US-DC;afiinct992;p0p100;1960;308066.3;992;t
US-DC;afiinct992;p0p100;1961;323959.8;992;t
US-DC;afiinct992;p0p100;1962;310842.5;992;t
US-DC;afiinct992;p0p100;1963;310886.2;992;t
US-DC;afiinct992;p0p100;1964;363814.8;992;t
US-DC;afiinct992;p0p100;1965;367516;992;t
US-DC;afiinct992;p0p100;1966;324031.5;992;t
US-DC;afiinct992;p0p100;1967;349081.5;992;t
US-DC;afiinct992;p0p100;1968;348083;992;t
US-DC;afiinct992;p0p100;1969;325974.5;992;t
US-DC;afiinct992;p0p100;1970;334987.9;992;t
US-DC;afiinct992;p0p100;1971;327700.9;992;t
US-DC;afiinct992;p0p100;1972;334937.3;992;t
US-DC;afiinct992;p0p100;1973;358280;992;t
US-DC;afiinct992;p0p100;1974;353775.9;992;t
US-DC;afiinct992;p0p100;1975;293996.3;992;t
US-DC;afiinct992;p0p100;1976;320549.5;992;t
US-DC;afiinct992;p0p100;1977;323485.8;992;t
US-DC;afiinct992;p0p100;1978;343722.4;992;t
US-DC;afiinct992;p0p100;1979;365502.4;992;t
US-DC;afiinct992;p0p100;1980;360582;992;t
US-DC;afiinct992;p0p100;1981;368859.6;992;t
US-DC;afiinct992;p0p100;1982;395657.7;992;t
US-DC;afiinct992;p0p100;1983;378011.9;992;t
US-DC;afiinct992;p0p100;1984;408142;992;t
US-DC;afiinct992;p0p100;1985;450360.6;992;t
US-DC;afiinct992;p0p100;1986;522600.1;992;t
US-DC;afiinct992;p0p100;1987;469356.6;992;t
US-DC;afiinct992;p0p100;1988;510376.9;992;t
US-DC;afiinct992;p0p100;1989;518392.9;992;t
US-DC;afiinct992;p0p100;1990;511276.2;992;t
US-DC;afiinct992;p0p100;1991;497734.5;992;t
US-DC;afiinct992;p0p100;1992;521224;992;t
US-DC;afiinct992;p0p100;1993;519557.8;992;t
US-DC;afiinct992;p0p100;1994;533663.3;992;t
US-DC;afiinct992;p0p100;1995;558044.2000000001;992;t
US-DC;afiinct992;p0p100;1996;615887.1;992;t
US-DC;afiinct992;p0p100;1997;540287.5;992;t
US-DC;afiinct992;p0p100;1998;790597.5;992;t
US-DC;afiinct992;p0p100;1999;664894.1000000001;992;t
US-DC;afiinct992;p0p100;2000;878283.7000000001;992;t
US-DC;afiinct992;p0p100;2001;810726;992;t
US-DC;afiinct992;p0p100;2002;716117.6000000001;992;t
US-DC;afiinct992;p0p100;2003;730165.7000000001;992;t
US-DC;afiinct992;p0p100;2004;848227.2000000001;992;t
US-DC;afiinct992;p0p100;2005;897896.5;992;t
US-DC;afiinct992;p0p100;2006;955108.1000000001;992;t
US-DC;afiinct992;p0p100;2007;972025.2000000001;992;t
US-DC;afiinct992;p0p100;2008;836566.2000000001;992;t
US-DC;afiinct992;p0p100;2009;818406.2000000001;992;t
US-DC;afiinct992;p0p100;2010;871103.4;992;t
US-DC;afiinct992;p0p100;2011;878018.8;992;t
US-DC;afiinct992;p0p100;2012;933307.3;992;t
US-DC;afiinct992;p0p100;2013;880366.6000000001;992;t
US-DC;afiinct992;p0p100;2014;914023.9;992;t
US-DC;afiinct992;p0p100;2015;943949.4;992;t
US-DC;afiinct992;p0p100;2016;919216.7000000001;992;t
US-DC;afiinct992;p0p100;2017;961706.7000000001;992;t
US-DC;afiinct992;p0p100;2018;1034662.1;992;t
US-DC;npopult992;p0p100;1917;153739;992;t
US-DC;npopult992;p0p100;1918;155733;992;t
US-DC;npopult992;p0p100;1919;159832;992;t
US-DC;npopult992;p0p100;1920;164998;992;t
US-DC;npopult992;p0p100;1921;169772;992;t
US-DC;npopult992;p0p100;1922;173711;992;t
US-DC;npopult992;p0p100;1923;178307;992;t
US-DC;npopult992;p0p100;1924;183378;992;t
US-DC;npopult992;p0p100;1925;187790;992;t
US-DC;npopult992;p0p100;1926;191997;992;t
US-DC;npopult992;p0p100;1927;196359;992;t
US-DC;npopult992;p0p100;1928;200488;992;t
US-DC;npopult992;p0p100;1929;204289;992;t
US-DC;npopult992;p0p100;1930;208204;992;t
US-DC;npopult992;p0p100;1931;214834;992;t
US-DC;npopult992;p0p100;1932;221383;992;t
US-DC;npopult992;p0p100;1933;228015;992;t
US-DC;npopult992;p0p100;1934;234952;992;t
US-DC;npopult992;p0p100;1935;242255;992;t
US-DC;npopult992;p0p100;1936;249638;992;t
US-DC;npopult992;p0p100;1937;257183;992;t
US-DC;npopult992;p0p100;1938;265425;992;t
US-DC;npopult992;p0p100;1939;274040;992;t
US-DC;npopult992;p0p100;1940;283330;992;t
US-DC;npopult992;p0p100;1941;286260;992;t
US-DC;npopult992;p0p100;1942;289519;992;t
US-DC;npopult992;p0p100;1943;293634;992;t
US-DC;npopult992;p0p100;1944;297216;992;t
US-DC;npopult992;p0p100;1945;300467;992;t
US-DC;npopult992;p0p100;1946;303503;992;t
US-DC;npopult992;p0p100;1947;309214;992;t
US-DC;npopult992;p0p100;1948;314353;992;t
US-DC;npopult992;p0p100;1949;319526;992;t
US-DC;npopult992;p0p100;1950;325742;992;t
US-DC;npopult992;p0p100;1951;326089;992;t
US-DC;npopult992;p0p100;1952;326420;992;t
US-DC;npopult992;p0p100;1953;326501;992;t
US-DC;npopult992;p0p100;1954;326846;992;t
US-DC;npopult992;p0p100;1955;327147;992;t
US-DC;npopult992;p0p100;1956;327405;992;t
US-DC;npopult992;p0p100;1957;327697;992;t
US-DC;npopult992;p0p100;1958;327466;992;t
US-DC;npopult992;p0p100;1959;327161;992;t
US-DC;npopult992;p0p100;1960;326497;992;t
US-DC;npopult992;p0p100;1961;328256;992;t
US-DC;npopult992;p0p100;1962;329615;992;t
US-DC;npopult992;p0p100;1963;330642;992;t
US-DC;npopult992;p0p100;1964;331493;992;t
US-DC;npopult992;p0p100;1965;331872;992;t
US-DC;npopult992;p0p100;1966;331923;992;t
US-DC;npopult992;p0p100;1967;331741;992;t
US-DC;npopult992;p0p100;1968;331248;992;t
US-DC;npopult992;p0p100;1969;330671;992;t
US-DC;npopult992;p0p100;1970;330704;992;t
US-DC;npopult992;p0p100;1971;333429;992;t
US-DC;npopult992;p0p100;1972;335550;992;t
US-DC;npopult992;p0p100;1973;337314;992;t
US-DC;npopult992;p0p100;1974;338974;992;t
US-DC;npopult992;p0p100;1975;340914;992;t
US-DC;npopult992;p0p100;1976;342768;992;t
US-DC;npopult992;p0p100;1977;344851;992;t
US-DC;npopult992;p0p100;1978;347161;992;t
US-DC;npopult992;p0p100;1979;356639;992;t
US-DC;npopult992;p0p100;1980;351723;992;t
US-DC;npopult992;p0p100;1981;347122;992;t
US-DC;npopult992;p0p100;1982;354726;992;t
US-DC;npopult992;p0p100;1983;354726;992;t
US-DC;npopult992;p0p100;1984;356266;992;t
US-DC;npopult992;p0p100;1985;346534;992;t
US-DC;npopult992;p0p100;1986;352761;992;t
US-DC;npopult992;p0p100;1987;360508;992;t
US-DC;npopult992;p0p100;1988;356885;992;t
US-DC;npopult992;p0p100;1989;359066;992;t
US-DC;npopult992;p0p100;1990;369753;992;t
US-DC;npopult992;p0p100;1991;362391;992;t
US-DC;npopult992;p0p100;1992;355571;992;t
US-DC;npopult992;p0p100;1993;348686;992;t
US-DC;npopult992;p0p100;1994;346267;992;t
US-DC;npopult992;p0p100;1995;335903;992;t
US-DC;npopult992;p0p100;1996;328829;992;t
US-DC;npopult992;p0p100;1997;330811;992;t
US-DC;npopult992;p0p100;1998;320209;992;t
US-DC;npopult992;p0p100;1999;321156;992;t
US-DC;npopult992;p0p100;2000;340787;992;t
US-DC;npopult992;p0p100;2001;342808;992;t
US-DC;npopult992;p0p100;2002;349699;992;t
US-DC;npopult992;p0p100;2003;364273;992;t
US-DC;npopult992;p0p100;2004;333631;992;t
US-DC;npopult992;p0p100;2005;343491;992;t
US-DC;npopult992;p0p100;2006;338152;992;t
US-DC;npopult992;p0p100;2007;363041;992;t
US-DC;npopult992;p0p100;2008;380426;992;t
US-DC;npopult992;p0p100;2009;382893;992;t
US-DC;npopult992;p0p100;2010;392725;992;t
US-DC;npopult992;p0p100;2011;400863;992;t
US-DC;npopult992;p0p100;2012;415409;992;t
US-DC;npopult992;p0p100;2013;432965;992;t
US-DC;npopult992;p0p100;2014;440812;992;t
US-DC;npopult992;p0p100;2015;439156;992;t
US-DC;npopult992;p0p100;2016;450944;992;t
US-DC;npopult992;p0p100;2017;457533;992;t
US-DC;npopult992;p0p100;2018;452068;992;t
US-DC;ntaxret992;p0p100;1917;29737;992;t
US-DC;ntaxret992;p0p100;1918;43776;992;t
US-DC;ntaxret992;p0p100;1919;58616;992;t
US-DC;ntaxret992;p0p100;1920;69730;992;t
US-DC;ntaxret992;p0p100;1921;89966;992;t
US-DC;ntaxret992;p0p100;1922;77923;992;t
US-DC;ntaxret992;p0p100;1923;75796;992;t
US-DC;ntaxret992;p0p100;1924;77836;992;t
US-DC;ntaxret992;p0p100;1925;43293;992;t
US-DC;ntaxret992;p0p100;1926;40024;992;t
US-DC;ntaxret992;p0p100;1927;39560;992;t
US-DC;ntaxret992;p0p100;1928;44183;992;t
US-DC;ntaxret992;p0p100;1929;48674;992;t
US-DC;ntaxret992;p0p100;1930;51759;992;t
US-DC;ntaxret992;p0p100;1931;52740;992;t
US-DC;ntaxret992;p0p100;1932;74372;992;t
US-DC;ntaxret992;p0p100;1933;70991;992;t
US-DC;ntaxret992;p0p100;1934;83453;992;t
US-DC;ntaxret992;p0p100;1935;95714;992;t
US-DC;ntaxret992;p0p100;1936;107225;992;t
US-DC;ntaxret992;p0p100;1937;111126;992;t
US-DC;ntaxret992;p0p100;1938;114001;992;t
US-DC;ntaxret992;p0p100;1939;114986;992;t
US-DC;ntaxret992;p0p100;1940;162052;992;t
US-DC;ntaxret992;p0p100;1941;250286;992;t
US-DC;ntaxret992;p0p100;1942;363482;992;t
US-DC;ntaxret992;p0p100;1943;353511;992;t
US-DC;ntaxret992;p0p100;1944;373654;992;t
US-DC;ntaxret992;p0p100;1945;386412;992;t
US-DC;ntaxret992;p0p100;1946;418468;992;t
US-DC;ntaxret992;p0p100;1947;431551;992;t
US-DC;ntaxret992;p0p100;1948;339450;992;t
US-DC;ntaxret992;p0p100;1949;396604;992;t
US-DC;ntaxret992;p0p100;1950;373762;992;t
US-DC;ntaxret992;p0p100;1951;371578;992;t
US-DC;ntaxret992;p0p100;1952;397855;992;t
US-DC;ntaxret992;p0p100;1953;358314;992;t
US-DC;ntaxret992;p0p100;1954;346729;992;t
US-DC;ntaxret992;p0p100;1955;342596;992;t
US-DC;ntaxret992;p0p100;1956;332361;992;t
US-DC;ntaxret992;p0p100;1957;337129;992;t
US-DC;ntaxret992;p0p100;1958;331081;992;t
US-DC;ntaxret992;p0p100;1959;352402;992;t
US-DC;ntaxret992;p0p100;1960;342310;992;t
US-DC;ntaxret992;p0p100;1961;346582;992;t
US-DC;ntaxret992;p0p100;1962;334582;992;t
US-DC;ntaxret992;p0p100;1963;330591;992;t
US-DC;ntaxret992;p0p100;1964;307921;992;t
US-DC;ntaxret992;p0p100;1965;302734;992;t
US-DC;ntaxret992;p0p100;1966;308937;992;t
US-DC;ntaxret992;p0p100;1967;325048;992;t
US-DC;ntaxret992;p0p100;1968;323055;992;t
US-DC;ntaxret992;p0p100;1969;291010;992;t
US-DC;ntaxret992;p0p100;1970;319616;992;t
US-DC;ntaxret992;p0p100;1971;311838;992;t
US-DC;ntaxret992;p0p100;1972;283100;992;t
US-DC;ntaxret992;p0p100;1973;297714;992;t
US-DC;ntaxret992;p0p100;1974;315919;992;t
US-DC;ntaxret992;p0p100;1975;309551;992;t
US-DC;ntaxret992;p0p100;1976;307160;992;t
US-DC;ntaxret992;p0p100;1977;332733;992;t
US-DC;ntaxret992;p0p100;1978;320987;992;t
US-DC;ntaxret992;p0p100;1979;315668;992;t
US-DC;ntaxret992;p0p100;1980;307630;992;t
US-DC;ntaxret992;p0p100;1981;318944;992;t
