country;variable;percentile;year;value;age;pop
US-DE;afiinct992;p0p100;1917;218649.2;992;t
US-DE;afiinct992;p0p100;1918;207007.1;992;t
US-DE;afiinct992;p0p100;1919;209555.1;992;t
US-DE;afiinct992;p0p100;1920;143497.2;992;t
US-DE;afiinct992;p0p100;1921;133638.3;992;t
US-DE;afiinct992;p0p100;1922;166220.6;992;t
US-DE;afiinct992;p0p100;1923;170684;992;t
US-DE;afiinct992;p0p100;1924;190385.2;992;t
US-DE;afiinct992;p0p100;1925;20350.5;992;t
US-DE;afiinct992;p0p100;1926;13865;992;t
US-DE;afiinct992;p0p100;1927;10922;992;t
US-DE;afiinct992;p0p100;1928;9989;992;t
US-DE;afiinct992;p0p100;1929;3402.7;992;t
US-DE;afiinct992;p0p100;1930;14446.1;992;t
US-DE;afiinct992;p0p100;1931;14805.5;992;t
US-DE;afiinct992;p0p100;1932;11400;992;t
US-DE;afiinct992;p0p100;1933;11274.4;992;t
US-DE;afiinct992;p0p100;1934;10877.4;992;t
US-DE;afiinct992;p0p100;1935;11052.6;992;t
US-DE;afiinct992;p0p100;1936;10116.2;992;t
US-DE;afiinct992;p0p100;1937;12178.2;992;t
US-DE;afiinct992;p0p100;1938;11567.6;992;t
US-DE;afiinct992;p0p100;1939;10311.2;992;t
US-DE;afiinct992;p0p100;1940;14562;992;t
US-DE;afiinct992;p0p100;1941;20028.9;992;t
US-DE;afiinct992;p0p100;1942;26173.1;992;t
US-DE;afiinct992;p0p100;1943;1275837.5;992;t
US-DE;afiinct992;p0p100;1944;25487.6;992;t
US-DE;afiinct992;p0p100;1945;25261.5;992;t
US-DE;afiinct992;p0p100;1946;23475.1;992;t
US-DE;afiinct992;p0p100;1947;24001.9;992;t
US-DE;afiinct992;p0p100;1948;22196;992;t
US-DE;afiinct992;p0p100;1949;22290.4;992;t
US-DE;afiinct992;p0p100;1950;24281.4;992;t
US-DE;afiinct992;p0p100;1951;22322.7;992;t
US-DE;afiinct992;p0p100;1952;26761.2;992;t
US-DE;afiinct992;p0p100;1953;28269.1;992;t
US-DE;afiinct992;p0p100;1954;26999.2;992;t
US-DE;afiinct992;p0p100;1955;1289800;992;t
US-DE;afiinct992;p0p100;1956;35887.8;992;t
US-DE;afiinct992;p0p100;1957;41212.2;992;t
US-DE;afiinct992;p0p100;1958;32277.8;992;t
US-DE;afiinct992;p0p100;1959;1050172;992;t
US-DE;afiinct992;p0p100;1960;567410.1;992;t
US-DE;afiinct992;p0p100;1961;33343.6;992;t
US-DE;afiinct992;p0p100;1962;33586.1;992;t
US-DE;afiinct992;p0p100;1963;311643.9;992;t
US-DE;afiinct992;p0p100;1964;370836.4;992;t
US-DE;afiinct992;p0p100;1965;393084.4;992;t
US-DE;afiinct992;p0p100;1966;349347.1;992;t
US-DE;afiinct992;p0p100;1967;357749.8;992;t
US-DE;afiinct992;p0p100;1968;371010;992;t
US-DE;afiinct992;p0p100;1969;341468;992;t
US-DE;afiinct992;p0p100;1970;343144.7;992;t
US-DE;afiinct992;p0p100;1971;355059.4;992;t
US-DE;afiinct992;p0p100;1972;329437.1;992;t
US-DE;afiinct992;p0p100;1973;374220.5;992;t
US-DE;afiinct992;p0p100;1974;362187.9;992;t
US-DE;afiinct992;p0p100;1975;133325.9;992;t
US-DE;afiinct992;p0p100;1976;313053.4;992;t
US-DE;afiinct992;p0p100;1977;282572.2;992;t
US-DE;afiinct992;p0p100;1978;279078.1;992;t
US-DE;afiinct992;p0p100;1979;127507.4;992;t
US-DE;afiinct992;p0p100;1980;310247.6;992;t
US-DE;afiinct992;p0p100;1981;293292.5;992;t
US-DE;afiinct992;p0p100;1982;309344.9;992;t
US-DE;afiinct992;p0p100;1983;308743.1;992;t
US-DE;afiinct992;p0p100;1984;331384.4;992;t
US-DE;afiinct992;p0p100;1985;344554.7;992;t
US-DE;afiinct992;p0p100;1986;397252.8;992;t
US-DE;afiinct992;p0p100;1987;366437.2;992;t
US-DE;afiinct992;p0p100;1988;405415.8;992;t
US-DE;afiinct992;p0p100;1989;398428.1;992;t
US-DE;afiinct992;p0p100;1990;397341.6;992;t
US-DE;afiinct992;p0p100;1991;390841;992;t
US-DE;afiinct992;p0p100;1992;406222.5;992;t
US-DE;afiinct992;p0p100;1993;399888.6;992;t
US-DE;afiinct992;p0p100;1994;402546.2;992;t
US-DE;afiinct992;p0p100;1995;435888.8;992;t
US-DE;afiinct992;p0p100;1996;472871;992;t
US-DE;afiinct992;p0p100;1997;681983.8;992;t
US-DE;afiinct992;p0p100;1998;539744.4;992;t
US-DE;afiinct992;p0p100;1999;765017.1000000001;992;t
US-DE;afiinct992;p0p100;2000;595524.7000000001;992;t
US-DE;afiinct992;p0p100;2001;559609.9;992;t
US-DE;afiinct992;p0p100;2002;525574.6;992;t
US-DE;afiinct992;p0p100;2003;540829.4;992;t
US-DE;afiinct992;p0p100;2004;598791.9;992;t
US-DE;afiinct992;p0p100;2005;638521.8;992;t
US-DE;afiinct992;p0p100;2006;633503.8;992;t
US-DE;afiinct992;p0p100;2007;639938.6000000001;992;t
US-DE;afiinct992;p0p100;2008;549375.9;992;t
US-DE;afiinct992;p0p100;2009;491351;992;t
US-DE;afiinct992;p0p100;2010;514579;992;t
US-DE;afiinct992;p0p100;2011;512537.5;992;t
US-DE;afiinct992;p0p100;2012;540553.9;992;t
US-DE;afiinct992;p0p100;2013;526753.5;992;t
US-DE;afiinct992;p0p100;2014;543752.9;992;t
US-DE;afiinct992;p0p100;2015;533671.2000000001;992;t
US-DE;afiinct992;p0p100;2016;519431.9;992;t
US-DE;afiinct992;p0p100;2017;548889.7000000001;992;t
US-DE;afiinct992;p0p100;2018;555418.1;992;t
US-DE;npopult992;p0p100;1917;87099;992;t
US-DE;npopult992;p0p100;1918;86899;992;t
US-DE;npopult992;p0p100;1919;87842;992;t
US-DE;npopult992;p0p100;1920;89314;992;t
US-DE;npopult992;p0p100;1921;90622;992;t
US-DE;npopult992;p0p100;1922;91436;992;t
US-DE;npopult992;p0p100;1923;92552;992;t
US-DE;npopult992;p0p100;1924;93862;992;t
US-DE;npopult992;p0p100;1925;94785;992;t
US-DE;npopult992;p0p100;1926;95563;992;t
US-DE;npopult992;p0p100;1927;96377;992;t
US-DE;npopult992;p0p100;1928;97037;992;t
US-DE;npopult992;p0p100;1929;97503;992;t
US-DE;npopult992;p0p100;1930;97991;992;t
US-DE;npopult992;p0p100;1931;99646;992;t
US-DE;npopult992;p0p100;1932;101195;992;t
US-DE;npopult992;p0p100;1933;102716;992;t
US-DE;npopult992;p0p100;1934;104306;992;t
US-DE;npopult992;p0p100;1935;105989;992;t
US-DE;npopult992;p0p100;1936;107636;992;t
US-DE;npopult992;p0p100;1937;109282;992;t
US-DE;npopult992;p0p100;1938;111149;992;t
US-DE;npopult992;p0p100;1939;113093;992;t
US-DE;npopult992;p0p100;1940;115232;992;t
US-DE;npopult992;p0p100;1941;116325;992;t
US-DE;npopult992;p0p100;1942;117550;992;t
US-DE;npopult992;p0p100;1943;119119;992;t
US-DE;npopult992;p0p100;1944;120470;992;t
US-DE;npopult992;p0p100;1945;121684;992;t
US-DE;npopult992;p0p100;1946;122810;992;t
US-DE;npopult992;p0p100;1947;125015;992;t
US-DE;npopult992;p0p100;1948;126985;992;t
US-DE;npopult992;p0p100;1949;128965;992;t
US-DE;npopult992;p0p100;1950;131362;992;t
US-DE;npopult992;p0p100;1951;134630;992;t
US-DE;npopult992;p0p100;1952;137971;992;t
US-DE;npopult992;p0p100;1953;141287;992;t
US-DE;npopult992;p0p100;1954;144800;992;t
US-DE;npopult992;p0p100;1955;148380;992;t
US-DE;npopult992;p0p100;1956;152028;992;t
US-DE;npopult992;p0p100;1957;155782;992;t
US-DE;npopult992;p0p100;1958;159374;992;t
US-DE;npopult992;p0p100;1959;163012;992;t
US-DE;npopult992;p0p100;1960;166550;992;t
US-DE;npopult992;p0p100;1961;170958;992;t
US-DE;npopult992;p0p100;1962;175265;992;t
US-DE;npopult992;p0p100;1963;179497;992;t
US-DE;npopult992;p0p100;1964;183732;992;t
US-DE;npopult992;p0p100;1965;187798;992;t
US-DE;npopult992;p0p100;1966;191765;992;t
US-DE;npopult992;p0p100;1967;195678;992;t
US-DE;npopult992;p0p100;1968;199483;992;t
US-DE;npopult992;p0p100;1969;203311;992;t
US-DE;npopult992;p0p100;1970;207594;992;t
US-DE;npopult992;p0p100;1971;212706;992;t
US-DE;npopult992;p0p100;1972;217537;992;t
US-DE;npopult992;p0p100;1973;222234;992;t
US-DE;npopult992;p0p100;1974;226957;992;t
US-DE;npopult992;p0p100;1975;231964;992;t
US-DE;npopult992;p0p100;1976;237016;992;t
US-DE;npopult992;p0p100;1977;242331;992;t
US-DE;npopult992;p0p100;1978;247918;992;t
US-DE;npopult992;p0p100;1979;255678;992;t
US-DE;npopult992;p0p100;1980;259405;992;t
US-DE;npopult992;p0p100;1981;260421;992;t
US-DE;npopult992;p0p100;1982;268570;992;t
US-DE;npopult992;p0p100;1983;268570;992;t
US-DE;npopult992;p0p100;1984;278642;992;t
US-DE;npopult992;p0p100;1985;283053;992;t
US-DE;npopult992;p0p100;1986;294059;992;t
US-DE;npopult992;p0p100;1987;303781;992;t
US-DE;npopult992;p0p100;1988;310965;992;t
US-DE;npopult992;p0p100;1989;327233;992;t
US-DE;npopult992;p0p100;1990;332942;992;t
US-DE;npopult992;p0p100;1991;336186;992;t
US-DE;npopult992;p0p100;1992;335965;992;t
US-DE;npopult992;p0p100;1993;342259;992;t
US-DE;npopult992;p0p100;1994;348001;992;t
US-DE;npopult992;p0p100;1995;353574;992;t
US-DE;npopult992;p0p100;1996;356950;992;t
US-DE;npopult992;p0p100;1997;361331;992;t
US-DE;npopult992;p0p100;1998;370468;992;t
US-DE;npopult992;p0p100;1999;374203;992;t
US-DE;npopult992;p0p100;2000;374687;992;t
US-DE;npopult992;p0p100;2001;385478;992;t
US-DE;npopult992;p0p100;2002;395994;992;t
US-DE;npopult992;p0p100;2003;398610;992;t
US-DE;npopult992;p0p100;2004;411995;992;t
US-DE;npopult992;p0p100;2005;433333;992;t
US-DE;npopult992;p0p100;2006;433842;992;t
US-DE;npopult992;p0p100;2007;431787;992;t
US-DE;npopult992;p0p100;2008;443903;992;t
US-DE;npopult992;p0p100;2009;447733;992;t
US-DE;npopult992;p0p100;2010;450372;992;t
US-DE;npopult992;p0p100;2011;464110;992;t
US-DE;npopult992;p0p100;2012;475076;992;t
US-DE;npopult992;p0p100;2013;473503;992;t
US-DE;npopult992;p0p100;2014;493177;992;t
US-DE;npopult992;p0p100;2015;505342;992;t
US-DE;npopult992;p0p100;2016;542258;992;t
US-DE;npopult992;p0p100;2017;533738;992;t
US-DE;npopult992;p0p100;2018;547088;992;t
US-DE;sptinct992;p99.99p100;1917;0.1523;992;t
US-DE;sptinct992;p99.99p100;1918;0.0749;992;t
US-DE;sptinct992;p99.99p100;1919;0.0591;992;t
US-DE;sptinct992;p99.99p100;1920;0.0165;992;t
US-DE;sptinct992;p99.99p100;1921;0.0154;992;t
US-DE;sptinct992;p99.99p100;1922;0.0189;992;t
US-DE;sptinct992;p99.99p100;1923;0.0134;992;t
US-DE;sptinct992;p99.99p100;1924;0.0332;992;t
US-DE;sptinct992;p99.99p100;1925;0.0354;992;t
US-DE;sptinct992;p99.99p100;1926;0.0773;992;t
US-DE;sptinct992;p99.99p100;1927;0.1035;992;t
US-DE;sptinct992;p99.99p100;1928;0.11;992;t
US-DE;sptinct992;p99.99p100;1929;0.3571;992;t
US-DE;sptinct992;p99.99p100;1930;0.0593;992;t
US-DE;sptinct992;p99.99p100;1931;0.0589;992;t
US-DE;sptinct992;p99.99p100;1932;0.0697;992;t
US-DE;sptinct992;p99.99p100;1933;0.0649;992;t
US-DE;sptinct992;p99.99p100;1934;0.0904;992;t
US-DE;sptinct992;p99.99p100;1935;0.0894;992;t
US-DE;sptinct992;p99.99p100;1936;0.1125;992;t
US-DE;sptinct992;p99.99p100;1937;0.0928;992;t
US-DE;sptinct992;p99.99p100;1938;0.0911;992;t
US-DE;sptinct992;p99.99p100;1939;0.1216;992;t
US-DE;sptinct992;p99.99p100;1940;0.104;992;t
US-DE;sptinct992;p99.99p100;1941;0.0783;992;t
US-DE;sptinct992;p99.99p100;1942;0.031;992;t
US-DE;sptinct992;p99.99p100;1943;0.0297;992;t
US-DE;sptinct992;p99.99p100;1944;0.0361;992;t
