country;variable;percentile;year;value;age;pop
US-FL;afiinct992;p0p90;1917;8038;992;t
US-FL;afiinct992;p0p90;1918;7755.1;992;t
US-FL;afiinct992;p0p90;1919;6929.6;992;t
US-FL;afiinct992;p0p90;1920;5321.8;992;t
US-FL;afiinct992;p0p90;1921;4706.8;992;t
US-FL;afiinct992;p0p90;1922;5597.1;992;t
US-FL;afiinct992;p0p90;1923;6606.9;992;t
US-FL;afiinct992;p0p90;1924;4115.4;992;t
US-FL;afiinct992;p0p90;1925;-9061;992;t
US-FL;afiinct992;p0p90;1926;1977.7;992;t
US-FL;afiinct992;p0p90;1927;6320.9;992;t
US-FL;afiinct992;p0p90;1928;8315.3;992;t
US-FL;afiinct992;p0p90;1929;9596.5;992;t
US-FL;afiinct992;p0p90;1930;8424.6;992;t
US-FL;afiinct992;p0p90;1931;6926;992;t
US-FL;afiinct992;p0p90;1932;6065.7;992;t
US-FL;afiinct992;p0p90;1933;5640.1;992;t
US-FL;afiinct992;p0p90;1934;6326.3;992;t
US-FL;afiinct992;p0p90;1935;6395.2;992;t
US-FL;afiinct992;p0p90;1936;7293.6;992;t
US-FL;afiinct992;p0p90;1937;7627.2;992;t
US-FL;afiinct992;p0p90;1938;7601.9;992;t
US-FL;afiinct992;p0p90;1939;8320;992;t
US-FL;afiinct992;p0p90;1940;7907;992;t
US-FL;afiinct992;p0p90;1941;10249.3;992;t
US-FL;afiinct992;p0p90;1942;15804.4;992;t
US-FL;afiinct992;p0p90;1943;22744;992;t
US-FL;afiinct992;p0p90;1944;22807.5;992;t
US-FL;afiinct992;p0p90;1945;21634.1;992;t
US-FL;afiinct992;p0p90;1946;16842.3;992;t
US-FL;afiinct992;p0p90;1947;16034.5;992;t
US-FL;afiinct992;p0p90;1948;15202.3;992;t
US-FL;afiinct992;p0p90;1949;15556.1;992;t
US-FL;afiinct992;p0p90;1950;16663;992;t
US-FL;afiinct992;p0p90;1952;17318.5;992;t
US-FL;afiinct992;p0p90;1953;18461;992;t
US-FL;afiinct992;p0p90;1954;17755.7;992;t
US-FL;afiinct992;p0p90;1955;19600.3;992;t
US-FL;afiinct992;p0p90;1956;20833.6;992;t
US-FL;afiinct992;p0p90;1957;21163;992;t
US-FL;afiinct992;p0p90;1958;21437.2;992;t
US-FL;afiinct992;p0p90;1959;22309.2;992;t
US-FL;afiinct992;p0p90;1960;21783.8;992;t
US-FL;afiinct992;p0p90;1961;21792.5;992;t
US-FL;afiinct992;p0p90;1962;21996.2;992;t
US-FL;afiinct992;p0p90;1963;22773.6;992;t
US-FL;afiinct992;p0p90;1964;23527.9;992;t
US-FL;afiinct992;p0p90;1965;24082;992;t
US-FL;afiinct992;p0p90;1966;25208.8;992;t
US-FL;afiinct992;p0p90;1967;25966.4;992;t
US-FL;afiinct992;p0p90;1968;27609.9;992;t
US-FL;afiinct992;p0p90;1969;29336.1;992;t
US-FL;afiinct992;p0p90;1970;30845.7;992;t
US-FL;afiinct992;p0p90;1971;31111;992;t
US-FL;afiinct992;p0p90;1972;32711.8;992;t
US-FL;afiinct992;p0p90;1973;34469;992;t
US-FL;afiinct992;p0p90;1974;35290;992;t
US-FL;afiinct992;p0p90;1975;32108.1;992;t
US-FL;afiinct992;p0p90;1976;32359.4;992;t
US-FL;afiinct992;p0p90;1977;32569.4;992;t
US-FL;afiinct992;p0p90;1978;33562.8;992;t
US-FL;afiinct992;p0p90;1979;34377;992;t
US-FL;afiinct992;p0p90;1980;35453.2;992;t
US-FL;afiinct992;p0p90;1981;35837.7;992;t
US-FL;afiinct992;p0p90;1982;31989.6;992;t
US-FL;afiinct992;p0p90;1983;33062.2;992;t
US-FL;afiinct992;p0p90;1984;31087;992;t
US-FL;afiinct992;p0p90;1985;31912;992;t
US-FL;afiinct992;p0p90;1986;29282.8;992;t
US-FL;afiinct992;p0p90;1987;31925.4;992;t
US-FL;afiinct992;p0p90;1988;30812;992;t
US-FL;afiinct992;p0p90;1989;32476.2;992;t
US-FL;afiinct992;p0p90;1990;33488;992;t
US-FL;afiinct992;p0p90;1991;32952;992;t
US-FL;afiinct992;p0p90;1992;30919.6;992;t
US-FL;afiinct992;p0p90;1993;31745.4;992;t
US-FL;afiinct992;p0p90;1994;32103.8;992;t
US-FL;afiinct992;p0p90;1995;32464.3;992;t
US-FL;afiinct992;p0p90;1996;32501;992;t
US-FL;afiinct992;p0p90;1997;32341.3;992;t
US-FL;afiinct992;p0p90;1998;34474.7;992;t
US-FL;afiinct992;p0p90;1999;35978.4;992;t
US-FL;afiinct992;p0p90;2000;35127.8;992;t
US-FL;afiinct992;p0p90;2001;35472.3;992;t
US-FL;afiinct992;p0p90;2002;34760.5;992;t
US-FL;afiinct992;p0p90;2003;36020.3;992;t
US-FL;afiinct992;p0p90;2004;32573.6;992;t
US-FL;afiinct992;p0p90;2005;30586;992;t
US-FL;afiinct992;p0p90;2006;32505.7;992;t
US-FL;afiinct992;p0p90;2007;34512.2;992;t
US-FL;afiinct992;p0p90;2008;32961.8;992;t
US-FL;afiinct992;p0p90;2009;29370.6;992;t
US-FL;afiinct992;p0p90;2010;31292;992;t
US-FL;afiinct992;p0p90;2011;29756.8;992;t
US-FL;afiinct992;p0p90;2012;26745.9;992;t
US-FL;afiinct992;p0p90;2013;27459.4;992;t
US-FL;afiinct992;p0p90;2014;27526.4;992;t
US-FL;afiinct992;p0p90;2015;28074.9;992;t
US-FL;afiinct992;p0p90;2016;31086.9;992;t
US-FL;afiinct992;p0p90;2017;24266.7;992;t
US-FL;afiinct992;p0p90;2018;27915.9;992;t
US-FL;afiinct992;p0p99;1917;9648;992;t
US-FL;afiinct992;p0p99;1918;9242;992;t
US-FL;afiinct992;p0p99;1919;9115.5;992;t
US-FL;afiinct992;p0p99;1920;7767.3;992;t
US-FL;afiinct992;p0p99;1921;7167.5;992;t
US-FL;afiinct992;p0p99;1922;8232.1;992;t
US-FL;afiinct992;p0p99;1923;9311.8;992;t
US-FL;afiinct992;p0p99;1924;8231.2;992;t
US-FL;afiinct992;p0p99;1925;4441.9;992;t
US-FL;afiinct992;p0p99;1926;8077.6;992;t
US-FL;afiinct992;p0p99;1927;9695.9;992;t
US-FL;afiinct992;p0p99;1928;10472.7;992;t
US-FL;afiinct992;p0p99;1929;11416.2;992;t
US-FL;afiinct992;p0p99;1930;10328.1;992;t
US-FL;afiinct992;p0p99;1931;9083;992;t
US-FL;afiinct992;p0p99;1932;8181.5;992;t
US-FL;afiinct992;p0p99;1933;7597.1;992;t
US-FL;afiinct992;p0p99;1934;8470.3;992;t
US-FL;afiinct992;p0p99;1935;8727.8;992;t
US-FL;afiinct992;p0p99;1936;9756.7;992;t
US-FL;afiinct992;p0p99;1937;10292.2;992;t
US-FL;afiinct992;p0p99;1938;10276.9;992;t
US-FL;afiinct992;p0p99;1939;11331.5;992;t
US-FL;afiinct992;p0p99;1940;11766.1;992;t
US-FL;afiinct992;p0p99;1941;14056.4;992;t
US-FL;afiinct992;p0p99;1942;19016.7;992;t
US-FL;afiinct992;p0p99;1943;26362.2;992;t
US-FL;afiinct992;p0p99;1944;26568.7;992;t
US-FL;afiinct992;p0p99;1945;25714.3;992;t
US-FL;afiinct992;p0p99;1946;21829.7;992;t
US-FL;afiinct992;p0p99;1947;19985.5;992;t
US-FL;afiinct992;p0p99;1948;19284.3;992;t
US-FL;afiinct992;p0p99;1949;19448.5;992;t
US-FL;afiinct992;p0p99;1950;20951.7;992;t
US-FL;afiinct992;p0p99;1951;14510.9;992;t
US-FL;afiinct992;p0p99;1952;22386.7;992;t
US-FL;afiinct992;p0p99;1953;23501.7;992;t
US-FL;afiinct992;p0p99;1954;23140.1;992;t
US-FL;afiinct992;p0p99;1955;24821.2;992;t
US-FL;afiinct992;p0p99;1956;26275.5;992;t
US-FL;afiinct992;p0p99;1957;26699.5;992;t
US-FL;afiinct992;p0p99;1958;26843.4;992;t
US-FL;afiinct992;p0p99;1959;28065.6;992;t
US-FL;afiinct992;p0p99;1960;27445.5;992;t
US-FL;afiinct992;p0p99;1961;27729.3;992;t
