country;variable;percentile;year;value;age;pop
US-HI;afiinct992;p0p100;1917;126033.1;992;t
US-HI;afiinct992;p0p100;1918;105125.8;992;t
US-HI;afiinct992;p0p100;1919;112791.8;992;t
US-HI;afiinct992;p0p100;1920;129257.5;992;t
US-HI;afiinct992;p0p100;1921;113942;992;t
US-HI;afiinct992;p0p100;1922;120863.9;992;t
US-HI;afiinct992;p0p100;1923;130068.7;992;t
US-HI;afiinct992;p0p100;1924;139508.4;992;t
US-HI;afiinct992;p0p100;1925;144449.1;992;t
US-HI;afiinct992;p0p100;1926;149330.4;992;t
US-HI;afiinct992;p0p100;1927;157116.6;992;t
US-HI;afiinct992;p0p100;1928;161517;992;t
US-HI;afiinct992;p0p100;1929;162013.5;992;t
US-HI;afiinct992;p0p100;1930;142809;992;t
US-HI;afiinct992;p0p100;1931;147192.2;992;t
US-HI;afiinct992;p0p100;1932;143240.2;992;t
US-HI;afiinct992;p0p100;1933;147388;992;t
US-HI;afiinct992;p0p100;1934;152165.7;992;t
US-HI;afiinct992;p0p100;1935;170222.8;992;t
US-HI;afiinct992;p0p100;1936;204385.5;992;t
US-HI;afiinct992;p0p100;1937;193751.5;992;t
US-HI;afiinct992;p0p100;1938;182078.7;992;t
US-HI;afiinct992;p0p100;1939;183432.7;992;t
US-HI;afiinct992;p0p100;1940;198154;992;t
US-HI;afiinct992;p0p100;1941;222028.1;992;t
US-HI;afiinct992;p0p100;1942;270556.6;992;t
US-HI;afiinct992;p0p100;1943;297854.9;992;t
US-HI;afiinct992;p0p100;1944;263539.6;992;t
US-HI;afiinct992;p0p100;1945;287876.1;992;t
US-HI;afiinct992;p0p100;1946;225514.5;992;t
US-HI;afiinct992;p0p100;1947;203455.3;992;t
US-HI;afiinct992;p0p100;1948;208277.8;992;t
US-HI;afiinct992;p0p100;1949;185015.3;992;t
US-HI;afiinct992;p0p100;1950;196196.8;992;t
US-HI;afiinct992;p0p100;1951;198592.6;992;t
US-HI;afiinct992;p0p100;1952;186388.5;992;t
US-HI;afiinct992;p0p100;1953;183609.6;992;t
US-HI;afiinct992;p0p100;1954;177881.5;992;t
US-HI;afiinct992;p0p100;1955;203395.3;992;t
US-HI;afiinct992;p0p100;1956;241631.7;992;t
US-HI;afiinct992;p0p100;1957;201397.1;992;t
US-HI;afiinct992;p0p100;1958;219612.9;992;t
US-HI;afiinct992;p0p100;1959;221957.6;992;t
US-HI;afiinct992;p0p100;1960;259112.2;992;t
US-HI;afiinct992;p0p100;1961;326377.5;992;t
US-HI;afiinct992;p0p100;1962;272264.6;992;t
US-HI;afiinct992;p0p100;1963;241249.6;992;t
US-HI;afiinct992;p0p100;1964;285996.2;992;t
US-HI;afiinct992;p0p100;1965;270792.7;992;t
US-HI;afiinct992;p0p100;1966;307443.7;992;t
US-HI;afiinct992;p0p100;1967;346492;992;t
US-HI;afiinct992;p0p100;1968;333110.8;992;t
US-HI;afiinct992;p0p100;1969;334171.4;992;t
US-HI;afiinct992;p0p100;1970;318726.2;992;t
US-HI;afiinct992;p0p100;1971;319599.3;992;t
US-HI;afiinct992;p0p100;1972;371362.9;992;t
US-HI;afiinct992;p0p100;1973;357587.3;992;t
US-HI;afiinct992;p0p100;1974;346842.3;992;t
US-HI;afiinct992;p0p100;1975;295950.2;992;t
US-HI;afiinct992;p0p100;1976;281336;992;t
US-HI;afiinct992;p0p100;1977;292070.1;992;t
US-HI;afiinct992;p0p100;1978;278753.1;992;t
US-HI;afiinct992;p0p100;1979;308453;992;t
US-HI;afiinct992;p0p100;1980;284573.9;992;t
US-HI;afiinct992;p0p100;1981;272510.3;992;t
US-HI;afiinct992;p0p100;1982;268887;992;t
US-HI;afiinct992;p0p100;1983;272975.6;992;t
US-HI;afiinct992;p0p100;1984;296015.3;992;t
US-HI;afiinct992;p0p100;1985;300735;992;t
US-HI;afiinct992;p0p100;1986;358891.3;992;t
US-HI;afiinct992;p0p100;1987;363264.1;992;t
US-HI;afiinct992;p0p100;1988;419766.1;992;t
US-HI;afiinct992;p0p100;1989;434886.4;992;t
US-HI;afiinct992;p0p100;1990;474857.8;992;t
US-HI;afiinct992;p0p100;1991;425641.9;992;t
US-HI;afiinct992;p0p100;1992;417512;992;t
US-HI;afiinct992;p0p100;1993;395344.8;992;t
US-HI;afiinct992;p0p100;1994;382366.4;992;t
US-HI;afiinct992;p0p100;1995;391641.5;992;t
US-HI;afiinct992;p0p100;1996;397219.6;992;t
US-HI;afiinct992;p0p100;1997;426127.1;992;t
US-HI;afiinct992;p0p100;1998;451327.1;992;t
US-HI;afiinct992;p0p100;1999;469959.9;992;t
US-HI;afiinct992;p0p100;2000;488335.5;992;t
US-HI;afiinct992;p0p100;2001;468099.3;992;t
US-HI;afiinct992;p0p100;2002;427747.3;992;t
US-HI;afiinct992;p0p100;2003;460793.9;992;t
US-HI;afiinct992;p0p100;2004;502023.9;992;t
US-HI;afiinct992;p0p100;2005;561008.6;992;t
US-HI;afiinct992;p0p100;2006;542834.3;992;t
US-HI;afiinct992;p0p100;2007;552013.9;992;t
US-HI;afiinct992;p0p100;2008;483571.1;992;t
US-HI;afiinct992;p0p100;2009;454217.8;992;t
US-HI;afiinct992;p0p100;2010;424377.6;992;t
US-HI;afiinct992;p0p100;2011;440546.1;992;t
US-HI;afiinct992;p0p100;2012;457524.3;992;t
US-HI;afiinct992;p0p100;2013;438333;992;t
US-HI;afiinct992;p0p100;2014;465412;992;t
US-HI;afiinct992;p0p100;2015;486734.2;992;t
US-HI;afiinct992;p0p100;2016;487875.4;992;t
US-HI;afiinct992;p0p100;2017;516690.6;992;t
US-HI;afiinct992;p0p100;2018;537909.9;992;t
US-HI;npopult992;p0p100;1917;108631;992;t
US-HI;npopult992;p0p100;1918;108784;992;t
US-HI;npopult992;p0p100;1919;110374;992;t
US-HI;npopult992;p0p100;1920;112641;992;t
US-HI;npopult992;p0p100;1921;114675;992;t
US-HI;npopult992;p0p100;1922;116095;992;t
US-HI;npopult992;p0p100;1923;117906;992;t
US-HI;npopult992;p0p100;1924;119978;992;t
US-HI;npopult992;p0p100;1925;121565;992;t
US-HI;npopult992;p0p100;1926;122975;992;t
US-HI;npopult992;p0p100;1927;124439;992;t
US-HI;npopult992;p0p100;1928;125712;992;t
US-HI;npopult992;p0p100;1929;126741;992;t
US-HI;npopult992;p0p100;1930;127804;992;t
US-HI;npopult992;p0p100;1931;129216;992;t
US-HI;npopult992;p0p100;1932;130471;992;t
US-HI;npopult992;p0p100;1933;131672;992;t
US-HI;npopult992;p0p100;1934;132943;992;t
US-HI;npopult992;p0p100;1935;134312;992;t
US-HI;npopult992;p0p100;1936;135616;992;t
US-HI;npopult992;p0p100;1937;136900;992;t
US-HI;npopult992;p0p100;1938;138439;992;t
US-HI;npopult992;p0p100;1939;140052;992;t
US-HI;npopult992;p0p100;1940;141882;992;t
US-HI;npopult992;p0p100;1941;143355;992;t
US-HI;npopult992;p0p100;1942;144993;992;t
US-HI;npopult992;p0p100;1943;147060;992;t
US-HI;npopult992;p0p100;1944;148861;992;t
US-HI;npopult992;p0p100;1945;150495;992;t
US-HI;npopult992;p0p100;1946;152022;992;t
US-HI;npopult992;p0p100;1947;154889;992;t
US-HI;npopult992;p0p100;1948;157470;992;t
US-HI;npopult992;p0p100;1949;160068;992;t
US-HI;npopult992;p0p100;1950;163189;992;t
US-HI;npopult992;p0p100;1951;166536;992;t
US-HI;npopult992;p0p100;1952;169943;992;t
US-HI;npopult992;p0p100;1953;173286;992;t
US-HI;npopult992;p0p100;1954;176838;992;t
US-HI;npopult992;p0p100;1955;180439;992;t
US-HI;npopult992;p0p100;1956;184089;992;t
US-HI;npopult992;p0p100;1957;187832;992;t
US-HI;npopult992;p0p100;1958;191345;992;t
US-HI;npopult992;p0p100;1959;194879;992;t
US-HI;npopult992;p0p100;1960;198261;992;t
US-HI;npopult992;p0p100;1961;204214;992;t
US-HI;npopult992;p0p100;1962;210084;992;t
US-HI;npopult992;p0p100;1963;215902;992;t
US-HI;npopult992;p0p100;1964;221762;992;t
US-HI;npopult992;p0p100;1965;227455;992;t
US-HI;npopult992;p0p100;1966;233065;992;t
US-HI;npopult992;p0p100;1967;238645;992;t
US-HI;npopult992;p0p100;1968;244128;992;t
US-HI;npopult992;p0p100;1969;249675;992;t
US-HI;npopult992;p0p100;1970;255818;992;t
US-HI;npopult992;p0p100;1971;270150;992;t
US-HI;npopult992;p0p100;1972;284752;992;t
US-HI;npopult992;p0p100;1973;299815;992;t
US-HI;npopult992;p0p100;1974;315569;992;t
US-HI;npopult992;p0p100;1975;332415;992;t
US-HI;npopult992;p0p100;1976;350062;992;t
US-HI;npopult992;p0p100;1977;368881;992;t
US-HI;npopult992;p0p100;1978;388950;992;t
US-HI;npopult992;p0p100;1979;377702;992;t
US-HI;npopult992;p0p100;1980;432297;992;t
US-HI;npopult992;p0p100;1981;434175;992;t
US-HI;npopult992;p0p100;1982;408232;992;t
US-HI;npopult992;p0p100;1983;408232;992;t
US-HI;npopult992;p0p100;1984;437871;992;t
US-HI;npopult992;p0p100;1985;451824;992;t
US-HI;npopult992;p0p100;1986;454354;992;t
US-HI;npopult992;p0p100;1987;448493;992;t
US-HI;npopult992;p0p100;1988;466903;992;t
US-HI;npopult992;p0p100;1989;487147;992;t
US-HI;npopult992;p0p100;1990;506997;992;t
US-HI;npopult992;p0p100;1991;513131;992;t
US-HI;npopult992;p0p100;1992;527540;992;t
US-HI;npopult992;p0p100;1993;530349;992;t
US-HI;npopult992;p0p100;1994;543482;992;t
US-HI;npopult992;p0p100;1995;541179;992;t
US-HI;npopult992;p0p100;1996;556764;992;t
US-HI;npopult992;p0p100;1997;563470;992;t
US-HI;npopult992;p0p100;1998;567321;992;t
US-HI;npopult992;p0p100;1999;571530;992;t
US-HI;npopult992;p0p100;2000;584728;992;t
US-HI;npopult992;p0p100;2001;587621;992;t
US-HI;npopult992;p0p100;2002;592201;992;t
US-HI;npopult992;p0p100;2003;594264;992;t
US-HI;npopult992;p0p100;2004;626033;992;t
US-HI;npopult992;p0p100;2005;634779;992;t
US-HI;npopult992;p0p100;2006;664158;992;t
US-HI;npopult992;p0p100;2007;658393;992;t
US-HI;npopult992;p0p100;2008;667841;992;t
US-HI;npopult992;p0p100;2009;672502;992;t
US-HI;npopult992;p0p100;2010;669074;992;t
US-HI;npopult992;p0p100;2011;668711;992;t
US-HI;npopult992;p0p100;2012;703292;992;t
US-HI;npopult992;p0p100;2013;734684;992;t
US-HI;npopult992;p0p100;2014;722064;992;t
US-HI;npopult992;p0p100;2015;728795;992;t
US-HI;npopult992;p0p100;2016;754354;992;t
US-HI;npopult992;p0p100;2017;766370;992;t
US-HI;npopult992;p0p100;2018;762309;992;t
US-HI;ntaxret992;p0p100;1917;3131;992;t
US-HI;ntaxret992;p0p100;1918;4242;992;t
US-HI;ntaxret992;p0p100;1919;8136;992;t
US-HI;ntaxret992;p0p100;1920;13715;992;t
US-HI;ntaxret992;p0p100;1921;11481;992;t
US-HI;ntaxret992;p0p100;1922;11597;992;t
US-HI;ntaxret992;p0p100;1923;12421;992;t
US-HI;ntaxret992;p0p100;1924;12387;992;t
US-HI;ntaxret992;p0p100;1925;9306;992;t
US-HI;ntaxret992;p0p100;1926;9146;992;t
US-HI;ntaxret992;p0p100;1927;9252;992;t
US-HI;ntaxret992;p0p100;1928;8047;992;t
US-HI;ntaxret992;p0p100;1929;8460;992;t
US-HI;ntaxret992;p0p100;1930;8115;992;t
US-HI;ntaxret992;p0p100;1931;7628;992;t
US-HI;ntaxret992;p0p100;1932;12664;992;t
US-HI;ntaxret992;p0p100;1933;11280;992;t
US-HI;ntaxret992;p0p100;1934;11584;992;t
US-HI;ntaxret992;p0p100;1935;13598;992;t
US-HI;ntaxret992;p0p100;1936;15440;992;t
US-HI;ntaxret992;p0p100;1937;17617;992;t
US-HI;ntaxret992;p0p100;1938;19115;992;t
US-HI;ntaxret992;p0p100;1939;22928;992;t
US-HI;ntaxret992;p0p100;1940;43004;992;t
US-HI;ntaxret992;p0p100;1941;99238;992;t
US-HI;ntaxret992;p0p100;1942;164368;992;t
US-HI;ntaxret992;p0p100;1943;155522;992;t
US-HI;ntaxret992;p0p100;1944;172862;992;t
US-HI;ntaxret992;p0p100;1945;190431;992;t
US-HI;ntaxret992;p0p100;1946;191218;992;t
US-HI;ntaxret992;p0p100;1947;206054;992;t
US-HI;ntaxret992;p0p100;1948;182227;992;t
US-HI;ntaxret992;p0p100;1949;182803;992;t
US-HI;ntaxret992;p0p100;1950;179871;992;t
US-HI;ntaxret992;p0p100;1951;189836;992;t
US-HI;ntaxret992;p0p100;1952;198799;992;t
