country;variable;percentile;year;value;age;pop
US-IA;afiinct992;p0p100;1917;145713;992;t
US-IA;afiinct992;p0p100;1918;162093.2;992;t
US-IA;afiinct992;p0p100;1919;163164.4;992;t
US-IA;afiinct992;p0p100;1920;163070.5;992;t
US-IA;afiinct992;p0p100;1921;99453.8;992;t
US-IA;afiinct992;p0p100;1922;102288.7;992;t
US-IA;afiinct992;p0p100;1923;99977;992;t
US-IA;afiinct992;p0p100;1924;101836.3;992;t
US-IA;afiinct992;p0p100;1925;102772.7;992;t
US-IA;afiinct992;p0p100;1926;106230.7;992;t
US-IA;afiinct992;p0p100;1927;92198.20000000001;992;t
US-IA;afiinct992;p0p100;1928;114162.3;992;t
US-IA;afiinct992;p0p100;1929;120740.8;992;t
US-IA;afiinct992;p0p100;1930;107639.2;992;t
US-IA;afiinct992;p0p100;1931;96286.40000000001;992;t
US-IA;afiinct992;p0p100;1932;82529.90000000001;992;t
US-IA;afiinct992;p0p100;1933;78241.8;992;t
US-IA;afiinct992;p0p100;1934;83197;992;t
US-IA;afiinct992;p0p100;1935;90860.70000000001;992;t
US-IA;afiinct992;p0p100;1936;99644.90000000001;992;t
US-IA;afiinct992;p0p100;1937;96486.3;992;t
US-IA;afiinct992;p0p100;1938;92493.8;992;t
US-IA;afiinct992;p0p100;1939;106270.1;992;t
US-IA;afiinct992;p0p100;1940;108916.6;992;t
US-IA;afiinct992;p0p100;1941;123806.8;992;t
US-IA;afiinct992;p0p100;1942;139708;992;t
US-IA;afiinct992;p0p100;1943;154470.5;992;t
US-IA;afiinct992;p0p100;1944;128013;992;t
US-IA;afiinct992;p0p100;1945;144414.4;992;t
US-IA;afiinct992;p0p100;1946;169064.5;992;t
US-IA;afiinct992;p0p100;1947;176163.1;992;t
US-IA;afiinct992;p0p100;1948;170051.9;992;t
US-IA;afiinct992;p0p100;1949;156456.3;992;t
US-IA;afiinct992;p0p100;1950;185468.2;992;t
US-IA;afiinct992;p0p100;1951;179294.2;992;t
US-IA;afiinct992;p0p100;1952;148836.2;992;t
US-IA;afiinct992;p0p100;1953;153449.5;992;t
US-IA;afiinct992;p0p100;1954;161204.8;992;t
US-IA;afiinct992;p0p100;1955;173975.3;992;t
US-IA;afiinct992;p0p100;1956;155868.9;992;t
US-IA;afiinct992;p0p100;1957;158060;992;t
US-IA;afiinct992;p0p100;1958;174699.9;992;t
US-IA;afiinct992;p0p100;1959;180941.1;992;t
US-IA;afiinct992;p0p100;1960;188735.3;992;t
US-IA;afiinct992;p0p100;1961;196042.1;992;t
US-IA;afiinct992;p0p100;1962;187317.9;992;t
US-IA;afiinct992;p0p100;1963;187391;992;t
US-IA;afiinct992;p0p100;1964;223573.4;992;t
US-IA;afiinct992;p0p100;1965;249539.5;992;t
US-IA;afiinct992;p0p100;1966;241772.2;992;t
US-IA;afiinct992;p0p100;1967;258901.4;992;t
US-IA;afiinct992;p0p100;1968;247295.7;992;t
US-IA;afiinct992;p0p100;1969;235305.3;992;t
US-IA;afiinct992;p0p100;1970;233734.5;992;t
US-IA;afiinct992;p0p100;1971;229595.3;992;t
US-IA;afiinct992;p0p100;1972;261174.5;992;t
US-IA;afiinct992;p0p100;1973;286952.7;992;t
US-IA;afiinct992;p0p100;1974;288719.6;992;t
US-IA;afiinct992;p0p100;1975;297994.3;992;t
US-IA;afiinct992;p0p100;1976;274953.7;992;t
US-IA;afiinct992;p0p100;1977;291196.9;992;t
US-IA;afiinct992;p0p100;1978;287318.9;992;t
US-IA;afiinct992;p0p100;1979;296549.7;992;t
US-IA;afiinct992;p0p100;1980;275080;992;t
US-IA;afiinct992;p0p100;1981;253255.6;992;t
