country;variable;percentile;year;value;age;pop
US-ID;afiinct992;p0p100;1917;132565.1;992;t
US-ID;afiinct992;p0p100;1918;128682;992;t
US-ID;afiinct992;p0p100;1919;126294.5;992;t
US-ID;afiinct992;p0p100;1920;87653.40000000001;992;t
US-ID;afiinct992;p0p100;1921;83346.20000000001;992;t
US-ID;afiinct992;p0p100;1922;90477.5;992;t
US-ID;afiinct992;p0p100;1923;92631.20000000001;992;t
US-ID;afiinct992;p0p100;1924;94947.1;992;t
US-ID;afiinct992;p0p100;1925;102924;992;t
US-ID;afiinct992;p0p100;1926;105262.9;992;t
US-ID;afiinct992;p0p100;1927;106081.1;992;t
US-ID;afiinct992;p0p100;1928;111664.4;992;t
US-ID;afiinct992;p0p100;1929;113634.1;992;t
US-ID;afiinct992;p0p100;1930;100578.7;992;t
US-ID;afiinct992;p0p100;1931;91096.3;992;t
US-ID;afiinct992;p0p100;1932;78214.40000000001;992;t
US-ID;afiinct992;p0p100;1933;80540.1;992;t
US-ID;afiinct992;p0p100;1934;91997.70000000001;992;t
US-ID;afiinct992;p0p100;1935;99643.8;992;t
US-ID;afiinct992;p0p100;1936;116743.4;992;t
US-ID;afiinct992;p0p100;1937;105966.3;992;t
US-ID;afiinct992;p0p100;1938;96113;992;t
US-ID;afiinct992;p0p100;1939;103589.9;992;t
US-ID;afiinct992;p0p100;1940;99056.5;992;t
US-ID;afiinct992;p0p100;1941;105193.3;992;t
US-ID;afiinct992;p0p100;1942;121192.1;992;t
US-ID;afiinct992;p0p100;1943;142362.2;992;t
US-ID;afiinct992;p0p100;1944;118947.1;992;t
US-ID;afiinct992;p0p100;1945;131691.7;992;t
US-ID;afiinct992;p0p100;1946;147093.3;992;t
US-ID;afiinct992;p0p100;1947;140948.5;992;t
US-ID;afiinct992;p0p100;1948;171522.9;992;t
US-ID;afiinct992;p0p100;1949;138512.4;992;t
US-ID;afiinct992;p0p100;1950;176784.8;992;t
US-ID;afiinct992;p0p100;1951;179232.1;992;t
US-ID;afiinct992;p0p100;1952;174766.4;992;t
US-ID;afiinct992;p0p100;1953;147029.9;992;t
US-ID;afiinct992;p0p100;1954;151865.2;992;t
US-ID;afiinct992;p0p100;1955;157165.2;992;t
US-ID;afiinct992;p0p100;1956;182772;992;t
US-ID;afiinct992;p0p100;1957;164881.4;992;t
US-ID;afiinct992;p0p100;1958;158276.8;992;t
US-ID;afiinct992;p0p100;1959;177434.8;992;t
US-ID;afiinct992;p0p100;1960;168984.3;992;t
US-ID;afiinct992;p0p100;1961;183102.5;992;t
US-ID;afiinct992;p0p100;1962;168099.1;992;t
US-ID;afiinct992;p0p100;1963;189704.4;992;t
US-ID;afiinct992;p0p100;1964;208905.7;992;t
US-ID;afiinct992;p0p100;1965;237712.3;992;t
US-ID;afiinct992;p0p100;1966;184426.3;992;t
US-ID;afiinct992;p0p100;1967;240241.6;992;t
US-ID;afiinct992;p0p100;1968;216562.1;992;t
US-ID;afiinct992;p0p100;1969;239458.2;992;t
US-ID;afiinct992;p0p100;1970;217566.7;992;t
US-ID;afiinct992;p0p100;1971;265161.4;992;t
US-ID;afiinct992;p0p100;1972;222520.7;992;t
US-ID;afiinct992;p0p100;1973;282735.7;992;t
US-ID;afiinct992;p0p100;1974;283674.4;992;t
US-ID;afiinct992;p0p100;1975;268651.1;992;t
US-ID;afiinct992;p0p100;1976;238032.5;992;t
US-ID;afiinct992;p0p100;1977;280744.3;992;t
US-ID;afiinct992;p0p100;1978;277495.4;992;t
US-ID;afiinct992;p0p100;1979;270304.8;992;t
US-ID;afiinct992;p0p100;1980;244635.5;992;t
US-ID;afiinct992;p0p100;1981;249252.7;992;t
US-ID;afiinct992;p0p100;1982;212739;992;t
US-ID;afiinct992;p0p100;1983;231207.4;992;t
US-ID;afiinct992;p0p100;1984;246070.4;992;t
US-ID;afiinct992;p0p100;1985;262164;992;t
US-ID;afiinct992;p0p100;1986;276412.8;992;t
US-ID;afiinct992;p0p100;1987;258726;992;t
US-ID;afiinct992;p0p100;1988;291720.9;992;t
US-ID;afiinct992;p0p100;1989;309601.5;992;t
US-ID;afiinct992;p0p100;1990;312861.7;992;t
US-ID;afiinct992;p0p100;1991;300408.7;992;t
US-ID;afiinct992;p0p100;1992;324114.8;992;t
US-ID;afiinct992;p0p100;1993;335085.3;992;t
US-ID;afiinct992;p0p100;1994;348532.7;992;t
US-ID;afiinct992;p0p100;1995;370301.5;992;t
US-ID;afiinct992;p0p100;1996;383462;992;t
US-ID;afiinct992;p0p100;1997;411961;992;t
US-ID;afiinct992;p0p100;1998;432352.8;992;t
US-ID;afiinct992;p0p100;1999;468931.9;992;t
US-ID;afiinct992;p0p100;2000;509566.8;992;t
US-ID;afiinct992;p0p100;2001;438221.8;992;t
US-ID;afiinct992;p0p100;2002;387419.1;992;t
US-ID;afiinct992;p0p100;2003;394098.9;992;t
US-ID;afiinct992;p0p100;2004;436050;992;t
US-ID;afiinct992;p0p100;2005;516059.5;992;t
US-ID;afiinct992;p0p100;2006;563637.8;992;t
US-ID;afiinct992;p0p100;2007;550506.6;992;t
US-ID;afiinct992;p0p100;2008;458266.6;992;t
US-ID;afiinct992;p0p100;2009;391339.7;992;t
US-ID;afiinct992;p0p100;2010;421783;992;t
US-ID;afiinct992;p0p100;2011;411164.5;992;t
US-ID;afiinct992;p0p100;2012;464593.2;992;t
US-ID;afiinct992;p0p100;2013;456824.1;992;t
US-ID;afiinct992;p0p100;2014;484716.4;992;t
US-ID;afiinct992;p0p100;2015;494647.2;992;t
US-ID;afiinct992;p0p100;2016;492423.2;992;t
US-ID;afiinct992;p0p100;2017;535530.9;992;t
US-ID;afiinct992;p0p100;2018;562065.7000000001;992;t
US-ID;npopult992;p0p100;1917;160060;992;t
US-ID;npopult992;p0p100;1918;162325;992;t
US-ID;npopult992;p0p100;1919;166792;992;t
US-ID;npopult992;p0p100;1920;172384;992;t
US-ID;npopult992;p0p100;1921;173964;992;t
US-ID;npopult992;p0p100;1922;174581;992;t
US-ID;npopult992;p0p100;1923;175757;992;t
US-ID;npopult992;p0p100;1924;177282;992;t
US-ID;npopult992;p0p100;1925;178060;992;t
US-ID;npopult992;p0p100;1926;178552;992;t
US-ID;npopult992;p0p100;1927;179100;992;t
US-ID;npopult992;p0p100;1928;179353;992;t
US-ID;npopult992;p0p100;1929;179242;992;t
US-ID;npopult992;p0p100;1930;179167;992;t
US-ID;npopult992;p0p100;1931;183919;992;t
US-ID;npopult992;p0p100;1932;188546;992;t
US-ID;npopult992;p0p100;1933;193193;992;t
US-ID;npopult992;p0p100;1934;198042;992;t
US-ID;npopult992;p0p100;1935;203143;992;t
US-ID;npopult992;p0p100;1936;208254;992;t
US-ID;npopult992;p0p100;1937;213441;992;t
US-ID;npopult992;p0p100;1938;219143;992;t
US-ID;npopult992;p0p100;1939;225088;992;t
US-ID;npopult992;p0p100;1940;231518;992;t
US-ID;npopult992;p0p100;1941;232053;992;t
US-ID;npopult992;p0p100;1942;232830;992;t
US-ID;npopult992;p0p100;1943;234263;992;t
US-ID;npopult992;p0p100;1944;235237;992;t
US-ID;npopult992;p0p100;1945;235920;992;t
US-ID;npopult992;p0p100;1946;236411;992;t
US-ID;npopult992;p0p100;1947;238945;992;t
US-ID;npopult992;p0p100;1948;240987;992;t
US-ID;npopult992;p0p100;1949;243006;992;t
US-ID;npopult992;p0p100;1950;245765;992;t
US-ID;npopult992;p0p100;1951;246496;992;t
US-ID;npopult992;p0p100;1952;247217;992;t
US-ID;npopult992;p0p100;1953;247750;992;t
US-ID;npopult992;p0p100;1954;248485;992;t
US-ID;npopult992;p0p100;1955;249189;992;t
US-ID;npopult992;p0p100;1956;249862;992;t
US-ID;npopult992;p0p100;1957;250562;992;t
US-ID;npopult992;p0p100;1958;250863;992;t
US-ID;npopult992;p0p100;1959;251108;992;t
US-ID;npopult992;p0p100;1960;251077;992;t
US-ID;npopult992;p0p100;1961;254486;992;t
US-ID;npopult992;p0p100;1962;257622;992;t
